"SpcRecID","Rank","GEO_entity","ISO Code 2","RefIDs"
187740,"Species","Country","VN",2224
187742,"Species","Country","PH",2224
187743,"Species","Country","ID",2224
187743,"Species","Country","MY",2224
187743,"Species","Country","TH",2224
187745,"Species","Country","BN",2224
187745,"Species","Country","ID",2224
187745,"Species","Country","MY",2224
187746,"Species","Country","BT",2224
187746,"Species","Country","CN",2224
187746,"Species","Country","ID",2224
187746,"Species","Country","LA",2224
187746,"Species","Country","NP",2224
187748,"Species","Country","PH",2224
187750,"Species","Country","MY",2224
187751,"Species","Country","ID",2224
187751,"Species","Country","MY",2224
187753,"Species","Country","CN",2224
187753,"Species","Country","IN",2224
187753,"Species","Country","MM",2224
187753,"Species","Country","MY",2224
187753,"Species","Country","TH",2224
187753,"Species","Country","VN",2224
187756,"Species","Country","ID",2224
187756,"Subspecies","Country","MY",2224
187770,"Species","Country","ID",2224
187770,"Species","Country","MY",2224
187771,"Species","Country","ID",2224
187773,"Species","Country","CN",2224
187773,"Species","Country","MM",2224
187773,"Species","Country","VN",2224
187777,"Species","Country","BN",2224
187777,"Species","Country","ID",2224
187777,"Species","Country","MY",2224
187779,"Species","Country","MM",2224
187779,"Species","Country","TH",2224
187781,"Species","Country","BT",2224
187781,"Species","Country","CN",2224
187781,"Species","Country","IN",2224
187781,"Species","Country","LA",2224
187781,"Species","Country","MM",2224
187781,"Species","Country","NP",2224
187781,"Species","Country","TH",2224
187781,"Species","Country","VN",2224
187785,"Species","Country","PH",2224
187789,"Species","Country","ID",2224
187789,"Species","Country","MY",2224
187790,"Species","Country","ID",2224
187791,"Species","Country","ID",2224
187793,"Species","Country","BT",2224
187793,"Species","Country","CN",2224
187793,"Species","Country","IN",2224
187793,"Species","Country","MM",2224
187793,"Species","Country","NP",2224
187793,"Species","Country","VN",2224
187797,"Species","Country","CN",2224
187797,"Species","Country","IN",2224
187801,"Species","Country","BN",2224
187801,"Species","Country","ID",2224
187801,"Species","Country","MY",2224
187801,"Species","Country","PH",2224
187803,"Species","Country","MM",2224
187803,"Species","Country","TH",2224
187803,"Species","Country","VN",2224
187804,"Species","Country","CN",2224
187805,"Species","Country","ID",2224
187805,"Species","Country","MY",2224
187806,"Species","Country","ID",2224
187810,"Species","Country","ID",2224
187810,"Species","Country","IN",2224
187810,"Species","Country","MY",2224
187810,"Species","Country","TH",2224
187815,"Species","Country","ID",2224
187817,"Species","Country","ID",2224
187826,"Species","Country","MM",2224
187827,"Species","Country","ID",2224
187828,"Species","Country","ID",2224
187829,"Species","Country","PH",2224
187830,"Species","Country","MM",2224
187832,"Species","Country","PH",2224
187833,"Species","Country","MY",2224
187833,"Species","Country","TH",2224
187834,"Species","Country","BN",2224
187834,"Species","Country","MY",2224
187835,"Species","Country","ID",2224
187835,"Species","Country","MY",2224
187837,"Species","Country","BN",2224
187837,"Species","Country","MY",2224
187838,"Species","Country","TH",2224
187838,"Species","Country","VN",2224
187839,"Species","Country","BD",2224
187839,"Species","Country","CN",2224
187839,"Species","Country","IN",2224
187839,"Species","Country","LA",2224
187839,"Species","Country","MM",2224
187839,"Species","Country","MY",2224
187839,"Species","Country","TH",2224
187839,"Species","Country","VN",2224
187843,"Species","Country","ID",2224
187843,"Species","Country","MY",2224
187843,"Species","Country","TH",2224
187844,"Subspecies","Country","MY",2224
187845,"Species","Country","CN",2224
187846,"Species","Country","ID",2224
187846,"Species","Country","MY",2224
187872,"Species","Country","EC",2224
187873,"Species","Country","EC",2224
187874,"Species","Country","BZ",2224
187875,"Species","Country","EC",2224
187876,"Species","Country","CO",2224
187877,"Species","Country","CO",2224
187878,"Species","Country","CO",2224
187880,"Species","Country","EC",2224
187881,"Species","Country","CO",2224
187882,"Species","Country","CO",2224
187883,"Species","Country","PE",2224
187884,"Species","Country","CO",2224
187884,"Species","Country","EC",2224
187884,"Species","Country","VE",2224
187885,"Species","Country","EC",2224
187886,"Species","Country","EC",2224
187887,"Species","Country","PE",2224
187888,"Species","Country","EC",2224
187888,"Species","Country","PE",2224
187889,"Species","Country","EC",2224
187890,"Species","Country","EC",2224
187891,"Species","Country","CO",2224
187892,"Species","Country","CO",2224
187893,"Species","Country","PE",2224
187894,"Species","Country","PE",2224
187895,"Species","Country","EC",2224
187895,"Subspecies","Country","PE",2224
187896,"Species","Country","CO",2224
187897,"Species","Country","EC",2224
187898,"Species","Country","CO",2224
187899,"Species","Country","EC",2224
187899,"Species","Country","PE",2224
187900,"Species","Country","CO",2224
187901,"Species","Country","CO",2224
187902,"Species","Country","PE",2224
187903,"Species","Country","PE",2224
187904,"Species","Country","PE",2224
187905,"Species","Country","EC",2224
187906,"Species","Country","PE",2224
187907,"Species","Country","PE",2224
187908,"Species","Country","BO",2224
187908,"Species","Country","EC",2224
187908,"Species","Country","PE",2224
187909,"Species","Country","PE",2224
187910,"Species","Country","EC",2224
187911,"Species","Country","EC",2224
187912,"Species","Country","PE",2224
187913,"Species","Country","EC",2224
187914,"Species","Country","BO",2224
187914,"Species","Country","CO",2224
187914,"Species","Country","EC",2224
187914,"Species","Country","PE",2224
187914,"Species","Country","VE",2224
187915,"Species","Country","EC",2224
187916,"Species","Country","BO",2224
187917,"Species","Country","CO",2224
187917,"Species","Country","EC",2224
187917,"Species","Country","PE",2224
187918,"Species","Country","EC",2224
187919,"Species","Country","EC",2224
187920,"Species","Country","BO",2224
187921,"Species","Country","EC",2224
187922,"Species","Country","EC",2224
187923,"Species","Country","CO",2224
187924,"Species","Country","PE",2224
187925,"Species","Country","EC",2224
187926,"Species","Country","BO",2224
187927,"Species","Country","CO",2224
187928,"Species","Country","CO",2224
187929,"Species","Country","EC",2224
187930,"Species","Country","EC",2224
187931,"Species","Country","PE",2224
187932,"Species","Country","PE",2224
187933,"Species","Country","PE",2224
187934,"Species","Country","PE",2224
187935,"Species","Country","PE",2224
187936,"Species","Country","PE",2224
187937,"Species","Country","PE",2224
187938,"Species","Country","CO",2224
187938,"Species","Country","VE",2224
187939,"Species","Country","CO",2224
187940,"Species","Country","BO",2224
187941,"Species","Country","CR",2224
187942,"Species","Country","CO",2224
187942,"Species","Country","EC",2224
187943,"Species","Country","CR",2224
187943,"Species","Country","GT",2224
187943,"Species","Country","NI",2224
187943,"Species","Country","PA",2224
187943,"Species","Country","VE",2224
187944,"Species","Country","BO",2224
187945,"Species","Country","PE",2224
187946,"Species","Country","PE",2224
187947,"Species","Country","CO",2224
187947,"Species","Country","VE",2224
187948,"Species","Country","PE",2224
187949,"Species","Country","PE",2224
187950,"Species","Country","BO",2224
187951,"Species","Country","CO",2224
187952,"Species","Country","PE",2224
187953,"Species","Country","EC",2224
187953,"Species","Country","PE",2224
187954,"Species","Country","EC",2224
187955,"Species","Country","EC",2224
187955,"Species","Country","PE",2224
187956,"Species","Country","EC",2224
187957,"Species","Country","PE",2224
187958,"Species","Country","CO",2224
187958,"Species","Country","EC",2224
187958,"Species","Country","PE",2224
187959,"Species","Country","PE",2224
187960,"Species","Country","PE",2224
187961,"Species","Country","EC",2224
187962,"Species","Country","CO",2224
187962,"Species","Country","EC",2224
187963,"Species","Country","EC",2224
187964,"Species","Country","BR",2224
187964,"Species","Country","EC",2224
187964,"Species","Territory","GF",2224
187964,"Species","Country","PE",2224
187964,"Species","Country","SR",2224
187965,"Species","Country","BR",2224
187966,"Species","Country","PE",2224
187967,"Species","Country","EC",2224
188045,"Species","Country","EC",2224
188046,"Species","Country","EC",2224
188047,"Species","Country","BO",2224
188048,"Species","Country","PE",2224
188049,"Species","Country","VE",2224
188051,"Species","Country","EC",2224
188052,"Species","Country","CR",2224
188053,"Species","Country","EC",2224
188054,"Species","Country","CO",2224
188055,"Species","Country","EC",2224
188056,"Species","Country","EC",2224
188057,"Species","Country","BR",2224
188058,"Species","Country","CO",2224
188059,"Species","Country","CR",2224
188059,"Species","Country","EC",2224
188060,"Species","Country","EC",2224
188061,"Species","Country","EC",2224
188062,"Species","Country","EC",2224
188063,"Species","Country","CO",2224
188064,"Species","Country","PE",2224
188065,"Species","Country","VE",2224
188066,"Species","Country","EC",2224
188067,"Species","Country","EC",2224
188067,"Species","Country","PE",2224
188068,"Species","Country","PA",2224
188070,"Species","Country","PE",2224
188071,"Species","Country","EC",2224
188072,"Species","Country","BO",2224
188073,"Subspecies","Country","PE",2224
188074,"Species","Country","CO",2224
188075,"Species","Country","CO",2224
188075,"Species","Country","EC",2224
188075,"Species","Country","PE",2224
188077,"Species","Country","CO",2224
188078,"Species","Country","VE",2224
188082,"Species","Country","EC",2224
188083,"Species","Country","PE",2224
188084,"Species","Country","PE",2224
188085,"Species","Country","EC",2224
188086,"Species","Country","CO",2224
188087,"Species","Country","EC",2224
188088,"Species","Country","BO",2224
188089,"Species","Country","CO",2224
188090,"Species","Country","CO",2224
188091,"Species","Country","EC",2224
188091,"Species","Country","PE",2224
