SpcRecID,Scientific name,Rank,Status,RefRecIDs
3933,berthelotii,Species,A,17672:21391:22181
3934,bourgaeana,Species,A,17672:21391:22181
3935,bravoana,Species,A,17672:21391:22181
3936,briquetii,Species,A,17672
3937,canariensis,Species,A,17672:21391:22181
3940,handiensis,Species,A,15926:21391:22181
3941,hieroglyphica,Species,A,10488
3942,lambii,Species,A,15926:21391:22181
3943,malvana,Species,A,17672
3944,mazicum,Species,A,17672
3945,megalatlantica,Species,A,17672:20171:
3947,nereidum,Species,A,17672
3948,obovata,Species,A,17672
3949,officinarum,Species,A,17672:21391:22181
3950,parvula,Species,A,17672
3951,piscatoria,Species,A,17672:21391:22181
3952,pseudo-apios,Species,A,17672
3953,punctata,Species,A,17672
3954,resinifera,Species,A,15926:21391:22181
3955,rimarum,Species,A,17672
3956,stygiana,Species,A,17672:20171:21391:22181:
3957,tetuanensis,Species,A,17672
3958,veneris,Species,A,14230
4044,macrophylla,Species,A,17781
4049,tridactylites,Species,A,
4241,somalensis,Species,A,21416:21855:
4440,dyris,Species,A,20171
4441,kotschyi,Species,A,14230
4442,pallida,Species,A,17934:20171:
4443,canariensis,Species,A,
4444,cyrenaica,Species,A,
4445,scopulorum,Species,A,17781
4542,micrantha,Species,A,20171
5114,micrantha,Species,A,20604
5115,ustulata,Species,A,20604:3774:
5146,angelica,Species,A,21482:20803:
5147,buhrii,Species,A,20604:21482:
5148,distans,Species,A,21482:20604:
5149,gerstneri,Species,A,21482:20604:
5151,greenii,Species,A,21482:20803:
5154,monotropa,Species,A,20604:17458:21482
5155,peglerae,Species,A,21482:20604:
5156,petrophila,Species,A,21482:20604:
5158,pruinosa,Species,A,21482:20604:
5159,reynoldsii,Species,A,21482:20604:
5160,soutpansbergensis,Species,A,20604:21482:
5162,thorncroftii,Species,A,2060421482
5163,vandermerwei,Species,A,20604:21482:
5164,vogtsii,Species,A,21482:20604:
5165,vossii,Species,A,20604:21482:22229:22229
5174,chamaeanthus,Species,A,20803:21492:
5219,saundersiae,Species,A,20604
5264,bifidum,Species,A,20604
5265,tricuspidatum,Species,A,20803
5266,vestitum,Species,A,20604:3774:
5269,corymbosa,Species,A,20803
5296,compacta,Species,A,20604
5329,galpinii,Species,A,20604:1442:
5330,longifolia,Species,A,20604:21442:
5331,micropetala,Species,A,20803:21442:
5332,neglecta,Species,A,20604:21442:
5333,ovalifolia,Species,A,20604:21442:
5334,pillansii,Species,A,20604:21442:
5335,salteri,Species,A,20604:21442:
5339,tenuicornis,Species,A,20604:21442:
5340,tysonii,Species,A,20604:21442:
5341,bodkinii,Species,A,20604
5343,woodii,Species,A,20604
5360,altensteinii,Species,A,20604:14695:
5361,arenarius,Species,A,20604
5362,caffer,Species,A,20604
5363,cupidus,Species,A,20604:17458:
5364,cycadifolius,Species,A,20604
5365,eugene-maraisii,Species,A,20604:20016:
5367,friderici-guilielmi,Species,A,20604:20016:
5368,ghellinckii,Species,A,20604:20016:
5370,horridus,Species,A,20604:20016:
5371,humilis,Species,A,20604:20016:
5372,inopinus,Species,A,20604:17458:
5374,lanatus,Species,A,20604:20016:
5375,latifrons,Species,A,20604:20016:
5376,lebomboensis,Species,A,20604:5914:
5377,lehmannii,Species,A,20604:20016:
5378,longifolius,Species,A,20604:15976:
5379,natalensis,Species,A,20604:20016:
5382,princeps,Species,A,20604:20016:
5383,transvenosus,Species,A,20604
5384,trispinosus,Species,A,20604
5385,villosus,Species,A,21488:5914:
5386,woodii,Species,A,20604:3774:
