"DscRecID","Full_citation","Authors","Year","Title","Source","Volume","Number","Publisher"
9227,"Rutkowski, L. 1982. Nowe stanowiska rzadszych roslin w okolicach Szczecinka. (New locations of rare vascular plants in the vicinity of Szczecinek.). _Biologia_ 24(53):107-116. Pol (Ge).","Rutkowski, L.",1982,"Nowe stanowiska rzadszych roslin w okolicach Szczecinka. (New locations of rare vascular plants in the vicinity of Szczecinek.)","_Biologia_",24,53,
9228,"Rathakrishnan, N.C. & R. Saran 1983. Notes on rare plants from Madhya Pradesh. _J. Bombay Nat. Hist. Soc._ 80(3):665-667. Nine taxa of flowering plants.","Rathakrishnan, N.C., R. Saran",1983,"Notes on rare plants from Madhya Pradesh.","_J. Bombay Nat. Hist. Soc._",80,3,
9229,"Starkey, E.E., J.F. Franklin & J.W. Matthews 1979. Ecological research in national parks of the Pacific Northwest. San Francisco, Conference on Scientific Research in the National Parks 1979. 142p. Illus., maps.","Starkey, E.E., J.F. Franklin, J.W. Matthews",1979,"Ecological research in national parks of the Pacific Northwest.",,,,"San Francisco, Conference on Scientific Research in the National Parks 1979. 142p."
9230,"Sergienko, V.G. 1983. [New and rare species for the north-western part of the Kirov region]. _Nov. Sistem. Vys. Rast. Akad. Nauk SSSR, Bot. Inst._ 20:201-202. Rus.","Sergienko, V.G.",1983,"[New and rare species for the north-western part of the Kirov region].","_Nov. Sistem. Vys. Rast. Akad. Nauk SSSR, Bot. Inst._",20,,
9231,"Schubart, H.O.R. 1982. Fundamentos ecologicos para o manejo florestal na Amazonia. (Ecological bases for forest management in the Amazon region.). _Silvicult. Sao Paulo_ 16A(2):713-731. Por. Illus. Conservation of forest resources.","Schubart, H.O.R.",1982,"Fundamentos ecologicos para o manejo florestal na Amazonia. (Ecological bases for forest management in the Amazon region.)","_Silvicult. Sao Paulo_","16A",2,
9232,"Stoddart, D.R. & S. Savy 1983. Aldabra: island of giant tortoises. _Ambio_ 12(3/4):180-185. Illus., maps.","Stoddart, D.R., S. Savy",1983,"Aldabra: island of giant tortoises.","_Ambio_",12,"03-Apr",
9234,"Steinlin, H. 1984. Forstwirtschaft und Naturschutz - Spannung oder Ausgleich. (Forestry and nature protection - tension or balance.). _Schweiz. Zeitschr. Forstw._ 135(2):81-98. Ge (Fr).","Steinlin, H.",1984,"Forstwirtschaft und Naturschutz - Spannung oder Ausgleich. (Forestry and nature protection - tension or balance.)","_Schweiz. Zeitschr. Forstw._",135,2,
9236,"Voliotis, D.T. 1982. Neue und seltene Arten (bzw. Unterarten) fÃ¼r die griechische Flora aus dem Voras-Gebirge. 5. (New and rare species (or subspecies) for the Greek flora from the Voras Mountains. 5.). _Bauhinia_ 7(3):155-166. Ge (En, Fr). Illus., maps.","Voliotis, D.T.",1982,"Neue und seltene Arten (bzw. Unterarten) fÃ¼r die griechische Flora aus dem Voras-Gebirge. 5. (New and rare species (or subspecies) for the Greek flora from the Voras Mountains. 5.)","_Bauhinia_",7,3,
9238,"Voloscuk, I. 1983. Starostlivost o chranene uzemia na lesnom podnom fonde. (Care of protected territories on forest land.). _Lesnicky Casopis_ 29(6):525-532. Slk (En). Illus.","Voloscuk, I.",1983,"Starostlivost o chranene uzemia na lesnom podnom fonde. (Care of protected territories on forest land.)","_Lesnicky Casopis_",29,6,
9239,"Voliotis, D.T. 1983. Neue und seltene Arten (bzw. Unterarten) fur die Griechische Flora aus dem Voras-Gebirge. 1. (New and rare species (or subspecies) for the Greek flora from the Voras Mountains. 1.). _Feddes Repert._ 94(7/8):575-589. Ge (En). Illus., maps.","Voliotis, D.T.",1983,"Neue und seltene Arten (bzw. Unterarten) fur die Griechische Flora aus dem Voras-Gebirge. 1. (New and rare species (or subspecies) for the Greek flora from the Voras Mountains. 1.)","_Feddes Repert._",94,"07-Aug",
9240,"Vavrysh, P.O. & V.H. Sobko 1984. [Rare population of _Cypripedium calceolus_ L. on the Volyn upland]. _Ukr. Bot. Zhurn._ 41(2):86-88. Uk (En, Rus). Illus., maps.","Vavrysh, P.O., V.H. Sobko",1984,"[Rare population of _Cypripedium calceolus_ L. on the Volyn upland].","_Ukr. Bot. Zhurn._",41,2,
9241,"Voskanyan, V.E., M.G. Arutiunian & A.G. Gukasian 1984. [State and conservation of carpet phytocoenoses with the domination of _Campanula tridentata_ Schreb. in the Armenian SSR]. _Biol. Zhurn. Armen._ 37(4):281-287. Rus (Arm, En).","Voskanyan, V.E., M.G. Arutiunian, A.G. Gukasian",1984,"[State and conservation of carpet phytocoenoses with the domination of _Campanula tridentata_ Schreb. in the Armenian SSR].","_Biol. Zhurn. Armen._",37,4,
9242,"White, C.P. 1982. Endangered and threatened wildlife of the Chesapeake Bay region. Centreville, Tidewater Publishers. 147 pp. Illus., maps, col. illus.","White, C.P.",1982,"Endangered and threatened wildlife of the Chesapeake Bay region.",,,,"Centreville, Tidewater Publishers"
9243,"Whateley, A. & R.N. Porter 1983. The woody vegetation communities of the Hluhluwe-Corridor-Umfolozi Game Reserve Complex. _Bothalia_ 14(3/4):745-758. (Fr). Maps. Presented at the AETFAT Symposium on the Origin, Evolution and Migration of African Floras, Pretoria, Jan. 19-23, 1982.","Whateley, A., R.N. Porter",1983,"The woody vegetation communities of the Hluhluwe-Corridor-Umfolozi Game Reserve Complex.","_Bothalia_",14,"03-Apr",
9244,"MuÃ±iz, O. & A. Borhidi 1982. CatÃ¡logo de las palmas de Cuba. _Acta Botanica Academiae Scientiarum Hungaricae_ 28(3-4):309-334.","MuÃ±iz, O., A. Borhidi",1982,"CatÃ¡logo de las palmas de Cuba.","_Acta Botanica Academiae Scientiarum Hungaricae_",28,"03-Apr",
9246,"Wentzel, K.F. 1983. Maximale SO2-Konzentrations - Werte zum Schutze der Walder. (Maximally allowable SO2 concentrations for protection of forests.). _Aquilo. Ser. Botanica_ 19(5):167-176. Ge (En). Illus. Literature review. Air quality standards, pollution.","Wentzel, K.F.",1983,"Maximale SO2-Konzentrations - Werte zum Schutze der Walder. (Maximally allowable SO2 concentrations for protection of forests.)","_Aquilo. Ser. Botanica_",19,5,
9247,"Williams, M. 1984. Predicting from inventories: a timely issue. _J. Forest Hist._ 28(2):92-98. Illus. Timber scarcity, history of forest conservation in U.S.","Williams, M.",1984,"Predicting from inventories: a timely issue.","_J. Forest Hist._",28,2,
9248,"Mudgal, V. & S.K. Jain 1982. _Coptis teeta_ Wall. - local uses, distribution and cultivation. _Bull. Bot. Surv. India_ 22:179-180. Illus. Medicinal.","Mudgal, V., S.K. Jain",1982,"_Coptis teeta_ Wall. - local uses, distribution and cultivation.","_Bull. Bot. Surv. India_",22,,
9249,"Joseph, J., N.R. Abbareddy & K. Haridasan (eds.) 1982. _Gastrodia exilis_ Hook., a rare and interesting orchid from Khasi and Jaintia Hills, Meghalaya. _Bull. Bot. Surv. India_ 22:203-205. Illus., map. (1980 publ. 1982).","Joseph, J., N.R. Abbareddy, K. Haridasan (eds.)",1982,"_Gastrodia exilis_ Hook., a rare and interesting orchid from Khasi and Jaintia Hills, Meghalaya.","_Bull. Bot. Surv. India_",22,,
9250,"Mohanan, M., A.N. Henry 1982. Rediscovery of three rare and endemic plants of India. _Bull. Bot. Surv. India_ 22:236-237. (1980 publ. 1982).","Mohanan, M., A.N. Henry",1982,"Rediscovery of three rare and endemic plants of India.","_Bull. Bot. Surv. India_",22,,
9251,"Das, S.N. & S.C. Roy 1984. A note on the occurrence of a few uncommon plants in W. Bengal. _J. Bombay Nat. Hist. Soc._ 81(2):518-520.","Das, S.N., S.C. Roy",1984,"A note on the occurrence of a few uncommon plants in W. Bengal.","_J. Bombay Nat. Hist. Soc._",81,2,
9253,"Abele, G. 1981. Krustkalnu Rezervata flora un vegetacija. (Vegetation and the flora of the Krustkalni Reserve.). _Mezsaimnieciba un Mezrupnieciba_ 1981(3):11-13. Latv (Rus).","Abele, G.",1981,"Krustkalnu Rezervata flora un vegetacija. (Vegetation and the flora of the Krustkalni Reserve.)","_Mezsaimnieciba un Mezrupnieciba_",1981,3,
9255,"Babaev, A.G. & K. Durdyev 1982. [Brief physical-geographic characteristics of the western Kopet Dagh]. _Priroda Zapadn. Kopetd._ 1982:7-19. Rus. Includes vegetation and conservation problems.","Babaev, A.G., K. Durdyev",1982,"[Brief physical-geographic characteristics of the western Kopet Dagh].","_Priroda Zapadn. Kopetd._",1982,,
9257,"Baur, G.N. (comp.) 1981. Forest preservation in State Forests of New South Wales. Sydney: Forestry Commission of New South Wales. 78 pp. Map.","Baur, G.N. (comp.)",1981,"Forest preservation in State Forests of New South Wales",,,,"Forestry Commission of New South Wales"
9258,"Benedict, N.B. 1983. Plant associations of subalpine meadows, Sequoia National Park. _Arctic and Alpine Research_ 15(3):383-396. Illus., maps.","Benedict, N.B.",1983,"Plant associations of subalpine meadows, Sequoia National Park.","_Arctic and Alpine Research_",15,3,
9259,"Berkutenko, A.N. & R.V. Kamelin 1975. Opredelitel' rastenii Repetekskogo Zapovednika. (Determining the plants of the Repetek Reserve.). Ashkabad, Ylym. 109p. Rus. Illus.","Berkutenko, A.N., R.V. Kamelin",1975,"Opredelitel' rastenii Repetekskogo Zapovednika. (Determining the plants of the Repetek Reserve.)",,,,"Ashkabad, Ylym. 109p."
9260,"Braun, G. 1982. Die ImmissionsgefÃ¤hrdung Bayerischer WÃ¤lder. (Endangering of Bavarian forests by industrial emmissions.). _Allgem. Forstzeit._ 37(15):446-447. Ge. Air pollution.","Braun, G.",1982,"Die ImmissionsgefÃ¤hrdung Bayerischer WÃ¤lder. (Endangering of Bavarian forests by industrial emmissions.)","_Allgem. Forstzeit._",37,15,
9261,"Brkic, D., L. Barbalic 1982. Rezultati istrazivanja o Prilagodavanju nekih vrsta ljekovitih biljaka na promjenjene ekoloske uvjete. (Adaptation of some medicinal plant species to changed ecological conditions.). _Sumarski List_ 106(11/12):463-470. Se (En).","Brkic, D., L. Barbalic",1982,"Rezultati istrazivanja o Prilagodavanju nekih vrsta ljekovitih biljaka na promjenjene ekoloske uvjete. (Adaptation of some medicinal plant species to changed ecological conditions.)","_Sumarski List_",106,"11-Dec",
9262,"Coetzee, B.J. 1983. Phytosociology, vegetation structure and landscapes of the Central District, Kruger National Park, South Africa. _Dissert. Bot._, 69: xxiii, 456p. Illus., map.","Coetzee, B.J.",1983,"Phytosociology, vegetation structure and landscapes of the Central District, Kruger National Park, South Africa.",,,,"_Dissert. Bot._, 69: xxiii, 456p."
9263,"Davis, R.C. (ed.) 1983. Encyclopedia of American forest and conservation history. New York: Collier Macmillan Publishers. 2 vols. 780 pp. Illus.","Davis, R.C. (ed.)",1983,"Encyclopedia of American forest and conservation history.",,,,"Collier Macmillan Publishers. 2 vols."
9264,"Dodson, J.R. 1982. Modern pollen rain and recent vegetation history on Lord Howe Island: evidence of human impact. _Rev. Palaeobot. Palynol._ 38(1/2):1-21. Illus., maps.","Dodson, J.R.",1982,"Modern pollen rain and recent vegetation history on Lord Howe Island: evidence of human impact.","_Rev. Palaeobot. Palynol._",38,"01-Feb",
9265,"Enabor, E.E. 1982. Economics of tropical forest resources conservation. _In_ Srivastava, P.B.L. _et al._ (eds.). Tropical forests: source of energy through optimisation and diversification. Proceedings International Forestry Seminar, 11-15 Nov. 1980, Serdang, Selangor, Malaysia. Kuala Lumpur: Forestry Dept. HQ.","Enabor, E.E.",1982,"Economics of tropical forest resources conservation.","_In_ Srivastava, P.B.L. _et al._ (eds.). Tropical forests: source of energy through optimisation and diversification. Proceedings International Forestry Seminar, 11-15 Nov. 1980, Serdang, Selangor, Malaysia.",,,"Forestry Dept. HQ"
9266,"Ewald, K. 1982. Naturschutz und Forstwirtschaft. (Nature protection and forest management.). _J. Forest. Suisse_ 133(1):29-36. Ge (Fr). Illus.","Ewald, K.",1982,"Naturschutz und Forstwirtschaft. (Nature protection and forest management.)","_J. Forest. Suisse_",133,1,
9267,"Fet, V.I., G.L. Kamakhina 1982. [Vegetation of western Kopet Dagh]. _Priroda Zapadnogo Kopetdaga_ 1:32-37. Rus. Conservation problems.","Fet, V.I., G.L. Kamakhina",1982,"[Vegetation of western Kopet Dagh].","_Priroda Zapadnogo Kopetdaga_",1,,
9268,"Borhidi, A., O. MuÃ±iz 1985. Adiciones al catÃ¡logo de las palmas de Cuba. _Acta Bot. Hungarica_ 31(1-4):225-230.","Borhidi, A., O. MuÃ±iz",1985,"Adiciones al catÃ¡logo de las palmas de Cuba.","_Acta Bot. Hungarica_",31,"01-Apr",
9269,"Foster, R.B. & N.V.L. Brokaw 1982. Structure and history of the vegetation of Barro Colorado Island (semideciduous forest, Panama). _In_ Leigh, E.G., _jr_, Rand, A.S., Windsor, D.M. (eds.). The ecology of a tropical forest: seasonal rhythms and long-term changes. Washington, D.C., Smithsonian Institution Press. 67-81. Illus., maps.","Foster, R.B., N.V.L. Brokaw",1982,"Structure and history of the vegetation of Barro Colorado Island (semideciduous forest, Panama).","_In_ Leigh, E.G., _jr_, Rand, A.S., Windsor, D.M. (eds.). The ecology of a tropical forest: seasonal rhythms and long-term changes. Washington, D.C., Smithsonian Institution Press. 67-81.",,,
9270,"Manilal, K.S., C.S. Kumar 1984. A new species of _Oberonia_ (Orchidaceae) from India. _Kew Bull._ 39(1):121-122. Illus.","Manilal, K.S., C.S. Kumar",1984,"A new species of _Oberonia_ (Orchidaceae) from India.","_Kew Bull._",39,1,
9271,"Das, S.N. & S.C. Roy 1984. Two noteworthy plants from West Bengal. _J. Bombay Nat. Hist. Soc._ 81(1):234-235.","Das, S.N., S.C. Roy",1984,"Two noteworthy plants from West Bengal.","_J. Bombay Nat. Hist. Soc._",81,1,
9272,"Holttum, R.E. 1964. A revised Flora of Malaya. Singapore: Gov't Printer. 3 vols. Vol. 1 - Orchids of Malaya; Vol. 2 - Ferns of Malaya; Vol. 3 - Grasses of Malaya, by H.B. Gilliland.","Holttum, R.E.",1964,"A revised Flora of Malaya",,,,"Gov't Printer"
9273,"Leigh, E.G., A.S. Rand, D.M. Windsor (eds.) 1982. The ecology of a tropical forest: seasonal rhythms and long term changes. Wasington, DC: Smithsonian Institution Press. Illus., maps.","Leigh, E.G., A.S. Rand, D.M. Windsor (eds.)",1982,"The ecology of a tropical forest: seasonal rhythms and long term changes.",,,,"Smithsonian Institution Press"
9274,"Franklin, J.F. 1982. Ecosystem studies in the Hoh River drainage, Olympic National Park. _In_ Starkey, E., Franklin, J., Matthews, J. (eds.). Ecological research in the national parks of the Pacific NW. Proc. 2nd Conf. on Scientific Research in the National Parks, San Francisco, Calif., Nov. 1979. Illus., maps.","Franklin, J.F.",1982,"Ecosystem studies in the Hoh River drainage, Olympic National Park.","_In_ Starkey, E., Franklin, J., Matthews, J. (eds.). Ecological research in the national parks of the Pacific NW. Proc. 2nd Conf. on Scientific Research in the National Parks, San Francisco, Calif., Nov. 1979.",,,
9275,"Graber, R.E. & G.E. Crow 1982. Hiker traffic on and near the habitat of Robbins cinquefoil, an endangered plant species. _Bull. New Hampshire Agric. Exper. Stat._ 1982(522):10. Illus. _Potentilla robbinsiana_, in the White Mountains of New Hampshire.","Graber, R.E., G.E. Crow",1982,"Hiker traffic on and near the habitat of Robbins cinquefoil, an endangered plant species.","_Bull. New Hampshire Agric. Exper. Stat._",1982,522,
9276,"Gudkova, E.P., E.M. Seifullin & P.M. Chopanov 1982. [Conspects of the flora of the Western Kopet Dagh]. _Prirod. Zapadn. Kopetdaga_ 1982:38-119. Rus. Conservation problems.","Gudkova, E.P., E.M. Seifullin, P.M. Chopanov",1982,"[Conspects of the flora of the Western Kopet Dagh].","_Prirod. Zapadn. Kopetdaga_",1982,,
9279,"Bhat, K.G., M.S. Dinesh, C.R. Nagendran 1984. _Euphorbia tortilis_ Rottl. ex Wight - a new record for Karnataka. _J. Bombay Nat. Hist. Soc._ 81(1):733-734. Illus.","Bhat, K.G., M.S. Dinesh, C.R. Nagendran",1984,"_Euphorbia tortilis_ Rottl. ex Wight - a new record for Karnataka.","_J. Bombay Nat. Hist. Soc._",81,1,
9280,"Parris, B.S. 1986. Grammitidaceae of Peninsular Malaysia and Singapore. _Kew Bulletin_ 41(3):491-517.","Parris, B.S.",1986,"Grammitidaceae of Peninsular Malaysia and Singapore.","_Kew Bulletin_",41,3,
9281,"Croxall, J.P. 1986. _Microgonium_ (Hymenophyllaceae) in Malesia, with special reference to Peninsular Malaysia. _Kew Bulletin_ 41(3):519-531. Illus.","Croxall, J.P.",1986,"_Microgonium_ (Hymenophyllaceae) in Malesia, with special reference to Peninsular Malaysia.","_Kew Bulletin_",41,3,
9282,"Holttum, R.E. 1986. A new tree-fern in northern Queensland. _Kew Bulletin_ 41(3):532.","Holttum, R.E.",1986,"A new tree-fern in northern Queensland.","_Kew Bulletin_",41,3,
9283,"Jermy, A.C. 1986. Two new _Selaginella_ species from Gunung Mulu National Park, Sarawak. _Kew Bulletin_ 41(3):547-559. Illus.","Jermy, A.C.",1986,"Two new _Selaginella_ species from Gunung Mulu National Park, Sarawak.","_Kew Bulletin_",41,3,
9284,"Steenis, C.G.G.J. 1986. An interesting new species of _Nothofagus_ from New Guinea (Fagaceae). _Kew Bulletin_ 41(3):732.","Steenis, C.G.G.J.",1986,"An interesting new species of _Nothofagus_ from New Guinea (Fagaceae).","_Kew Bulletin_",41,3,
9285,"Paiva, J. & R.K. Brummitt 1986. A new species of _Polygala_ (Polygalaceae) from the Nyika Plateau (Malawi). _Anales Jardin Botanico de Madrid_ 43(1):21-24.","Paiva, J., R.K. Brummitt",1986,"A new species of _Polygala_ (Polygalaceae) from the Nyika Plateau (Malawi).","_Anales Jardin Botanico de Madrid_",43,1,
9287,"Hall, J.B. 1983. Positive management for strict natural reserves: reviewing effectiveness. _Forest Ecol. Manage._ 7(1):57-66. Forestry conservation.","Hall, J.B.",1983,"Positive management for strict natural reserves: reviewing effectiveness.","_Forest Ecol. Manage._",7,1,
9288,"Hatakeyama, S. 1981. Provenances of Sakhalin fir in conservation of gene resource in Japan. _In_ XVII IUFRO World Congress, Japan 1981, International Union of Forest Research Organizations, Japanese IUFRO Congress Council. 125-128.","Hatakeyama, S.",1981,"Provenances of Sakhalin fir in conservation of gene resource in Japan.","_In_ XVII IUFRO World Congress, Japan 1981, International Union of Forest Research Organizations, Japanese IUFRO Congress Council. 125-128.",,,
9289,"Havlickova, J. & J. Rydlo 1982. Ohrozena lokalita _Dactylorhiza incarnata_ ve Strednim Polabi. (An endangered locality of _Dactylorhiza incarnata_ in Central Elbe Lowland (Central Bohemia.). _Zprav. Cesk. Bot. Spol._ 17(2):142-144. Cz (En).","Havlickova, J., J. Rydlo",1982,"Ohrozena lokalita _Dactylorhiza incarnata_ ve Strednim Polabi. (An endangered locality of _Dactylorhiza incarnata_ in Central Elbe Lowland (Central Bohemia.)","_Zprav. Cesk. Bot. Spol._",17,2,
9290,"Hemstrom, M.A. & J.F. Franklin 1982. Fire and other disturbances of the forests in Mount Rainier National Park. _Quaternary Research_ 18(1):32-51. Illus., maps.","Hemstrom, M.A., J.F. Franklin",1982,"Fire and other disturbances of the forests in Mount Rainier National Park.","_Quaternary Research_",18,1,
9291,"Heydemann, B. 1980. Bedeutung der Arten fÃ¼r Ã–kosysteme als Grundlage des Ã–kosystemschutzes. (Importance of species for ecosystems as basis for ecosystem protection.). _In_ Riedel, W. (ed.). Schutz von Flora und Fauna und ihrer naturlichen Lebensraume. Sankelmark, Akademie Sankelmark. 9-48. Ge. Illus. National parks.","Heydemann, B.",1980,"Bedeutung der Arten fÃ¼r Ã–kosysteme als Grundlage des Ã–kosystemschutzes. (Importance of species for ecosystems as basis for ecosystem protection.)","_In_ Riedel, W. (ed.). Schutz von Flora und Fauna und ihrer naturlichen Lebensraume. Sankelmark, Akademie Sankelmark. 9-48.",,,
9292,"Hilts, L. 1980. National forest guide. Chicago, Rand McNally. 218p. Illus., maps. National parks and reserves, forest reserves.","Hilts, L.",1980,"National forest guide.",,,,"Chicago, Rand McNally. 218p."
9293,"Hopper, S.D., N.A. Campbell, G.R. Moran 1981. _Eucalyptus caesia_, a rare mallee of granite rocks from south-western Australia. _In_ Groves, R.H. (ed.). Species at risk research in Australia. Proc., Symp. on biology of rare and endangered species in Australia, Canberra, 25-26 Nov. 1981. Berlin, Springer Verlag. 46-61. Illus., maps. Conservation, geographic distribution, taxonomy.","Hopper, S.D., N.A. Campbell, G.R. Moran",1981,"_Eucalyptus caesia_, a rare mallee of granite rocks from south-western Australia.","_In_ Groves, R.H. (ed.). Species at risk research in Australia. Proc., Symp. on biology of rare and endangered species in Australia, Canberra, 25-26 Nov. 1981. Berlin, Springer Verlag. 46-61.",,,
9294,"Horning, D.S. & A.D. Mitchell 1982. Relative resistance of Australian native plants to fluoride. pp. 157-176 _In_ Murray, F. (ed.). Fluoride emissions: their monitoring and effects on vegetation and ecosystems. New York: Academic Press.","Horning, D.S., A.D. Mitchell",1982,"Relative resistance of Australian native plants to fluoride.","_In_ Murray, F. (ed.). Fluoride emissions: their monitoring and effects on vegetation and ecosystems",,,"Academic Press"
9295,"Inselberg, A.E., K. Klinka & C. Ray 1982. Ecosystems of MacMillan Park on Vancouver Island. Victoria, B.C., Ministry of Forests, Land Management Report. 113p. Illus.","Inselberg, A.E., K. Klinka, C. Ray",1982,"Ecosystems of MacMillan Park on Vancouver Island.",,,,"Victoria, B.C., Ministry of Forests, Land Management Report. 113p."
9296,"Karmysheva, N.K. 1973. Flora i rastitel'nost' zapovednika Aksu-Dzhabagly: (Talasskii Alatau). (Flora and vegetation of the Aksu-Dzhabagly Nature Reservation: Talasskii Alatau.). Alma-Ata, Nauka. 176p. Rus. Illus., maps.","Karmysheva, N.K.",1973,"Flora i rastitel'nost' zapovednika Aksu-Dzhabagly: (Talasskii Alatau). (Flora and vegetation of the Aksu-Dzhabagly Nature Reservation: Talasskii Alatau.)",,,,"Alma-Ata, Nauka. 176p."
9298,"Pardue, J.W., R.J. Olson & R.L. Burgess 1981. Locating critical natural features information for environmental planning. _In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 69-75. Refers to work at the Oak Ridge National Laboratory, Tennessee.","Pardue, J.W., R.J. Olson, R.L. Burgess",1981,"Locating critical natural features information for environmental planning.","_In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 69-75.",,,
9299,"Siddall, J.L. 1981. The role of the volunteer in gathering rare plant information. _In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 95-102. Refers to work in compiling the Oregon threatened plant list.","Siddall, J.L.",1981,"The role of the volunteer in gathering rare plant information.","_In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 95-102.",,,
9300,"Countryman, W.D., J.J. Dowhan, L.E. Morse 1981. Regional coordination of rare plant information synthesis by the New England Botanical Club. _In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 123-131.","Countryman, W.D., J.J. Dowhan, L.E. Morse",1981,"Regional coordination of rare plant information synthesis by the New England Botanical Club.","_In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 123-131.",,,
9301,"Moyseenko, H.P. 1981. Limiting factors and pitfalls of environmental data management: some considerations in developing the information system for the State Natural Heritage Programs. _In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 237-253. The work of The Nature Conservancy.","Moyseenko, H.P.",1981,"Limiting factors and pitfalls of environmental data management: some considerations in developing the information system for the State Natural Heritage Programs.","_In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 237-253.",,,
9302,"U.S. Department of the Interior. Fish and Wildlife Service 1981. The 1978 and 1979 amendments to the Endangered Species Act: a discussion. _In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 313-365. Includes the full text of the Act. Reprinted from _Endangered Species Technical Bulletin_, October 1978 and January 1980.","U.S. Department of the Interior. Fish and Wildlife Service",1981,"The 1978 and 1979 amendments to the Endangered Species Act: a discussion.","_In_ Morse, L.E., Henifin, M.S. (eds.). Rare plant conservation: geographical data organization. New York, New York Botanical Garden. 313-365.",,,
9303,"Kharkevich, S.S. & N.N. Kachura 1981. Redkie vidy rastenii Sovetskogo dal'nego vostoka i ikh okhrana. [Rare plant varieties of the Soviet Far East and their conservation]. Academy of Sciences: Moscow, USSR. 230 pp. Illus., maps.","Kharkevich, S.S., N.N. Kachura",1981,"Redkie vidy rastenii Sovetskogo dal'nego vostoka i ikh okhrana",,,,"Moscow, USSR"
9308,"Lee, N. 1982. Atmospheric emissions, legislation and monitoring at the Comalco Bay Bell Smelter. _In_ Murray, F. (ed.). Fluoride emissions: their monitoring and effects on vegetation and ecosystems. Sydney, Academic Press. 31-44. Illus., vegetation survey.","Lee, N.",1982,"Atmospheric emissions, legislation and monitoring at the Comalco Bay Bell Smelter.","_In_ Murray, F. (ed.). Fluoride emissions: their monitoring and effects on vegetation and ecosystems. Sydney, Academic Press. 31-44.",,,
9309,"Litvincika, L. & E. Ruzane 1981. Floristiskie petijumi Peterezera Viga. (Floristic studies of the area around Peterezera Lake.). _Mezsaimnieciba un Mezrupnieciba_ 1981(3):21-23. Latv (Rus). Sliteres Reserve.","Litvincika, L., E. Ruzane",1981,"Floristiskie petijumi Peterezera Viga. (Floristic studies of the area around Peterezera Lake.)","_Mezsaimnieciba un Mezrupnieciba_",1981,3,
9311,"Luca, P., S. Sabato & T.M. Vazquez 1982. Distribution and variation of _Dioon edule_ (Zamiaceae). _Brittonia_ 34(3):355-362. Illus., map.","Luca, P., S. Sabato, T.M. Vazquez",1982,"Distribution and variation of _Dioon edule_ (Zamiaceae).","_Brittonia_",34,3,
9312,"MacLean, D.C. 1982. Vegetation surveys to evaluate fluoride effects on plants. _In_ Murray, F. (ed.). Fluoride emmissions: their monitoring and effects on vegetation and ecosystems. Sydney, Academic Press. 153-156. Pollution.","MacLean, D.C.",1982,"Vegetation surveys to evaluate fluoride effects on plants.","_In_ Murray, F. (ed.). Fluoride emmissions: their monitoring and effects on vegetation and ecosystems. Sydney, Academic Press. 153-156.",,,
9313,"Malhotra, S.K. & K.M. Rao 1982. The vegetation of Nawegaon National Park and its environs (Maharashtra). _Bull. Bot. Surv. India_ 22(1-4):1-11.","Malhotra, S.K., K.M. Rao",1982,"The vegetation of Nawegaon National Park and its environs (Maharashtra).","_Bull. Bot. Surv. India_",22,"01-Apr",
9314,"Merino, J. & V.A. Martin 1981. Biomass, productivity and succession in the scrub of the Donana Biological Reserve in southwest Spain. _Tasks for Vegetation Science_ 4:197-203.","Merino, J., V.A. Martin",1981,"Biomass, productivity and succession in the scrub of the Donana Biological Reserve in southwest Spain.","_Tasks for Vegetation Science_",4,,
9315,"Mohanan, M., A.N. Henry, N.C. Nair 1982. Some rare and fast disappearing plants discovered in Trivandrum District, Kerala. _Bull. Bot. Surv. India_ 22(1-4):105-108. (1980 publ. 1982).","Mohanan, M., A.N. Henry, N.C. Nair",1982,"Some rare and fast disappearing plants discovered in Trivandrum District, Kerala.","_Bull. Bot. Surv. India_",22,"01-Apr",
9316,"Muller, W. 1979. Bedeutung, Schutz und Plfege von Hecken. (Significance, protection and care of hedges.). Birmensdorf, Schweizerisches Landeskomitee fÃ¼r Vogelschutz. 12p. Ge. Illus.","Muller, W.",1979,"Bedeutung, Schutz und Plfege von Hecken. (Significance, protection and care of hedges.)",,,,"Birmensdorf, Schweizerisches Landeskomitee fÃ¼r Vogelschutz. 12p."
