"DscRecID","Full_citation","Authors","Year","Title","Source","Volume","Number","Publisher"
1085,"Barton, L. 1982. _Dendrobium falcorostrum_ and logging. _Orchadian_ 7(5):106.","Barton, L.",1982,"_Dendrobium falcorostrum_ and logging.","_Orchadian_",7,5,
1086,"Anon. 1983. Woodman spare thy axe. _Trees S. Afr._ 33(4):102-103.","Anon.",1983,"Woodman spare thy axe.","_Trees S. Afr._",33,4,
1098,"van Dijk, G. 1981. Het beheer in een aantal Zuidzweedse natuurterreinen, grotendeels botanische reservaten. _Levende Nat_. 83(4):159-168. Du; illus.","van Dijk, G.",1981,"Het beheer in een aantal Zuidzweedse natuurterreinen, grotendeels botanische reservaten.","_Levende Nat_.",83,4,
1112,"Griggs, T. 1981. The green gene banks of Asia. _Asia 2000_ (Hong Kong) 1(3):24-27.","Griggs, T.",1981,"The green gene banks of Asia.","_Asia 2000_ (Hong Kong)",1,3,
1192,"Benson, L. 1982. The cacti of the United States and Canada. Stanford, California: Stanford University Press. ix, 1044 pp. Illus., col. illus., maps, keys. Includes conservation, pp. 242-247.","Benson, L.",1982,"The cacti of the United States and Canada.",,,,"Stanford University Press"
1229,"McAlpine, D.K. 1982. Saving the Illawarra greenhood. _Orchadian_ 7(4):75. Illus.","McAlpine, D.K.",1982,"Saving the Illawarra greenhood.","_Orchadian_",7,4,
1267,"Blacksell, M. 1982. The spirit and purpose of national parks in Britain. _Parks_ 6(4):14-17. Illus.","Blacksell, M.",1982,"The spirit and purpose of national parks in Britain.","_Parks_",6,4,
1337,"Cowan, McT. 1973. Vanishing species: habitat change and reconciling conflict. _In_ IUCN. Twelfth technical meeting, Banff, Alberta, Canada, 12-15 September 1972. 321-333.","Cowan, McT.",1973,"Vanishing species: habitat change and reconciling conflict.","_In_ IUCN. Twelfth technical meeting, Banff, Alberta, Canada, 12-15 September 1972. 321-333.",,,
1338,"Cragg, J.B. 1968. The theory and practice of conservation. _In_ IUCN Commission on Ecology. Proceedings of technical meeting, Ankara-Bursa-Istanbul, 9-16 October 1967. 25-35.","Cragg, J.B.",1968,"The theory and practice of conservation.","_In_ IUCN Commission on Ecology. Proceedings of technical meeting, Ankara-Bursa-Istanbul, 9-16 October 1967. 25-35.",,,
1340,"Dasmann, R.F. 1973. Reconciling conservation and development in the coastal zone. _In_ Costin, A.B., Groves, A.K. (eds.). Nature conservation in the Pacific. Proc. Symposium A-10, XII Pacific Science Congress, Canberra, August-September 1971. IUCN and Australian Nat. Univ. Press. 285-297.","Dasmann, R.F.",1973,"Reconciling conservation and development in the coastal zone.","_In_ Costin, A.B., Groves, A.K. (eds.). Nature conservation in the Pacific. Proc. Symposium A-10, XII Pacific Science Congress, Canberra, August-September 1971. IUCN and Australian Nat. Univ. Press. 285-297.",,,
1341,"Davis, A.M. & T.F. Glick 1978. Urban ecosystems and island biogeography. _Envir. Conserv._ 5(4):299-305. Illus.","Davis, A.M., T.F. Glick",1978,"Urban ecosystems and island biogeography.","_Envir. Conserv._",5,4,
1343,"Eckholm, E.P. 1976. Losing ground: environmental stress and world food prospects. Oxford, Pergamon Press. 223p. Soil erosion.","Eckholm, E.P.",1976,"Losing ground: environmental stress and world food prospects.",,,,"Oxford, Pergamon Press. 223p."
1344,"Eidsvik, H.K. 1978. The park planning process. _Tigerpaper_ 5(4):3-8.","Eidsvik, H.K.",1978,"The park planning process.","_Tigerpaper_",5,4,
1347,"Glass, C., R. Foster 1978. Propagation of succulents and the new conservation laws. _Pac. Hort._ 39(4):3-6. Illus.","Glass, C., R. Foster",1978,"Propagation of succulents and the new conservation laws.","_Pac. Hort._",39,4,
