Species RecID,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
5334,Species,Country,ZA,20803,CITES_EU
5335,Species,Country,ZA,20604,CITES_EU
5339,Species,Country,ZA,20604,CITES_EU
5339,Species,Country,ZA,20803,CITES_EU
5340,Species,Country,LS,20604,CITES_EU
5340,Species,Country,ZA,,CITES_EU
5340,Species,Country,ZA,20604,CITES_EU
5341,Species,Country,ZA,20604,CITES_EU
5343,Species,Country,ZA,20604,CITES_EU
5360,Species,Country,ZA,20604,CITES_EU
5361,Species,Country,ZA,20604,CITES_EU
5362,Species,Country,ZA,20604,CITES_EU
5363,Species,Country,ZA,20604,CITES_EU
5363,Species,Country,ZA,20807,CITES_EU
5364,Species,Country,ZA,20604,CITES_EU
5365,Species,Country,ZA,20604,CITES_EU
5367,Species,Country,ZA,20604,CITES_EU
5368,Species,Country,ZA,20604,CITES_EU
5370,Species,Country,ZA,20604,CITES_EU
5371,Species,Country,ZA,20604,CITES_EU
5372,Species,Country,ZA,20604,CITES_EU
5374,Species,Country,ZA,20604,CITES_EU
5375,Species,Country,ZA,20604,CITES_EU
5376,Species,Country,MZ,20604,CITES_EU
5376,Species,Country,MZ,20745,CITES_EU
5376,Species,Country,SZ,20604,CITES_EU
5376,Species,Country,ZA,20604,CITES_EU
5377,Species,Country,ZA,20604,CITES_EU
5378,Species,Country,ZA,21500,CITES_EU
5379,Species,Country,ZA,20604,CITES_EU
5382,Species,Country,ZA,20604,CITES_EU
5383,Species,Country,ZA,20604,CITES_EU
5384,Species,Country,ZA,20604,CITES_EU
5385,Species,Country,SZ,20039,CITES_EU
5385,Species,Country,SZ,5914,CITES_EU
5385,Species,Country,ZA,20016,CITES_EU
5386,Species,Country,ZA,20604,CITES_EU
5451,Species,Country,NA,,CITES_EU
5452,Species,Country,ZA,20604,CITES_EU
5453,Species,Country,ZA,20604,CITES_EU
5454,Species,Country,BW,20604,CITES_EU
5454,Species,Country,NA,20604,CITES_EU
5456,Species,Country,NA,,CITES_EU
5457,Species,Country,ZA,20604,CITES_EU
5458,Species,Country,ZA,20604,CITES_EU
5458,Species,Country,ZA,20803,CITES_EU
5459,Species,Country,ZA,20604,CITES_EU
5460,Species,Country,ZA,20604,CITES_EU
5460,Species,Country,ZA,20803,CITES_EU
5461,Species,Country,ZA,20604,CITES_EU
5461,Species,Country,ZA,20803,CITES_EU
5463,Species,Country,ZA,20604,CITES_EU
5464,Species,Country,ZA,20604,CITES_EU
5465,Species,Country,ZA,20604,CITES_EU
5466,Species,Country,ZA,20604,CITES_EU
5467,Species,Country,ZA,20604,CITES_EU
5468,Species,Country,ZA,20604,CITES_EU
5469,Species,Country,SZ,20604,CITES_EU
5469,Species,Country,ZA,20604,CITES_EU
5470,Species,Country,ZA,20604,CITES_EU
5471,Species,Country,ZA,20604,CITES_EU
5472,Species,Country,ZA,20604,CITES_EU
5473,Species,Country,ZA,20604,CITES_EU
5474,Species,Country,ZA,20604,CITES_EU
5475,Species,Country,ZA,20604,CITES_EU
5476,Species,Country,ZA,20604,CITES_EU
5477,Species,Country,ZA,20604,CITES_EU
5603,Species,Country,ZA,20604,CITES_EU
5610,Species,Country,ZA,20604,CITES_EU
5762,Species,Country,ZA,20604,CITES_EU
5763,Species,Country,ZA,20604,CITES_EU
5764,Species,Country,ZA,20604,CITES_EU
5765,Species,Country,ZA,20604,CITES_EU
5797,Species,Country,SZ,20039,CITES_EU
5797,Species,Country,ZA,,CITES_EU
5797,Species,Country,ZA,20039,CITES_EU
5823,Species,Country,ZA,20604,CITES_EU
5831,Species,Country,ZA,20604,CITES_EU
5853,Species,Country,ZA,20604,CITES_EU
5894,Species,Country,ZA,20604,CITES_EU
5967,Species,Country,ZA,20604,CITES_EU
5969,Species,Country,ZA,20604,CITES_EU
5972,Species,Country,ZA,,CITES_EU
5972,Species,Country,ZA,20604,CITES_EU
5975,Species,Country,ZA,20604,CITES_EU
6052,Species,Country,ZA,20803,CITES_EU
6212,Species,Country,CN,21853,CITES_EU
6212,Species,Country,FJ,21853,CITES_EU
6212,Species,Country,IN,21853,CITES_EU
6212,Species,Country,NP,21853,CITES_EU
6212,Species,Country,SB,21853,CITES_EU
7219,Species,Country,CN,,CITES_EU
7219,Species,Country,CN,10268,CITES_EU
7219,Species,Territory,HK,10285,CITES_EU
7219,Species,Country,IN,,CITES_EU
7219,Species,Country,IN,10235,CITES_EU
7219,Species,Country,MM,,CITES_EU
7219,Species,Country,MM,10236,CITES_EU
7219,Species,Country,NP,,CITES_EU
7219,Species,Country,NP,9997,CITES_EU
7219,Species,Country,PK,,CITES_EU
7219,Species,Country,PK,8754,CITES_EU
7219,Species,Country,TH,,CITES_EU
7219,Species,Country,TH,10235,CITES_EU
7219,Species,Country,VN,,CITES_EU
7219,Species,Country,VN,8754,CITES_EU
7428,Species,Country,BW,22195,CITES_EU
7428,Species,Country,ZA,22195,CITES_EU
7428,Species,Country,ZW,21420,CITES_EU
7473,Species,Country,GR,17672,CITES_EU
