Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
Aeranthus,Genus,25,Family,4,A,,,CITES_EU
Aerides,Genus,26,Family,4,A,Lour.,,CITES_EU
Agave,Genus,29,Family,20,A,L.,,CITES_EU
Agrostophyllum,Genus,31,Family,4,A,Blume,,CITES_EU
Alamania,Genus,32,Family,4,A,Lex.,,CITES_EU
Albizia,Genus,33,Family,19,A,Durazz.,,CITES_EU
Allochilus,Genus,34,Family,4,A,Gagnep.,,CITES_EU
Alluaudia,Genus,35,Family,21,A,Drake,,CITES_EU
Alluaudiopsis,Genus,36,Family,21,A,Humbert & Choux,,CITES_EU
Alocasia,Genus,37,Family,9,A,(Schott) G. Don,,CITES_EU
Aloe,Genus,38,Family,6,A,L.,,CITES_EU
Alsophila,Genus,39,Family,1,A,R. Br.,,CITES_EU
Amblostoma,Genus,41,Family,4,A,Scheidw.,,CITES_EU
Amesiella,Genus,44,Family,4,A,Schlechter ex Garay,,CITES_EU
Amitostigma,Genus,45,Family,4,A,Schlechter,,CITES_EU
Ammopiptanthus,Genus,46,Family,19,A,S.H. Cheng,,CITES_EU
Amparoa,Genus,47,Family,4,A,Schlechter,,CITES_EU
Anacampseros,Genus,48,Family,22,A,L.,,CITES_EU
Anacamptis,Genus,49,Family,4,A,Rich.,,CITES_EU
Ancistrorhynchus,Genus,52,Family,4,A,Finet,,CITES_EU
Androcorys,Genus,54,Family,4,A,Schlechter,,CITES_EU
Angraecopsis,Genus,55,Family,4,A,Kraenzl.,,CITES_EU
Angraecum,Genus,56,Family,4,A,Bory,,CITES_EU
Anguloa,Genus,57,Family,4,A,Ruiz & Pav.,,CITES_EU
Ania,Genus,58,Family,4,A,Lindl.,,CITES_EU
Aniba,Genus,59,Family,23,A,Aubl.,,CITES_EU
Anigozanthos,Genus,60,Family,24,A,Labill.,,CITES_EU
Anneliesia,Genus,61,Family,4,A,Brieger & Luckel,,CITES_EU
Anoectochilus,Genus,62,Family,4,A,Blume,,CITES_EU
Ansellia,Genus,63,Family,4,A,Lindl.,,CITES_EU
Apatostelis,Genus,68,Family,4,A,Garay,,CITES_EU
Aphyllorchis,Genus,69,Family,4,A,Blume,,CITES_EU
Aplectrum,Genus,70,Family,4,A,(Nutt.) Torr.,,CITES_EU
Apostasia,Genus,72,Family,4,A,Blume,,CITES_EU
Appendicula,Genus,73,Family,4,A,Blume,,CITES_EU
Aquilaria,Genus,74,Family,2,A,Lam.,,CITES_EU
Arachnis,Genus,76,Family,4,A,Blume,,CITES_EU
Araucaria,Genus,77,Family,25,A,Juss.,,CITES_EU
Archineottia,Genus,78,Family,4,A,S.C. Chen,,CITES_EU
Arctostaphylos,Genus,79,Family,26,A,Adans.,,CITES_EU
Areca,Genus,80,Family,27,A,L.,,CITES_EU
Ariocarpus,Genus,82,Family,3,A,Scheidw.,,CITES_EU
Arisaema,Genus,83,Family,9,A,Mart.,,CITES_EU
Armatocereus,Genus,84,Family,3,A,Backeb.,,CITES_EU
Armodorum,Genus,85,Family,4,A,Breda,,CITES_EU
