SpcRecID,Scientific name,Rank,Accepted RecID,Accepted rank,Status,RefRecIDs
35377,sargentianum,SPECIES,12457,Species,S,21440
35378,sargentianum,SPECIES,12457,Species,S,21440
19714,binoti,SPECIES,12459,Species,S,21440
20204,paulistanum,SPECIES,12459,Species,S,21440
35381,vittatum,SPECIES,12459,Species,S,21440
35382,vittatum,SPECIES,12459,Species,S,21440
35383,paulistanum,SPECIES,12459,Species,S,21440
35384,vittatum,SPECIES,12459,Species,S,21440
35387,wallisii,SPECIES,12460,Species,S,21440
35646,taltalensis,SPECIES,12461,Species,S,21437
35647,taltalensis,SPECIES,12461,Species,S,21437
35654,neofusca,SPECIES,12461,Species,S,21437
82651,taltalensis,SPECIES,12461,Species,S,21437
20099,lindleyanum,SPECIES,12462,Species,S,21440
35364,lindleyanum,SPECIES,12462,Species,S,21440
35365,lindleyanum,SPECIES,12462,Species,S,21440
20335,schlimii,SPECIES,12463,Species,S,21440
35379,schlimii,SPECIES,12463,Species,S,21440
35380,schlimii,SPECIES,12463,Species,S,21440
20052,klotzschianum,SPECIES,12464,Species,S,21440
20401,schomburgkianum,SPECIES,12464,Species,S,21440
35354,klotzschianum,SPECIES,12464,Species,S,21440
35355,klotzschianum,SPECIES,12464,Species,S,21440
35356,schomburgkianum,SPECIES,12464,Species,S,21440
12539,spatella,SPECIES,12467,Species,S,21442
180726,acinaciforme,SPECIES,12467,Species,S,21442
180727,banaense,SPECIES,12467,Species,S,21442
180728,serra,SPECIES,12467,Species,S,21442
180729,acinaciformis,SPECIES,12467,Species,S,21442
180730,spatella,SPECIES,12467,Species,S,21442
180731,banaense,SPECIES,12467,Species,S,21442
180771,amoena,SPECIES,12470,Species,S,21442
