Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation
halmaheirense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
hamadryas,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
hastilabium,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
hellerianum,SPECIES,,GENUS,13382,A,A.D.Hawkes,,CITES_EU
hepaticum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
herpetophytum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
heterobulbum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
heteroglossum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
heteroideum,SPECIES,,GENUS,13382,A,Blume,,CITES_EU
hippocrepiferum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
hirtulum,SPECIES,,GENUS,13382,A,Rolfe,,CITES_EU
hispidum,SPECIES,,GENUS,13382,A,A.Rich.,,CITES_EU
histrionicum,SPECIES,,GENUS,13382,A,(Rchb.f.) Schltr.,,CITES_EU
hollandianum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
holochilum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
homochromum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
homoglossum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
horstii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
humboldtense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
humicolle,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
huttonii,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
hydrophilum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
hymenopetalum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
hyperanthiflorum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
hypopogon,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
iboense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
imbricatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
imitans,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
implicatum,SPECIES,,GENUS,13382,A,Fukuy.,,CITES_EU
inauditum,SPECIES,,GENUS,13382,A,Rchb.f.,,CITES_EU
inconspicuum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
