LnmShortDesc,Date valid,LnmLongDesc,LnmURL
Commission Reg. (EC) No 938/97 of 26 May 1997,01-Jun-97,Commission Reg. (EC) No 938/97 of 26 May 1997 amending Council Regulation No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:140:0001:0008:EN:PDF
Council Reg. (EC) No 338/97 of 9 December 1996 ,01-Jun-97,Council Reg. (EC) No 338/97 of 9 December 1996 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:1997R0338:20080411:EN:PDF
Commission Reg. (EC) No 2214/98 of 15 October 1998,19-Oct-98,Commission Reg. (EC) No 2214/98 of 15 October 1998 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1998:279:0003:0003:EN:PDF
Commission Reg. (EC) No 1476/1999 of 6 July 1999,29-Apr-99,Commission Reg. (EC) No 1476/1999 of 6 July 1999 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1999:171:0005:0005:EN:PDF
Commission Reg. (EC) No 605/2006 of 19 April 2006 ,20-May-06,Commission Reg. (EC) No 605/2006 of 19 April 2006 amending Regulation (EC) No 349/2003 suspending the introduction into the Community of specimens of certain species of wild fauna and flora.,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2006:107:0003:0022:EN:PDF
Commission Reg. (EC) No 1037//2007 of 29 August 2007 ,01-Oct-07,Commission Reg. (EC) No 1037/2007 of 29 August 2007 suspending the introduction into the Community of specimens of certain species of wild fauna and flora.,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2007:238:0003:0022:EN:PDF
Commission Reg. (EC) No 359/2009 of 30 April 2009,30-Apr-09,Commission Reg. (EC) No 359/2009 of 30 April 2009 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2009:110:0003:0026:EN:PDF
Commission Reg. (EC) No 997/2010 of 5 Nov 2010,25-Nov-10,Commission Reg. (EC) No 997/2010 of 5 Nov 2010 suspending the introduction into the Union of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2010:290:0001:0021:EN:PDF
Commission Reg. (EC) No 757/2012 of 20 August 2012,20-Aug-12,Commission Reg. (EC) No 757/2012 of 20 August 2012 suspending the introduction into the Union of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:223:0031:0050:EN:PDF
Commission Reg. (EC) No 828/2011 of 17 August 2011,17-Aug-11,Commission Reg. (EC) No 828/2011 of 17 August 2011 suspending the introduction into the Union of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:211:0011:0032:EN:PDF
