Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
crassirostris,SPECIES,,GENUS,955,S,"J.F. Gmelin, 1789",,CITES_EU,SPECIES,104817
funereus,SPECIES,,GENUS,105050,S,"P.L. Sclater, 1860",,CITES_EU,SPECIES,104818
nuttingi,SPECIES,,GENUS,105050,S,"Ridgway, 1884",,CITES_EU,SPECIES,104819
warreni,SPECIES,,GENUS,104820,S,"(Schools & Hedges, 2024)",,CITES_EU,SPECIES,104821
cristatus,SPECIES,,GENUS,1950,S,"(Gray, 1831)",,CITES_EU,SPECIES,3950
ater,SPECIES,,GENUS,1950,S,"(Gray, 1831)",,CITES_EU,SPECIES,3950
demarlii,SPECIES,,GENUS,2432,S,"(Duméril & Bibron, 1837)",,CITES_EU,SPECIES,4404
subcristatus,SPECIES,,GENUS,2432,S,"(Gray, 1831)",,CITES_EU,SPECIES,4404
epeirotica,SPECIES,,GENUS,967,S,"Schneider, Sofianidou, & Kyriakopoulou-Sklavounou, 1984",,CITES_EU,SPECIES,104827
bergeri,SPECIES,,GENUS,967,S,"Günther, 1986",,CITES_EU,SPECIES,104829
esculenta,SPECIES,,GENUS,967,S,"Linnaeus, 1758",,CITES_EU,SPECIES,104829
lessonae,SPECIES,,GENUS,967,S,"Berger, 1966",,CITES_EU,SPECIES,104829
lessonae,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104829
bergeri,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104829
fluviatilis,SPECIES,,GENUS,967,S,"Bonaparte, 1840",,CITES_EU,SPECIES,104829
bosci,SPECIES,,GENUS,967,S,"Bory de Saint-Vincent, 1828",,CITES_EU,SPECIES,104829
meridionalis,SPECIES,,GENUS,967,S,"Lataste, 1876",,CITES_EU,SPECIES,104829
viridis,SPECIES,,GENUS,967,S,"Garsault, 1764",,CITES_EU,SPECIES,104829
esculentus,SPECIES,,GENUS,54285,S,"Fitzinger, 1843",,CITES_EU,SPECIES,104829
hispanicus,SPECIES,,GENUS,54285,S,"Fitzinger, 1861",,CITES_EU,SPECIES,104829
ridibunda,SPECIES,,GENUS,967,S,"Pallas, 1771",,CITES_EU,SPECIES,104828
ridibundus,SPECIES,,GENUS,1806,S,"Bonnaterre, 1789",,CITES_EU,SPECIES,104828
persica,SPECIES,,GENUS,967,S,"Schneider, 1799",,CITES_EU,SPECIES,104828
caucasica,SPECIES,,GENUS,967,S,"Pallas, 1814",,CITES_EU,SPECIES,104828
bufoides,SPECIES,,GENUS,967,S,"Pallas, 1814",,CITES_EU,SPECIES,104828
cachinnans,SPECIES,,GENUS,967,S,"Pallas, 1814",,CITES_EU,SPECIES,104828
dentex,SPECIES,,GENUS,967,S,"Krynicki, 1837",,CITES_EU,SPECIES,104828
cachinnans,SPECIES,,GENUS,1806,S,"Hohenacker, 1837",,CITES_EU,SPECIES,104828
fortis,SPECIES,,GENUS,967,S,"Boulenger, 1884",,CITES_EU,SPECIES,104828
florinskii,SPECIES,,GENUS,967,S,"Kaschenko & Sipacev, 1913",,CITES_EU,SPECIES,104828
mangischlakensis,SPECIES,,GENUS,967,S,"Ahl, 1925",,CITES_EU,SPECIES,104828
ridibunda,SPECIES,,GENUS,54285,S,"Fei, Ye & Huang, 1990",,CITES_EU,SPECIES,104828
balcanica,SPECIES,,GENUS,967,S,"Schneider & Sinsch, 1992",,CITES_EU,SPECIES,104828
levantina,SPECIES,,GENUS,967,S,"Schneider & Sinsch, 1992",,CITES_EU,SPECIES,104828
terentievi,SPECIES,,GENUS,967,S,"Mezhzherin, 1992",,CITES_EU,SPECIES,104828
cerigensis,SPECIES,,GENUS,967,S,"Beerli, Hotz, Tunner, Heppich & Uzzell, 1994",,CITES_EU,SPECIES,104828
caralitana,SPECIES,,GENUS,967,S,"Jdeidi, Bilgin & Kence, 2001",,CITES_EU,SPECIES,104828
caralitanus,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104828
ridibundus,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104828
kurtmuelleri,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104828
terentievi,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104828
cerigensis,SPECIES,,GENUS,54285,S,"Frost, Grant, Faivovich, Bain, Haas, Haddad, de Sá, Channing, Wilkinson, Donnellan, Raxworthy, Campbell, Blotto, Moler, Drewes, Nussbaum, Lynch, Green & Wheeler, 2006",,CITES_EU,SPECIES,104828
