Author, Year, Title, Scope
"Hollingsworth, B. D. ","2004"," The Evolution of Iguanas: An Overview of Relationships and a Checklist of Species. pp. 19-44. In: Alberts, A. C., Carter, R. L., Hayes, W. K. & Martins, E. P. (Eds), Iguanas: Biology and Conservation. Berkeley (University of California Press). ","Iguanidae except for the recognition of Brachylophus bulabula, Phrynosoma blainvillii, P. cerroense;P. wigginsi as valid species"
"Jacobs, H. J. ","2003"," A further new emerald tree monitor lizard of the Varanus prasinus species group from Waigeo, West Irian (Squamata: Sauria: Varanidae) – Salamandra, 39(2): 65-74. ","Varanus boehmei"
"Jesu, R., Mattioli, F. & Schimenti, G. ","1999"," On the discovery of a new large chameleon inhabiting the limestone outcrops of western Madagascar: Furcifer nicosiai sp. nov. (Reptilia, Chamaeleonidae) – Doriana 7(311): 1-14. ","Furcifer nicosiai"
"Keogh, J. S., Barker, D. G. & Shine, R. ","2001"," Heavily exploited but poorly known: systematics and biogeography of commercially harvested pythons (Python curtus group) in Southeast Asia – Biological Journal of the Linnean Society, 73: 113-129. ","Python breitensteini;Python brongersmai"
"Keogh, J. S., Edwards, D. L., Fisher, R. N. & Harlow, P. S. (2008): Molecular and morphological analysis of the critically endangered Fijian iguanas reveals cryptic diversity and a complex biogeographic history. – Phil. Trans. R. Soc. B, 363","1508"," 3413-3426. ","Brachylophus bulabula"
"Klaver, C. J. J. & Böhme, W. ","1997"," Chamaeleonidae – Das Tierreich,112, 85 pp. ","Bradypodion, Brookesia, Calumma, Chamaeleo;Furcifer – except for the Bradypodion species changed to Kinyongia;Nadzikambia,;except for the recognition of Calumma andringitraense, C. guillaumeti, C. hilleniusi;C. marojezense as valid species"
"Koch, A., Auliya, M., Schmitz, A., Kuch, U. & Böhme, W. ","2007"," Morphological Studies on the Systematics of South East Asian Water Monitors (Varanus salvator Complex): Nominotypic Populations and Taxonomic Overview. – Mertensiella, 16: 109. ","Varanus cumingi, Varanus marmoratus, Varanus nuchalis, Varanus togianus"
"Lutzmann, N. & Lutzmann, H. ","2004"," Das grammatikalische Geschlecht der Gattung Calumma (Chamaeleonidae) und die nötigen Anpassungen einiger Art- und Unterartbezeichnungen. – Reptilia (Münster) 9(4): 4-5 (Addendum in issue 5: 13). ","Calumma cucullatum, Calumma nasutum"
"Manzani, P. R. & Abe, A. S. ","1997"," A new species of Tupinambis Daudin, 1802 (Squamata, Teiidae) from central Brazil – Boletim do Museu Nacional Nov. Ser. Zool.,382: 1-10. ","Tupinambis quadrilineatus"
"Manzani, P. R. & Abe, A. S. ","2002"," A new species of Tupinambis Daudin, 1803 from southeastern Brazil – Arquivos do Museu Nacional, Rio de Janeiro, 60(4): 295-302. ","Tupinambis palustris"
"Mariaux, J., Lutzmann, N. & Stipala, J. ","2008"," The two-horned chamaeleons of East Africa. – Zoological Journal Linnean Society, 152: 367-391. ","Kinyongia vosseleri, Kinyongia boehmei"
"Massary, J.-C. de & Hoogmoed, M. ","2001"," The valid name for Crocodilurus lacertinus auctorum (nec Daudin, 1802) (Squamata: Teiidae) – Journal of Herpetology, 35: 353-357. ","Crocodilurus amazonicus"
"McDiarmid, R. W., Campbell, J. A. & Touré, T. A. ","1999"," Snake Species of the World. A Taxonomic and Geographic Reference.Volume 1, Washington, DC. (The Herpetologists’ League). ","Loxocemidae, Pythonidae, Boidae, Bolyeriidae, Tropidophiidae;Viperidae – except for the retention of the genera Acrantophis, Sanzinia, Calabaria;Lichanura;the recognition of Epicrates maurus;Tropidophis xanthogasteras valid species"
