Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade, Designation
Corycium,Genus,289,22223,,N,CITES
Corymborkis,Genus,290,22223,,N,CITES
Cottonia,Genus,292,22223,,N,CITES
Cranichis,Genus,293,22223,,N,CITES
Cremastra,Genus,294,22223,,N,CITES
Cryptarrhena,Genus,299,22223,,N,CITES
Cryptocentrum,Genus,300,22223,,N,CITES
Cryptochilus,Genus,301,22223,,N,CITES
Cryptopus,Genus,303,22223,,N,CITES
Cryptostylis,Genus,305,22223,,N,CITES
Culcita,Genus,307,22223,,N,CITES
Cyanaeorchis,Genus,308,22223,,N,CITES
Cyathea,Genus,309,22223,,N,CITES
Cyclopogon,Genus,313,22223,,N,CITES
Cycnoches,Genus,314,22223,,N,CITES
Cynometra,Genus,318,22223,,N,CITES
Cynorkis,Genus,319,22223,,N,CITES
Cyphostemma,Genus,321,22223,,N,CITES
Cyrtidiorchis,Genus,323,22223,,N,CITES
Cyrtorchis,Genus,325,22223,,N,CITES
Cystodium,Genus,328,22223,,N,CITES
Cystorchis,Genus,330,22223,,N,CITES
Dactylorhiza,Genus,331,22223,,N,CITES
Dalbergia,Genus,333,22223,,N,CITES
Darlingtonia,Genus,334,22223,,N,CITES
Dasylirion,Genus,336,22223,,N,CITES
Decarya,Genus,337,22223,,N,CITES
Deiregyne,Genus,340,22223,,N,CITES
Dendrochilum,Genus,343,22223,,N,CITES
Dendrophylax,Genus,344,22223,,N,CITES
Diaphananthe,Genus,347,22223,,N,CITES
Diceratostele,Genus,348,22223,,N,CITES
Dichaea,Genus,350,22223,,N,CITES
Dichromanthus,Genus,351,22223,,N,CITES
Didiciea,Genus,355,22223,,N,CITES
Didierea,Genus,356,22223,,N,CITES
Didymoplexiella,Genus,357,22223,,N,CITES
Didymoplexis,Genus,358,22223,,N,CITES
Diglyphosa,Genus,359,22223,,N,CITES
Dilochia,Genus,361,22223,,N,CITES
Dilomilis,Genus,362,22223,,N,CITES
Dimerandra,Genus,363,22223,,N,CITES
Dimorphorchis,Genus,364,22223,,N,CITES
Dioscorea,Genus,370,22223,,N,CITES
Diospyros,Genus,371,22223,,N,CITES
Diplandrorchis,Genus,373,22223,,N,CITES
Diplocaulobium,Genus,374,22223,,N,CITES
Diplolabellum,Genus,376,22223,,N,CITES
Diplomeris,Genus,377,22223,,N,CITES
Diploprora,Genus,378,22223,,N,CITES
Dipodium,Genus,379,22223,,N,CITES
Dipteryx,Genus,381,22223,,N,CITES
Disperis,Genus,386,22223,,N,CITES
Diuris,Genus,388,22223,,N,CITES
Domingoa,Genus,390,22223,,N,CITES
Dossinia,Genus,392,22223,,N,CITES
Drakaea,Genus,394,22223,,N,CITES
Dresslerella,Genus,395,22223,,N,CITES
Dressleria,Genus,396,22223,,N,CITES
Dryadella,Genus,397,22223,,N,CITES
Dryadorchis,Genus,398,22223,,N,CITES
Dryandra,Genus,399,22223,,N,CITES
Drymoanthus,Genus,400,22223,,N,CITES
Drymoda,Genus,401,22223,,N,CITES
Dudleya,Genus,403,22223,,N,CITES
Dypsis,Genus,406,22223,,N,CITES
Earina,Genus,407,22223,,N,CITES
Eleorchis,Genus,414,22223,,N,CITES
Elleanthus,Genus,415,22223,,N,CITES
Embreea,Genus,417,22223,,N,CITES
Ephippianthus,Genus,425,22223,,N,CITES
Epiblastus,Genus,426,22223,,N,CITES
Epiblema,Genus,427,22223,,N,CITES
Epidendrum,Genus,430,22223,,N,CITES
Epigeneium,Genus,431,22223,,N,CITES
Epipactis,Genus,433,22223,,N,CITES
Epipogium,Genus,435,22223,,N,CITES
Eria,Genus,438,22223,,N,CITES
Eriaxis,Genus,439,22223,,N,CITES
Eriochilus,Genus,440,22223,,N,CITES
Eriodes,Genus,441,22223,,N,CITES
Eriopsis,Genus,442,22223,,N,CITES
Erycina,Genus,444,22223,,N,CITES
Erythrodes,Genus,445,22223,,N,CITES
Esmeralda,Genus,449,22223,,N,CITES
Eucosia,Genus,453,22223,,N,CITES
Eulophia,Genus,454,22223,,N,CITES
Eulophiella,Genus,456,22223,,N,CITES
Eurychone,Genus,460,22223,,N,CITES
Eurystyles,Genus,461,22223,,N,CITES
Evotella,Genus,462,22223,,N,CITES
Fernandezia,Genus,465,22223,,N,CITES
Fitzroya,Genus,467,22223,,N,CITES
Flickingeria,Genus,468,22223,,N,CITES
Fouquieria,Genus,470,22223,,N,CITES
Frerea,Genus,472,22223,,N,CITES
Funkiella,Genus,475,22223,,N,CITES
Galeandra,Genus,477,22223,,N,CITES
Galearis,Genus,478,22223,,N,CITES
Galeola,Genus,479,22223,,N,CITES
Galeottiella,Genus,481,22223,,N,CITES
Gastrochilus,Genus,483,22223,,N,CITES
Gastrodia,Genus,484,22223,,N,CITES
Geesinkorchis,Genus,486,22223,,N,CITES
Geleznowia,Genus,487,22223,,N,CITES
Gennaria,Genus,488,22223,,N,CITES
Genoplesium,Genus,489,22223,,N,CITES
Gentiana,Genus,490,22223,,N,CITES
Genyorchis,Genus,491,22223,,N,CITES
Geodorum,Genus,493,22223,,N,CITES
Glomera,Genus,496,22223,,N,CITES
Gnetum,Genus,499,22223,,N,CITES
Gomesa,Genus,500,22223,,N,CITES
Gonatostylis,Genus,502,22223,,N,CITES
Gongora,Genus,503,22223,,N,CITES
Gonystylus,Genus,505,22223,,N,CITES
Goodyera,Genus,506,22223,,N,CITES
Govenia,Genus,507,22223,,N,CITES
Grahamia,Genus,508,22223,,N,CITES
Grammangis,Genus,509,22223,,N,CITES
Grammatophyllum,Genus,510,22223,,N,CITES
Graphorkis,Genus,511,22223,,N,CITES
Grosourdya,Genus,514,22223,,N,CITES
Gunnarella,Genus,517,22223,,N,CITES
Gymnadenia,Genus,518,22223,,N,CITES
Gynoglottis,Genus,524,22223,,N,CITES
Gyrinops,Genus,525,22223,,N,CITES
Habenaria,Genus,528,22223,,N,CITES
Hagsatera,Genus,529,22223,,N,CITES
Hancockia,Genus,532,22223,,N,CITES
Hapalorchis,Genus,533,22223,,N,CITES
Harpagophytum,Genus,535,22223,,N,CITES
Harrisella,Genus,536,22223,,N,CITES
Hederorkis,Genus,539,22223,,N,CITES
Hedychium,Genus,540,22223,,N,CITES
Hedyosmum,Genus,541,22223,,N,CITES
Helcia,Genus,542,22223,,N,CITES
Hemipilia,Genus,545,22223,,N,CITES
Herminium,Genus,548,22223,,N,CITES
Hetaeria,Genus,551,22223,,N,CITES
Hexalectris,Genus,553,22223,,N,CITES
Himantoglossum,Genus,554,22223,,N,CITES
Hintonella,Genus,555,22223,,N,CITES
Hippeophyllum,Genus,556,22223,,N,CITES
Holcoglossum,Genus,560,22223,,N,CITES
Holothrix,Genus,562,22223,,N,CITES
Homalopetalum,Genus,563,22223,,N,CITES
Houlletia,Genus,567,22223,,N,CITES
Huntleya,Genus,568,22223,,N,CITES
Huttonaea,Genus,569,22223,,N,CITES
Hybochilus,Genus,570,22223,,N,CITES
Hydrastis,Genus,571,22223,,N,CITES
Hygrochilus,Genus,572,22223,,N,CITES
Hylophila,Genus,575,22223,,N,CITES
Hymenorchis,Genus,576,22223,,N,CITES
Ilex,Genus,577,22223,,N,CITES
Ionopsis,Genus,579,22223,,N,CITES
Ipsea,Genus,580,22223,,N,CITES
Ischnogyne,Genus,582,22223,,N,CITES
Isochilus,Genus,583,22223,,N,CITES
Isotria,Genus,584,22223,,N,CITES
Jacquiniella,Genus,585,22223,,N,CITES
Jumellea,Genus,588,22223,,N,CITES
Kalmia,Genus,590,22223,,N,CITES
Kefersteinia,Genus,591,22223,,N,CITES
Kegeliella,Genus,592,22223,,N,CITES
Koellensteinia,Genus,595,22223,,N,CITES
Kreodanthus,Genus,597,22223,,N,CITES
Kuhlhasseltia,Genus,598,22223,,N,CITES
Lacaena,Genus,599,22223,,N,CITES
Lavoisiera,Genus,603,22223,,N,CITES
Lecanorchis,Genus,604,22223,,N,CITES
Lemurella,Genus,606,22223,,N,CITES
Leochilus,Genus,610,22223,,N,CITES
Lepanthes,Genus,611,22223,,N,CITES
Lepanthopsis,Genus,612,22223,,N,CITES
Lepidogyne,Genus,613,22223,,N,CITES
Leptotes,Genus,618,22223,,N,CITES
Leucohyle,Genus,621,22223,,N,CITES
Lewisia,Genus,622,22223,,N,CITES
Ligeophila,Genus,623,22223,,N,CITES
Limodorum,Genus,624,22223,,N,CITES
Liparis,Genus,626,22223,,N,CITES
Listera,Genus,627,22223,,N,CITES
Listrostachys,Genus,628,22223,,N,CITES
Lockhartia,Genus,629,22223,,N,CITES
Lodoicea,Genus,630,22223,,N,CITES
Loefgrenianthus,Genus,631,22223,,N,CITES
Lophosoria,Genus,633,22223,,N,CITES
Ludisia,Genus,634,22223,,N,CITES
Lueddemannia,Genus,635,22223,,N,CITES
Luisia,Genus,636,22223,,N,CITES
Lycaste,Genus,637,22223,,N,CITES
Lycomormium,Genus,638,22223,,N,CITES
Lycopodium,Genus,639,22223,,N,CITES
Lyperanthus,Genus,640,22223,,N,CITES
Macodes,Genus,642,22223,,N,CITES
Macradenia,Genus,643,22223,,N,CITES
Macropodanthus,Genus,646,22223,,N,CITES
Magnolia,Genus,648,22223,,N,CITES
Malaxis,Genus,650,22223,,N,CITES
Malleola,Genus,651,22223,,N,CITES
Manniella,Genus,654,22223,,N,CITES
Margelliantha,Genus,655,22223,,N,CITES
Marojejya,Genus,656,22223,,N,CITES
Maxillaria,Genus,659,22223,,N,CITES
Meconopsis,Genus,660,22223,,N,CITES
Mediocalcar,Genus,661,22223,,N,CITES
Megastylis,Genus,663,22223,,N,CITES
Meiracyllium,Genus,664,22223,,N,CITES
Menyanthes,Genus,667,22223,,N,CITES
Mesoglossum,Genus,670,22223,,N,CITES
Mesospinidium,Genus,671,22223,,N,CITES
Mexicoa,Genus,672,22223,,N,CITES
Microcoelia,Genus,675,22223,,N,CITES
Micropera,Genus,677,22223,,N,CITES
Microsaccus,Genus,678,22223,,N,CITES
Microtatorchis,Genus,680,22223,,N,CITES
Microterangis,Genus,681,22223,,N,CITES
Microtis,Genus,682,22223,,N,CITES
Mischobulbum,Genus,687,22223,,N,CITES
Mobilabium,Genus,689,22223,,N,CITES
Moerenhoutia,Genus,690,22223,,N,CITES
Monadenia,Genus,691,22223,,N,CITES
Monomeria,Genus,692,22223,,N,CITES
Monosepalum,Genus,694,22223,,N,CITES
Mormodes,Genus,695,22223,,N,CITES
Mormolyca,Genus,696,22223,,N,CITES
Myoxanthus,Genus,698,22223,,N,CITES
Myrmechis,Genus,699,22223,,N,CITES
Myrmecophila,Genus,700,22223,,N,CITES
Mystacidium,Genus,704,22223,,N,CITES
Nageliella,Genus,706,22223,,N,CITES
Nardostachys,Genus,707,22223,,N,CITES
Neobathiea,Genus,710,22223,,N,CITES
Neobolusia,Genus,713,22223,,N,CITES
Neoclemensia,Genus,715,22223,,N,CITES
Neocogniauxia,Genus,716,22223,,N,CITES
Neodypsis,Genus,718,22223,,N,CITES
Neofinetia,Genus,719,22223,,N,CITES
Neogyna,Genus,722,22223,,N,CITES
Neomoorea,Genus,725,22223,,N,CITES
Neotinea,Genus,727,22223,,N,CITES
Neottia,Genus,728,22223,,N,CITES
Neottianthe,Genus,729,22223,,N,CITES
Nephelaphyllum,Genus,734,22223,,N,CITES
Nephrangis,Genus,736,22223,,N,CITES
Nervilia,Genus,737,22223,,N,CITES
Neuwiedia,Genus,738,22223,,N,CITES
Nidema,Genus,739,22223,,N,CITES
Nigritella,Genus,740,22223,,N,CITES
Nolina,Genus,741,22223,,N,CITES
Nothostele,Genus,744,22223,,N,CITES
Notylia,Genus,745,22223,,N,CITES
Oberonia,Genus,746,22223,,N,CITES
Octarrhena,Genus,748,22223,,N,CITES
Octomeria,Genus,749,22223,,N,CITES
Odontoglossum,Genus,751,22223,,N,CITES
Odontorrhynchus,Genus,752,22223,,N,CITES
Oeceoclades,Genus,753,22223,,N,CITES
Oeoniella,Genus,755,22223,,N,CITES
Oerstedella,Genus,756,22223,,N,CITES
Oliveriana,Genus,759,22223,,N,CITES
Omoea,Genus,760,22223,,N,CITES
Oncidium,Genus,761,22223,,N,CITES
Operculicarya,Genus,762,22223,,N,CITES
Ophrys,Genus,764,22223,,N,CITES
Orchis,Genus,768,22223,,N,CITES
Oreomunnea,Genus,770,22223,,N,CITES
Oreorchis,Genus,771,22223,,N,CITES
Orestias,Genus,772,22223,,N,CITES
Ornithocephalus,Genus,774,22223,,N,CITES
Ornithochilus,Genus,775,22223,,N,CITES
Orothamnus,Genus,776,22223,,N,CITES
Osmoglossum,Genus,781,22223,,N,CITES
Ossiculum,Genus,782,22223,,N,CITES
Othonna,Genus,783,22223,,N,CITES
Otochilus,Genus,784,22223,,N,CITES
Otoglossum,Genus,785,22223,,N,CITES
Pachites,Genus,790,22223,,N,CITES
Pachyphyllum,Genus,792,22223,,N,CITES
Pachyplectron,Genus,793,22223,,N,CITES
Pachystoma,Genus,796,22223,,N,CITES
Palmorchis,Genus,797,22223,,N,CITES
Palumbina,Genus,798,22223,,N,CITES
Panax,Genus,799,22223,,N,CITES
