Species RecID,Rank,GEO_entity,ISO Code 2,Reference IDs,CITES
8036,Species,Country,CO,12616,CITES
8036,Species,Country,CU,22075,CITES
8036,Species,Country,DM,22075,CITES
8036,Species,Country,EC,22075,CITES
8036,Species,Country,GD,22075,CITES
8036,Species,Territory,GP,22075,CITES
8036,Species,Country,HT,22075,CITES
8036,Species,Country,JM,22075,CITES
8036,Species,Country,KN,12616,CITES
8036,Species,Country,KN,8767,CITES
8036,Species,Country,LC,12616,CITES
8036,Species,Country,LC,8767,CITES
8036,Species,Territory,MQ,8767,CITES
8036,Species,Territory,MS,8767,CITES
8036,Species,Country,MX,,CITES
8036,Species,Country,MX,19868,CITES
8036,Species,Country,MX,22075,CITES
8036,Species,Country,MY,22075,CITES
8036,Species,Territory,NI,22075,CITES
8036,Species,Territory,PR,22075,CITES
8036,Species,Country,VC,12616,CITES
8036,Species,Country,VC,8767,CITES
8036,Species,Country,VE,22075,CITES
8036,Species,Territory,VG,22075,CITES
8037,Species,Country,BO,12612,CITES
8037,Species,Country,BO,12616,CITES
8044,Species,Country,EC,,CITES
8044,Species,Country,EC,12612,CITES
8045,Species,Country,CO,,CITES
8045,Species,Country,CO,12612,CITES
8046,Species,Country,AR,5462,CITES
8046,Species,Country,AR,9426,CITES
8046,Species,Country,BO,14244,CITES
8046,Species,Country,BR,22075,CITES
8046,Species,Country,CO,14244,CITES
8046,Species,Country,CR,12111,CITES
8046,Species,Country,CR,12349,CITES
8046,Species,Country,EC,10538,CITES
8046,Species,Territory,GF,14244,CITES
8046,Species,Country,GY,14244,CITES
8046,Species,Country,PA,12111,CITES
8046,Species,Country,PA,12349,CITES
8046,Species,Country,PE,14244,CITES
8046,Species,Country,PE,30001,CITES
8046,Species,Country,PY,10538,CITES
8046,Species,Country,VE,14244,CITES
8047,Species,Country,JM,12612,CITES
8047,Species,Country,JM,12616,CITES
8050,Species,Country,EC,22075,CITES
8050,Species,Country,PE,12612,CITES
8050,Species,Country,PE,12616,CITES
8050,Species,Country,PE,30001,CITES
8051,Species,Country,CO,12473,CITES
8051,Species,Country,CO,12616,CITES
8051,Species,Country,EC,10538,CITES
8051,Species,Country,PE,12612,CITES
8051,Species,Country,PE,12616,CITES
8051,Species,Country,PE,30001,CITES
8051,Species,Country,VE,,CITES
8051,Species,Country,VE,12473,CITES
8052,Species,Country,BO,22075,CITES
8052,Species,Country,CO,12111,CITES
8052,Species,Country,CO,9114,CITES
8052,Species,Country,CR,,CITES
8052,Species,Country,CR,9009,CITES
8052,Species,Country,EC,10538,CITES
8052,Species,Country,EC,12111,CITES
8052,Species,Country,GT,11714,CITES
8052,Species,Country,GT,12491,CITES
8052,Species,Country,HN,11714,CITES
8052,Species,Country,HN,12491,CITES
8052,Species,Country,MX,12007,CITES
8052,Species,Country,MX,20033,CITES
8052,Species,Country,MX,9114,CITES
8052,Species,Territory,NI,11714,CITES
8052,Species,Territory,NI,12111,CITES
8052,Species,Country,PA,,CITES
8052,Species,Country,PA,9009,CITES
8052,Species,Territory,PR,22075,CITES
8052,Species,Country,SV,,CITES
8052,Species,Country,SV,12007,CITES
8052,Species,Country,VE,12111,CITES
8052,Species,Country,VE,9114,CITES
8054,Species,Country,CO,10538,CITES
8054,Species,Country,CO,14244,CITES
8054,Species,Country,CR,10538,CITES
8054,Species,Country,CR,12612,CITES
8054,Species,Country,EC,10538,CITES
8054,Species,Country,JM,12612,CITES
8054,Species,Country,JM,19389,CITES
8054,Species,Country,PA,,CITES
8054,Species,Country,PA,14244,CITES
8055,Species,Country,HT,12612,CITES
8055,Species,Country,HT,12616,CITES
8055,Species,Country,JM,12612,CITES
8055,Species,Country,JM,12616,CITES
8056,Species,Country,CO,12612,CITES
8056,Species,Country,CO,12616,CITES
8056,Species,Country,EC,22075,CITES
8057,Species,Country,PA,10538,CITES
8057,Species,Country,PA,12612,CITES
8058,Species,Country,BO,,CITES
8058,Species,Country,BO,12612,CITES
8058,Species,Country,EC,22075,CITES
8058,Species,Country,PE,,CITES
8058,Species,Country,PE,12612,CITES
8058,Species,Country,PE,30001,CITES
8058,Species,Country,VE,,CITES
8058,Species,Country,VE,12612,CITES
8059,Species,Country,PE,,CITES
8059,Species,Country,PE,12612,CITES
8059,Species,Country,PE,30001,CITES
8060,Species,Country,BO,12111,CITES
8060,Species,Country,BO,12612,CITES
8060,Species,Country,BR,12111,CITES
8060,Species,Country,BR,12612,CITES
8060,Species,Country,BZ,12111,CITES
8060,Species,Country,BZ,12616,CITES
8060,Species,Country,CO,12111,CITES
8060,Species,Country,CO,12612,CITES
8060,Species,Country,CR,11714,CITES
8060,Species,Country,CR,12111,CITES
8060,Species,Country,EC,10538,CITES
8060,Species,Country,EC,12111,CITES
8060,Species,Country,GT,12111,CITES
8060,Species,Country,GT,12612,CITES
8060,Species,Country,GY,12111,CITES
8060,Species,Country,GY,12612,CITES
8060,Species,Country,HN,11714,CITES
8060,Species,Country,HN,12111,CITES
8060,Species,Territory,NI,11714,CITES
8060,Species,Territory,NI,12111,CITES
8060,Species,Country,PA,12111,CITES
8060,Species,Country,PA,12612,CITES
8060,Species,Country,PE,,CITES
8060,Species,Country,PE,30001,CITES
8060,Species,Country,PE,9009,CITES
8060,Species,Country,VE,14244,CITES
8061,Species,Country,PE,12612,CITES
8061,Species,Country,PE,12616,CITES
8061,Species,Country,PE,30001,CITES
8062,Species,Country,BO,12612,CITES
8062,Species,Country,BO,12616,CITES
8062,Species,Country,CO,,CITES
8062,Species,Country,CO,12612,CITES
8062,Species,Country,EC,12612,CITES
8062,Species,Country,EC,12616,CITES
8062,Species,Country,PE,12612,CITES
8062,Species,Country,PE,12616,CITES
8062,Species,Country,PE,30001,CITES
8065,Species,Country,CO,12612,CITES
8065,Species,Country,CO,12616,CITES
8065,Species,Country,EC,10538,CITES
8067,Species,Country,CO,12612,CITES
8067,Species,Country,CO,12616,CITES
8067,Species,Country,GY,22075,CITES
8067,Species,Country,VE,12612,CITES
8067,Species,Country,VE,12616,CITES
8068,Species,Country,PE,,CITES
8068,Species,Country,PE,12612,CITES
8068,Species,Country,PE,30001,CITES
8069,Species,Country,VE,12612,CITES
8069,Species,Country,VE,12616,CITES
8071,Species,Country,VE,12612,CITES
8071,Species,Country,VE,12616,CITES
8072,Species,Country,CO,12612,CITES
8072,Species,Country,CO,12616,CITES
8072,Species,Country,EC,,CITES
8072,Species,Country,EC,12612,CITES
8073,Species,Country,CR,11211,CITES
8073,Species,Country,CR,12612,CITES
8073,Species,Country,PA,,CITES
8073,Species,Country,PA,9426,CITES
8074,Species,Country,CR,22075,CITES
8074,Species,Country,DM,12616,CITES
8074,Species,Country,DM,8767,CITES
8074,Species,Country,DO,,CITES
8074,Species,Country,DO,8767,CITES
8074,Species,Country,GD,12616,CITES
8074,Species,Country,GD,8767,CITES
8074,Species,Territory,GP,8767,CITES
8074,Species,Country,HT,,CITES
8074,Species,Country,HT,8767,CITES
8074,Species,Country,LC,12616,CITES
8074,Species,Country,LC,8767,CITES
8074,Species,Territory,MQ,8767,CITES
8074,Species,Territory,MS,8767,CITES
8074,Species,Territory,PR,22075,CITES
8074,Species,Country,TT,12616,CITES
8074,Species,Country,TT,8767,CITES
8074,Species,Country,VC,12616,CITES
8074,Species,Country,VC,8767,CITES
8074,Species,Country,VE,22075,CITES
