Id,TaxonConcept id,TaxonConcept name,Resolution,Country,Event,Event date,Status,Document,Notes
79,9310,Strombus gigas,Significant Trade,Haiti,,01/05/1994,Trade Suspension,https://rst.cites.org/public/case-details/159,
70,3993,Testudo graeca,Significant Trade,Jordan,AC27,03/05/2014,Ongoing,https://rst.cites.org/public/case-details/145,
44,7545,Tridacna crocea,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/117,
45,11215,Tridacna derasa,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/118,
46,10712,Tridacna gigas,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/119,
47,8327,Tridacna maxima,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/120,
74,67952,Tridacna ningaloo,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/154,
73,68361,Tridacna noae,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/153,
48,6732,Tridacna squamosa,Significant Trade,Solomon Islands,AC24,24/04/2009,Trade Suspension,https://rst.cites.org/public/case-details/121,
59,10125,Trioceros feae,Significant Trade,Equatorial Guinea,AC23,24/04/2008,Trade Suspension,https://rst.cites.org/public/case-details/132,
93,7462,Trioceros melleri,Significant Trade,Mozambique,AC25,22/07/2011,Ongoing,https://rst.cites.org/public/case-details/175,
30,5824,Trioceros montium,Significant Trade,Cameroon,AC27,03/05/2014,Trade Suspension,https://rst.cites.org/public/case-details/102,
61,6070,Trioceros quadricornis,Significant Trade,Cameroon,AC25,22/07/2011,Trade Suspension,https://rst.cites.org/public/case-details/134,
78,7353,Uromastyx dispar,Significant Trade,Mali,AC20,02/04/2004,Trade Suspension,https://rst.cites.org/public/case-details/158,
20,9636,Uromastyx geyri,Significant Trade,Benin,AC29,22/07/2017,Closed,https://rst.cites.org/public/case-details/89,
21,9636,Uromastyx geyri,Significant Trade,Ghana,AC29,22/07/2017,Closed,https://rst.cites.org/public/case-details/90,
11,9636,Uromastyx geyri,Significant Trade,Mali,AC29,22/07/2017,Ongoing,https://rst.cites.org/public/case-details/80,
22,9636,Uromastyx geyri,Significant Trade,Togo,AC29,22/07/2017,Closed,https://rst.cites.org/public/case-details/91,
