Date,Manual ID,Title,Lang,Master Document,Volume,Type,General/ Part,PDF Filename trimmed
1984,A-119.009.009.003,CITES ID Manual - Cephalophus dorsalis,EN,,1,CITES ID Manual,General,A-119.009.009.003 Cephalophus dorsalis_E.pdf
1984,A-119.009.009.003,Manual de identificación de la CITES - Cephalophus dorsalis,ES,A-119.009.009.003,1,CITES ID Manual,General,A-119.009.009.003 Cephalophus dorsalis_S.pdf
1984,A-119.009.009.004,CITES ID Manual - Cephalophus jentinki,EN,,1,CITES ID Manual,General,A-119.009.009.004 Cephalophus jentinki_E.pdf
1984,A-119.009.009.004,Manual de identificación de la CITES - Cephalophus jentinki,ES,A-119.009.009.004,1,CITES ID Manual,General,A-119.009.009.004 Cephalophus jentinki_S.pdf
1984,A-119.009.009.011,CITES ID Manual - Cephalophus ogilbyi,EN,,1,CITES ID Manual,General,A-119.009.009.011 Cephalophus ogilbyi_E.pdf
1984,A-119.009.009.011,Manual de identificación de la CITES - Cephalophus ogilbyi,ES,A-119.009.009.011,1,CITES ID Manual,General,A-119.009.009.011 Cephalophus ogilbyi_S.pdf
1984,A-119.009.009.014,CITES ID Manual - Cephalophus silvicultor,EN,,1,CITES ID Manual,General,A-119.009.009.014 Cephalophus sylvicultor_E.pdf
1984,A-119.009.009.014,Manual de identificación de la CITES - Cephalophus silvicultor,ES,A-119.009.009.014,1,CITES ID Manual,General,A-119.009.009.014 Cephalophus sylvicultor_S.pdf
1984,A-119.009.009.015,CITES ID Manual - Cephalophus zebra,EN,,1,CITES ID Manual,General,A-119.009.009.015 Cephalophus zebra_E.pdf
1984,A-119.009.009.015,Manual de identificación de la CITES - Cephalophus zebra,ES,A-119.009.009.015,1,CITES ID Manual,General,A-119.009.009.015 Cephalophus zebra_S.pdf
1987,A-111.002.008.001,CITES ID Manual - Cephalorhynchus commersonii,EN,,1,CITES ID Manual,General,A-111.002.008.001 Cephalorhynchus commersonii_E.pdf
1987,A-111.002.008.001,Manual de identificación de la CITES - Cephalorhynchus commersonii,ES,A-111.002.008.001,1,CITES ID Manual,General,A-111.002.008.001 Cephalorhynchus commersonii_S.pdf
1987,A-111.002.008.002,CITES ID Manual - Cephalorhynchus eutropia,EN,,1,CITES ID Manual,General,A-111.002.008.002 Cephalorhynchus eutropia_E.pdf
1987,A-111.002.008.002,Manual de identificación de la CITES - Cephalorhynchus eutropia,ES,A-111.002.008.002,1,CITES ID Manual,General,A-111.002.008.002 Cephalorhynchus eutropia_S.pdf
1987,A-111.002.008.003,CITES ID Manual - Cephalorhynchus heavisidii,EN,,1,CITES ID Manual,General,A-111.002.008.003 Cephalorhynchus heavisidii_E.pdf
1987,A-111.002.008.003,Manual de identificación de la CITES - Cephalorhynchus heavisidii,ES,A-111.002.008.003,1,CITES ID Manual,General,A-111.002.008.003 Cephalorhynchus heavisidii_S.pdf
