taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference,Designation
66377,SPECIES,COUNTRY,BZ,20130,CMS
66377,SPECIES,COUNTRY,BO,20130,CMS
66377,SPECIES,COUNTRY,BR,20130,CMS
66377,SPECIES,COUNTRY,CO,20130,CMS
66377,SPECIES,COUNTRY,CR,20130,CMS
66377,SPECIES,COUNTRY,CU,,CMS
66377,SPECIES,COUNTRY,EC,20130,CMS
66377,SPECIES,COUNTRY,SV,20130,CMS
66377,SPECIES,TERRITORY,GF,20130,CMS
66377,SPECIES,COUNTRY,GD,20130,CMS
66377,SPECIES,COUNTRY,GT,20130,CMS
66377,SPECIES,COUNTRY,GY,20130,CMS
66377,SPECIES,COUNTRY,HN,20130,CMS
66377,SPECIES,COUNTRY,MX,20130,CMS
66377,SPECIES,COUNTRY,NI,20130,CMS
66377,SPECIES,COUNTRY,PA,20130,CMS
66377,SPECIES,COUNTRY,PY,20130,CMS
66377,SPECIES,COUNTRY,PE,20130,CMS
66377,SPECIES,COUNTRY,SR,20130,CMS
66377,SPECIES,COUNTRY,TT,20130,CMS
66377,SPECIES,COUNTRY,US,20130,CMS
66377,SPECIES,COUNTRY,VE,20130,CMS
66377,SPECIES,COUNTRY,BB,20130,CMS
66377,SPECIES,COUNTRY,DM,20130,CMS
66377,SPECIES,COUNTRY,AG,,CMS
66202,SPECIES,COUNTRY,AO,20130,CMS
66202,SPECIES,COUNTRY,BJ,20130,CMS
66202,SPECIES,COUNTRY,BW,20130,CMS
66202,SPECIES,COUNTRY,BF,20130,CMS
66202,SPECIES,COUNTRY,BI,20130,CMS
66202,SPECIES,COUNTRY,CM,20130,CMS
66202,SPECIES,COUNTRY,CF,20130,CMS
66202,SPECIES,COUNTRY,TD,20130,CMS
66202,SPECIES,COUNTRY,CI,20130,CMS
66202,SPECIES,COUNTRY,CD,20130,CMS
66202,SPECIES,COUNTRY,ET,20130,CMS
66202,SPECIES,COUNTRY,GM,20130,CMS
66202,SPECIES,COUNTRY,GH,20130,CMS
66202,SPECIES,COUNTRY,GN,20130,CMS
66202,SPECIES,COUNTRY,GW,20130,CMS
66202,SPECIES,COUNTRY,KE,20130,CMS
66202,SPECIES,COUNTRY,MW,20130,CMS
66202,SPECIES,COUNTRY,ML,20130,CMS
66202,SPECIES,COUNTRY,NA,20130,CMS
66202,SPECIES,COUNTRY,NE,20130,CMS
66202,SPECIES,COUNTRY,NG,20130,CMS
66202,SPECIES,COUNTRY,RW,20130,CMS
66202,SPECIES,COUNTRY,SN,20130,CMS
66202,SPECIES,COUNTRY,SL,20130,CMS
66202,SPECIES,COUNTRY,SS,20130,CMS
66202,SPECIES,COUNTRY,SD,20130,CMS
66202,SPECIES,COUNTRY,TG,20130,CMS
66202,SPECIES,COUNTRY,UG,20130,CMS
66202,SPECIES,COUNTRY,TZ,20130,CMS
66202,SPECIES,COUNTRY,ZM,20130,CMS
66202,SPECIES,COUNTRY,ZW,20130,CMS
66203,SPECIES,COUNTRY,AO,20130,CMS
66203,SPECIES,COUNTRY,BJ,20130,CMS
66203,SPECIES,COUNTRY,BW,20130,CMS
66203,SPECIES,COUNTRY,BF,20130,CMS
66203,SPECIES,COUNTRY,BI,20130,CMS
66203,SPECIES,COUNTRY,CM,20130,CMS
66203,SPECIES,COUNTRY,CF,20130,CMS
66203,SPECIES,COUNTRY,TD,20130,CMS
66203,SPECIES,COUNTRY,CI,20130,CMS
66203,SPECIES,COUNTRY,CD,20130,CMS
66203,SPECIES,COUNTRY,ER,20130,CMS
66203,SPECIES,COUNTRY,SZ,20130,CMS
66203,SPECIES,COUNTRY,ET,20130,CMS
66203,SPECIES,COUNTRY,GM,20130,CMS
66203,SPECIES,COUNTRY,GH,20130,CMS
66203,SPECIES,COUNTRY,GN,20130,CMS
66203,SPECIES,COUNTRY,GW,20130,CMS
66203,SPECIES,COUNTRY,KE,20130,CMS
66203,SPECIES,COUNTRY,LR,20130,CMS
66203,SPECIES,COUNTRY,MW,20130,CMS
66203,SPECIES,COUNTRY,ML,20130,CMS
66203,SPECIES,COUNTRY,MR,20130,CMS
66203,SPECIES,COUNTRY,MZ,20130,CMS
66203,SPECIES,COUNTRY,NA,20130,CMS
66203,SPECIES,COUNTRY,NE,20130,CMS
66203,SPECIES,COUNTRY,NG,20130,CMS
66203,SPECIES,COUNTRY,RW,20130,CMS
66203,SPECIES,COUNTRY,SN,20130,CMS
66203,SPECIES,COUNTRY,SL,20130,CMS
66203,SPECIES,COUNTRY,SO,20130,CMS
66203,SPECIES,COUNTRY,ZA,20130,CMS
66203,SPECIES,COUNTRY,SS,20130,CMS
66203,SPECIES,COUNTRY,SD,20130,CMS
66203,SPECIES,COUNTRY,TG,20130,CMS
66203,SPECIES,COUNTRY,UG,20130,CMS
66203,SPECIES,COUNTRY,TZ,20130,CMS
66203,SPECIES,COUNTRY,ZM,20130,CMS
66203,SPECIES,COUNTRY,ZW,20130,CMS
66204,SPECIES,COUNTRY,KE,20130,CMS
66204,SPECIES,COUNTRY,MZ,20130,CMS
66204,SPECIES,COUNTRY,SO,20130,CMS
66204,SPECIES,COUNTRY,ZA,20130,CMS
66204,SPECIES,COUNTRY,TZ,20130,CMS
66204,SPECIES,COUNTRY,ZW,20130,CMS
66350,SPECIES,COUNTRY,AR,20130,CMS
66350,SPECIES,COUNTRY,BZ,20130,CMS
66350,SPECIES,COUNTRY,BO,20130,CMS
66350,SPECIES,COUNTRY,BR,20130,CMS
66350,SPECIES,COUNTRY,CO,20130,CMS
66350,SPECIES,COUNTRY,CR,20130,CMS
66350,SPECIES,COUNTRY,EC,20130,CMS
66350,SPECIES,COUNTRY,SV,20130,CMS
66350,SPECIES,TERRITORY,GF,20130,CMS
66350,SPECIES,COUNTRY,GT,20130,CMS
66350,SPECIES,COUNTRY,GY,20130,CMS
66350,SPECIES,COUNTRY,HN,20130,CMS
66350,SPECIES,COUNTRY,MX,20130,CMS
66350,SPECIES,COUNTRY,NI,20130,CMS
66350,SPECIES,COUNTRY,PA,20130,CMS
66350,SPECIES,COUNTRY,PY,20130,CMS
66350,SPECIES,COUNTRY,PE,20130,CMS
66350,SPECIES,COUNTRY,SR,20130,CMS
66350,SPECIES,COUNTRY,TT,20130,CMS
66350,SPECIES,COUNTRY,VE,20130,CMS
95554,SPECIES,COUNTRY,AO,20130,CMS
95554,SPECIES,COUNTRY,BJ,20130,CMS
95554,SPECIES,COUNTRY,BW,20130,CMS
95554,SPECIES,COUNTRY,BF,20130,CMS
95554,SPECIES,COUNTRY,BI,20130,CMS
95554,SPECIES,COUNTRY,CM,20130,CMS
95554,SPECIES,COUNTRY,CF,20130,CMS
95554,SPECIES,COUNTRY,TD,20130,CMS
95554,SPECIES,COUNTRY,CG,20130,CMS
95554,SPECIES,COUNTRY,CI,20130,CMS
95554,SPECIES,COUNTRY,CD,20130,CMS
95554,SPECIES,COUNTRY,GQ,20130,CMS
95554,SPECIES,COUNTRY,ER,20130,CMS
95554,SPECIES,COUNTRY,SZ,20130,CMS
95554,SPECIES,COUNTRY,ET,20130,CMS
95554,SPECIES,COUNTRY,GA,20130,CMS
