SpcRecID,FamName,GenName,SpcName,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,
113154,AMARYLLIDACEAE,Galanthus,allenii,II,2010-06-23 00:00:00,NULL,_Galanthus_ spp.: All parts and derivatives, except: ûûa) seeds, (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from _Beccariophoenix madagascariensis_ and _Neodypsis decaryi_ exported from Madagascar;ûb) seedling or tissue cultures obtained _in vitro_, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; ûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_ and of the family Cactaceae; ûe) stems, flowers, and parts and derivatives thereof of naturalized or artificially propagated plants of the genera _Opuntia_ subgenus _Opuntia_ and _Selenicereus_ (Cactaceae); and ûf) finished products of _Euphorbia antisyphilitica_ packaged and ready for retail trade.û
113154,AMARYLLIDACEAE,Galanthus,allenii,II,1997-09-18 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); b) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers; and c) cut flowers of artificially propagated plants.û,,,,,
113154,AMARYLLIDACEAE,Galanthus,allenii,II,1990-01-18 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives, except: ûûa) seeds, spores and pollen (including pollinia); and ûb) tissue cultures and flasked seedling cultures.,,,,,,
170748,AMARYLLIDACEAE,Galanthus,alpinus,II,1995-02-16 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers.,,,,,
170748,AMARYLLIDACEAE,Galanthus,alpinus,II,2007-09-13 00:00:00,NULL,_Galanthus_ spp.: All parts and derivatives, except: ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_.,,,,
170748,AMARYLLIDACEAE,Galanthus,alpinus,II,2010-06-23 00:00:00,NULL,_Galanthus_ spp.: All parts and derivatives, except: ûûa) seeds, (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from _Beccariophoenix madagascariensis_ and _Neodypsis decaryi_ exported from Madagascar;ûb) seedling or tissue cultures obtained _in vitro_, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; ûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_ and of the family Cactaceae; ûe) stems, flowers, and parts and derivatives thereof of naturalized or artificially propagated plants of the genera _Opuntia_ subgenus _Opuntia_ and _Selenicereus_ (Cactaceae); and ûf) finished products of _Euphorbia antisyphilitica_ packaged and ready for retail trade.û
170748,AMARYLLIDACEAE,Galanthus,alpinus,II,1997-09-18 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); b) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers; and c) cut flowers of artificially propagated plants.û,,,,,
170748,AMARYLLIDACEAE,Galanthus,alpinus,II,1990-01-18 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives, except: ûûa) seeds, spores and pollen (including pollinia); and ûb) tissue cultures and flasked seedling cultures.,,,,,,
170747,AMARYLLIDACEAE,Galanthus,alpinus,II,1997-09-18 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); b) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers; and c) cut flowers of artificially propagated plants.û,,,,,
170747,AMARYLLIDACEAE,Galanthus,alpinus,II,1990-01-18 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives, except: ûûa) seeds, spores and pollen (including pollinia); and ûb) tissue cultures and flasked seedling cultures.,,,,,,
