id,rank,Internal distribution note,Designation
66353,SPECIES,Previous distributions for Venezuela (Bolivarian Republic of) deleted as part of CMS project 9612 in 2025-2026.,CMS
66183,SPECIES,"Previous distributions for Burkina Faso, Equatorial Guinea, Namibia, Senegal, Somalia, Sudan [prior to secession of South Sudan], Togo deleted as part of CMS project 9612 in 2025-2026.",CMS
54398,SPECIES,"Previous distributions for Bahrain, Belgium, Denmark, Finland, Former Serbia and Montenegro, Guinea, Indonesia, Lao People's Democratic Republic, Liberia, Malta, Netherlands, Qatar, Seychelles, Singapore, Sudan [prior to secession of South Sudan], Sweden, Switzerland deleted as part of CMS project 9612 in 2025-2026.",CMS
94724,SPECIES,Previous distributions for Gabon deleted as part of CMS project 9612 in 2025-2026.,CMS
66351,SPECIES,"Previous distributions for Bahamas, Bermuda (United Kingdom), Cuba, Ecuador deleted as part of CMS project 9612 in 2025-2026.",CMS
66322,SPECIES,Previous distributions for Sudan [prior to secession of South Sudan] deleted as part of CMS project 9612 in 2025-2026.,CMS
66318,SPECIES,Previous distributions for Lesotho deleted as part of CMS project 9612 in 2025-2026.,CMS
66319,SPECIES,"Previous distributions for Eswatini, Gabon, Israel, Rwanda, Sierra Leone, Somalia, Sudan [prior to secession of South Sudan], United Arab Emirates deleted as part of CMS project 9612 in 2025-2026.",CMS
95766,SPECIES,"Previous distributions for Egypt, Lesotho deleted as part of CMS project 9612 in 2025-2026.",CMS
54519,SPECIES,"Previous distributions for British Virgin Islands (United Kingdom), Cabo Verde, Former Serbia and Montenegro, Hong Kong, SAR, Iceland, Ireland, Norway, Seychelles, Sudan [prior to secession of South Sudan], United Kingdom of Great Britain and Northern Ireland, United States Minor Outlying Islands deleted as part of CMS project 9612 in 2025-2026.",CMS
54577,SPECIES,"Previous distributions for Armenia, Azerbaijan, Bangladesh, Cyprus, Egypt, Estonia, Finland, Former Serbia and Montenegro, Gambia, Georgia, Iceland, India, Iraq, Israel, Jordan, Lebanon, Libya, Mauritania, Montenegro, Nepal, Niger, North Macedonia, Norway, Sudan, Sudan [prior to secession of South Sudan], Syrian Arab Republic, Turkmenistan deleted as part of CMS project 9612 in 2025-2026.",CMS
