taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,
54495,SPECIES,COUNTRY,TN,20130,CMS,
54495,SPECIES,COUNTRY,TR,20130,CMS,
54495,SPECIES,COUNTRY,UA,20130,CMS,
54495,SPECIES,COUNTRY,TZ,20130,CMS,
54495,SPECIES,COUNTRY,UZ,20130,CMS,
54495,SPECIES,COUNTRY,YE,20130,CMS,
54495,SPECIES,COUNTRY,ER,20130,CMS,
66147,SPECIES,COUNTRY,BZ,20130,CMS,
66147,SPECIES,COUNTRY,CA,20130,CMS,
66147,SPECIES,COUNTRY,CO,20130,CMS,
66147,SPECIES,COUNTRY,CR,20130,CMS,
66147,SPECIES,COUNTRY,SV,20130,CMS,
66147,SPECIES,COUNTRY,GT,20130,CMS,
66147,SPECIES,COUNTRY,HN,20130,CMS,
66147,SPECIES,COUNTRY,MX,20130,CMS,
66147,SPECIES,COUNTRY,NI,20130,CMS,
66147,SPECIES,COUNTRY,US,20130,CMS,
54441,SPECIES,COUNTRY,AL,20130,CMS,
54441,SPECIES,COUNTRY,AD,20130,CMS,
54441,SPECIES,COUNTRY,AM,20130,CMS,
54441,SPECIES,COUNTRY,AT,20130,CMS,
54441,SPECIES,COUNTRY,AZ,20130,CMS,
54441,SPECIES,COUNTRY,BY,20130,CMS,
54441,SPECIES,COUNTRY,BE,20130,CMS,
54441,SPECIES,COUNTRY,BT,20130,CMS,
54441,SPECIES,COUNTRY,BA,20130,CMS,
54441,SPECIES,COUNTRY,BG,20130,CMS,
54441,SPECIES,COUNTRY,CA,20130,CMS,
54441,SPECIES,COUNTRY,CN,20130,CMS,
54441,SPECIES,COUNTRY,HR,20130,CMS,
54441,SPECIES,COUNTRY,CY,20130,CMS,
54441,SPECIES,COUNTRY,CZ,20130,CMS,
54441,SPECIES,COUNTRY,KP,20130,CMS,
54441,SPECIES,COUNTRY,DK,20130,CMS,
54441,SPECIES,COUNTRY,EE,20130,CMS,
54441,SPECIES,COUNTRY,FI,20130,CMS,
54441,SPECIES,COUNTRY,FR,20130,CMS,
54441,SPECIES,COUNTRY,GE,20130,CMS,
54441,SPECIES,COUNTRY,GE,20130,CMS,
54441,SPECIES,COUNTRY,DE,20130,CMS,
54441,SPECIES,TERRITORY,GI,20130,CMS,
54441,SPECIES,COUNTRY,GR,20130,CMS,
54441,SPECIES,TERRITORY,HK,20130,CMS,
54441,SPECIES,COUNTRY,HU,20130,CMS,
54441,SPECIES,COUNTRY,IN,20130,CMS,
54441,SPECIES,COUNTRY,IR,20130,CMS,
54441,SPECIES,COUNTRY,IE,20130,CMS,
54441,SPECIES,COUNTRY,IL,20130,CMS,
54441,SPECIES,COUNTRY,IT,20130,CMS,
54441,SPECIES,COUNTRY,JP,20130,CMS,
54441,SPECIES,COUNTRY,JO,20130,CMS,
54441,SPECIES,COUNTRY,KZ,20130,CMS,
54441,SPECIES,COUNTRY,KW,20130,CMS,
54441,SPECIES,COUNTRY,KG,20130,CMS,
54441,SPECIES,COUNTRY,LA,20130,CMS,
54441,SPECIES,COUNTRY,LV,20130,CMS,
54441,SPECIES,COUNTRY,LB,20130,CMS,
54441,SPECIES,COUNTRY,LI,20130,CMS,
54441,SPECIES,COUNTRY,LT,20130,CMS,
54441,SPECIES,COUNTRY,LU,20130,CMS,
54441,SPECIES,COUNTRY,MX,20130,CMS,
54441,SPECIES,COUNTRY,MN,20130,CMS,
54441,SPECIES,COUNTRY,ME,20130,CMS,
54441,SPECIES,COUNTRY,MA,20130,CMS,
54441,SPECIES,COUNTRY,MM,20130,CMS,
54441,SPECIES,COUNTRY,NP,20130,CMS,
54441,SPECIES,COUNTRY,NL,20130,CMS,
54441,SPECIES,COUNTRY,MK,20130,CMS,
54441,SPECIES,COUNTRY,NO,20130,CMS,
54441,SPECIES,COUNTRY,PL,20130,CMS,
54441,SPECIES,COUNTRY,PT,20130,CMS,
54441,SPECIES,COUNTRY,KR,20130,CMS,
54441,SPECIES,COUNTRY,MD,20130,CMS,
54441,SPECIES,COUNTRY,RO,20130,CMS,
54441,SPECIES,COUNTRY,RU,20130,CMS,
54441,SPECIES,TERRITORY,PM,20130,CMS,
54441,SPECIES,COUNTRY,SA,20130,CMS,
54441,SPECIES,COUNTRY,RS,20130,CMS,
54441,SPECIES,COUNTRY,SK,20130,CMS,
54441,SPECIES,COUNTRY,SI,20130,CMS,
54441,SPECIES,COUNTRY,ES,20130,CMS,
54441,SPECIES,COUNTRY,PS,20130,CMS,
54441,SPECIES,COUNTRY,SE,20130,CMS,
54441,SPECIES,COUNTRY,CH,20130,CMS,
54441,SPECIES,COUNTRY,SY,20130,CMS,
54441,SPECIES,COUNTRY,TH,20130,CMS,
54441,SPECIES,COUNTRY,TM,20130,CMS,
54441,SPECIES,COUNTRY,TR,20130,CMS,
54441,SPECIES,COUNTRY,UA,20130,CMS,
54441,SPECIES,COUNTRY,GB,20130,CMS,
54441,SPECIES,COUNTRY,US,20130,CMS,
54441,SPECIES,COUNTRY,UZ,20130,CMS,
54441,SPECIES,COUNTRY,MC,,CMS,
54467,SPECIES,COUNTRY,BN,20130,CMS,
54467,SPECIES,COUNTRY,KH,20130,CMS,
54467,SPECIES,COUNTRY,CN,20130,CMS,
54467,SPECIES,COUNTRY,KP,20130,CMS,
54467,SPECIES,TERRITORY,HK,20130,CMS,
54467,SPECIES,COUNTRY,IN,20130,CMS,
54467,SPECIES,COUNTRY,ID,20130,CMS,
54467,SPECIES,COUNTRY,JP,20130,CMS,
54467,SPECIES,COUNTRY,LA,20130,CMS,
54467,SPECIES,TERRITORY,MO,20130,CMS,
54467,SPECIES,COUNTRY,MY,20130,CMS,
54467,SPECIES,COUNTRY,MN,20130,CMS,
54467,SPECIES,COUNTRY,MM,20130,CMS,
54467,SPECIES,COUNTRY,PH,20130,CMS,
54467,SPECIES,COUNTRY,KR,20130,CMS,
54467,SPECIES,COUNTRY,RU,20130,CMS,
54467,SPECIES,COUNTRY,SG,20130,CMS,
54467,SPECIES,TERRITORY,TW,20130,CMS,
54467,SPECIES,COUNTRY,TH,20130,CMS,
54467,SPECIES,COUNTRY,VN,20130,CMS,
66150,SPECIES,COUNTRY,AO,20130,CMS,
66150,SPECIES,COUNTRY,BJ,20130,CMS,
66150,SPECIES,COUNTRY,BW,20130,CMS,
66150,SPECIES,COUNTRY,BI,20130,CMS,
66150,SPECIES,COUNTRY,CM,20130,CMS,
66150,SPECIES,COUNTRY,CF,20130,CMS,
66150,SPECIES,COUNTRY,CG,20130,CMS,
66150,SPECIES,COUNTRY,CI,20130,CMS,
66150,SPECIES,COUNTRY,CD,20130,CMS,
66150,SPECIES,COUNTRY,GQ,20130,CMS,
66150,SPECIES,COUNTRY,SZ,20130,CMS,
66150,SPECIES,COUNTRY,ET,20130,CMS,
66150,SPECIES,COUNTRY,GA,20130,CMS,
66150,SPECIES,COUNTRY,GH,20130,CMS,
66150,SPECIES,COUNTRY,GN,20130,CMS,
66150,SPECIES,COUNTRY,KE,20130,CMS,
66150,SPECIES,COUNTRY,LR,20130,CMS,
66150,SPECIES,COUNTRY,MW,20130,CMS,
66150,SPECIES,COUNTRY,MZ,20130,CMS,
66150,SPECIES,COUNTRY,NA,20130,CMS,
66150,SPECIES,COUNTRY,NG,20130,CMS,
66150,SPECIES,COUNTRY,RW,20130,CMS,
66150,SPECIES,COUNTRY,SN,20130,CMS,
66150,SPECIES,COUNTRY,SL,20130,CMS,
66150,SPECIES,COUNTRY,ZA,20130,CMS,
66150,SPECIES,COUNTRY,SS,20130,CMS,
66150,SPECIES,COUNTRY,SD,20130,CMS,
66150,SPECIES,COUNTRY,TG,20130,CMS,
66150,SPECIES,COUNTRY,UG,20130,CMS,
66150,SPECIES,COUNTRY,TZ,20130,CMS,
66150,SPECIES,COUNTRY,ZM,20130,CMS,
66150,SPECIES,COUNTRY,ZW,20130,CMS,
54434,SPECIES,COUNTRY,AF,20130,CMS,
54434,SPECIES,COUNTRY,AL,20130,CMS,
54434,SPECIES,COUNTRY,DZ,20130,CMS,
54434,SPECIES,COUNTRY,AD,20130,CMS,
54434,SPECIES,COUNTRY,AM,20130,CMS,
54434,SPECIES,COUNTRY,AT,20130,CMS,
