taxon_concept_id,Rank,GEO_entity,ISO Code 2,Designation,Tags
54690,SPECIES,COUNTRY,LK,CMS,extinct (?)
12018,SPECIES,COUNTRY,TM,CMS,extinct
12018,SPECIES,COUNTRY,LU,CMS,introduced
11847,SPECIES,COUNTRY,DE,CMS,distribution uncertain
11847,SPECIES,COUNTRY,KW,CMS,distribution uncertain
11847,SPECIES,COUNTRY,MT,CMS,distribution uncertain
11847,SPECIES,COUNTRY,SI,CMS,extinct
11847,SPECIES,COUNTRY,CH,CMS,distribution uncertain
11993,SPECIES,COUNTRY,CM,CMS,extinct (?)
11993,SPECIES,COUNTRY,CF,CMS,extinct (?)
11993,SPECIES,COUNTRY,TD,CMS,extinct (?)
11993,SPECIES,COUNTRY,ER,CMS,extinct (?)
11993,SPECIES,COUNTRY,ET,CMS,extinct (?)
11993,SPECIES,COUNTRY,KG,CMS,extinct (?)
11993,SPECIES,COUNTRY,NG,CMS,extinct (?)
11732,SPECIES,COUNTRY,RO,CMS,extinct
11791,SPECIES,COUNTRY,LY,CMS,distribution uncertain
11791,SPECIES,TERRITORY,MS,CMS,distribution uncertain
11791,SPECIES,COUNTRY,KN,CMS,distribution uncertain
11791,SPECIES,COUNTRY,SY,CMS,distribution uncertain
11791,SPECIES,TERRITORY,AW,CMS,distribution uncertain
11791,SPECIES,COUNTRY,SG,CMS,distribution uncertain
11821,SPECIES,COUNTRY,DK,CMS,extinct
11919,SPECIES,COUNTRY,TM,CMS,extinct
11497,SPECIES,COUNTRY,TM,CMS,extinct
12154,SPECIES,COUNTRY,KE,CMS,extinct
11954,SPECIES,COUNTRY,LB,CMS,extinct
11793,SPECIES,COUNTRY,TM,CMS,extinct
11798,SPECIES,TERRITORY,GL,CMS,distribution uncertain
11798,SPECIES,COUNTRY,SG,CMS,distribution uncertain
11360,SPECIES,COUNTRY,AR,CMS,extinct (?)
11360,SPECIES,COUNTRY,BB,CMS,extinct (?)
11360,SPECIES,COUNTRY,BR,CMS,extinct (?)
11360,SPECIES,COUNTRY,CA,CMS,extinct (?)
11360,SPECIES,COUNTRY,CL,CMS,extinct (?)
11360,SPECIES,COUNTRY,MX,CMS,extinct (?)
11360,SPECIES,COUNTRY,PY,CMS,extinct (?)
11360,SPECIES,COUNTRY,US,CMS,extinct (?)
11360,SPECIES,COUNTRY,UY,CMS,extinct (?)
11410,SPECIES,COUNTRY,SD,CMS,extinct (?)
11610,SPECIES,COUNTRY,BA,CMS,extinct
11989,SPECIES,COUNTRY,SE,CMS,extinct
11543,SPECIES,COUNTRY,TM,CMS,extinct
95086,SPECIES,COUNTRY,IR,CMS,distribution uncertain
12147,SPECIES,COUNTRY,AT,CMS,extinct
12147,SPECIES,COUNTRY,CZ,CMS,extinct
12147,SPECIES,COUNTRY,LA,CMS,extinct
12147,SPECIES,COUNTRY,SK,CMS,extinct
