Kingdom, PhyName, ClaName, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Aglaiocercus, kingi, NULL, 692, A
Animalia, CHORDATA, MAMMALIA, CARNIVORA, URSIDAE, Ailuropoda, melanoleuca, NULL, 712, A
Animalia, CHORDATA, MAMMALIA, CARNIVORA, AILURIDAE, Ailurus, fulgens, NULL, 714, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Alopochen, aegyptiaca, NULL, 901, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, sara, NULL, 915, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, seniculus, NULL, 916, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, guariba, NULL, 912, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, palliata, NULL, 913, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, pigra, NULL, 914, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, belzebul, NULL, 909, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, caraya, NULL, 910, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, ATELIDAE, Alouatta, coibensis, NULL, 911, A
Animalia, CHORDATA, AVES, PASSERIFORMES, ESTRILDIDAE, Amadina, fasciata, NULL, 981, A
Animalia, CHORDATA, AVES, PASSERIFORMES, ESTRILDIDAE, Amandava, formosa, NULL, 982, A
Animalia, CHORDATA, AVES, PASSERIFORMES, ESTRILDIDAE, Amandava, subflava, NULL, 983, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Anodorhynchus, glaucus, NULL, 1313, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Anodorhynchus, hyacinthinus, NULL, 1314, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Anodorhynchus, leari, NULL, 1315, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, TAYASSUIDAE, Catagonus, wagneri, NULL, 4015, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Cephalophus, silvicultor, NULL, 4150, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Cephalophus, zebra, NULL, 4153, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Cephalophus, dorsalis, NULL, 4139, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Cephalophus, jentinki, NULL, 4140, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Cephalophus, ogilbyi, NULL, 4148, A
Animalia, CHORDATA, AVES, PASSERIFORMES, COTINGIDAE, Cephalopterus, ornatus, NULL, 4157, A
Animalia, CHORDATA, AVES, PASSERIFORMES, COTINGIDAE, Cephalopterus, penduliger, NULL, 4158, A
Animalia, CHORDATA, REPTILIA, SERPENTES, COLUBRIDAE, Cerberus, rynchops, NULL, 4189, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, CERCOPITHECIDAE, Cercopithecus, roloway, NULL, 4232, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, CERCOPITHECIDAE, Cercopithecus, mona, NULL, 4222, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, CERCOPITHECIDAE, Cercopithecus, petaurista, NULL, 4225, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, CERVIDAE, Cervus, elaphus, barbarus, 4259, A
Animalia, CHORDATA, ELASMOBRANCHII, LAMNIFORMES, CETORHINIDAE, Cetorhinus, maximus, NULL, 4292, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, heliodor, NULL, 159, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, mulsanti, NULL, 160, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, astreans, NULL, 156, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, berlepschi, NULL, 157, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Chaetocercus, bombus, NULL, 158, A
Animalia, CHORDATA, REPTILIA, SERPENTES, COLUBRIDAE, Atretium, schistosum, NULL, 2370, A
Animalia, CHORDATA, AVES, PASSERIFORMES, ATRICHORNITHIDAE, Atrichornis, clamosus, NULL, 2372, A
Animalia, CHORDATA, MAMMALIA, RODENTIA, DASYPROCTIDAE, Dasyprocta, punctata, NULL, 6277, A
Animalia, CHORDATA, MAMMALIA, CETACEA, DELPHINIDAE, Delphinus, delphis, NULL, 6336, A
Animalia, CHORDATA, AMPHIBIA, ANURA, DENDROBATIDAE, Dendrobates, arboreus, NULL, 6358, A
Animalia, CHORDATA, AMPHIBIA, ANURA, DENDROBATIDAE, Dendrobates, auratus, NULL, 6359, A
Animalia, CHORDATA, AMPHIBIA, ANURA, DENDROBATIDAE, Dendrobates, azureus, NULL, 6360, A
Animalia, CHORDATA, REPTILIA, SERPENTES, BOIDAE, Boa, constrictor, NULL, 2836, A
Animalia, CHORDATA, REPTILIA, SERPENTES, BOIDAE, Boa, constrictor, occidentalis, 2837, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Boissonneaua, flavescens, NULL, 2848, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Boissonneaua, jardini, NULL, 2849, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Boissonneaua, matthewsii, NULL, 2850, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Bolbopsittacus, lunulatus, NULL, 2851, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Bolborhynchus, ferrugineifrons, NULL, 2854, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Bolborhynchus, lineola, NULL, 2855, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Bolborhynchus, orbygnesius, NULL, 2856, A
Animalia, CHORDATA, REPTILIA, SERPENTES, BOLYERIIDAE, Bolyeria, multocarinata, NULL, 2864, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Bos, gaurus, NULL, 2887, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Bos, mutus, NULL, 2889, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Bos, sauveli, NULL, 2890, A
Animalia, CHORDATA, AVES, CICONIIFORMES, THRESKIORNITHIDAE, Bostrychia, hagedash, NULL, 2897, A
Animalia, CHORDATA, AVES, CICONIIFORMES, THRESKIORNITHIDAE, Bostrychia, rara, NULL, 2899, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Bothrops, asper, NULL, 2916, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Asturina, nitida, NULL, 2266, A
Animalia, CHORDATA, REPTILIA, SAURIA, IGUANIDAE, Brachylophus, fasciatus, NULL, 2964, A
Animalia, CHORDATA, REPTILIA, SAURIA, IGUANIDAE, Brachylophus, vitiensis, NULL, 2965, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Bison, bison, athabascae, 2813, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Bison, bison, NULL, 2815, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, CERVIDAE, Blastocerus, dichotomus, NULL, 2828, A
Animalia, CHORDATA, AVES, FALCONIFORMES, ACCIPITRIDAE, Circus, cyaneus, NULL, 4903, A
Animalia, CHORDATA, MAMMALIA, CARNIVORA, VIVERRIDAE, Civettictis, civetta, NULL, 4940, A
Animalia, CHORDATA, REPTILIA, SERPENTES, COLUBRIDAE, Clelia, clelia, NULL, 4962, A
Animalia, CHORDATA, REPTILIA, SAURIA, TEIIDAE, Cnemidophorus, hyperythrus, NULL, 4996, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, CERCOPITHECIDAE, Colobus, polykomos, NULL, 5144, A
Animalia, CHORDATA, MAMMALIA, PRIMATES, CERCOPITHECIDAE, Colobus, vellerosus, NULL, 5146, A
Animalia, CHORDATA, MAMMALIA, ARTIODACTYLA, BOVIDAE, Addax, nasomaculatus, NULL, 512, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Adelomyia, melanogenys, NULL, 514, A
Animalia, CHORDATA, AVES, PASSERIFORMES, PLOCEIDAE, Anaplectes, melanotis, NULL, 1217, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, chlorotis, NULL, 1238, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, oustaleti, NULL, 1230, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, penelope, NULL, 1231, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, querquedula, NULL, 1233, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, crecca, NULL, 1225, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, formosa, NULL, 1228, A
