SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
2851, II/w, 1987-03-20,122, NULL
2851, II/w, 1987-03-20,203, NULL
2852, II/r, 1981-06-06,122, NULL
2852, II/r, 1981-06-06,203, NULL
2852, II/w, 1987-03-20,122, NULL
2852, II/w, 1987-03-20,203, NULL
2853, II/r, 1981-06-06,122, NULL
2853, II/r, 1981-06-06,203, NULL
2853, II/w, 1987-03-20,122, NULL
2853, II/w, 1987-03-20,203, NULL
2854, II/r, 1981-06-06,122, NULL
2854, II/r, 1981-06-06,203, NULL
2854, II/w, 1987-03-20,122, NULL
2854, II/w, 1987-03-20,203, NULL
2855, II/r, 1981-06-06,122, NULL
2855, II/r, 1981-06-06,203, NULL
2855, II/w, 1987-03-20,122, NULL
2855, II/w, 1987-03-20,203, NULL
2856, II/r, 1981-06-06,122, NULL
2856, II/r, 1981-06-06,203, NULL
2856, II/w, 1987-03-20,122, NULL
2856, II/w, 1987-03-20,203, NULL
2897, III, 1976-02-26,82, NULL
2897, Deleted, 2007-03-04,82, NULL
2897, III/r, 1977-10-24,57, NULL
2897, III/w, 1984-01-01,57, NULL
2899, III/r, 1977-10-24,57, NULL
2899, III/w, 1984-01-01,57, NULL
2899, Deleted, 2007-03-04,82, NULL
2899, III, 1976-02-26,82, NULL
2916, III, 1987-04-13,95, NULL
2916, III/r, 1987-04-13,14, NULL
2916, III/w, 1990-09-26,14, NULL
2918, III/r, 1987-04-13,14, NULL
2918, III/w, 1990-09-26,14, NULL
2918, III, 1987-04-13,95, NULL
2919, III, 1987-04-13,95, NULL
2919, III/r, 1987-04-13,14, NULL
2919, III/w, 1990-09-26,14, NULL
2920, III/r, 1987-04-13,14, NULL
2920, III/w, 1990-09-26,14, NULL
2920, III, 1987-04-13,95, NULL
2921, III, 1987-04-13,95, NULL
2921, III/r, 1987-04-13,14, NULL
2921, III/w, 1990-09-26,14, NULL
2977, II/r, 1985-08-01,14, NULL
2977, II/w, 1989-01-06,14, NULL
3058, I/r, 1975-07-09,38, NULL
3058, I/w, 1982-10-29,38, NULL
3112, II/r, 1981-06-06,122, NULL
3112, II/r, 1981-06-06,203, NULL
3112, II/w, 1987-03-20,122, NULL
3112, II/w, 1987-03-20,203, NULL
3113, II/r, 1981-06-06,122, NULL
3113, II/r, 1981-06-06,203, NULL
3113, II/w, 1987-03-20,122, NULL
3113, II/w, 1987-03-20,203, NULL
3114, II/r, 1981-06-06,122, NULL
3114, II/r, 1981-06-06,203, NULL
3114, II/w, 1987-03-20,122, NULL
3114, II/w, 1987-03-20,203, NULL
3115, II/r, 1981-06-06,122, NULL
3115, II/r, 1981-06-06,203, NULL
3115, II/w, 1987-03-20,122, NULL
3115, II/w, 1987-03-20,203, NULL
3116, II/r, 1981-06-06,122, NULL
3116, II/r, 1981-06-06,203, NULL
3116, II/w, 1987-03-20,122, NULL
3116, II/w, 1987-03-20,203, NULL
3117, II/r, 1981-06-06,122, NULL
3117, II/r, 1981-06-06,203, NULL
3117, II/w, 1987-03-20,122, NULL
3117, II/w, 1987-03-20,203, NULL
3118, II/r, 1981-06-06,122, NULL
3118, II/r, 1981-06-06,203, NULL
3118, II/w, 1987-03-20,122, NULL
3118, II/w, 1987-03-20,203, NULL
3119, II/r, 1981-06-06,122, NULL
3119, II/r, 1981-06-06,203, NULL
3119, II/w, 1987-03-20,122, NULL
3119, II/w, 1987-03-20,203, NULL
3124, III/r, 1977-10-24,57, NULL
3124, III/w, 1984-01-01,57, NULL
3124, III, 1976-02-26,82, Originally listed as Ploceidae spp.
3124, Deleted, 2007-03-04,82, NULL
3125, III, 1975-11-16,148, NULL
3125, III/r, 1977-10-24,57, NULL
3125, III/w, 1984-01-01,57, NULL
3133, III, 1976-04-22,213, NULL
3145, III/r, 1977-10-24,57, NULL
3145, III/w, 1984-01-01,57, NULL
3145, III, 1976-02-26,82, NULL
3145, Deleted, 2007-03-04,82, NULL
3160, II/r, 1985-08-01,14, NULL
3160, II/w, 1989-01-06,14, NULL
3171, III, 1976-04-22,213, NULL
3335, III, 1981-04-23,89, NULL
3340, III/r, 1977-10-24,57, NULL
3340, III/w, 1979-06-28,57, NULL
3340, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3345, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3345, III/r, 1977-10-24,57, NULL
3345, III/w, 1979-06-28,57, NULL
3347, III/r, 1977-10-24,57, NULL
3347, III/w, 1979-06-28,57, NULL
3347, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3352, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3352, III/r, 1977-10-24,57, NULL
3352, III/w, 1979-06-28,57, NULL
3356, III/r, 1977-10-24,57, NULL
3356, III/w, 1979-06-28,57, NULL
3356, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3360, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3360, III/r, 1977-10-24,57, NULL
3360, III/w, 1979-06-28,57, NULL
3362, III/r, 1977-10-24,57, NULL
3362, III/w, 1979-06-28,57, NULL
3362, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3370, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3370, III/r, 1977-10-24,57, NULL
3370, III/w, 1979-06-28,57, NULL
3373, III/r, 1977-10-24,57, NULL
3373, III/w, 1979-06-28,57, NULL
3373, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3374, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3374, III/r, 1977-10-24,57, NULL
3374, III/w, 1979-06-28,57, NULL
3375, III/r, 1977-10-24,57, NULL
3375, III/w, 1979-06-28,57, NULL
3375, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3376, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
3376, III/r, 1977-10-24,57, NULL
3376, III/w, 1979-06-28,57, NULL
3412, III, 1976-10-28,51, NULL
3412, III/r, 1977-10-24,57, NULL
3412, III/w, 1984-01-01,57, NULL
3414, III/r, 1977-10-24,57, NULL
3414, III/w, 1984-01-01,57, NULL
3414, III, 1976-07-14,224, NULL
3423, II/r, 1981-06-06,122, NULL
3423, II/r, 1981-06-06,203, NULL
3423, II/w, 1987-03-20,122, NULL
3423, II/w, 1987-03-20,203, NULL
3424, II/r, 1981-06-06,122, NULL
3424, II/r, 1981-06-06,203, NULL
3424, II/w, 1987-03-20,122, NULL
3424, II/w, 1987-03-20,203, NULL
3425, II/r, 1981-06-06,203, NULL
3425, II/r, 1981-06-06,122, NULL
3426, II/r, 1981-06-06,122, NULL
3426, II/r, 1981-06-06,203, NULL
3426, II/w, 1987-03-20,122, NULL
3426, II/w, 1987-03-20,203, NULL
3427, II/r, 1981-06-06,122, NULL
3427, II/r, 1981-06-06,203, NULL
3427, II/w, 1987-03-20,122, NULL
3427, II/w, 1987-03-20,203, NULL
3428, II/r, 1981-06-06,122, NULL
3428, II/r, 1981-06-06,203, NULL
3428, II/w, 1987-03-20,122, NULL
3428, II/w, 1987-03-20,203, NULL
3429, II/r, 1981-06-06,122, NULL
3429, II/r, 1981-06-06,203, NULL
3429, II/w, 1987-03-20,122, NULL
3429, II/w, 1987-03-20,203, NULL
3430, II/r, 1981-06-06,122, NULL
3430, II/r, 1981-06-06,203, NULL
3430, II/w, 1987-03-20,122, NULL
3430, II/w, 1987-03-20,203, NULL
3431, II/r, 1981-06-06,122, NULL
3431, II/r, 1981-06-06,203, NULL
3431, II/w, 1987-03-20,122, NULL
3431, II/w, 1987-03-20,203, NULL
3432, II/r, 1981-06-06,122, NULL
3432, II/r, 1981-06-06,203, NULL
3432, II/w, 1987-03-20,122, NULL
3432, II/w, 1987-03-20,203, NULL
3433, II/r, 1981-06-06,122, NULL
3433, II/r, 1981-06-06,203, NULL
3433, II/w, 1987-03-20,122, NULL
3433, II/w, 1987-03-20,203, NULL
3449, II/r, 1981-06-06,203, NULL
3449, II/r, 1981-06-06,122, NULL
3453, I/r, 1976-10-31,221,On behalf of HK
3453, I/w, 1978-07-03,221,On behalf of HK
3454, I/r, 1976-10-31,221,On behalf of HK
3454, I/w, 1978-07-03,221,On behalf of HK
3454, I/r, 1979-12-31,105, NULL
3454, I/w, 1984-01-01,105, NULL
3455, II/r, 1976-10-31,221,On behalf of HK
3455, II/w, 1978-07-03,221,On behalf of HK
3456, II/r, 1976-10-31,221,On behalf of HK
3456, II/w, 1978-07-03,221,On behalf of HK
3456, II/r, 1987-02-28,189, NULL
3456, II/w, 1992-02-15,189, NULL
3457, II/r, 1976-10-31,221,On behalf of HK
3457, II/w, 1978-07-03,221,On behalf of HK
3459, III, 1987-04-13,95, NULL
3459, III/r, 1987-04-13,14, NULL
3459, III/w, 1990-09-26,14, NULL
3586, II/r, 1981-06-06,122, NULL
3586, II/r, 1981-06-06,203, NULL
3586, II/w, 1987-03-20,122, NULL
3586, II/w, 1987-03-20,203, NULL
3607, I/r, 2004-07-15,162, NULL
3607, I/r, 1979-06-28,203, NULL
3625, III, 1986-11-13,128, NULL
3625, Deleted, 2009-05-22,128, NULL
3657, II/r, 1981-06-06,122, NULL
3657, II/r, 1981-06-06,203, NULL
3657, II/w, 1987-03-20,122, NULL
3657, II/w, 1987-03-20,203, NULL
3658, II/r, 1981-06-06,122, NULL
3658, II/r, 1981-06-06,203, NULL
3658, II/w, 1987-03-20,122, NULL
3658, II/w, 1987-03-20,203, NULL
