Kingdom,SpcRecID, CtyRecID, CtyShort
Animalia,2167,204, Syrian Arab Republic
Animalia,2167,208, Thailand
Animalia,2167,216, Turks and Caicos Islands
Animalia,2167,218, Uganda
Animalia,2167,231, United States Virgin Islands
Animalia,2167,234, Yemen
Animalia,2167,191, Slovenia
Animalia,2167,66, Eritrea
Animalia,2167,52, Croatia
Animalia,2167,239, The former Yugoslav Republic of Macedonia
Animalia,2167,27, Bosnia and Herzegovina
Animalia,2167,190, Slovakia
Animalia,2169,1, Afghanistan
Animalia,2169,2, Albania
Animalia,2169,3, Algeria
Animalia,2169,5, Andorra
Animalia,2169,11, Armenia
Animalia,2169,14, Austria
Animalia,2169,15, Azerbaijan
Animalia,2169,20, Belarus
Animalia,2169,21, Belgium
Animalia,2169,33, Bulgaria
Animalia,2169,38, Canada
Animalia,2169,44, China
Animalia,2169,54, Cyprus
Animalia,2169,55, Czech Republic
Animalia,2169,57, Denmark
Animalia,2169,67, Estonia
Animalia,2169,72, Finland
Animalia,2169,73, France
Animalia,2169,80, Georgia
Animalia,2169,81, Germany
Animalia,2169,84, Greece
Animalia,2169,97, Hungary
Animalia,2169,99, India
Animalia,2169,101, Iran (Islamic Republic of)
Animalia,2169,103, Ireland
Animalia,2169,104, Israel
Animalia,2169,105, Italy
Animalia,2169,107, Japan
Animalia,2169,109, Kazakhstan
Animalia,2169,115, Kyrgyzstan
Animalia,2169,117, Latvia
Animalia,2169,122, Liechtenstein
Animalia,2169,123, Lithuania
Animalia,2169,124, Luxembourg
Animalia,2169,137, Mexico
Animalia,2169,139, Republic of Moldova
Animalia,2169,141, Mongolia
Animalia,2169,143, Morocco
Animalia,2169,149, Netherlands
Animalia,2169,159, Norway
Animalia,2169,161, Pakistan
Animalia,2169,169, Poland
Animalia,2169,170, Portugal
Animalia,2169,173, Romania
Animalia,2169,174, Russian Federation
Animalia,2169,196, Spain
Animalia,2169,202, Sweden
Animalia,2169,203, Switzerland
Animalia,2169,206, Tajikistan
Animalia,2169,213, Tunisia
Animalia,2169,214, Turkey
Animalia,2169,215, Turkmenistan
Animalia,2169,219, Ukraine
Animalia,2169,222, United States of America
Animalia,2169,221, United Kingdom of Great Britain and Northern Ireland
Animalia,2169,225, Uzbekistan
Animalia,2169,63, Egypt
Animalia,2169,102, Iraq
Animalia,2169,108, Jordan
Animalia,2169,112, Democratic People's Republic of Korea
Animalia,2169,113, Republic of Korea 
Animalia,2169,131, Malta
Animalia,2169,205,"Taiwan, Province of China"
Animalia,2169,24, Bermuda
Animalia,2169,53, Cuba
Animalia,2169,267, Serbia
Animalia,2169,70, Faeroe Islands
Animalia,2169,83, Gibraltar
Animalia,2169,96, Hong Kong SAR
Animalia,2169,98, Iceland
Animalia,2169,116, Lao People's Democratic Republic
Animalia,2169,118, Lebanon
Animalia,2169,145, Myanmar
Animalia,2169,148, Nepal
Animalia,2169,160, Oman
Animalia,2169,185, Saudi Arabia
Animalia,2169,180, Saint Pierre and Miquelon
Animalia,2169,204, Syrian Arab Republic
Animalia,2169,220, United Arab Emirates
Animalia,2169,190, Slovakia
Animalia,2169,27, Bosnia and Herzegovina
Animalia,2169,52, Croatia
Animalia,2169,191, Slovenia
Animalia,2169,239, The former Yugoslav Republic of Macedonia
Animalia,2170,10, Argentina
Animalia,2170,22, Belize
Animalia,2170,26, Bolivia
Animalia,2170,30, Brazil
Animalia,2170,47, Colombia
Animalia,2170,53, Cuba
Animalia,2170,60, Dominican Republic
Animalia,2170,62, Ecuador
Animalia,2170,89, Guatemala
Animalia,2170,93, Haiti
Animalia,2170,137, Mexico
Animalia,2170,153, Nicaragua
Animalia,2170,165, Paraguay
Animalia,538,137, Mexico
Animalia,538,51, Costa Rica
Animalia,2170,228, Venezuela (Bolivarian Republic of)
Animalia,537,92, Guyana
Animalia,536,2, Albania
Animalia,535,180, Saint Pierre and Miquelon
Animalia,536,268, Montenegro
Animalia,538,64, El Salvador
Animalia,536,11, Armenia
Animalia,538,163, Panama
Animalia,535,38, Canada
Animalia,536,80, Georgia
Animalia,535,222, United States of America
Animalia,535,24, Bermuda
Animalia,538,89, Guatemala
Animalia,536,14, Austria
Animalia,536,20, Belarus
Animalia,535,137, Mexico
Animalia,536,33, Bulgaria
Animalia,536,38, Canada
Animalia,536,5, Andorra
Animalia,536,55, Czech Republic
Animalia,536,57, Denmark
Animalia,536,21, Belgium
Animalia,536,72, Finland
Animalia,536,73, France
Animalia,536,44, China
Animalia,536,84, Greece
Animalia,536,105, Italy
Animalia,536,67, Estonia
Animalia,536,107, Japan
Animalia,536,109, Kazakhstan
Animalia,536,81, Germany
Animalia,536,117, Latvia
Animalia,536,122, Liechtenstein
Animalia,536,99, India
Animalia,536,141, Mongolia
Animalia,536,149, Netherlands
Animalia,536,115, Kyrgyzstan
Animalia,536,169, Poland
Animalia,536,173, Romania
Animalia,536,123, Lithuania
Animalia,536,196, Spain
Animalia,536,202, Sweden
Animalia,536,159, Norway
Animalia,536,206, Tajikistan
Animalia,536,214, Turkey
Animalia,536,174, Russian Federation
Animalia,536,222, United States of America
Animalia,536,180, Saint Pierre and Miquelon
Animalia,536,203, Switzerland
Animalia,536,124, Luxembourg
Animalia,536,221, United Kingdom of Great Britain and Northern Ireland
Animalia,536,219, Ukraine
Animalia,536,267, Serbia
Animalia,536,27, Bosnia and Herzegovina
Animalia,536,97, Hungary
Animalia,536,239, The former Yugoslav Republic of Macedonia
Animalia,536,191, Slovenia
Animalia,536,190, Slovakia
Animalia,537,26, Bolivia
Animalia,537,30, Brazil
Animalia,536,52, Croatia
Animalia,537,62, Ecuador
Animalia,537,165, Paraguay
Animalia,537,10, Argentina
Animalia,537,224, Uruguay
Animalia,537,228, Venezuela (Bolivarian Republic of)
Animalia,537,47, Colombia
Animalia,3144,207, United Republic of Tanzania
Animalia,3135,128, Malaysia
Animalia,537,166, Peru
Animalia,3142,128, Malaysia
Animalia,3131,172, Qatar
Animalia,3139,167, Philippines
Animalia,3140,207, United Republic of Tanzania
Animalia,3131,34, Burkina Faso
Animalia,3142,100, Indonesia
Animalia,3133,145, Myanmar
Animalia,3133,148, Nepal
Animalia,3140,90, Guinea
Animalia,3133,108, Jordan
Animalia,3136,271, Sudan
Animalia,3133,18, Bangladesh
Animalia,3130,28, Botswana
Animalia,3130,35, Burundi
Animalia,3133,268, Montenegro
Animalia,3130,68, Ethiopia
Animalia,3130,78, Gabon
Animalia,3130,6, Angola
Animalia,3130,119, Lesotho
Animalia,3130,127, Malawi
Animalia,3130,49, Congo
Animalia,3130,146, Namibia
Animalia,3130,160, Oman
Animalia,3130,110, Kenya
Animalia,3130,185, Saudi Arabia
Animalia,3130,194, South Africa
Animalia,3130,144, Mozambique
Animalia,3130,207, United Republic of Tanzania
Animalia,3130,218, Uganda
Animalia,3130,175, Rwanda
Animalia,3130,236, Democratic Republic of the Congo
Animalia,3130,237, Zambia
Animalia,3130,201, Swaziland
Animalia,3131,3, Algeria
Animalia,3131,42, Chad
Animalia,3130,234, Yemen
Animalia,3131,66, Eritrea
Animalia,3131,102, Iraq
Animalia,3130,238, Zimbabwe
Animalia,3131,108, Jordan
Animalia,3131,114, Kuwait
Animalia,3131,63, Egypt
Animalia,3131,130, Mali
Animalia,3131,134, Mauritania
Animalia,3131,104, Israel
Animalia,3131,154, Niger
Animalia,3131,160, Oman
Animalia,3131,121, Libyan Arab Jamahiriya
Animalia,3131,213, Tunisia
Animalia,3131,220, United Arab Emirates
Animalia,3131,143, Morocco
Animalia,3131,186, Senegal
Animalia,3131,271, Sudan
