Kingdom,SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
Animalia,1572, II/w, 1982-10-29,38, NULL
Animalia,1681, III/r, 1977-10-24,57, NULL
Animalia,1681, III/w, 1984-01-01,57, NULL
Animalia,1681, III, 1975-11-16,148, NULL
Animalia,1793, III, 1975-07-01,82, NULL
Animalia,1820, I/r, 1976-10-31,221,On behalf of HK
Animalia,1820, I/w, 1978-07-03,221,On behalf of HK
Animalia,1931, II/r, 1981-06-06,122, NULL
Animalia,1931, II/r, 1981-06-06,203, NULL
Animalia,1931, II/w, 1987-03-20,122, NULL
Animalia,1931, II/w, 1987-03-20,203, NULL
Animalia,1932, II/r, 1981-06-06,122, NULL
Animalia,1932, II/r, 1981-06-06,203, NULL
Animalia,1932, II/w, 1987-03-20,122, NULL
Animalia,1932, II/w, 1987-03-20,203, NULL
Animalia,1951, I/r, 1996-06-10,185, NULL
Animalia,1953, II/r, 1975-07-09,38, NULL
Animalia,1953, II/w, 1977-04-15,38, NULL
Animalia,1956, I/r, 1996-06-10,185, NULL
Animalia,1963, III, 1976-10-28,51, NULL
Animalia,1963, I/r, 1985-08-01,14, NULL
Animalia,1963, I/w, 1989-01-06,14, NULL
Animalia,1963, III/r, 1977-10-24,57, NULL
Animalia,1963, III/w, 1981-06-06,57, NULL
Animalia,1967, I/r, 2003-02-13,167, NULL
Animalia,1968, I/r, 1983-07-29,14, NULL
Animalia,1968, I/w, 1989-01-06,14, NULL
Animalia,1969, I/r, 1985-08-01,14, NULL
Animalia,1969, I/r, 1985-08-01,203, NULL
Animalia,1969, I/r, 1985-08-01,122, NULL
Animalia,1969, I/r, 1985-08-01,199, NULL
Animalia,1969, I/w, 1989-01-06,14, NULL
Animalia,1969, III/r, 1977-10-24,57, NULL
Animalia,1969, III/w, 1981-06-06,57, NULL
Animalia,1969, III, 1976-10-28,51, NULL
Animalia,1974, I/r, 1983-07-29,14, NULL
Animalia,1974, I/w, 1989-01-06,14, NULL
Animalia,1992, II/r, 1981-06-06,122, NULL
Animalia,1992, II/r, 1981-06-06,203, NULL
Animalia,1993, II/r, 1981-06-06,122, NULL
Animalia,1993, II/r, 1981-06-06,203, NULL
Animalia,1994, II/r, 1981-06-06,122, NULL
Animalia,1994, II/r, 1981-06-06,203, NULL
Animalia,1995, II/r, 1981-06-06,122, NULL
Animalia,1995, II/r, 1981-06-06,203, NULL
Animalia,1996, II/r, 1981-06-06,122, NULL
Animalia,1996, II/r, 1981-06-06,203, NULL
Animalia,1997, II/r, 1981-06-06,122, NULL
Animalia,1997, II/r, 1981-06-06,203, NULL
Animalia,1998, II/r, 1981-06-06,122, NULL
Animalia,1998, II/r, 1981-06-06,203, NULL
Animalia,1999, II/r, 1981-06-06,122, NULL
Animalia,1999, II/r, 1981-06-06,203, NULL
Animalia,2000, II/r, 1981-06-06,122, NULL
Animalia,2000, II/r, 1981-06-06,203, NULL
Animalia,2002, II/r, 1981-06-06,122, NULL
Animalia,2002, II/r, 1981-06-06,203, NULL
Animalia,2003, II/r, 1981-06-06,122, NULL
Animalia,2003, II/r, 1981-06-06,203, NULL
Animalia,2004, II/r, 1981-06-06,122, NULL
Animalia,2004, II/r, 1981-06-06,203, NULL
Animalia,2005, II/r, 1981-06-06,122, NULL
Animalia,2005, II/r, 1981-06-06,203, NULL
Animalia,2006, II/r, 1981-06-06,122, NULL
Animalia,2006, II/r, 1981-06-06,203, NULL
Animalia,2007, II/r, 1981-06-06,122, NULL
Animalia,2007, II/r, 1981-06-06,203, NULL
Animalia,2008, II/r, 1981-06-06,122, NULL
Animalia,2008, II/r, 1981-06-06,203, NULL
Animalia,2009, II/r, 1981-06-06,122, NULL
Animalia,2009, II/r, 1981-06-06,203, NULL
Animalia,2010, II/r, 1981-06-06,122, NULL
Animalia,2010, II/r, 1981-06-06,203, NULL
Animalia,2011, II/r, 1981-06-06,122, NULL
Animalia,2011, II/r, 1981-06-06,203, NULL
Animalia,2015, II/r, 1981-06-06,122, NULL
Animalia,2015, II/r, 1981-06-06,203, NULL
Animalia,2024, Deleted, 2009-05-22,128, NULL
Animalia,2024, III, 1986-11-13,128, NULL
Animalia,2051, III, 1989-03-16,99, NULL
Animalia,2051, III/r, 2000-08-16,81, NULL
Animalia,2051, III/w, 2001-04-12,81, NULL
Animalia,2051, III/r, 1989-03-16,81, NULL
Animalia,2051, III/w, 1990-04-23,81, NULL
Animalia,2051, III/r, 1989-03-16,57, NULL
Animalia,2051, III/w, 1990-01-18,57, NULL
Animalia,2051, III/r, 1989-05-24,196, NULL
Animalia,2051, III/w, 1990-10-23,196, NULL
Animalia,2051, III/r, 1989-05-17,221, NULL
Animalia,2051, III/w, 1990-05-25,221, NULL
Animalia,2051, III/r, 1989-03-16,105, NULL
Animalia,2051, III/w, 1990-03-01,105, NULL
Animalia,2051, III/r, 1989-03-30,124, NULL
Animalia,2051, III/r, 1990-04-18,124, NULL
Animalia,2051, III/r, 1989-06-29,149, NULL
Animalia,2051, III/w, 1991-01-11,149, NULL
Animalia,2051, III/r, 1989-07-28,170, NULL
Animalia,2051, III/w, 1990-08-03,170, NULL
Animalia,2074, III/r, 1977-10-24,57, NULL
Animalia,2074, III/w, 1984-01-01,57, NULL
Animalia,2074, III, 1976-02-26,82, NULL
Animalia,2074, Deleted, 2007-03-04,82, NULL
Animalia,2173, I/r, 1976-10-31,221,On behalf of HK
Animalia,2173, I/w, 1978-07-03,221,On behalf of HK
Animalia,2266, III/r, 1977-10-24,57, NULL
Animalia,2266, III/w, 1979-06-28,57, NULL
Animalia,2266, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
Animalia,2370, III, 1984-02-13,99, NULL
Animalia,2457, III, 1976-02-26,82, Originally listed as Anatidae spp.
Animalia,2457, Deleted, 2007-03-04,82, NULL
Animalia,2457, III/r, 1977-10-24,57, NULL
Animalia,2457, III/w, 1984-01-01,57, NULL
Animalia,2464, III, 1992-06-11,10, NULL
Animalia,2467, I/r, 1975-07-09,38, NULL
Animalia,2467, I/w, 1978-08-11,38, NULL
Animalia,2474, I/r, 1986-01-01,14, NULL
Animalia,2474, I/r, 1986-01-01,30, NULL
Animalia,2474, I/r, 1986-01-01,107, Except population of West Greenland
Animalia,2474, I/r, 1986-01-01,159, Except population of West Greenland
Animalia,2474, I/r, 1986-01-01,166, Except population of West Greenland
Animalia,2474, I/r, 1986-01-01,241, NULL
Animalia,2474, I/w, 1989-01-06,14, NULL
Animalia,2474, I/w, 1991-05-07,30, NULL
Animalia,2474, I/w, 1995-04-26,241, NULL
Animalia,2474, I/r, 2004-07-15,162, NULL
Animalia,2474, II/r, 2000-04-02,98, Population of West Greenland
Animalia,2474, I/r, 2000-04-02,98, Except population of West Greenland
Animalia,2474, I/w, 2001-10-24,166, NULL
Animalia,2475, I/r, 2000-04-02,98, NULL
Animalia,2475, II/r, 1977-02-04,38, NULL
Animalia,2475, II/r, 1977-02-04,194, NULL
Animalia,2475, II/w, 1979-06-28,38, Reservation withdrawn as species transferred from II to I
Animalia,2475, II/w, 1979-06-28,194, Reservation withdrawn as species transferred from II to I
Animalia,2475, I/r, 1981-06-06,107,Reservation not applicable to stocks (A) in North Pacific and (B) in area 0 longitude to 70 east longitude from the equator to the Antarctic continent
Animalia,2475, I/r, 1981-06-06,159,Reservation not applicable to stocks (A) in North Pacific and (B) in area 0 longitude from the equator to the Antarctic continent
Animalia,2475, I/r, 1977-02-04,13, NULL
Animalia,2475, I/r, 1977-02-04,38, NULL
Animalia,2475, I/r, 1977-02-04,241, NULL
Animalia,2475, I/r, 1977-02-04,194, NULL
Animalia,2475, I/w, 1981-08-27,13, NULL
Animalia,2475, I/w, 1982-10-29,38, NULL
Animalia,2475, I/w, 1995-04-26,241, NULL
Animalia,2475, I/w, 1981-02-17,194, NULL
Animalia,2476, I/r, 1983-07-29,14, NULL
Animalia,2476, I/r, 1983-07-29,30, NULL
Animalia,2476, I/r, 1983-07-29,107, NULL
Animalia,2476, I/r, 1983-07-29,166, NULL
