Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,190,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,191,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,192,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,193,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,194,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,195,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,197,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,198,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,199,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,200,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,201,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,202,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,203,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,204,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,205,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,207,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,208,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,209,I,22/10/1987 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,219,I,01/07/1975 00:00,NULL,"Annual export quotas for live specimens and hunting trophies are granted as follows: BW (5), NA (150), ZW (50). The trade in such specimens is subject to the provisions of Article III of the Convention.",,,,,,,,,,,,,,
Animalia,219,I/r,18/03/1991 00:00,146,NULL,,,,,,,,,,,,,,
Animalia,222,I,01/07/1975 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,222,I/r,09/07/1975 00:00,38,NULL,,,,,,,,,,,,,,
Animalia,222,I/w,15/04/1977 00:00,38,NULL,,,,,,,,,,,,,,
Animalia,223,II/r,09/07/1975 00:00,38,NULL,,,,,,,,,,,,,,
Animalia,223,II/w,29/10/1982 00:00,38,NULL,,,,,,,,,,,,,,
Animalia,223,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,223,II,01/07/1975 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,223,Deleted,29/07/1983 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,224,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,225,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,226,I/w,28/06/1979 00:00,38,Reservation withdrawn as species transferred from I to II,,,,,,,,,,,,,,
Animalia,226,II,01/04/1998 00:00,NULL,Included with ACIPENSERIFORMES spp.,,,,,,,,,,,,,,
Animalia,226,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,226,I,01/07/1975 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,226,I/r,09/07/1975 00:00,38,NULL,,,,,,,,,,,,,,
Animalia,227,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,228,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,229,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,230,I/w,06/01/1989 00:00,14,NULL,,,,,,,,,,,,,,
Animalia,230,I,29/07/1983 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,230,II,01/07/1975 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,230,I/r,29/07/1983 00:00,14,NULL,,,,,,,,,,,,,,
Animalia,231,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,232,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
