Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,robustior,Sherff,23251,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kohalae,Skottsb.,NULL,NULL,NULL,27227,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lanaiensis,Rock,NULL,NULL,NULL,27228,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lihuensis,Sherff,var.,gracilipes,Sherff,27229,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lihuensis,Sherff,var.,lihuensis,NULL,23252,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,brachypoda,Sherff,27231,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,coriacea,Sherff,27232,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,forbesii,Sherff,27233,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,leptorhachis,Degener & Sherff,27234,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,lydgatei,NULL,27230,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,bisobtusa,Sherff,27235,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,bryanii,Sherff,27236,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,degeneri,Sherff,27237,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,hillebrandii,Sherff,27238,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,hiloensis,Sherff,27239,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,Sherff,var.,leptomera,Sherff,27240,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,longipendunculata,Skottsb.,23253,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebr.) Harms,var.,makalehana,Sherff,27241,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,meiandra,NULL,23254,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,molokaiensis,Skottsb.,23255,S,23787
