Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Rhechostica,pallida,"(Pickard-Cambridge, 1897)",NULL,NULL,NULL,87354,S,27853
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Selenocosmia,himalayana,"Pocock, 1899",NULL,NULL,NULL,100734,S,100581
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Xenodendrophila,gabrieli,"Gallon, 2003",NULL,NULL,NULL,100828,S,100572
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERIDIIDAE,Latrodectus,tadzhicus,"Marusik & Tarabaev, 1995",NULL,NULL,NULL,77267,S,77247
Animalia,ARTHROPODA,ARACHNIDA,PSEUDOSCORPIONES,NEOBISIIDAE,Microcreagris,imperialis,"Muchmore, 1969",NULL,NULL,NULL,13329,S,8574
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Afghanorthochirus,daniellae,"Lourenço & Vachon, 1997",NULL,NULL,NULL,99291,S,77271
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Afghanorthochirus,erardi,"Lourenço & Vachon, 1997",NULL,NULL,NULL,99292,S,77272
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Afghanorthochirus,monodi,"Lourenço & Vachon, 1997",NULL,NULL,NULL,99293,S,77273
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Babycurus,crassicaudatus,"Roewer, 1952",NULL,NULL,NULL,77317,S,77315
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Babycurus,crassimanus,"Caporiacco, 1936",NULL,NULL,NULL,77318,S,77328
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Babycurus,johnstonii,"Pocock, 1896",NULL,NULL,NULL,77321,S,77316
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Babycurus,patrizii,"Borelli, 1925",NULL,NULL,NULL,77324,S,77328
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Babycurus,taramassoi,"Borelli, 1919",NULL,NULL,NULL,77327,S,77328
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Caribetityus,elii,"(Armas & Marcano Fondeur, 1992)",NULL,NULL,NULL,77359,S,99421
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Caribetityus,quisqueyanus,"(Armas, 1982)",NULL,NULL,NULL,77360,S,99427
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Hottentotta,fuscitruncus,"(Caporiacco, 1936)",NULL,NULL,NULL,77449,S,77461
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Hottentotta,kraepelini,"(Roewer, 1943)",NULL,NULL,NULL,77453,S,77542
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Isometrus,sankariensis,"Tikader & Bastawade, 1983",NULL,NULL,NULL,77482,S,77483
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Microtityus,starri,"Lourenço & Huber, 1999",NULL,NULL,NULL,99389,S,77559
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Nanobuthus,andersoni,"Pocock, 1895",NULL,NULL,NULL,77564,S,99331
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Neobuthus,berberensis,"(Hirst, 1911)",NULL,NULL,NULL,77565,S,77348
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Olivierus,caucasicus,"(Nordmann, 1840)",NULL,NULL,NULL,77571,S,99386
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Orthochirus,luteipes,"Roewer, 1943",NULL,NULL,NULL,77579,S,77575
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Pakistanorthochirus,weitscahti,"Lourenço, 1997",NULL,NULL,NULL,77582,S,77330
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Parabuthus,mixtus,"Borelli, 1925",NULL,NULL,NULL,77598,S,77604
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Parabuthus,zavattarii,"Caporiacco, 1939",NULL,NULL,NULL,77611,S,77604
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Tityobuthus,gracilis,"(Fage, 1946)",NULL,NULL,NULL,77639,S,77833
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Tityus,lamottei,"Lourenço, 1981",NULL,NULL,NULL,77744,S,77798
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Tityus,serrulatus,"Lutz & Mello, 1922",NULL,NULL,NULL,77793,S,77798
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Uroplectes,monardi,"Vachon, 1950",NULL,NULL,NULL,99431,S,77718
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,BUTHIDAE,Uroplectes,patrizii,"Caporiacco, 1936",NULL,NULL,NULL,77722,S,77662
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,SCORPIONIDAE,Heterometrus,roeseli,"Simon, 1872",NULL,NULL,NULL,28232,S,15942
Animalia,ARTHROPODA,ARACHNIDA,SCORPIONES,SCORPIONIDAE,Pandinus,africanus,"Thorell, 1876",NULL,NULL,NULL,28451,S,15942
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,CURCULIONIDAE,Karocolens,pittospori,"Kuschel, 1987",NULL,NULL,NULL,10959,S,73670
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,CURCULIONIDAE,Karocolens,tuberculatus,"(Pascoe, 1877)",NULL,NULL,NULL,41089,S,9617
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Nebrioporus,canariensis,"(Bedel, 1881)",NULL,NULL,NULL,73742,S,18096
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Nebrioporus,insignis,"(Klug, 1834)",NULL,NULL,NULL,73743,S,18098
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Nebrioporus,lanceolatus,"(Walker, 1871)",NULL,NULL,NULL,73744,S,18099
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,Nebrioporus,walkeri,"(Van den Branden, 1885)",NULL,NULL,NULL,73745,S,18100
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,Stenelmis,calida,"La Rivers, 1949",ssp.,moapa,NULL,78835,S,20735
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Oryctes,chevrolati,"Guérin, 1844",NULL,NULL,NULL,78836,S,15566
Animalia,ARTHROPODA,INSECTA,COLEOPTERA,TROGIDAE,Omorgus,howelli,"(Howden & Vaurie, 1957)",NULL,NULL,NULL,73765,S,22380
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Arctophila,fulva,"(Harris, 1780)",NULL,NULL,NULL,89706,S,89340
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Baccha,obscuripennis,"Meigen, 1822",NULL,NULL,NULL,89702,S,89341
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Callicera,aenea,"(Fabricius, 1777)",NULL,NULL,NULL,89707,S,89350
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Cheilosia,globulipes,"Becker, 1894",NULL,NULL,NULL,89710,S,89688
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Cheilosia,honesta,"Rondani, 1868",NULL,NULL,NULL,89708,S,89681
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Cheilosia,intonsa,"Loew, 1857",NULL,NULL,NULL,89709,S,89682
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Cheilosia,nasutula,"Becker, 1894",NULL,NULL,NULL,89711,S,89699
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Chrysogaster,chalybeata,"Meigen, 1822",NULL,NULL,NULL,89771,S,89770
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Chrysogaster,hirtella,"Loew, 1843 ",NULL,NULL,NULL,90845,S,90846
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Chrysogaster,macquarti,"Loew, 1843",NULL,NULL,NULL,91875,S,91874
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Dasysyrphus,lunulatus,"(Meigen, 1822)",NULL,NULL,NULL,90338,S,90337
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Doros,conopseus,"(Fabricius, 1776)",NULL,NULL,NULL,90345,S,90344
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Epistrophe,euchroma,"(Kowarz, 1885)",NULL,NULL,NULL,91077,S,91873
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Eristalis,nemorum,"(Linnaeus, 1758)",NULL,NULL,NULL,90363,S,90362
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Eristalis,pratorum,"(Meigen, 1822)",NULL,NULL,NULL,90368,S,90367
