Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1983,A-306.001.004.001,Manual de identificación de la CITES - Paleosuchus palpebrosus,ES,A-306.001.004.001,3,CITES ID Manual,General,A-306.001.004.001 Paleosuchus palpebrosus_S.pdf
1983,A-306.001.004.002,CITES ID Manual - Paleosuchus trigonatus,EN,,3,CITES ID Manual,General,A-306.001.004.002 Paleosuchus trigonatus_E.pdf
1983,A-306.001.004.002,Manual de identificación de la CITES - Paleosuchus trigonatus,ES,A-306.001.004.002,3,CITES ID Manual,General,A-306.001.004.002 Paleosuchus trigonatus_S.pdf
1983,A-306.002.000.001,CITES ID Manual - Crocodylidae,EN,,3,CITES ID Manual,General,A-306.002.000.001 Crocodylidae identification key_E.pdf
1983,A-306.002.000.001,Manual de identificación de la CITES - Crocodylidae - Géneros,ES,A-306.002.000.001,3,CITES ID Manual,General,A-306.002.000.001 Crocodylidae identification key genera_S.pdf
1983,A-306.002.000.002,CITES ID Manual - Crocodylidae - Genus,EN,,3,CITES ID Manual,General,A-306.002.000.002 Crocodylidae identification key by genus_E.pdf
1983,A-306.002.000.002,Manual de identificación de la CITES - Crocodylidae - Especies,ES,A-306.002.000.002,3,CITES ID Manual,General,A-306.002.000.002 Crocodylidae identification key species_S.pdf
1983,A-306.002.001.001,CITES ID Manual - Crocodylus acutus,EN,,3,CITES ID Manual,General,L-306.002.001.001 Crocodylus acutus_E.pdf
1983,A-306.002.001.001,Manual de identificación de la CITES - Crocodylus acutus,ES,A-306.002.001.001,3,CITES ID Manual,General,A-306.002.001.001 Crocodylus acutus_S.pdf
1983,A-306.002.001.002,CITES ID Manual - Crocodylus cataphractus,EN,,3,CITES ID Manual,General,A-306.002.001.002 Crocodylus cataphractus_E.pdf
1983,A-306.002.001.002,Manual de identificación de la CITES - Crocodylus cataphractus,ES,A-306.002.001.002,3,CITES ID Manual,General,A-306.002.001.002 Crocodylus cataphractus_S.pdf
