Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade,Designation
kinghorni,SPECIES,44308,6615,,Y,"CITES, EU"
amazonicus,SPECIES,5658,10026,,Y,"CITES, EU"
morenoi,SPECIES,74044,8481,,Y,"CITES, EU"
breitensteini,SPECIES,74050,10025,,Y,"CITES, EU"
brongersmai,SPECIES,74051,10025,,Y,"CITES, EU"
vencesi,SPECIES,77840,9023,,Y,"CITES, EU"
vatosoa,SPECIES,77841,9023,,Y,"CITES, EU"
Uromastyx,GENUS,5027,11430,SPECIES:103896,Y,"CITES, EU"
beniensis,SPECIES,77954,9171,,Y,"CITES, EU"
hendersoni,SPECIES,77985,25596,,Y,"CITES, EU"
palustris,SPECIES,79663,10387,,Y,"CITES, EU"
boehmei,SPECIES,90613,12433,,Y,"CITES, EU"
narraioca,SPECIES,93359,29673,,Y,"CITES, EU"
Varanidae,FAMILY,849,12860,"SPECIES:103320,SPECIES:100352,SPECIES:99193,SPECIES:90613,SPECIES:29126,SPECIES:105247,SPECIES:105248,SPECIES:29336,SPECIES:10532,SPECIES:22863",Y,"CITES, EU"
cucullatum,SPECIES,4450,29661,,Y,"CITES, EU"
nasutum,SPECIES,4484,29661,,Y,"CITES, EU"
lewisi,SPECIES,6044,26399,,Y,"CITES, EU"
cerroense,SPECIES,17090,13116,,Y,"CITES, EU"
caffrum,SPECIES,27956,28985,,Y,"CITES, EU"
andringitraense,SPECIES,42605,29664,,Y,"CITES, EU"
marojezense,SPECIES,42608,29664,,Y,"CITES, EU"
damaranum,SPECIES,43436,28985,,Y,"CITES, EU"
gutturale,SPECIES,43437,28985,,Y,"CITES, EU"
transvaalense,SPECIES,43441,28985,,Y,"CITES, EU"
ventrale,SPECIES,43442,28985,,Y,"CITES, EU"
wigginsi,SPECIES,92644,13116,,Y,"CITES, EU"
blainvillii,SPECIES,92645,13116,,Y,"CITES, EU"
reisingeri,SPECIES,99193,25621,,Y,"CITES, EU"
Iguanidae,FAMILY,405,28454,"SPECIES:105231,SPECIES:92645,SPECIES:17090,SPECIES:92644",Y,"CITES, EU"
tsaratanaense,SPECIES,4504,29664,,Y,"CITES, EU"
zugorum,SPECIES,100352,26195,,Y,"CITES, EU"
ntunte,SPECIES,104146,27393,,Y,"CITES, EU"
adolfifriderici,SPECIES,2999,27454,,Y,"CITES, EU"
carpenteri,SPECIES,3001,27454,,Y,"CITES, EU"
mlanjense,SPECIES,3008,27454,,Y,"CITES, EU"
oxyrhina,SPECIES,3010,27454,,Y,"CITES, EU"
tavetana,SPECIES,3015,27454,,Y,"CITES, EU"
tenuis,SPECIES,3016,27454,,Y,"CITES, EU"
uthmoelleri,SPECIES,3019,27454,,Y,"CITES, EU"
xenorhina,SPECIES,3021,27454,,Y,"CITES, EU"
brevicorne,SPECIES,4440,27392,,Y,"CITES, EU"
bushi,SPECIES,103320,26862,,Y,"CITES, EU"
xanthogaster,SPECIES,104072,27352,,Y,"CITES, EU"
giganteus,SPECIES,104123,27390,,Y,"CITES, EU"
atromontanum,SPECIES,104124,27391,,Y,"CITES, EU"
excubitor,SPECIES,104127,27454,,Y,"CITES, EU"
amber,SPECIES,104135,27392,,Y,"CITES, EU"
crypticum,SPECIES,104136,27392,,Y,"CITES, EU"
hafahafa,SPECIES,104137,27392,,Y,"CITES, EU"
jejy,SPECIES,104138,27392,,Y,"CITES, EU"
peltierorum,SPECIES,104139,27392,,Y,"CITES, EU"
tsycorne,SPECIES,104140,27392,,Y,"CITES, EU"
fischeri,SPECIES,105222,27454,,Y,"CITES, EU"
matschiei,SPECIES,105223,27454,,Y,"CITES, EU"
multituberculata,SPECIES,105224,27454,,Y,"CITES, EU"
Cordylus,GENUS,1157,25593,,Y,"CITES, EU"
ulugurensis,SPECIES,105225,27454,,Y,"CITES, EU"
borneoensis,SPECIES,3543,29662,,Y,"CITES, EU"
kachuga,SPECIES,10949,29662,,Y,"CITES, EU"
trivittata,SPECIES,10952,29662,,Y,"CITES, EU"
dhongoka,SPECIES,10953,29662,,Y,"CITES, EU"
beccarii,SPECIES,22863,27158,,Y,"CITES, EU"
cumingi,SPECIES,29126,29221,,Y,"CITES, EU"
togianus,SPECIES,29336,29221,,Y,"CITES, EU"
yemenensis,SPECIES,103896,27140,,Y,"CITES, EU"
solus,SPECIES,104625,27774,,Y,"CITES, EU"
ambreense,SPECIES,105229,28986,,Y,"CITES, EU"
necasi,SPECIES,105230,29663,,Y,"CITES, EU"
rainerguentheri,SPECIES,105232,28991,,Y,"CITES, EU"
marmoratus,SPECIES,105247,29221,,Y,"CITES, EU"
nuchalis,SPECIES,105248,29221,,Y,"CITES, EU"
Testudines,ORDER,153,28430,"SPECIES:12877,SPECIES:41890,SPECIES:15028,SPECIES:15027,SPECIES:19795,SPECIES:104625,SPECIES:3543,SPECIES:10953,SPECIES:10949,SPECIES:10952,SPECIES:105234",Y,"CITES, EU"
caeruleogula,SPECIES,105221,28984,,Y,"CITES, EU"
vosseleri,SPECIES,105226,27975,,Y,"CITES, EU"
nkandlae,SPECIES,105227,28984,,Y,"CITES, EU"
boehmei,SPECIES,105228,27975,,Y,"CITES, EU"
bulabula,SPECIES,105231,28987,,Y,"CITES, EU"
affinis,SPECIES,105234,29662,,Y,"CITES, EU"
Phelsuma,GENUS,3716,28140,SPECIES:16939,Y,"CITES, EU"
nubeculosus,SPECIES,99197,25625,,Y,"CITES, EU"
Amphibia,CLASS,2,29667,"SPECIES:103617,SPECIES:94680,SPECIES:99197,SPECIES:103623,SPECIES:105239,SPECIES:103619,SPECIES:103621",Y,"CITES, EU"
ebenaui,SPECIES,94680,29665,,Y,"CITES, EU"
uakarii,SPECIES,103617,26969,,Y,"CITES, EU"
daleswansoni,SPECIES,103619,26970,,Y,"CITES, EU"
dorisswansonae,SPECIES,103621,26970,,Y,"CITES, EU"
yungicola,SPECIES,103623,26971,,Y,"CITES, EU"
narinensis,SPECIES,105239,29666,,Y,"CITES, EU"
Hippocampus,GENUS,2126,9170,"SPECIES:72662,SPECIES:73235,SPECIES:73234,SPECIES:73240,SPECIES:73239,SPECIES:73233,SPECIES:73236,SPECIES:73238,SPECIES:73237,SPECIES:73241,SPECIES:81724,SPECIES:79639,SPECIES:105242,SPECIES:105240,SPECIES:105244",Y,"CITES, EU"
queenslandicus,SPECIES,72662,7658,,Y,"CITES, EU"
alatus,SPECIES,73235,7744,,Y,"CITES, EU"
biocellatus,SPECIES,73234,7744,,Y,"CITES, EU"
grandiceps,SPECIES,73240,7744,,Y,"CITES, EU"
hendriki,SPECIES,73239,7744,,Y,"CITES, EU"
jugumus,SPECIES,73233,7744,,Y,"CITES, EU"
montebelloensis,SPECIES,73236,7744,,Y,"CITES, EU"
multispinus,SPECIES,73238,7744,,Y,"CITES, EU"
procerus,SPECIES,73237,7744,,Y,"CITES, EU"
semispinosus,SPECIES,73241,7744,,Y,"CITES, EU"
colemani,SPECIES,81724,11266,,Y,"CITES, EU"
denise,SPECIES,79639,10384,,Y,"CITES, EU"
patagonicus,SPECIES,105242,29670,,Y,"CITES, EU"
debelius,SPECIES,105240,29669,,Y,"CITES, EU"
waleanus,SPECIES,105244,29669,,Y,"CITES, EU"
ACTINOPTERYGII,CLASS,141,29668,"SPECIES:105242,SPECIES:105240,SPECIES:105224,GENUS:2126",Y,"CITES, EU"
ELASMOBRANCHII,CLASS,11,29668,,Y,"CITES, EU"
SARCOPTERYGII,CLASS,24,29668,,Y,"CITES, EU"
Pandinus,GENUS,3496,25332,,Y,"CITES, EU"
