rank_name,rec_id,listing,effective_from,party_iso2,is_current,hash_note,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,short_note_en,short_note_es,short_note_fr,full_note_en
SPECIES,3160,II,01/08/1985,,1,,,,0,,,,,,,
SPECIES,3160,II/r,01/08/1985,AT,0,,,,0,,,,,,,
SUBSPECIES,3791,I,01/07/1975,,0,,,,0,,,,,,,
SUBSPECIES,3792,I,01/07/1975,,0,,,,0,,,,,,,
SUBSPECIES,3793,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,3787,I,11/06/1992,,1,,,,0,,,,All subspecies.,Todas las subespecies.,Toutes les sous-espèces.,
SPECIES,3787,DELII,11/06/1992,,0,,,,0,,,,,,,
SPECIES,3787,II,01/07/1975,,0,,,,0,,,"Subspecies: 3791, subspecies: 3792, subspecies: 3793","Except sspp. chialtanensis, jerdoni, megaceros, which are included in Appendix I","Excepto las subspecies chialtanensis, jerdoni, megaceros.","Sauf les sous-espèces chialtanensis, jerdoni, megaceros.",
SPECIES,101212,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,101213,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,14297,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,87099,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,45475,II,29/07/1983,,1,,,,0,,,,,,,
SPECIES,4139,II/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,4139,II,29/07/1983,,1,,,,0,,,,,,,
SPECIES,4139,II/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,4140,I,18/01/1990,,1,,,,0,,,,,,,
SPECIES,4140,DELII,18/01/1990,,0,,,,0,,,,,,,
SPECIES,4140,II/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,4140,II,29/07/1983,,0,,,,0,,,,,,,
SPECIES,4140,II/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,4148,II/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,4148,II,29/07/1983,,1,,,,0,,,,,,,
SPECIES,4148,II/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,4150,II/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,4150,II,29/07/1983,,1,,,,0,,,,,,,
SPECIES,4150,II/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,4153,II/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,4153,II,29/07/1983,,1,,,,0,,,,,,,
SPECIES,4153,II/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,6235,DELIII,04/03/2007,GH,1,,,,0,,,,,,,
SPECIES,6235,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,6235,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,6235,III,26/02/1976,GH,0,,,,0,,,,,,,
SUBSPECIES,6236,II,06/06/1981,,1,,,,0,,,,,,,
SUBSPECIES,6236,DELI,06/06/1981,,0,,,,0,,,,,,,
SUBSPECIES,6236,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,8967,I,13/09/2007,,1,,,,0,,,,,,,
SPECIES,8967,DELIII,13/09/2007,TN,0,,,,0,,,,,,,
SPECIES,8967,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,8967,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,8967,III,22/04/1976,TN,0,,,,0,,,,,,,
SPECIES,8969,III,12/02/2008,DZ,1,,,,0,,,,,,,
SPECIES,8969,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,8969,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,8969,III,22/04/1976,TN,1,,,,0,,,,,,,
SPECIES,8970,DELIII,01/07/1977,TN,1,,,,0,,,,,,,
SPECIES,8970,III,22/04/1976,TN,0,,,,0,,,,,,,
SPECIES,8972,I,13/09/2007,,1,,,,0,,,,,,,
SPECIES,8972,DELIII,13/09/2007,TN,0,,,,0,,,,,,,
SPECIES,8972,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,8972,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,8972,III,22/04/1976,TN,0,,,,0,,,,,,,
SPECIES,10167,DELII,11/06/1992,,1,,,,0,,,,,,,
SPECIES,10167,DELIII,06/06/1981,GH,0,,,,0,,,,,,,
SPECIES,10167,II,06/06/1981,,0,,,,0,,,,,,,
SPECIES,10167,III/w,06/06/1981,DK,0,,,,0,,,,,,,
SPECIES,10167,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,10167,III,26/02/1976,GH,0,,,,0,,,,,,,
SUBSPECIES,10169,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,11033,II,28/06/1979,,1,,,,0,,,,,,,
SPECIES,11033,DELI,28/06/1979,,0,,,,0,,,,,,,
SPECIES,11033,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,14294,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,14295,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,14296,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,14303,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,8968,I,29/07/1983,,1,,,,0,,,,,,,
SPECIES,15568,I/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,15568,I,29/07/1983,,1,,,,0,,,,,,,
SPECIES,15568,I/r,29/07/1983,AT,0,,,,0,,,,,,,
SPECIES,15568,DELII,29/07/1983,,0,,,,0,,,,,,,
SPECIES,15568,II,01/07/1975,,0,,,,0,,,,,,,
SPECIES,15569,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,15734,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,15745,I,18/09/1997,,1,,,,0,,,,,,,
SPECIES,15733,II,18/09/1997,,1,,,,0,,,"subspecies: 15734, subspecies: 15745",Except O. a. hodgsoni and O. a. nigrimontana,Excepto las subspecies hodgsonii y nigrimontana.,Sauf les sous-espèces hodgsonii et nigrimontana.,
SPECIES,15733,II,01/07/1975,,0,,,,0,,,subspecies: 15734,Except subspecies O. a. hodgsonii.,Excepto las subspecies O. a. hodgsonii.,Sauf les sous-espèces O. a. hodgsonii.,
SPECIES,15735,II,29/07/1983,,1,,MX,,0,,,,Population of MX only.,Población de MX.,Population du MX.,
SPECIES,15735,II/w,29/10/1982,CA,0,,,,0,,,,,,,
SPECIES,15735,II/r,09/07/1975,CA,0,,,,0,,,,,,,
SPECIES,15735,II,01/07/1975,,0,,,,0,,,,,,,
SUBSPECIES,15737,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,15738,I,01/07/1975,,1,,"IN,PK",,0,,,,Formerly included in Ovis vignei.,Anteriormente incluida en Ovis vignei.,Précédemment inscrit sous Ovis vignei.,Popns of the Ladakh (Jammu and Kashmir) region of India and northern Pakistan; originally listed as O. vignei
SPECIES,29583,II,19/07/2000,,1,,,,0,,,subspecies:15738,Except O. v. vignei.,Excepto las subspecies O. v. vignei.,Sauf les sous-espèces O. v. vignei.,
SPECIES,15967,I/w,27/10/1998,CH,0,,,,0,,,,,,,
SPECIES,15967,I,28/06/1979,,1,,,,0,,,,,,,
SPECIES,15967,I/r,28/06/1979,CH,0,,,,0,,,,,,,
SPECIES,15967,DELII,28/06/1979,,0,,,,0,,,,,,,
SPECIES,15967,II,01/07/1975,,0,,,,0,,,,,,,
SPECIES,4143,II,01/07/1975,,1,,,,0,,,,,,,
SPECIES,18597,I,16/02/1995,,1,,,,0,,,,,,,
SUBSPECIES,19766,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,19833,DELI,28/06/1979,,1,,,,0,,,,,,,
SUBSPECIES,19833,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,101222,II,16/02/1995,,1,,,,0,,,,Formerly included in Saiga tatarica.,Anteriormente incluida en Saiga tatarica.,Précédemment inscrit sous Saiga tatarica.,
SPECIES,19832,II,16/02/1995,,1,,,,0,,,,,,,
SPECIES,21661,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,21661,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,21661,III,16/11/1975,NP,1,,,,0,,,,,,,
SPECIES,22047,DELIII,04/03/2007,GH,1,,,,0,,,,,,,
SPECIES,22047,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,22047,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,22047,III,26/02/1976,GH,0,,,,0,,,,,,,
SPECIES,22050,DELIII,04/03/2007,GH,1,,,,0,,,,,,,
SPECIES,22050,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,22050,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,22050,III,26/02/1976,GH,0,,,,0,,,,,,,
SPECIES,3707,DELI,28/06/1979,,1,,,,0,,,,,,,
SPECIES,3707,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,11186,II,12/08/1978,,1,,,,0,,,,Formerly listed as Lama glama guanicoe,Anteriormente incluida como Lama glama guanicoe,Précédemment inscrit comme Lama glama guanicoe,
SPECIES,22956,I,13/09/2007,,1,,,"BO,PE",0,,,,All populations except those included in Appendix II.,"Todas las poblaciones, excepto las incluidas en el Apéndice II.",Toutes les populations sauf celles de l'Annexe II.,"Except the populations of: Argentina (the populations of the Provinces of Jujuy and Catamarca and the semi-captive populations of the Provinces of Jujuy, Salta, Catamarca, La Rioja and San Juan); Chile (population of the Primera Región); Peru (the whole population); and the Plurinational State of Bolivia (the whole population); which are included in Appendix II."
SPECIES,22956,II,13/09/2007,,1,,"AR,CL,BO,PE",,0,,,,"Parts of populations of AR, and CL and the populations of BO and PE.",,,"Population of Argentina: the populations of the Provinces of Jujuy and Catamarca and the semi-captive populations of the Provinces of Jujuy, Salta, Catamarca, La Rioja and San Juan. For the exclusive purpose of allowing international trade in wool sheared from live vicuñas, in cloth, and in derived manufactured products and other handicraft artefacts. The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words 'VICUÑA-ARGENTINA'. Other products must bear a label including the logotype and the designation 'VICUÑA-ARGENTINA-ARTESANÍA'.All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly.Population of Bolivia: the whole population. For the exclusive purpose of allowing international trade in wool sheared from live vicuñas, and in cloth and items made thereof, including luxury handicrafts and knitted articles.The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words 'VICUÑA-BOLIVIA'. Other products must bear a label including the logotype and the designation 'VICUÑA-BOLIVIA-ARTESANÍA'.All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly.Population of Chile: population of the Primera Región. For the exclusive purpose of allowing international trade in wool sheared from live vicuñas, and in cloth and items made thereof, including luxury handicrafts and knitted articles. The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words 'VICUÑA-CHILE'. Other products must bear a label including the logotype and the designation 'VICUÑA-CHILE-ARTESANÍA'. All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly.Population of Peru: the whole population. For the exclusive purpose of allowing international trade in wool sheared from live vicuñas and in the stock extant at the time of the ninth meeting of the Conference of the Parties (November 1994) of 3249 kg of wool, and in cloth and items made thereof, including luxury handicrafts and knitted articles. The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words 'VICUÑA-PERÚ'. Other products must bear a label including the logotype and the designation 'VICUÑA-PERÚ-ARTESANÍA'. All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly."
SPECIES,22956,I,13/02/2003,,0,,,"BO,PE",0,,,,All populations except those included in Appendix II.,"Todas las poblaciones, excepto las incluidas en el Apéndice II.",Toutes les populations sauf celles de l'Annexe II.,
SPECIES,22956,II,13/02/2003,,0,,"AR,CL,BO,PE",,0,,,,"Parts of populations of AR, and CL and the populations of BO and PE.",Partes de las poblaciones de AR y CL y las poblaciones de BO y PE.,Certaines population d'AR et du CL et les populations de BO et du PE.,"Argentina: Population of the Province of Catamarca, for the exclusive purpose of allowing international trade in wool sheared from live animals, cloth, derived manufactured products and other handicraft artifacts bearing the label 'VICUÑA - ARGENTINA'.Bolivia: The whole population, for the exclusive purpose of allowing international trade in: a) wool and products derived therefrom sheared from live animals of the populations of the Conservation Units of Mauri-Desaguadero, Ulla Ulla and Lípez-Chichas; and b) products made from wool sheared from live animals of the rest of the population of Bolivia. The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words ""VICUÑA-BOLIVIA"". Other products must bear a label including the logotype and the designation ""VICUÑA-BOLIVIA-ARTESANÍA"". All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly.  Chile: Population of the Primera Region, for the exclusive purpose of allowing international trade in wool sheared from live vicuñas, and in cloth and items made therof, including luxury handicrafts and knitted articles. The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words ""VICUÑA-CHILE"". All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly. Peru: For the exclusive purpose of allowing international trade in wool sheared from live vicuñas and in the stock extant at the time of the ninth meeting of the Conference of the Parties (November 1994) of 3249 kg of wool, and in cloth and items made thereof, including luxury handicrafts and knitted articles. The reverse side of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservación y Manejo de la Vicuña, and the selvages the words VICUÑA-PERU. Other products must bear a label including the logotype and the designation VICUÑA-PERU-ARTESANÍA. All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly"
SPECIES,22956,I,19/07/2000,,0,,,PE,0,,,,All populations except those included in Appendix II.,"Todas las poblaciones, excepto las incluidas en el Apéndice II.",Toutes les populations sauf celles de l'Annexe II.,
SPECIES,22956,II,19/07/2000,,0,,"AR,CL,BO,PE",,0,,,,Annotation as for 18/09/97 except that the words with a zero annual export quota are no longer applicable to BO.,"Misma anotación que al 18/09/97, excepto que las palabras con un cupo de exportación nulo ya no se aplica a BO.","Même annotation que le 18/9/97, si ce n'est que les mots avec un quota d'exportation annuel zéro ne s'appliquent plus à la BO.",
SPECIES,22956,I,18/09/1997,,0,,,PE,0,,,,All populations except those included in Appendix II.,"Todas las poblaciones, excepto las incluidas en el Apéndice II.",Toutes les populations sauf celles de l'Annexe II.,
SPECIES,22956,II,18/09/1997,,0,,"AR,CL,BO,PE",,0,,,,"Parts of populations of AR, BO and CL, and the population of PE.","Partes de las poblaciones AR, BO y CL, y población de PE.","Certaines population d'AR, BO et du CL, et population du PE.","Argentina: the popn of the Province of Jujuy and the semi-captive popns of the Province of Jujuy, Salta, Catamarca, La Rioja and San Juan. Bolivia: the popns of the Conservation Units of Mauri-Desaguadero, Ulla Ulla and Lipez-Chichas, with a zero annual export quota. Chile: part of the popn of Parinacota Province, 1a. Region of Tarapaca. Peru: the whole popn. For the exclusive purpose of allowing international trade in wool sheared from live vicuñas of the populations included in Appendix II and in the stock extant at the time of the ninth meeting of the COP (Nov. 1994) in Peru of 3249 kg of wool, and in cloth and items made thereof, including luxury handicrafts and knitted articles. The reverse of the cloth must bear the logotype adopted by the range States of the species, which are signatories to the Convenio para la Conservacion y Manejo de la Vicuña. All other specimens shall be deemed to be specimens of species included in Appendix I and the trade in them shall be regulated accordingly."
SPECIES,22956,I,16/02/1995,,0,,,PE,0,,,,All populations except those included in Appendix II.,"Todas las poblaciones, excepto las incluidas en el Apéndice II.",Toutes les populations sauf celles de l'Annexe II.,
SPECIES,22956,II,16/02/1995,,0,,"CL,PE",,0,,,,Remaining populations of PE transferred.,Poblaciones restantes de PE transferidas.,Populations restantes du PE transférées.,"Part of popn of CL, popn of PE"
SPECIES,22956,I,22/10/1987,,0,,,,0,,,,All populations except those included in Appendix II.,"Todas las poblaciones, excepto las incluidas en el Apéndice II.",Toutes les populations sauf celles de l'Annexe II.,
SPECIES,22956,II,22/10/1987,,0,,"CL,PE",,0,,,,"Parts of populations of CL, PE.","Partes de las poblaciones de CL, PE.","Parties des populations de CL, PE.",
SPECIES,22956,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,2446,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,2447,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,2445,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,2828,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,4258,II,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,4259,III,12/02/2008,DZ,1,,,,0,,,,,,,
SUBSPECIES,4259,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SUBSPECIES,4259,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SUBSPECIES,4259,III,22/04/1976,TN,1,,,,0,,,,,,,
SUBSPECIES,4261,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,6231,I,04/02/1977,,1,,,,0,,,,,,,
GENUS,2125,I,01/07/1975,,1,,,,0,,,,,,,
SUBSPECIES,12912,III,23/04/1981,GT,1,,,,0,,,,,,,
SPECIES,13924,I/w,06/01/1989,AT,0,,,,0,,,,,,,
SPECIES,13924,I,01/08/1985,,1,,,,0,,,,,,,
SPECIES,13924,I/r,01/08/1985,AT,0,,,,0,,,,,,,
SPECIES,12992,I,16/02/1995,,1,,,,0,,,,,,,
SUBSPECIES,15112,III,23/04/1981,GT,1,,,,0,,,,,,,
SPECIES,15803,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,18847,II,01/07/1975,,1,,,,0,,,,,,,
SPECIES,18848,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,4257,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,4265,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,10032,II,01/07/1975,,1,,,,0,,,,,,,
SPECIES,10103,II,16/02/1995,,1,,,,0,,,,,,,
SPECIES,10103,DELIII,16/02/1995,GH,0,,,,0,,,,,,,
SPECIES,10103,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,10103,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,10103,III,26/02/1976,GH,0,,,,0,,,,,,,
SUBSPECIES,13898,I,01/07/1975,,0,,,,0,,,,,,,
SPECIES,13897,I/w,01/04/1989,JP,0,,,,0,,,,,,,
SPECIES,13897,II/w,01/04/1989,JP,0,,,,0,,,,,,,
SPECIES,13897,II/r,29/07/1983,JP,0,,,,0,,,,,,,
SPECIES,13897,DELI,29/07/1983,,0,,CN,,0,,,,Himalayan population,Población del Himalaya,Population de l'Himalaya,
SPECIES,13897,I/r,04/11/1980,JP,0,,,,0,,,,,,,
SPECIES,13897,I/w,01/01/1980,DK,0,,,,0,,,,,,,
SPECIES,13897,I,28/06/1979,,0,,CN,,0,,,,Himalayan population,Población del Himalaya,Population de l'Himalaya,
SPECIES,13897,I/r,16/02/1979,DK,0,,,,0,,,,,,,
GENUS,2996,II/w,06/10/1996,KR,0,,,,0,,,,,,,
GENUS,2996,II/r,07/10/1993,KR,0,,,,0,,,,,,,
GENUS,2996,II/w,01/04/1989,JP,0,,,,0,,,,,,,
GENUS,2996,I/w,06/01/1989,AT,0,,,,0,,,,,,,
GENUS,2996,II/w,06/01/1989,AT,0,,,,0,,,,,,,
GENUS,2996,I/r,29/07/1983,AT,0,,,,0,,,,,,,
GENUS,2996,II/r,29/07/1983,AT,0,,,,0,,,,,,,
GENUS,2996,II/r,29/07/1983,JP,0,,,,0,,,,,,,
GENUS,2996,II,29/07/1983,,1,,,"AF,BT,IN,MM,NP,PK",0,,,,All populations except those included in Appendix I,"Todas las poblaciones, excepto las incluidas en el Apéndice",Toutes les populations sauf celles de à l'Annexe I,"Except the populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan, which are included in Appendix I."
GENUS,2996,I,29/07/1983,,1,,"AF,BT,IN,MM,NP,PK",,0,,,,"Populations of AF, BT, IN, MM, NP, PK","Poblaciones de AF, BT, IN, MM, NP, PK","Populations de AF, BT, IN, MM, NP, PK","Only the populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan; all other populations are included in Appendix II.    "
GENUS,2996,II/w,01/01/1980,DK,0,,,,0,,,,,,,
GENUS,2996,II/r,28/06/1979,DK,0,,,,0,,,,,,,
GENUS,2996,II,28/06/1979,,0,,,,0,,,,Except Himalayan population of M. moschiferus,Excepto la población del Himalaya,Sauf la population de l'Himalaya,
SPECIES,2461,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,101195,I,01/07/1975,,1,,,,0,,,,Formerly included in Babyrousa babyrussa.,Anteriormente incluida en Babyrousa babyrussa.,Précédemment inscrit sous Babyrousa babyrussa.,
SPECIES,101196,I,01/07/1975,,1,,,,0,,,,Formerly included in Babyrousa babyrussa.,Anteriormente incluida en Babyrousa babyrussa.,Précédemment inscrit sous Babyrousa babyrussa.,
SPECIES,101197,I,01/07/1975,,1,,,,0,,,,Formerly included in Babyrousa babyrussa.,Anteriormente incluida en Babyrousa babyrussa.,Précédemment inscrit sous Babyrousa babyrussa.,
SPECIES,21172,I,01/07/1975,,1,,,,0,,,,,,,
SPECIES,4015,I,22/10/1987,,1,,,,0,,,,,,,
SPECIES,4015,I/r,22/10/1987,CH,0,,,,0,,,,,,,
SPECIES,4015,I/r,22/10/1987,LI,0,,,,0,,,,,,,
SPECIES,16457,II,18/09/1997,,1,,,"US, MX",0,,,,All populations except those of US and MX.,"Todas las poblaciones, excepto las de US y MX.",Toutes les populations sauf celles de US et MX.,
SPECIES,16457,DELIII,22/10/1987,GT,0,,,,0,,,,Included in Tayassuidae spp.,Incluida en Tayassuidae spp.,Inscrit sous Tayassuidae spp.,
SPECIES,16457,III,23/04/1981,GT,0,,,,0,,,,,,,
FAMILY,794,II,18/09/1997,,1,,,,0,,,"Species: 4015, Species: 16457","Except the species included in Appendix I (Catagonus wagneri) and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices","Excepto las especies incluidas en el Apéndice I (Catagonus wagneri) y las poblaciones de Pecari tajacu de Estados Unidos y México, que no están incluidas en los Apéndices","Sauf les espèces inscrites à l'Annexe I (Catagonus wagneri) et les populations de Pecari tajacu des Etats-Unis d'Amérique et du Mexique, qui ne sont pas inscrites aux annexes.",
FAMILY,794,II,22/10/1987,,0,,,US,0,,,Species: 4015,Except Catagonus wagneri and population of US.,Excepto Catagonus wagneri y la población de US.,Sauf Catagonus wagneri et la population de US.,
SPECIES,10341,DELIII,04/03/2007,GH,1,,,,0,,,,,,,
SPECIES,10341,III/w,01/01/1984,DK,0,,,,0,,,,,,,
SPECIES,10341,III/r,24/10/1977,DK,0,,,,0,,,,,,,
SPECIES,10341,III,26/02/1976,GH,0,,,,0,,,,,,,
SPECIES,714,I,16/02/1995,,1,,,,0,,,,,,,
SPECIES,714,DELII,16/02/1995,,0,,,,0,,,,,,,
SPECIES,714,II,01/07/1975,,0,,,,0,,,,,,,
SPECIES,3744,III/w,11/01/1991,NL,0,,,,0,,,,,,,
SPECIES,3744,III/w,23/10/1990,ES,0,,,,0,,,,,,,
SPECIES,3744,III/w,03/08/1990,PT,0,,,,0,,,,,,,
SPECIES,3744,III/w,25/05/1990,GB,0,,,,0,,,,,,,
