Name,Rank,RecID,ParentRank,ParentRecID,Status,Author,Notes,Designation
crameri,Species,15453,Genus,3375,A,"(Snyder, 1908)",,EU
siamensis,Species,15459,Genus,3378,A,"Smith, 1933",,EU
anophthalmus,Species,15478,Genus,3385,A,"Zheng, 1981",,EU
nobilis,Species,15479,Genus,3386,A,"Gould, 1869",,"CITES,EU"
derbianus,Species,15480,Genus,3387,A,"Gray, 1844",,"CITES,EU"
arfaki,Species,15481,Genus,3388,A,"(A. B. Meyer, 1874)",,"CITES,EU"
adela,Species,15486,Genus,3392,A,"(d'Orbigny & Lafresnaye, 1838)",,"CITES,EU"
chimborazo,Species,15487,Genus,3392,A,"(DeLattre & Bourcier, 1846)",,"CITES,EU"
estella,Species,15488,Genus,3392,A,"(d'Orbigny & Lafresnaye, 1838)",,"CITES,EU"
leucopleurus,Species,15489,Genus,3392,A,"Gould, 1847",,"CITES,EU"
melanogaster,Species,15490,Genus,3392,A,"Gould, 1847",,"CITES,EU"
cuvieri,Species,15491,Genus,3393,A,"Valenciennes, 1846",,EU
oriolus,Species,15499,Genus,3396,A,"(Linnaeus, 1758)",,EU
borneensis,Species,15509,Genus,3397,A,"Gray, 1873",,"CITES,EU"
aesacus,Species,15511,Genus,3399,A,"Nay, 1903",,"CITES,EU"
alexandrae,Species,15513,Genus,3399,A,"(Rothschild, 1907)",,"CITES,EU"
chimaera,Species,15516,Genus,3399,A,"(Rothschild, 1904)",,"CITES,EU"
croesus,Species,15517,Genus,3399,A,"Wallace, 1859",,"CITES,EU"
goliath,Species,15518,Genus,3399,A,"Oberthür, 1888",,"CITES,EU"
meridionalis,Species,15519,Genus,3399,A,"(Rothschild, 1897)",,"CITES,EU"
paradisea,Species,15520,Genus,3399,A,"Staudinger, 1893",,"CITES,EU"
priamus,Species,15521,Genus,3399,A,"(Linnaeus, 1758)",,"CITES,EU"
rothschildi,Species,15523,Genus,3399,A,"Kenrick, 1911",,"CITES,EU"
tithonus,Species,15524,Genus,3399,A,"de Haan, 1840",,"CITES,EU"
urvillianus,Species,15525,Genus,3399,A,"(Guérin-Méneville, 1829)",,"CITES,EU"
victoriae,Species,15526,Genus,3399,A,"Gray, 1856",,"CITES,EU"
isidori,Species,15528,Genus,3400,A,"(Des Murs, 1845)",,"CITES,EU"
erythroptera,Species,15531,Genus,3401,A,"Sclater & Salvin, 1870",,EU
vetula,Species,15538,Genus,3401,A,"(Wagler, 1830)",,"CITES,EU"
cristatus,Species,15554,Genus,3406,A,"(Linnaeus, 1758)",,"CITES,EU"
atricollis,Species,15564,Genus,3408,A,"(Vieillot, 1817)",,"CITES,EU"
afer,Species,15565,Genus,3409,A,"(Pallas, 1766)",,CITES
dammah,Species,15568,Genus,3412,A,"(Cretzschmar, 1827)",,"CITES,EU"
leucoryx,Species,15569,Genus,3412,A,"(Pallas, 1777)",,"CITES,EU"
marmoratus,Species,15574,Genus,3413,A,"(Aurich, 1935)",,EU
matanensis,Species,15575,Genus,3413,A,"(Aurich, 1935)",,EU
nigrimas,Species,15576,Genus,3413,A,"Kottelat, 1990",,EU
orthognathus,Species,15577,Genus,3413,A,"Kottelat, 1990",,EU
profundicola,Species,15578,Genus,3413,A,"Kottelat, 1990",,EU
nelsoni,Species,15583,Genus,3415,A,"Merriam, 1898",,EU
spectrum,Species,15630,Genus,3419,A,"Cope, 1870",,EU
Anopetia,Genus,15631,Family,828,A,"Simon, 1918",,"CITES,EU"
palaemophagus,Species,15633,Genus,3421,A,"Herre, 1924",,EU
truncatulus,Species,15634,Genus,3421,A,"Herre, 1924",,EU
tetraspis,Species,15635,Genus,3422,A,"Cope, 1861",,"CITES,EU"
flavescens,Species,15637,Genus,3424,A,"(Shaw, 1800)",,CMS
nobilis,Species,15638,Genus,3425,N,"Gould, 1870",,"CITES,EU"
tarda,Species,15639,Genus,3426,A,"Linnaeus, 1758",,"CITES,EU"
manul,Species,15640,Genus,1759,A,"Pallas, 1776",,"CITES,EU"
crassicaudatus,Species,15643,Genus,3429,A,"(É. Geoffroy, 1812)",,"CITES,EU"
garnettii,Species,15644,Genus,3429,A,"(Ogilby, 1838)",,"CITES,EU"
formosus,Species,15645,Genus,3430,A,"Chasen, 1939",,EU
martiensseni,Species,15648,Genus,3430,A,"(Matschie, 1897)",,CMS
hemprichii,Species,15663,Genus,3432,A,"Peters, 1859",,CMS-EUROBATS
cartilagonodus,Species,15665,Genus,3434,A,"Kock, 1969",,EU
albogularis,Species,15667,Genus,3436,A,"(Cassin, 1850)",,"CITES,EU"
angelinae,Species,15668,Genus,3436,A,"(Finsch, 1912)",,"CITES,EU"
asio,Species,15669,Genus,3436,A,"(Linnaeus, 1758)",,"CITES,EU"
atricapilla,Species,15670,Genus,3436,A,"(Temminck, 1822)",,"CITES,EU"
bakkamoena,Species,15671,Genus,3436,A,"Pennant, 1769",,"CITES,EU"
balli,Species,15672,Genus,3436,A,"(Hume, 1873)",,"CITES,EU"
barbarus,Species,15673,Genus,3436,A,"(Sclater & Salvin, 1868)",,"CITES,EU"
brookii,Species,15674,Genus,3436,A,"(Sharpe, 1892)",,"CITES,EU"
brucei,Species,15675,Genus,3436,A,"(Hume, 1873)",,"CITES,EU"
choliba,Species,15676,Genus,3436,A,"(Vieillot, 1817)",,"CITES,EU"
clarkii,Species,15677,Genus,3436,A,"Kelso & Kelso, 1935",,"CITES,EU"
elegans,Species,15678,Genus,3436,A,"(Cassin, 1852)",,"CITES,EU"
flammeolus,Species,15679,Genus,3436,A,"(Kaup, 1853)",,"CITES,EU"
fuliginosus,Species,15680,Genus,3436,A,"(Sharpe, 1888)",,"CITES,EU"
hartlaubi,Species,15681,Genus,3436,A,"(Giebel, 1849)",,"CITES,EU"
icterorhynchus,Species,15682,Genus,3436,A,"(Shelley, 1873)",,"CITES,EU"
ingens,Species,15683,Genus,3436,A,"(Salvin, 1897)",,"CITES,EU"
ireneae,Species,15684,Genus,3436,A,"Ripley, 1966",,"CITES,EU"
kennicottii,Species,15685,Genus,3436,A,"(Elliot, 1867)",,"CITES,EU"
koepckeae,Species,15686,Genus,3436,A,"Hekstra, 1982",,"CITES,EU"
lawrencii,Species,15687,Genus,6378,A,"Sclater & Salvin, 1868",,"CITES,EU"
leucotis,Species,15688,Genus,8008,A,"(Temminck, 1820)",,"CITES,EU"
longicornis,Species,15689,Genus,3436,A,"(Ogilvie-Grant, 1894)",,"CITES,EU"
magicus,Species,15690,Genus,3436,A,"(Müller, 1841)",,"CITES,EU"
manadensis,Species,15691,Genus,3436,A,"(Quoy & Gaimard, 1830)",,"CITES,EU"
mantananensis,Species,15692,Genus,3436,A,"(Sharpe, 1892)",,"CITES,EU"
marshalli,Species,15693,Genus,3436,A,"Weske & Terborgh, 1981",,"CITES,EU"
megalotis,Species,15694,Genus,3436,A,"(Walden, 1875)",,"CITES,EU"
mentawi,Species,15695,Genus,3436,A,"Chasen & Kloss, 1926",,"CITES,EU"
mindorensis,Species,15696,Genus,3436,A,"(Whitehead, 1899)",,"CITES,EU"
mirus,Species,15697,Genus,3436,A,"Ripley & Rabor, 1968",,"CITES,EU"
nudipes,Species,15698,Genus,3436,A,"(Daudin, 1800)",,"CITES,EU"
pauliani,Species,15699,Genus,3436,A,"(Benson, 1960)",,"CITES,EU"
podargina,Species,15700,Genus,6462,A,"(Hartlaub & Finsch, 1872)",,"CITES,EU"
roboratus,Species,15701,Genus,3436,A,"Bangs & Noble, 1918",,"CITES,EU"
rufescens,Species,15702,Genus,3436,A,"(Horsfield, 1821)",,"CITES,EU"
rutilus,Species,15703,Genus,3436,A,"(Pucheran, 1849)",,"CITES,EU"
sagittatus,Species,15704,Genus,3436,A,"(Cassin, 1848)",,"CITES,EU"
sanctaecatarinae,Species,15705,Genus,3436,A,"(Salvin, 1897)",,"CITES,EU"
scops,Species,15706,Genus,3436,A,"(Linnaeus, 1758)",,"CITES,EU"
silvicola,Species,15707,Genus,3436,A,"(Wallace, 1864)",,"CITES,EU"
spilocephalus,Species,15708,Genus,3436,A,"(Blyth, 1846)",,"CITES,EU"
trichopsis,Species,15709,Genus,3436,A,"(Wagler, 1832)",,"CITES,EU"
umbra,Species,15710,Genus,3436,A,"(Richmond, 1903)",,"CITES,EU"
Arachnopathes,Genus,15710,Family,58,S,"Milne Edwards & Haime, 1857",,"CITES,EU"
vermiculatus,Species,15711,Genus,3436,A,"(Ridgway, 1887)",,"CITES,EU"
watsonii,Species,15712,Genus,3436,A,"(Cassin, 1848)",,"CITES,EU"
newtoni,Subspecies,15713,Species,15698,A,"(Lawrence, 1860)",,CITES
colombianus,Species,15717,Genus,3436,A,"Traylor, 1952",,"CITES,EU"
insularis,Species,15718,Genus,3436,A,"(Tristram, 1880)",,"CITES,EU"
capnodes,Species,15719,Genus,3436,A,"(Gurney, 1889)",,"CITES,EU"
pembaensis,Species,15720,Genus,3436,A,"Pakenham, 1937",,"CITES,EU"
alius,Species,15721,Genus,3436,A,"Rasmussen, 1998",,"CITES,EU"
collari,Species,15722,Genus,3436,A,"Lambert & Rasmussen, 1998",,"CITES,EU"
moheliensis,Species,15723,Genus,3436,A,"Lafontaine & Moulaert, 1998",,"CITES,EU"
bradleyi,Species,15725,Genus,3438,A,"(Verrill, 1866)",,"CITES,EU"
crispata,Species,15727,Genus,3439,A,"(Lamarck, 1816)",,"CITES,EU"
bennettae,Species,15728,Genus,3440,A,"(Veron, Pichon & Wijsman-Best, 1977)",,"CITES,EU"
crispa,Species,15729,Genus,3440,A,"(Lamarck, 1816)",,"CITES,EU"
