Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,subterraneus,NULL,NULL,44089,S,13489
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,thomasi,NULL,NULL,44091,S,13486
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,quasiater,NULL,NULL,44085,S,13453
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,savii,NULL,NULL,44086,S,13491
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,schelkovnikovi,NULL,NULL,44087,S,13456
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,majori,NULL,NULL,44082,S,13441
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,multiplex,NULL,NULL,44083,S,13490
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,pinetorum,NULL,NULL,44084,S,30258
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,leucurus,NULL,NULL,44079,S,13439
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,liechtensteini,NULL,NULL,44080,S,101297
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,lusitanicus,NULL,NULL,44081,S,13494
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,afghanus,NULL,NULL,44076,S,2823
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,duodecimcostatus,NULL,NULL,44077,S,13493
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pitymys,juldaschi,NULL,NULL,44078,S,13436
