Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,certans,NULL,NULL,14964,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,major,NULL,NULL,14965,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,robinsoni,NULL,NULL,14966,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,sanctacrucis,NULL,NULL,14961,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,albiventer,NULL,NULL,14962,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,cephalotes,NULL,NULL,14963,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,malaitensis,NULL,NULL,14958,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,masalai,NULL,NULL,14959,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,minutus,NULL,NULL,14960,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,aello,NULL,NULL,14954,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,cyclotis,NULL,NULL,14955,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,draconilla,NULL,NULL,14956,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Nyctinomops,macrotis,NULL,NULL,14996,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Nyctinomops,aurispinosus,NULL,NULL,14993,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Nyctinomops,femorosaccus,NULL,NULL,14994,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Nyctinomops,laticaudatus,NULL,NULL,14995,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Nyctomys,sumichrasti,NULL,NULL,14999,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,walkeri,NULL,NULL,15011,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,nebulosus,NULL,NULL,98456,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,microdon,NULL,NULL,15007,A
