start_date,end_date,taxon_name,taxon_concept_id,rank,iso_code2,notes,Internal Notes 
06/06/1981,01/01/1983,Aztekium ritteri,25895,SPECIES,LI, ,
28/06/1979,01/01/1983,Araucaria araucana,25968,SPECIES,CH, ,
29/07/1983,06/01/1989,Leuchtenbergia principis,25969,SPECIES,AT, ,
06/06/1981,01/01/1983,Nepenthes rajah,26024,SPECIES,CH, ,
29/07/1983,06/01/1989,Disocactus macdougallii,26263,SPECIES,AT, ,
11/06/1992,12/06/2014,Melocactus deinacanthus,26732,SPECIES,CH, ,
11/06/1992,12/06/2014,Melocactus deinacanthus,26732,SPECIES,LI, ,
29/07/1983,06/01/1989,Pediocactus bradyi,26931,SPECIES,AT, ,
29/07/1983,06/01/1989,Escobaria minima,27568,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus mesae-verdae,27661,SPECIES,AT, ,
06/06/1981,01/01/1983,Obregonia denegrii,27815,SPECIES,CH, ,
06/06/1981,01/01/1983,Obregonia denegrii,27815,SPECIES,LI, ,
29/07/1983,06/01/1989,Turbinicarpus schmiedickeanus,27816,SPECIES,AT, ,
22/10/1987,01/12/2004,Fitzroya cupressoides,27947,SPECIES,CL,Reservation applicable only to coastal population of CL. ,
01/08/1985,06/01/1989,Saussurea costus,28010,SPECIES,AT, ,
06/06/1981,01/01/1983,Ariocarpus scaphirostris,28657,SPECIES,CH, ,
06/06/1981,01/01/1983,Ariocarpus scaphirostris,28657,SPECIES,LI, ,
29/07/1983,06/01/1989,Turbinicarpus valdezianus,28936,SPECIES,AT, ,
29/07/1983,06/01/1989,Agave arizonica,29060,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus papyracanthus,29522,SPECIES,AT, ,
06/06/1981,01/01/1983,Sarracenia rubra alabamensis,29612,SUBSPECIES,CH, ,
06/06/1981,01/01/1983,Sarracenia rubra alabamensis,29612,SUBSPECIES,LI, ,
06/06/1981,01/01/1983,Echinocereus ferreirianus lindsayi,29621,SUBSPECIES,CH, ,
06/06/1981,01/01/1983,Echinocereus ferreirianus lindsayi,29621,SUBSPECIES,LI, ,
06/06/1981,01/01/1983,Sarracenia rubra jonesii,29622,SUBSPECIES,CH, ,
06/06/1981,01/01/1983,Sarracenia rubra jonesii,29622,SUBSPECIES,LI, ,
29/07/1983,06/01/1989,Sclerocactus brevispinus,44177,SPECIES,AT," Originally listed as Sclerocactus glaucus, from which Sclerocactus brevispinus was split in 2017, following taxonomic changes adopted at CoP17.",
29/07/1983,06/01/1989,Ariocarpus trigonus,45112,SPECIES,AT," Originally listed as Ariocarpus retusus trigonus, which became a synonym of Ariocarpus trigonus in 2017, following taxonomic changes adopted at CoP17.",
29/07/1983,06/01/1989,Sclerocactus wetlandicus,50438,SPECIES,AT," Originally listed as Sclerocactus glaucus, from which Sclerocactus wetlandicus was split in 2017, following taxonomic changes adopted at CoP17.",
26/11/2019,02/12/2020,Cuora bourreti,65766,SPECIES,CA,,
26/11/2019,02/12/2020,Cuora picturata,65767,SPECIES,CA,,
28/06/1979,29/10/1982,Neophocaena asiaeorientalis,68342,SPECIES,CA," Originally listed as Neophocaena phocaenoides, from which Neophocaena asiaeorientalis was split in 2017, following taxonomic changes adopted at CoP17.",
31/10/1976,03/07/1978,Chelonoidis niger,68363,SPECIES,GB,"On behalf of Hong Kong. Originally listed as Chelonoidis nigra, which became a synonym of Chelonoidis niger in 2017, following taxonomic changes adopted at CoP17. Originally listed as Chelonoidis nigra, which became a synonym of Chelonoidis niger in 2017, following taxonomic changes adopted at CoP17.",
26/11/2019,02/12/2020,Ceratophora erdeleni,98193,SPECIES,CA,,
26/11/2019,02/12/2020,Ceratophora karu,98194,SPECIES,CA,,
26/11/2019,02/12/2020,Ceratophora tennentii,98196,SPECIES,CA,,
26/11/2019,02/12/2020,Cophotis ceylanica,98198,SPECIES,CA,,
26/11/2019,02/12/2020,Cophotis dumbara,98199,SPECIES,CA,,
26/11/2019,02/12/2020,Achillides chikae hermeli,98270,SUBSPECIES,CA,,
26/11/2019,02/12/2020,Parides burchellanus,98271,SPECIES,CA,,
26/11/2019,02/12/2020,Gonatodes daudini,98331,SPECIES,CA,,
09/07/1975,15/04/1977,Bison bison athabascae,12178,SUBSPECIES,CA, ,
29/07/1983,06/01/1989,Moschus,1558,GENUS,AT, ,
29/07/1983,06/01/1989,Moschus moschiferus moschiferus,12233,SUBSPECIES,AT, ,
04/11/1980,29/07/1983,Moschus moschiferus moschiferus,12233,SUBSPECIES,JP, ,End date given as date of downlisting to App II
01/08/1985,06/01/1989,Muntiacus crinifrons,8941,SPECIES,AT, ,
29/07/1983,06/01/1989,Oryx dammah,11205,SPECIES,AT, ,
28/06/1979,27/10/1998,Pantholops hodgsonii,8117,SPECIES,CH, ,
