ComName,LangShort,RecId,Rank,Designation,ReferenceID
Мангуста крабояд,BUL,11150,SPECIES,CITES_EU,
Ивичестошия мангуста,BUL,8897,SPECIES,CITES_EU,
Ивичеста хиена,BUL,10154,SPECIES,CITES_EU,
Земен вълк,BUL,7432,SPECIES,CITES_EU,
Хумболтов скункс,BUL,9154,SPECIES,CITES_EU,
Камерунска видра,BUL,12219,SUBSPECIES,CITES_EU,
Малка азиатска видра,BUL,5252,SPECIES,CITES_EU,
Южна морска видра,BUL,12273,SUBSPECIES,CITES_EU,
Котешка видра,BUL,7817,SPECIES,CITES_EU,
Дългоопашата видра,BUL,4391,SPECIES,CITES_EU,
Южна видра,BUL,5716,SPECIES,CITES_EU,
Европейска видра,BUL,10941,SPECIES,CITES_EU,
Японска видра,BUL,3348,SPECIES,CITES_EU,
Гладкокосместа видра,BUL,7181,SPECIES,CITES_EU,
Гигантска видра,BUL,6787,SPECIES,CITES_EU,
Тайра,BUL,6048,SPECIES,CITES_EU,
Жълтогърда харза,BUL,8053,SPECIES,CITES_EU,
Индийска белка,BUL,12265,SUBSPECIES,CITES_EU,
Южнокитайска харза,BUL,7173,SPECIES,CITES_EU,
Медоед,BUL,9613,SPECIES,CITES_EU,
Североамерикански чернокрак пор,BUL,10039,SPECIES,CITES_EU,
Морж,BUL,9179,SPECIES,CITES_EU,
Чилийска морска котка,BUL,3029,SPECIES,CITES_EU,
Гуаделупска морска котка,BUL,8609,SPECIES,CITES_EU,
Южен морски слон,BUL,5907,SPECIES,CITES_EU,
Белоносо носато мече,BUL,9172,SPECIES,CITES_EU,
Южнобразилско носато мече,BUL,12253,SUBSPECIES,CITES_EU,
Кинкажу,BUL,10012,SPECIES,CITES_EU,
Голяма панда,BUL,3057,SPECIES,CITES_EU,
Малайска мечка,BUL,8151,SPECIES,CITES_EU,
Бърнеста мечка,BUL,7567,SPECIES,CITES_EU,
Очилата мечка,BUL,10071,SPECIES,CITES_EU,
Кафява мечка,BUL,9829,SPECIES,CITES_EU,
Хималайска мечка,BUL,3570,SPECIES,CITES_EU,
Бинтуронг,BUL,10356,SPECIES,CITES_EU,
Африканска цивета,BUL,10223,SPECIES,CITES_EU,
Видрова цивета,BUL,10884,SPECIES,CITES_EU,
Ивичеста палмова цивета,BUL,6327,SPECIES,CITES_EU,
Хималайска цивета,BUL,4655,SPECIES,CITES_EU,
Обикновен мусанг,BUL,4282,SPECIES,CITES_EU,
Южноиндийски мусанг,BUL,6090,SPECIES,CITES_EU,
Ивичест линзанг,BUL,3285,SPECIES,CITES_EU,
Петнист линзанг,BUL,7442,SPECIES,CITES_EU,
Малабарска цивета,BUL,3685,SPECIES,CITES_EU,
Индийска цивета,BUL,11288,SPECIES,CITES_EU,
Малка цивета,BUL,8845,SPECIES,CITES_EU,
Белоивичест широконос прилеп,BUL,11224,SPECIES,CITES_EU,
Жълтошапчеста летяща лисица,BUL,9506,SPECIES,CITES_EU,
Островна летяща лисица,BUL,4040,SPECIES,CITES_EU,
Черна коморска летяща лисица,BUL,10856,SPECIES,CITES_EU,
Японска летяща лисица,BUL,3627,SPECIES,CITES_EU,
Марианска летяща лисица,BUL,8325,SPECIES,CITES_EU,
Булдогова летяща лисица,BUL,10438,SPECIES,CITES_EU,
Палаоска летяща лисица,BUL,3198,SPECIES,CITES_EU,
Голяма палаоска летяща лисица,BUL,3370,SPECIES,CITES_EU,
Родригесова летяща лисица,BUL,8058,SPECIES,CITES_EU,
Самоанска летяща лисица,BUL,8274,SPECIES,CITES_EU,
Тонганска летяща лисица,BUL,9577,SPECIES,CITES_EU,
Козраенска летяща лисица,BUL,5781,SPECIES,CITES_EU,
Пембанска летяща лисица,BUL,8190,SPECIES,CITES_EU,
Летяща лисица от о-в Япен,BUL,7938,SPECIES,CITES_EU,
Уругвайски броненосец,BUL,9146,SPECIES,CITES_EU,
Чилийски четинест броненосец,BUL,5522,SPECIES,CITES_EU,
Гигантски броненосец,BUL,4416,SPECIES,CITES_EU,
Дългоопашат торбест тушканчик,BUL,8373,SPECIES,CITES_EU,
Пясъчен торбест тушканчик,BUL,5227,SPECIES,CITES_EU,
Сиво дървесно кенгуро,BUL,3236,SPECIES,CITES_EU,
Белогушо дървесно кенгуро,BUL,3121,SPECIES,CITES_EU,
Западно зайцеподобно кенгуру,BUL,10717,SPECIES,CITES_EU,
Ивичесто зайцеподобно кенгуру,BUL,7642,SPECIES,CITES_EU,
Нокътоопашато валаби,BUL,6067,SPECIES,CITES_EU,
Източен кускус,BUL,4886,SPECIES,CITES_EU,
Южен обикновен кускус,BUL,4443,SPECIES,CITES_EU,
Сив кускус,BUL,5013,SPECIES,CITES_EU,
Адмиралски кускус,BUL,6401,SPECIES,CITES_EU,
Петнист кускус,BUL,6082,SPECIES,CITES_EU,
Папуаски кускус,BUL,8763,SPECIES,CITES_EU,
Вомбат на Крефт,BUL,5983,SPECIES,CITES_EU,
Асамски заек,BUL,8697,SPECIES,CITES_EU,
Вулканов заек,BUL,10330,SPECIES,CITES_EU,
Грубочетинест ивичест бандикут,BUL,6211,SPECIES,CITES_EU,
Голям зайцеподобен бандикут,BUL,7185,SPECIES,CITES_EU,
Африканско диво магаре,BUL,3255,SPECIES,CITES_EU,
Зебра на Греви,BUL,4156,SPECIES,CITES_EU,
Азиатско диво магаре,BUL,11193,SPECIES,CITES_EU,
Тибетско диво магаре,BUL,7035,SPECIES,CITES_EU,
Кон на Пржевалски,BUL,9902,SPECIES,CITES_EU,
Хартманова планинска зебра,BUL,12300,SUBSPECIES,CITES_EU,
Планинска зебра,BUL,12266,SUBSPECIES,CITES_EU,
Южен бял носорог,BUL,12296,SUBSPECIES,CITES_EU,
Бразилски тапир,BUL,3928,SPECIES,CITES_EU,
Индийски люспеник,BUL,9849,SPECIES,CITES_EU,
Филипински люспеник,BUL,5098,SPECIES,CITES_EU,
Гигантски люспеник,BUL,11136,SPECIES,CITES_EU,
Явански люспеник,BUL,5034,SPECIES,CITES_EU,
Китайски люспеник,BUL,5373,SPECIES,CITES_EU,
Земен люспеник,BUL,6617,SPECIES,CITES_EU,
Дългоопашат люспеник,BUL,6723,SPECIES,CITES_EU,
Африкански белокоремен люспеник,BUL,4085,SPECIES,CITES_EU,
Трипръст ленивец джудже,BUL,54736,SPECIES,CITES_EU,
Кафявогърл ленивец,BUL,5257,SPECIES,CITES_EU,
Гигански мравояд,BUL,4631,SPECIES,CITES_EU,
Мексикански мравояд,BUL,4209,SPECIES,CITES_EU,
Коибски ревач,BUL,5437,SPECIES,CITES_EU,
Мантиест ревач,BUL,5936,SPECIES,CITES_EU,
Гватемалски черен ревач,BUL,10519,SPECIES,CITES_EU,
Черновежда паякообразна маймуна,BUL,12214,SUBSPECIES,CITES_EU,
Червена паякообразна маймуна,BUL,68346,SUBSPECIES,CITES_EU,
Вълнеста паякообразна маймуна,BUL,10078,SPECIES,CITES_EU,
Северна паякообразна маймуна,BUL,5882,SPECIES,CITES_EU,
Златистоопашата вълнеста маймуна,BUL,4996,SPECIES,CITES_EU,
Гилдиева мармозетка,BUL,8992,SPECIES,CITES_EU,
Белоуха мармозетка,BUL,4190,SPECIES,CITES_EU,
Жълтоглава мармозетка,BUL,7641,SPECIES,CITES_EU,
Двуцветен тамарин,BUL,5931,SPECIES,CITES_EU,
Тамарин на Жофруа,BUL,6142,SPECIES,CITES_EU,
Белокрак тамарин,BUL,8966,SPECIES,CITES_EU,
Мартинсов тамарин,BUL,4273,SPECIES,CITES_EU,
Едипов тамарин,BUL,4999,SPECIES,CITES_EU,
Червеногръб саймир,BUL,6620,SPECIES,CITES_EU,
Качулато мангабе,BUL,5226,SPECIES,CITES_EU,
Гвенон диана,BUL,10615,SPECIES,CITES_EU,
Гвенон ролоуей,BUL,6568,SPECIES,CITES_EU,
Жълтоопашат гвенон,BUL,11255,SPECIES,CITES_EU,
Черен колобус,BUL,4991,SPECIES,CITES_EU,
Лъвски макак,BUL,11089,SPECIES,CITES_EU,
Магот,BUL,6923,SPECIES,CITES_EU,
Дрил,BUL,6623,SPECIES,CITES_EU,
Мандрил,BUL,7079,SPECIES,CITES_EU,
Дългоноса маймуна,BUL,10415,SPECIES,CITES_EU,
Централноафрикански червен колобус,BUL,9502,SPECIES,CITES_EU,
Узунгвански червен колобус,BUL,5706,SPECIES,CITES_EU,
Занзибарски червен колобус,BUL,4754,SPECIES,CITES_EU,
Пенантов колобус,BUL,4545,SPECIES,CITES_EU,
Камерунски червен колобус,BUL,7649,SPECIES,CITES_EU,
Червеношапчест колобус,BUL,6368,SPECIES,CITES_EU,
Угандски червен колобус,BUL,10708,SPECIES,CITES_EU,
Толонов червен колобус,BUL,9508,SPECIES,CITES_EU,
Ментавийски лангур,BUL,8236,SPECIES,CITES_EU,
Кашмирски сив лангур,BUL,4844,SPECIES,CITES_EU,
Южен равнинен лангур,BUL,10264,SPECIES,CITES_EU,
Обикновен лангур,BUL,11082,SPECIES,CITES_EU,
Тарайски лангур,BUL,7895,SPECIES,CITES_EU,
Чернокрак лангур,BUL,4349,SPECIES,CITES_EU,
Качулат сив лангур,BUL,9670,SPECIES,CITES_EU,
Непалски лангур,BUL,3541,SPECIES,CITES_EU,
Свинеопашат лангур,BUL,7516,SPECIES,CITES_EU,
Лангур на Делакур,BUL,10425,SPECIES,CITES_EU,
Индокитайски лангур,BUL,8958,SPECIES,CITES_EU,
Златен лангур,BUL,9479,SPECIES,CITES_EU,
Хатинхов лангур,BUL,10790,SPECIES,CITES_EU,
Нилгирийски лангур,BUL,8100,SPECIES,CITES_EU,
Лаоски лангур,BUL,5066,SPECIES,CITES_EU,
Шапчест лангур,BUL,6140,SPECIES,CITES_EU,
Белоглав лангур,BUL,6258,SPECIES,CITES_EU,
Лангур на Шортридж,BUL,10221,SPECIES,CITES_EU,
Ай-ай,BUL,10504,SPECIES,CITES_EU,
Планинска горила,BUL,3913,SPECIES,CITES_EU,
Равнинна горила,BUL,7116,SPECIES,CITES_EU,
Суматренски орангутан,BUL,8203,SPECIES,CITES_EU,
Борнейски орангутан,BUL,7106,SPECIES,CITES_EU,
Браунова скокливка,BUL,4774,SPECIES,CITES_EU,
Черноръка скокливка,BUL,5877,SPECIES,CITES_EU,
Чернолика скокливка,BUL,9840,SPECIES,CITES_EU,
Атлантическа скокливка,BUL,7665,SPECIES,CITES_EU,
Белонос саки,BUL,5859,SPECIES,CITES_EU,
Азиатски (индийски) слон,BUL,5690,SPECIES,CITES_EU,
Африкански слон,BUL,4521,SPECIES,CITES_EU,
Равнинно пака,BUL,8987,SPECIES,CITES_EU,
