Hash No,Event No,For Display,Text
#4,137,#4 No 407/2009,"Designates all parts and derivatives, except:<p>
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and<p>
(e) separate stem joints (pads) and parts and derivatives thereof of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
#5,137,#5 No 407/2009,"Designates logs, sawn wood and veneer sheets."
#6,137,#6 No 407/2009,"Designates logs, sawn wood, veneer sheets and plywood."
#7,137,#7 No 407/2009,"Designates logs, wood-chips, powder and extracts."
#8,137,#8 No 407/2009,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
#9,137,#9 No 407/2009,"Designates all parts and derivatives, except those bearing a label ÒProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxÓ."
#10,137,#10 No 407/2009,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
#11,137,#11 No 407/2009,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
#1,138,#1 No 709/2010,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#2,138,#2 No 709/2010,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen; and<p>
(b) finished products packaged and ready for retail trade."
#3,138,#3 No 709/2010,Designates whole and sliced roots and parts of roots.
#4,138,#4 No 709/2010,"Designates all parts and derivatives, except:<p>
(a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;<p>
(e) stems, flowers, and parts and derivatives thereof of naturalised or artificially propagated plants of the genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and<p>
(f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade."
#5,138,#5 No 709/2010,"Designates logs, sawn wood and veneer sheets."
#6,138,#6 No 709/2010,"Designates logs, sawn wood, veneer sheets and plywood."
#7,138,#7 No 709/2010,"Designates logs, wood-chips, powder and extracts."
#8,138,#8 No 709/2010,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
#9,138,#9 No 709/2010,"Designates all parts and derivatives, except those bearing a label ÒProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxÓ."
#10,138,#10 No 709/2010,"Designates logs, sawn wood and veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
#11,138,#11 No 709/2010,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
#12,138,#12 No 709/2010,"Designates logs, sawn wood, veneer sheets, plywood and essential oil, excluding finished products packaged and ready for retail trade."
#1,139,#1 No 101/2012,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#2,139,#2 No 101/2012,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen; and<p>
(b) finished products packaged and ready for retail trade."
#3,139,#3 No 101/2012,Designates whole and sliced roots and parts of roots.
#4,139,#4 No 101/2012,"Designates all parts and derivatives, except:<p>
(a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;
(e) stems, flowers, and parts and derivatives thereof of naturalised or artificially propagated plants of the genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and<p>
(f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade."
#5,139,#5 No 101/2012,"Designates logs, sawn wood and veneer sheets."
#6,139,#6 No 101/2012,"Designates logs, sawn wood, veneer sheets and plywood."
#7,139,#7 No 101/2012,"Designates logs, wood-chips, powder and extracts."
