Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
subrubrum,SPECIES,,GENUS,100261,S,"Bonnaterre, 1789",,CITES_EU,SPECIES,102981
arizonense,SPECIES,,GENUS,100261,S,"Gilmore, 1922",,CITES_EU,SPECIES,102982
pensylvanica,SPECIES,,GENUS,1555,S,"Gmelin, 1789",,CITES_EU,SPECIES,100471
pensylvanica,SPECIES,,GENUS,1563,S,"Schweigger, 1812",,CITES_EU,SPECIES,100471
boscii,SPECIES,,GENUS,891,S,"Merrem, 1820",,CITES_EU,SPECIES,100471
pensylvanica,SPECIES,,GENUS,891,S,"Merrem, 1820",,CITES_EU,SPECIES,100471
pensylvanica,SPECIES,,GENUS,29853,S,"Say, 1825",,CITES_EU,SPECIES,100471
pensylvanica,SPECIES,,GENUS,30159,S,"Gray, 1825",,CITES_EU,SPECIES,100471
pennsylvanicum,SPECIES,,GENUS,100261,S,"Bell, 1825",,CITES_EU,SPECIES,100471
boscii,SPECIES,,GENUS,30182,S,"Bell, 1825",,CITES_EU,SPECIES,100471
punctatum,SPECIES,,GENUS,100261,S,"Gray, 1856",,CITES_EU,SPECIES,100471
pennsylvanica,SPECIES,,GENUS,30398,S,"Agassiz, 1857",,CITES_EU,SPECIES,100471
pennsylvanica,SPECIES,,GENUS,891,S,"Agassiz, 1857",,CITES_EU,SPECIES,100471
pensilvanica,SPECIES,,GENUS,1555,S,"Siebenrock, 1909",,CITES_EU,SPECIES,100471
hippocrepis,SPECIES,,GENUS,100261,S,"Gray, 1856",,CITES_EU,SPECIES,100471
louisianae,SPECIES,,GENUS,100261,S,"Baur, 1893",,CITES_EU,SPECIES,100471
triporcata,SPECIES,,GENUS,891,S,"Wiegmann, 1828",,CITES_EU,SPECIES,100264
triporcatum,SPECIES,,GENUS,100261,S,"Gray, 1831",,CITES_EU,SPECIES,100264
triporcatus,SPECIES,,GENUS,100262,S,"Duméril & Bibron, 1835",,CITES_EU,SPECIES,100264
pictus,SPECIES,,GENUS,100259,S,"Cope, 1872",,CITES_EU,SPECIES,100264
marmoratus,SPECIES,,GENUS,100262,S,"Fischer, 1872",,CITES_EU,SPECIES,100263
severus,SPECIES,,GENUS,100259,S,"Cope, 1872",,CITES_EU,SPECIES,100263
lemur,SPECIES,,GENUS,1687,S,"Boulenger, 1882",,CITES_EU,SPECIES,101453
tiburo,SPECIES,,GENUS,98458,S,"Linnaeus, 1758",,CITES_EU,SPECIES,100432
vespertina,SPECIES,,GENUS,1499,S,"Springer, 1940",,CITES_EU,SPECIES,100432
carinatus,SPECIES,,GENUS,30159,S,"Stejneger, 1923",,CITES_EU,SPECIES,100644
carinatum,SPECIES,,GENUS,100261,S,"Stejneger & Barbour, 1917",,CITES_EU,SPECIES,100644
carinatus,SPECIES,,GENUS,30182,S,"Tinkle, 1958",,CITES_EU,SPECIES,100644
depressus,SPECIES,,GENUS,30182,S,"Tinkle, 1958",,CITES_EU,SPECIES,100645
depressum,SPECIES,,GENUS,100261,S,"Ernst & Barbour, 1989",,CITES_EU,SPECIES,100645
depressus,SPECIES,,GENUS,100261,S,"Welch, 1994",,CITES_EU,SPECIES,100645
minor,SPECIES,,GENUS,30182,S,"Tinkle, 1958",,CITES_EU,SPECIES,100646
minor,SPECIES,,GENUS,30159,S,"Stejneger, 1923",,CITES_EU,SPECIES,100646
peltifer,SPECIES,,GENUS,30159,S,"Smith & Glass, 1947",,CITES_EU,SPECIES,100646
odoratus,SPECIES,,GENUS,30159,S,"Stejneger, 1923",,CITES_EU,SPECIES,100647
glutinosa,SPECIES,,GENUS,1563,S,"Agassiz, 1857",,CITES_EU,SPECIES,100647
glutinosa,SPECIES,,GENUS,1555,S,"Agassiz, 1857",,CITES_EU,SPECIES,100647
odoratus,SPECIES,,GENUS,100262,S,"Duméril & Bibron, 1835",,CITES_EU,SPECIES,100647
odoratum,SPECIES,,GENUS,100261,S,"Gray, 1831",,CITES_EU,SPECIES,100647
glutinata,SPECIES,,GENUS,2349,S,"Ritgen, 1828",,CITES_EU,SPECIES,100647
odoratus,SPECIES,,GENUS,30182,S,"Bell, 1825",,CITES_EU,SPECIES,100647
odorata,SPECIES,,GENUS,30159,S,"Gray, 1825",,CITES_EU,SPECIES,100647
odorata,SPECIES,,GENUS,29853,S,"Say, 1825",,CITES_EU,SPECIES,100647
odorata,SPECIES,,GENUS,891,S,"Merrem, 1820",,CITES_EU,SPECIES,100647
glutinata,SPECIES,,GENUS,1563,S,"Merrem, 1820",,CITES_EU,SPECIES,100647
odorata,SPECIES,,GENUS,1563,S,"Schweigger, 1812",,CITES_EU,SPECIES,100647
glutinata,SPECIES,,GENUS,1555,S,"Daudin, 1801",,CITES_EU,SPECIES,100647
odorata,SPECIES,,GENUS,1555,S,"Latreille, 1801",,CITES_EU,SPECIES,100647
ananas,SPECIES,,GENUS,98280,S,"Quoy & Gaimard, 1834",,CITES_EU,SPECIES,101070
hystrix,SPECIES,,GENUS,98280,S,"Saville-Kent, 1890",,CITES_EU,SPECIES,101070
