Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species author,notes
Acanthophippium bicolor,SPECIES,70781,GENUS,66949,A,"Lindl., 1835",
Acanthophippium chrysoglossum,SPECIES,81696,GENUS,66949,A,"Schltr., 1911",
Acanthophippium curtisii,SPECIES,79956,GENUS,66949,A,"Rchb.f., 1881",
Acanthophippium eburneum,SPECIES,73956,GENUS,66949,A,"Kraenzl., 1896",
Acanthophippium gougahensis,SPECIES,74778,GENUS,66949,A,"(Guillaumin) Seidenf., 1975",
Acanthophippium javanicum,SPECIES,77068,GENUS,66949,A,"Blume, 1825",
Acanthophippium lilacinum,SPECIES,81820,GENUS,66949,A,"J.J.Wood & C.L.Chan, 1994",
Acanthophippium mantinianum,SPECIES,66950,GENUS,66949,A,"L.Linden & Cogn., 1896",
Acanthophippium parviflorum,SPECIES,79328,GENUS,66949,A,"Hassk., 1844",
Acanthophippium pictum,SPECIES,80470,GENUS,66949,A,"Fukuy., 1935",
Acanthophippium splendidum,SPECIES,81246,GENUS,66949,A,"J.J.Sm., 1898",
Acanthophippium striatum,SPECIES,76188,GENUS,66949,A,"Lindl., 1838",
Acanthophippium sylhetense,SPECIES,79470,GENUS,66949,A,"Lindl., 1831",
Achlydosa,GENUS,68557,FAMILY,12509,A,"M.A.Clem. & D.L.Jones, 2002",
Achlydosa glandulosa,SPECIES,69429,GENUS,68557,A,"(Schltr.) M.A.Clem. & D.L.Jones, 2002",
Acianthera aberrans,SPECIES,78111,GENUS,65403,A,"(Luer) Pupulin & Bogarín, 2008",
Acianthera aculeata,SPECIES,55896,GENUS,65403,A,"(Luer & Hirtz) Luer, 2004",
Acianthera acuminatipetala,SPECIES,75782,GENUS,65403,A,"(A.Samp.) Luer, 2004",
Acianthera adamantinensis,SPECIES,71387,GENUS,65403,A,"(Brade) F.Barros, 2002",
Acianthera adeodata,SPECIES,66850,GENUS,65403,A,"P.Ortiz, O.Pérez & E.Parra, 2010",
Acianthera adirii,SPECIES,74573,GENUS,65403,A,"(Brade) Pridgeon & M.W.Chase, 2001",
Acianthera aechme,SPECIES,55897,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera agathophylla,SPECIES,77270,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera albopurpurea,SPECIES,80742,GENUS,65403,A,"(Kraenzl.) Chiron & Van den Berg, 2012",
Acianthera amaralii,SPECIES,71360,GENUS,65403,A,"(Pabst) F.Barros & L.R.S.Guim., 2010",
Acianthera angustifolia,SPECIES,76471,GENUS,65403,A,"(Lindl.) Luer, 2007",
Acianthera angustisepala,SPECIES,75820,GENUS,65403,A,"(Ames & Correll) Pridgeon & M.W.Chase, 2001",
Acianthera antennata,SPECIES,68974,GENUS,65403,A,"(Garay) Pridgeon & M.W.Chase, 2001",
Acianthera aphthosa,SPECIES,55898,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera asaroides,SPECIES,74233,GENUS,65403,A,"(Kraenzl.) Pridgeon & M.W.Chase, 2001",
Acianthera atroglossa,SPECIES,80574,GENUS,65403,A,"(Loefgr.) F.Barros & L.R.S.Guim., 2010",
Acianthera atropurpurea,SPECIES,69166,GENUS,65403,A,"(Barb.Rodr.) Chiron & Van den Berg, 2012",
Acianthera auriculata,SPECIES,55899,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera bibarbellata,SPECIES,81588,GENUS,65403,A,"(Kraenzl.) F.Barros & L.R.S.Guim., 2010",
Acianthera bicarinata,SPECIES,75382,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera biceps,SPECIES,71132,GENUS,65403,A,"(Luer & Hirtz) Luer, 2004",
Acianthera bicornuta,SPECIES,71371,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera bidentata,SPECIES,75374,GENUS,65403,A,"(Lindl.) F.Barros & V.T.Rodrigues, 2009",
Acianthera bidentula,SPECIES,76778,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera binotii,SPECIES,55901,GENUS,65403,A,"(Regel) Pridgeon & M.W.Chase, 2001",
Acianthera bissei,SPECIES,80422,GENUS,65403,A,"(Luer) Luer, 2004",
Acianthera boliviana,SPECIES,76303,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera brachiloba,SPECIES,80365,GENUS,65403,A,"(Hoehne) Pridgeon & M.W.Chase, 2001",
Acianthera bragae,SPECIES,66097,GENUS,65403,A,"(Ruschi) F.Barros, 2003",
Acianthera breedlovei,SPECIES,79016,GENUS,65403,A,"Soto Arenas, Solano & Salazar, 2002 publ. 2003",
Acianthera breviflora,SPECIES,74928,GENUS,65403,A,"(Lindl.) Luer, 2004",
Acianthera bryonii,SPECIES,74962,GENUS,65403,A,"Luer, 2012",
Acianthera butcheri,SPECIES,70235,GENUS,65403,A,"(L.O.Williams) Pridgeon & M.W.Chase, 2001",
Acianthera cabiriae,SPECIES,77749,GENUS,65403,A,"Pupulin, G.A.Rojas & J.D.Zuñiga, 2007",
Acianthera caldensis,SPECIES,81192,GENUS,65403,A,"(Hoehne & Schltr.) F.Barros, 2004",
Acianthera calopedilon,SPECIES,80117,GENUS,65403,A,"Toscano & Luer, 2015",
Acianthera calypso,SPECIES,81011,GENUS,65403,A,"(Luer) Karremans & Rinc.-González, 2015",
Acianthera capanemae,SPECIES,77882,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera caparaoensis,SPECIES,72514,GENUS,65403,A,"(Brade) Pridgeon & M.W.Chase, 2001",
Acianthera capillaris,SPECIES,66413,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera carcinopsis,SPECIES,69805,GENUS,65403,A,"Luer & Sijm, 2012",
Acianthera carinata,SPECIES,72586,GENUS,65403,A,"(C.Schweinf.) Luer, 2004",
Acianthera cephalopodiglossa,SPECIES,70376,GENUS,65403,A,"Toscano & Luer, 2015",
Acianthera cerberus,SPECIES,80643,GENUS,65403,A,"(Luer & R.Vásquez) Pridgeon & M.W.Chase, 2001",
Acianthera chamelopoda,SPECIES,72050,GENUS,65403,A,"(Luer) Luer, 2004",
Acianthera chionopa,SPECIES,82953,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera chrysantha,SPECIES,78315,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera ciliata,SPECIES,66559,GENUS,65403,A,"(Knowles & Westc.) F.Barros & L.R.S.Guim., 2010",
Acianthera circumplexa,SPECIES,55903,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera cogniauxiana,SPECIES,82735,GENUS,65403,A,"(Schltr.) Pridgeon & M.W.Chase, 2001",
Acianthera compressicaulis,SPECIES,69622,GENUS,65403,A,"(Dod) Pridgeon & M.W.Chase, 2001",
Acianthera consatae,SPECIES,79429,GENUS,65403,A,"(Luer & R.Vásquez) Luer, 2004",
Acianthera cordatifolia,SPECIES,79318,GENUS,65403,A,"(Dod) Pridgeon & M.W.Chase, 2001",
Acianthera cornejoi,SPECIES,69402,GENUS,65403,A,"Luer, 2011",
Acianthera costabilis,SPECIES,68712,GENUS,65403,A,"(Luer & R.Vásquez) Luer, 2004",
Acianthera crassilabia,SPECIES,71595,GENUS,65403,A,"(Ames & C.Schweinf.) Luer, 2004",
Acianthera cremasta,SPECIES,82197,GENUS,65403,A,"(Luer & J.Portilla) Luer, 2004",
Acianthera crepiniana,SPECIES,67839,GENUS,65403,A,"(Cogn.) Chiron & Van den Berg, 2012",
Acianthera crinita,SPECIES,55904,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera cryptantha,SPECIES,70689,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera cryptophoranthoides,SPECIES,55905,GENUS,65403,A,"(Loefgr.) F.Barros, 2003",
Acianthera decipiens,SPECIES,75435,GENUS,65403,A,"(Ames & C.Schweinf.) Pridgeon & M.W.Chase, 2001",
Acianthera decurrens,SPECIES,77033,GENUS,65403,A,"(Poepp. & Endl.) Pridgeon & M.W.Chase, 2001",
Acianthera deserta,SPECIES,77365,GENUS,65403,A,"(Luer & R.Vásquez) Luer, 2004",
Acianthera dichroa,SPECIES,81910,GENUS,65403,A,"(Rchb.f.) F.Barros & L.R.S.Guim., 2010",
Acianthera discophylla,SPECIES,76479,GENUS,65403,A,"(Luer & Carnevali) Luer, 2004",
Acianthera dodsonii,SPECIES,82893,GENUS,65403,A,"(Luer) Karremans & Rinc.-González, 2015",
Acianthera duartei,SPECIES,80225,GENUS,65403,A,"(Hoehne) Pridgeon & M.W.Chase, 2001",
Acianthera dubbeldamii,SPECIES,74157,GENUS,65403,A,"Luer & Sijm, 2012",
Acianthera dutrae,SPECIES,78670,GENUS,65403,A,"(Pabst) C.N.Gonç. & Waechter, 2004",
Acianthera echinosa,SPECIES,75478,GENUS,65403,A,"Luer & Toscano, 2012",
Acianthera ellipsophylla,SPECIES,72427,GENUS,65403,A,"(L.O.Williams) Pridgeon & M.W.Chase, 2001",
Acianthera erebatensis,SPECIES,77811,GENUS,65403,A,"(Carnevali & G.A.Romero) Luer, 2004",
Acianthera ericae,SPECIES,68625,GENUS,65403,A,"Luer, 2012",
Acianthera erythrogramma,SPECIES,82618,GENUS,65403,A,"(Luer & Carnevali) Luer, 2004",
Acianthera esmeraldae,SPECIES,78231,GENUS,65403,A,"(Luer & Hirtz) Luer, 2004",
Acianthera exarticulata,SPECIES,73003,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera exdrasii,SPECIES,69485,GENUS,65403,A,"(Luer & Toscano) Luer, 2004",
Acianthera eximia,SPECIES,75000,GENUS,65403,A,"(L.O.Williams) Solano, 2002 publ. 2003",
Acianthera fabiobarrosii,SPECIES,70688,GENUS,65403,A,"(Borba & Semir) F.Barros & F.Pinheiro, 2002",
Acianthera fecunda,SPECIES,81236,GENUS,65403,A,"Pupulin, G.A.Rojas & J.D.Zuñiga, 2007",
Acianthera fenestrata,SPECIES,65688,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera fernandezii,SPECIES,72713,GENUS,65403,A,"Luer, 2011",
Acianthera fockei,SPECIES,66951,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera foetens,SPECIES,79810,GENUS,65403,A,"(Lindl.) Chiron & Van den Berg, 2012",
Acianthera fornograndensis,SPECIES,80395,GENUS,65403,A,"L.Kollmann & A.P.Fontana, 2007",
Acianthera freyi,SPECIES,77486,GENUS,65403,A,"(Luer) F.Barros & V.T.Rodrigues, 2009",
Acianthera fumioi,SPECIES,75571,GENUS,65403,A,"(T.Hashim.) Luer, 2004",
Acianthera garciae,SPECIES,77708,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera geminicaulina,SPECIES,67809,GENUS,65403,A,"(Ames) Pridgeon & M.W.Chase, 2001",
Acianthera gigantea,SPECIES,94544,GENUS,65403,A,"(Lindl.) A.Doucette, 2016",
Acianthera glanduligera,SPECIES,79340,GENUS,65403,A,"(Lindl.) Luer, 2004",
Acianthera glumacea,SPECIES,75291,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera gouveiae,SPECIES,77047,GENUS,65403,A,"(A.Samp.) F.Barros & L.R.S.Guim., 2010",
Acianthera gracilis,SPECIES,69827,GENUS,65403,A,"(Barb.Rodr.) F.Barros & L.R.S.Guim., 2010",
Acianthera gracilisepala,SPECIES,80109,GENUS,65403,A,"(Brade) Luer, 2004",
Acianthera gradeae,SPECIES,78775,GENUS,65403,A,"Chiron & Benelli, 2012",
Acianthera granitica,SPECIES,73235,GENUS,65403,A,"(Luer & G.A.Romero) Luer, 2004",
Acianthera greenwoodii,SPECIES,78142,GENUS,65403,A,"Soto Arenas, 2002 publ. 2003",
Acianthera hamata,SPECIES,81282,GENUS,65403,A,"Pupulin & G.A.Rojas, 2007",
Acianthera hartwegiifolia,SPECIES,75616,GENUS,65403,A,"(H.Wendl. & Kraenzl.) Solano & Soto Arenas, 2002 publ. 2003",
Acianthera hatschbachii,SPECIES,78533,GENUS,65403,A,"(Schltr.) Chiron & Van den Berg, 2012",
Acianthera heliconioides,SPECIES,73682,GENUS,65403,A,"(Luer & R.Vásquez) Pridgeon & M.W.Chase, 2001",
Acianthera heliconiscapa,SPECIES,77580,GENUS,65403,A,"(Hoehne) F.Barros, 2002",
Acianthera henrici,SPECIES,75741,GENUS,65403,A,"(Schltr.) Luer, 2004",
Acianthera heringeri,SPECIES,82072,GENUS,65403,A,"(Hoehne) F.Barros, 2003",
Acianthera herrerae,SPECIES,73151,GENUS,65403,A,"(Luer) Solano & Soto Arenas, 2002 publ. 2003",
Acianthera herzogii,SPECIES,77450,GENUS,65403,A,"(Schltr.) Baumbach, 2007",
Acianthera heteropetala,SPECIES,80720,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera hirsutula,SPECIES,75797,GENUS,65403,A,"(Fawc. & Rendle) Pridgeon & M.W.Chase, 2001",
Acianthera hirtzii,SPECIES,71535,GENUS,65403,A,"(Luer) Karremans & Rinc.-González, 2015",
Acianthera hoffmannseggiana,SPECIES,77375,GENUS,65403,A,"(Rchb.f.) F.Barros, 2003",
Acianthera hondurensis,SPECIES,68459,GENUS,65403,A,"(Ames) Pridgeon & M.W.Chase, 2001",
Acianthera hygrophila,SPECIES,71257,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera hystrix,SPECIES,74259,GENUS,65403,A,"(Kraenzl.) F.Barros, 2004",
Acianthera imitator,SPECIES,80032,GENUS,65403,A,"Toscano, Luer & L.Kollmann, 2015",
Acianthera inaequalis,SPECIES,74527,GENUS,65403,A,"(Lindl.) F.Barros & L.R.S.Guim., 2010",
Acianthera johannensis,SPECIES,66843,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera johnsonii,SPECIES,70670,GENUS,65403,A,"(Ames) Pridgeon & M.W.Chase, 2001",
Acianthera jordanensis,SPECIES,76423,GENUS,65403,A,"(Brade) F.Barros, 2002",
Acianthera juxtaposita,SPECIES,77347,GENUS,65403,A,"(Luer) Luer, 2004",
Acianthera kateora,SPECIES,74437,GENUS,65403,A,"(Garay) Karremans & Rinc.-González, 2015",
Acianthera kegelii,SPECIES,73092,GENUS,65403,A,"(Rchb.f.) Luer, 2004",
Acianthera klingelfusii,SPECIES,72798,GENUS,65403,A,"Luer, Toscano & Baptista, 2011",
Acianthera klotzschiana,SPECIES,74881,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera krahnii,SPECIES,76800,GENUS,65403,A,"Luer & Vásquez, 2005",
Acianthera lamia,SPECIES,70892,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera langeana,SPECIES,77768,GENUS,65403,A,"(Kraenzl.) Pridgeon & M.W.Chase, 2001",
Acianthera lepidota,SPECIES,75972,GENUS,65403,A,"(L.O.Williams) Pridgeon & M.W.Chase, 2001",
Acianthera leptotifolia,SPECIES,66789,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera limae,SPECIES,67840,GENUS,65403,A,"(Porto & Brade) Pridgeon & M.W.Chase, 2001",
Acianthera litensis,SPECIES,74839,GENUS,65403,A,"(Luer & Hirtz) Luer, 2004",
Acianthera lojae,SPECIES,76789,GENUS,65403,A,"(Schltr.) Luer, 2004",
Acianthera luteola,SPECIES,55907,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera macilenta,SPECIES,68705,GENUS,65403,A,"Luer & Hirtz, 2013",
Acianthera macropoda,SPECIES,76366,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera macuconensis,SPECIES,72972,GENUS,65403,A,"(Barb.Rodr.) F.Barros, 2003",
Acianthera maculiglossa,SPECIES,68617,GENUS,65403,A,"Chiron & N.Sanson, 2009",
Acianthera madisonii,SPECIES,74733,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera magalhanesii,SPECIES,81150,GENUS,65403,A,"(Pabst) F.Barros, 2003",
Acianthera majakoluckae,SPECIES,70861,GENUS,65403,A,"Soto Arenas & Solano, 2002 publ. 2003",
Acianthera malachantha,SPECIES,81201,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera marquesii,SPECIES,70328,GENUS,65403,A,"Luer & Toscano, 2012",
Acianthera marumbyana,SPECIES,69532,GENUS,65403,A,"(Garay) Luer, 2004",
Acianthera melachila,SPECIES,72851,GENUS,65403,A,"(Barb.Rodr.) Luer, 2004",
Acianthera melanochthoda,SPECIES,66885,GENUS,65403,A,"(Luer & Hirtz) Pridgeon & M.W.Chase, 2001",
Acianthera melanoglossa,SPECIES,71316,GENUS,65403,A,"(Luer & R.Escobar) Luer, 2004",
Acianthera mendozae,SPECIES,82158,GENUS,65403,A,"Luer, 2009",
Acianthera mexiae,SPECIES,72549,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera micrantha,SPECIES,71527,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera minima,SPECIES,74533,GENUS,65403,A,"(Cogn.) F.Barros, 2002",
Acianthera miqueliana,SPECIES,64171,GENUS,65403,A,"(H.Focke) Pridgeon & M.W.Chase, 2001",
Acianthera modestissima,SPECIES,67695,GENUS,65403,A,"(Rchb.f. & Warm.) Pridgeon & M.W.Chase, 2001",
Acianthera montana,SPECIES,72235,GENUS,65403,A,"(Barb.Rodr.) F.Barros & L.R.S.Guim., 2010",
Acianthera morenoi,SPECIES,72340,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera morilloi,SPECIES,80613,GENUS,65403,A,"(Carnevali & I.Ramírez) Luer, 2004",
Acianthera moronae,SPECIES,72149,GENUS,65403,A,"(Luer & Hirtz) Luer, 2004",
Acianthera murex,SPECIES,79454,GENUS,65403,A,"(Rchb.f.) Luer, 2009",
Acianthera murexoidea,SPECIES,79782,GENUS,65403,A,"(Pabst) Pridgeon & M.W.Chase, 2001",
Acianthera muscicola,SPECIES,77166,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera muscosa,SPECIES,82038,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera myrticola,SPECIES,71735,GENUS,65403,A,"(Barb.Rodr.) F.Barros & L.R.S.Guim., 2010",
Acianthera nemorosa,SPECIES,75765,GENUS,65403,A,"(Barb.Rodr.) F.Barros, 2003",
Acianthera obscura,SPECIES,77304,GENUS,65403,A,"(A.Rich. & Galeotti) Pridgeon & M.W.Chase, 2001",
Acianthera ochreata,SPECIES,82175,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera octophrys,SPECIES,70067,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera odontotepala,SPECIES,82126,GENUS,65403,A,"(Rchb.f.) Luer, 2004",
Acianthera ofella,SPECIES,75535,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera oligantha,SPECIES,73136,GENUS,65403,A,"(Barb.Rodr.) F.Barros, 2003",
Acianthera omissa,SPECIES,69204,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera oscitans,SPECIES,66886,GENUS,65403,A,"(Ames) Pridgeon & M.W.Chase, 2001",
Acianthera pacayana,SPECIES,67843,GENUS,65403,A,"(Schltr.) Solano & Soto Arenas, 2002 publ. 2003",
Acianthera panduripetala,SPECIES,76341,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
Acianthera pantasmi,SPECIES,55908,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera pantasmoides,SPECIES,79294,GENUS,65403,A,"(C.Schweinf.) Pridgeon & M.W.Chase, 2001",
Acianthera papillosa,SPECIES,71402,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera pardipes,SPECIES,69548,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera pariaensis,SPECIES,70588,GENUS,65403,A,"(Carnevali & G.A.Romero) Carnevali & G.A.Romero, 2008",
Acianthera parva,SPECIES,70751,GENUS,65403,A,"(Rolfe) F.Barros & L.R.S.Guim., 2010",
Acianthera pavimentata,SPECIES,78391,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera pazii,SPECIES,74630,GENUS,65403,A,"Luer, 2009",
Acianthera pectinata,SPECIES,66414,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera per-dusenii,SPECIES,69197,GENUS,65403,A,"(Hoehne) F.Barros & L.R.S.Guim., 2010",
Acianthera pernambucensis,SPECIES,68763,GENUS,65403,A,"(Rolfe) F.Barros, 2006",
Acianthera phoenicoptera,SPECIES,74390,GENUS,65403,A,"(Carnevali & G.A.Romero) Luer, 2004",
Acianthera platystachys,SPECIES,66887,GENUS,65403,A,"(Regel) Chiron & Van den Berg, 2012",
Acianthera pollardiana,SPECIES,68707,GENUS,65403,A,"Solano, 2015",
Acianthera polystachya,SPECIES,55909,GENUS,65403,A,"(Ruiz & Pav.) Pupulin, 2012",
Acianthera portilloi,SPECIES,78982,GENUS,65403,A,"(Luer & R.Escobar) Karremans & Rinc.-González, 2015",
Acianthera prognatha,SPECIES,69773,GENUS,65403,A,"(Luer & R.Escobar) Pridgeon & M.W.Chase, 2001",
Acianthera prolifera,SPECIES,67842,GENUS,65403,A,"(Herb. ex Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera pubescens,SPECIES,55910,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera punctatiflora,SPECIES,76517,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera punicea,SPECIES,69085,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera purpureoviolacea,SPECIES,70256,GENUS,65403,A,"(Cogn.) F.Barros, 2002",
Acianthera quadricristata,SPECIES,68833,GENUS,65403,A,"(Luer & Hirtz) Luer, 2004",
Acianthera quadriserrata,SPECIES,55911,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera ramosa,SPECIES,70055,GENUS,65403,A,"(Barb.Rodr.) F.Barros, 2003",
Acianthera recurva,SPECIES,67844,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera rinkei,SPECIES,66415,GENUS,65403,A,"Luer, 2006",
Acianthera rodrigoi,SPECIES,78464,GENUS,65403,A,"(Luer) Luer, 2004",
Acianthera rodriguesii,SPECIES,69390,GENUS,65403,A,"(Cogn.) Pridgeon & M.W.Chase, 2001",
Acianthera rostellata,SPECIES,80062,GENUS,65403,A,"(Barb.Rodr.) Luer, 2004",
Acianthera rubroviridis,SPECIES,69173,GENUS,65403,A,"(Lindl.) Pridgeon & M.W.Chase, 2001",
Acianthera sandaliorum,SPECIES,72761,GENUS,65403,A,"(G.A.Romero & Carnevali) Luer, 2004",
Acianthera sarcosepala,SPECIES,76140,GENUS,65403,A,"(Carnevali & I.Ramírez) Carnevali & G.A.Romero, 2008",
Acianthera saundersiana,SPECIES,80702,GENUS,65403,A,"(Rchb.f.) Pridgeon & M.W.Chase, 2001",
Acianthera saurocephala,SPECIES,66888,GENUS,65403,A,"(G.Lodd.) Pridgeon & M.W.Chase, 2001",
Acianthera scalpricaulis,SPECIES,66560,GENUS,65403,A,"(Luer) Pridgeon & M.W.Chase, 2001",
Acianthera serpentula,SPECIES,69473,GENUS,65403,A,"(Barb.Rodr.) F.Barros, 2003",
Acianthera serratifolia,SPECIES,70303,GENUS,65403,A,"Rinc.-González & Karremans, 2015",
Acianthera serrulatipetala,SPECIES,70184,GENUS,65403,A,"(Barb.Rodr.) Pridgeon & M.W.Chase, 2001",
