cites_name,cites_taxon_code,speciesplusid,speciesplusname,rank
Angraecum gilpinae,5486.915,45533,Angraecum gilpinae,SPECIES
Angraecum gladiifolium,5487.01,43115,Angraecum gladiifolium,SPECIES
Angraecum globulosum,5487.03,40919,Angraecum globulosum,SPECIES
Angraecum gracillimum,5487.14,48404,Angraecum gracillimum,SPECIES
Angraecum grantii,5487.18,45138,Angraecum grantii,SPECIES
Angraecum guillauminii,5487.2,22929,Angraecum guillauminii,SPECIES
Angraecum guyonianum,5487.3,50610,Angraecum guyonianum,SPECIES
Angraecum hermannii,5487.4,20573,Angraecum hermannii,SPECIES
Angraecum hildebrandtii,5487.43,42934,Angraecum hildebrandtii,SPECIES
Angraecum hislopii,5487.45,49222,Angraecum hislopii,SPECIES
Angraecum hologlottis,5487.47,50328,Angraecum hologlottis,SPECIES
Angraecum humbertii,5487.5,15900,Angraecum humbertii,SPECIES
Angraecum humblotianum,5487.6,29295,Angraecum humblotianum,SPECIES
Angraecum humblotii,5487.7,49526,Angraecum humblotii,SPECIES
Angraecum humile,5487.9,14474,Angraecum humile,SPECIES
Angraecum huntleyoides,5488,20916,Angraecum huntleyoides,SPECIES
Angraecum hyaloides,5488.05,52510,Angraecum hyaloides,SPECIES
Angraecum hybrid,5476.001,55580,Angraecum hybrid,SPECIES
Angraecum ichneumoneum,5488.15,48642,Angraecum ichneumoneum,SPECIES
Angraecum imerinense,5488.2,23076,Angraecum imerinense,SPECIES
Angraecum implicatum,5488.3,20994,Angraecum implicatum,SPECIES
Angraecum inaequilongum,5488.35,50669,Angraecum inaequilongum,SPECIES
Angraecum inapertum,5488.4,25731,Angraecum inapertum,SPECIES
Angraecum infundibulare,5488.5,20300,Angraecum infundibulare,SPECIES
Angraecum ischnopus,5488.52,45989,Angraecum ischnopus,SPECIES
Angraecum ivorense,5488.53,44448,Angraecum ivorense,SPECIES
Angraecum jamaicense,5488.54,41417,Angraecum jamaicense,SPECIES
Angraecum jumelleanum,5488.55,48130,Angraecum jumelleanum,SPECIES
Angraecum keniae,5488.6,25467,Angraecum keniae,SPECIES
Angraecum kimballianum,5488.63,45634,Angraecum kimballianum,SPECIES
Angraecum kindtianum,5488.67,49854,Angraecum kindtianum,SPECIES
Angraecum kirkii,5488.7,44611,Angraecum kirkii,SPECIES
Angraecum koehleri,5488.73,42142,Angraecum koehleri,SPECIES
Angraecum konduense,5488.77,48283,Angraecum konduense,SPECIES
Angraecum kotschyanum,5488.8,49948,Angraecum kotschyanum,SPECIES
Angraecum kotschyi,5488.9,45364,Angraecum kotschyi,SPECIES
Angraecum laciniatum,5489.1,45297,Angraecum laciniatum,SPECIES
Angraecum laggiarae,5489.2,25939,Angraecum laggiarae,SPECIES
Angraecum lagosense,5489.22,51640,Angraecum lagosense,SPECIES
Angraecum lansbergii,5489.24,48658,Angraecum lansbergii,SPECIES
Angraecum latibracteatum,5489.26,41905,Angraecum latibracteatum,SPECIES
Angraecum laurentii,5489.28,44694,Angraecum laurentii,SPECIES
Angraecum lecomtei,5489.3,15907,Angraecum lecomtei,SPECIES
Angraecum ledermannianum,5489.33,47601,Angraecum ledermannianum,SPECIES
Angraecum leonii,5489.37,43729,Angraecum leonii,SPECIES
Angraecum leonis,5489.4,18854,Angraecum leonis,SPECIES
Angraecum lepidotum,5489.43,41759,Angraecum lepidotum,SPECIES
Angraecum letouzeyi,5489.44,18503,Angraecum letouzeyi,SPECIES
Angraecum lignosum,5489.45,50522,Angraecum lignosum,SPECIES
Angraecum ligulatum,5489.5,42512,Angraecum ligulatum,SPECIES
Angraecum liliodorum,5489.6,52841,Angraecum liliodorum,SPECIES
Angraecum lindenii,5489.65,50415,Angraecum lindenii,SPECIES
Angraecum linearifolium,5489.7,23311,Angraecum linearifolium,SPECIES
Angraecum lisowskianum,5489.75,21173,Angraecum lisowskianum,SPECIES
Angraecum litorale,5489.8,17875,Angraecum litorale,SPECIES
Angraecum longicaule,5490,20445,Angraecum longicaule,SPECIES
Angraecum longinode,5490.1,29548,Angraecum longinode,SPECIES
Angraecum luridum,5490.14,45698,Angraecum luridum,SPECIES
Angraecum macilentum,5490.165,26990,Angraecum macilentum,SPECIES
Angraecum macrocentrum,5490.17,41384,Angraecum macrocentrum,SPECIES
Angraecum maculatum,5490.2,52790,Angraecum maculatum,SPECIES
Angraecum madagascariense,5490.3,20447,Angraecum madagascariense,SPECIES
Angraecum magdalenae,5490.4,19563,Angraecum magdalenae,SPECIES
Angraecum mahavavense,5490.5,23052,Angraecum mahavavense,SPECIES
Angraecum maheense,5490.6,40755,Angraecum maheense,SPECIES
Angraecum majale,5490.62,53597,Angraecum majale,SPECIES
Angraecum malangeanum,5490.64,50532,Angraecum malangeanum,SPECIES
Angraecum marii,5490.66,17389,Angraecum marii,SPECIES
Angraecum marsupio-calcaratum,5490.67,50999,Angraecum marsupio-calcaratum,SPECIES
Angraecum maudae,5490.68,45033,Angraecum maudae,SPECIES
Angraecum mauritianum,5490.7,23046,Angraecum mauritianum,SPECIES
Angraecum meirax,5490.8,14191,Angraecum meirax,SPECIES
Angraecum melanostictum,5490.9,28333,Angraecum melanostictum,SPECIES
Angraecum metallicum,5490.95,17562,Angraecum metallicum,SPECIES
Angraecum micranthum,5490.97,47852,Angraecum micranthum,SPECIES
Angraecum microcharis,5491,27024,Angraecum microcharis,SPECIES
Angraecum micropetalum,5491.03,52714,Angraecum micropetalum,SPECIES
Angraecum microphyton,5491.07,45087,Angraecum microphyton,SPECIES
Angraecum minus,5491.1,26105,Angraecum minus,SPECIES
Angraecum minutum,5491.2,22822,Angraecum minutum,SPECIES
Angraecum mirabile,5491.3,19865,Angraecum mirabile,SPECIES
Angraecum moandense,5491.35,25815,Angraecum moandense,SPECIES
Angraecum modestum,5491.37,48403,Angraecum modestum,SPECIES
Angraecum modicum,5491.4,16640,Angraecum modicum,SPECIES
Angraecum mofakoko,5491.5,24103,Angraecum mofakoko,SPECIES
Angraecum montanum,5491.6,48788,Angraecum montanum,SPECIES
Angraecum mooreanum,5491.65,47548,Angraecum mooreanum,SPECIES
Angraecum moratii,5491.7,25147,Angraecum moratii,SPECIES
Angraecum multiflorum,5491.8,14447,Angraecum multiflorum,SPECIES
Angraecum multinominatum,5491.9,24191,Angraecum multinominatum,SPECIES
Angraecum muriculatum,5491.95,41913,Angraecum muriculatum,SPECIES
Angraecum muscicolum,5492,17976,Angraecum muscicolum,SPECIES
Angraecum musculiferum,5492.1,16763,Angraecum musculiferum,SPECIES
Angraecum myrianthum,5492.2,24346,Angraecum myrianthum,SPECIES
Angraecum mystacidii,5492.23,43746,Angraecum mystacidii,SPECIES
Angraecum nalaense,5492.25,40516,Angraecum nalaense,SPECIES
Angraecum nanum,5492.3,23676,Angraecum nanum,SPECIES
Angraecum nasutum,5492.4,21490,Angraecum nasutum,SPECIES
Angraecum neglectum,5492.41,52877,Angraecum neglectum,SPECIES
Angraecum nutans,5492.44,40635,Angraecum nutans,SPECIES
Angraecum obanense,5492.46,44381,Angraecum obanense,SPECIES
Angraecum oberonia,5492.5,15125,Angraecum oberonia,SPECIES
Angraecum obesum,5492.6,27295,Angraecum obesum,SPECIES
Angraecum oblongifolium,5492.7,27672,Angraecum oblongifolium,SPECIES
Angraecum obversifolium,5492.8,26467,Angraecum obversifolium,SPECIES
Angraecum occidentale,5492.85,46195,Angraecum occidentale,SPECIES
Angraecum ochraceum,5492.9,22251,Angraecum ochraceum,SPECIES
Angraecum odoratissimum,5493,41962,Angraecum odoratissimum,SPECIES
Angraecum oeonioides,5493.03,42284,Angraecum oeonioides,SPECIES
Angraecum oliganthum,5493.07,40729,Angraecum oliganthum,SPECIES
Angraecum onivense,5493.1,25824,Angraecum onivense,SPECIES
Angraecum ophioplectron,5493.11,46574,Angraecum ophioplectron,SPECIES
Angraecum organense,5493.12,45860,Angraecum organense,SPECIES
Angraecum ovalifolium,5493.14,52934,Angraecum ovalifolium,SPECIES
Angraecum pallidum,5493.15,50373,Angraecum pallidum,SPECIES
Angraecum palmatum,5493.16,49050,Angraecum palmatum,SPECIES
Angraecum palmicolum,5493.17,24762,Angraecum palmicolum,SPECIES
Angraecum palmiforme,5493.2,27730,Angraecum palmiforme,SPECIES
Angraecum panicifolium,5493.3,26084,Angraecum panicifolium,SPECIES
Angraecum paniculatum,5493.33,41978,Angraecum paniculatum,SPECIES
Angraecum parcum,5493.35,46065,Angraecum parcum,SPECIES
Angraecum parviflorum,5493.37,46598,Angraecum parviflorum,SPECIES
Angraecum parvulum,5493.4,18541,Angraecum parvulum,SPECIES
Angraecum patens,5493.45,39709,Angraecum patens,SPECIES
Angraecum pauciramosum,5493.5,27179,Angraecum pauciramosum,SPECIES
Angraecum pectinatum,5493.6,20828,Angraecum pectinatum,SPECIES
Angraecum pellucidum,5493.7,46595,Angraecum pellucidum,SPECIES
Angraecum penzigianum,5493.8,25471,Angraecum penzigianum,SPECIES
Angraecum pergracile,5493.9,21595,Angraecum pergracile,SPECIES
Angraecum perhumile,5494,21433,Angraecum perhumile,SPECIES
Angraecum perparvulum,5494.1,16643,Angraecum perparvulum,SPECIES
Angraecum perrieri,5493.75,49524,Angraecum perrieri,SPECIES
Angraecum pertusum,5494.2,48155,Angraecum pertusum,SPECIES
Angraecum pescatorianum,5494.23,49292,Angraecum pescatorianum,SPECIES
Angraecum petterssonianum,5494.25,25828,Angraecum petterssonianum,SPECIES
Angraecum peyrotii,5494.27,22121,Angraecum peyrotii,SPECIES
Angraecum philippinense,5494.3,53685,Angraecum philippinense,SPECIES
Angraecum physophorum,5494.35,47163,Angraecum physophorum,SPECIES
Angraecum pingue,5494.4,28148,Angraecum pingue,SPECIES
Angraecum pinifolium,5494.5,14194,Angraecum pinifolium,SPECIES
Angraecum podochiloides,5494.7,25865,Angraecum podochiloides,SPECIES
Angraecum poeppigii,5494.75,45401,Angraecum poeppigii,SPECIES
Angraecum poophyllum,5494.8,45554,Angraecum poophyllum,SPECIES
Angraecum popowii,5494.85,15359,Angraecum popowii,SPECIES
Angraecum potamophilum,5494.9,25338,Angraecum potamophilum,SPECIES
Angraecum praestans,5495,21366,Angraecum praestans,SPECIES
Angraecum protensum,5495.1,24608,Angraecum protensum,SPECIES
Angraecum pseudodidieri,5495.2,26670,Angraecum pseudodidieri,SPECIES
Angraecum pseudofilicornu,5495.3,16742,Angraecum pseudofilicornu,SPECIES
Angraecum pseudopetiolatum,5495.4,22708,Angraecum pseudopetiolatum,SPECIES
Angraecum pterophyllum,5495.43,15592,Angraecum pterophyllum,SPECIES
Angraecum pugioniforme,5495.45,53804,Angraecum pugioniforme,SPECIES
Angraecum pulchellum,5495.47,52478,Angraecum pulchellum,SPECIES
Angraecum pumilio,5495.5,17114,Angraecum pumilio,SPECIES
Angraecum pungens,5495.6,26264,Angraecum pungens,SPECIES
Angraecum purpureum,5495.65,50830,Angraecum purpureum,SPECIES
Angraecum pusillum,5495.7,28669,Angraecum pusillum,SPECIES
Angraecum pynaertii,5495.75,41566,Angraecum pynaertii,SPECIES
Angraecum pyriforme,5495.8,14696,Angraecum pyriforme,SPECIES
Angraecum quintasii,5495.85,40817,Angraecum quintasii,SPECIES
Angraecum ramosum,5495.9,27151,Angraecum ramosum,SPECIES
Angraecum ramulicolum,5496,22168,Angraecum ramulicolum,SPECIES
Angraecum rectum,5496.03,53149,Angraecum rectum,SPECIES
Angraecum reichenbachianum,5496.1,40425,Angraecum reichenbachianum,SPECIES
Angraecum reygaertii,5496.2,27758,Angraecum reygaertii,SPECIES
Angraecum rhipsalisocium,5496.25,42653,Angraecum rhipsalisocium,SPECIES
Angraecum rhizanthium,5496.3,15065,Angraecum rhizanthium,SPECIES
Angraecum rhizomaniacum,5496.4,14906,Angraecum rhizomaniacum,SPECIES
Angraecum rhodesianum,5496.45,49130,Angraecum rhodesianum,SPECIES
Angraecum rhynchoglossum,5496.7,15442,Angraecum rhynchoglossum,SPECIES
Angraecum rigidifolium,5496.8,26647,Angraecum rigidifolium,SPECIES
Angraecum rohlfsianum,5496.9,43455,Angraecum rohlfsianum,SPECIES
Angraecum rostellare,5496.97,52830,Angraecum rostellare,SPECIES
Angraecum rostratum,5497,26487,Angraecum rostratum,SPECIES
Angraecum rothschildianum,5497.03,53264,Angraecum rothschildianum,SPECIES
Angraecum rubellum,5497.05,14543,Angraecum rubellum,SPECIES
Angraecum rutenbergianum,5497.1,20298,Angraecum rutenbergianum,SPECIES
Angraecum sacciferum,5497.2,14383,Angraecum sacciferum,SPECIES
Angraecum saccolabioides,5497.25,45425,Angraecum saccolabioides,SPECIES
Angraecum sacculatum,5497.3,22375,Angraecum sacculatum,SPECIES
Angraecum salazianum,5497.4,18899,Angraecum salazianum,SPECIES
Angraecum sambiranoense,5497.5,25925,Angraecum sambiranoense,SPECIES
Angraecum sanderianum,5497.52,43011,Angraecum sanderianum,SPECIES
Angraecum sanfordii,5497.53,27400,Angraecum sanfordii,SPECIES
Angraecum sarcodanthum,5497.56,49481,Angraecum sarcodanthum,SPECIES
Angraecum scabripes,5497.58,41294,Angraecum scabripes,SPECIES
Angraecum scalariforme,5497.6,26821,Angraecum scalariforme,SPECIES
Angraecum scandens,5497.61,49165,Angraecum scandens,SPECIES
Angraecum schiedei,5497.63,42967,Angraecum schiedei,SPECIES
Angraecum schimperianum,5497.64,45496,Angraecum schimperianum,SPECIES
Angraecum schoellerianum,5497.65,40547,Angraecum schoellerianum,SPECIES
Angraecum schumannii,5497.66,40266,Angraecum schumannii,SPECIES
Angraecum scottellii,5497.67,52534,Angraecum scottellii,SPECIES
Angraecum scottianum,5497.7,17759,Angraecum scottianum,SPECIES
Angraecum sedifolium,5497.8,21600,Angraecum sedifolium,SPECIES
Angraecum semipedale,5497.85,52633,Angraecum semipedale,SPECIES
Angraecum serpens,5497.9,18194,Angraecum serpens,SPECIES
Angraecum sesquipedale,5498,18942,Angraecum sesquipedale,SPECIES
Angraecum sesquisectangulum,5498.1,17453,Angraecum sesquisectangulum,SPECIES
Angraecum setipes,5498.2,24616,Angraecum setipes,SPECIES
Angraecum sinuatiflorum,5498.3,15641,Angraecum sinuatiflorum,SPECIES
Angraecum smithii,5498.35,52210,Angraecum smithii,SPECIES
Angraecum solheidii,5498.43,45672,Angraecum solheidii,SPECIES
Angraecum somalense,5498.45,49448,Angraecum somalense,SPECIES
Angraecum sororium,5498.5,26613,Angraecum sororium,SPECIES
Angraecum spathulatum,5498.55,53265,Angraecum spathulatum,SPECIES
Angraecum spectabile,5498.6,28140,Angraecum spectabile,SPECIES
Angraecum spicatum,5498.7,25763,Angraecum spicatum,SPECIES
Angraecum stella,5498.72,44007,Angraecum stella,SPECIES
Angraecum stella-africae,5498.75,25888,Angraecum stella-africae,SPECIES
Angraecum stenophyllum,5498.77,46731,Angraecum stenophyllum,SPECIES
Angraecum sterrophyllum,5498.8,29543,Angraecum sterrophyllum,SPECIES
Angraecum stipitatum,5498.83,41797,Angraecum stipitatum,SPECIES
Angraecum stipulatum,5498.85,51598,Angraecum stipulatum,SPECIES
Angraecum stolzii,5498.9,28030,Angraecum stolzii,SPECIES
Angraecum striatum,5499,24607,Angraecum striatum,SPECIES
Angraecum stylosum,5499.1,40331,Angraecum stylosum,SPECIES
Angraecum suarezense,5499.2,45641,Angraecum suarezense,SPECIES
Angraecum subclavatum,5499.23,52585,Angraecum subclavatum,SPECIES
Angraecum subcordatum,5499.25,50364,Angraecum subcordatum,SPECIES
Angraecum subcylindrifolium,5499.27,42730,Angraecum subcylindrifolium,SPECIES
Angraecum subfalcifolium,5499.3,42403,Angraecum subfalcifolium,SPECIES
Angraecum subulatum,5499.4,21022,Angraecum subulatum,SPECIES
Angraecum talbotii,5499.55,45786,Angraecum talbotii,SPECIES
Angraecum tamarindicolum,5499.6,27616,Angraecum tamarindicolum,SPECIES
Angraecum tenellum,5499.7,19308,Angraecum tenellum,SPECIES
Angraecum tenerrimum,5499.73,49359,Angraecum tenerrimum,SPECIES
Angraecum tenue,5499.75,43621,Angraecum tenue,SPECIES
Angraecum tenuifolium,5499.8,14647,Angraecum tenuifolium,SPECIES
Angraecum tenuipes,5499.9,29457,Angraecum tenuipes,SPECIES
Angraecum tenuispica,5500,15450,Angraecum tenuispica,SPECIES
Angraecum teres,5500.1,16619,Angraecum teres,SPECIES
Angraecum teretifolium,5500.2,16532,Angraecum teretifolium,SPECIES
Angraecum thomense,5500.23,50224,Angraecum thomense,SPECIES
Angraecum thomsonii,5500.25,41330,Angraecum thomsonii,SPECIES
Angraecum trachyrrhizum,5500.27,47168,Angraecum trachyrrhizum,SPECIES
Angraecum triangulifolium,5500.3,19285,Angraecum triangulifolium,SPECIES
Angraecum trichoplectron,5500.4,19168,Angraecum trichoplectron,SPECIES
Angraecum tricuspe,5500.42,47310,Angraecum tricuspe,SPECIES
Angraecum tridactylites,5500.44,53793,Angraecum tridactylites,SPECIES
Angraecum tridens,5500.46,52285,Angraecum tridens,SPECIES
Angraecum tridentatum,5500.48,45426,Angraecum tridentatum,SPECIES
Angraecum triquetrum,5500.5,27503,Angraecum triquetrum,SPECIES
Angraecum tsaratananae,5500.55,51879,Angraecum tsaratananae,SPECIES
Angraecum umbrosum,5500.65,25481,Angraecum umbrosum,SPECIES
Angraecum undulatum,5500.7,27825,Angraecum undulatum,SPECIES
Angraecum urostachyum,5500.75,52703,Angraecum urostachyum,SPECIES
Angraecum urschianum,5500.8,13828,Angraecum urschianum,SPECIES
Angraecum vagans,5500.85,41025,Angraecum vagans,SPECIES
Angraecum venustum,5501.03,47810,Angraecum venustum,SPECIES
Angraecum verdickii,5501.05,46954,Angraecum verdickii,SPECIES
Angraecum verecundum,5501.1,26182,Angraecum verecundum,SPECIES
Angraecum verrucosum,5501.13,52273,Angraecum verrucosum,SPECIES
Angraecum verruculosum,5501.15,51731,Angraecum verruculosum,SPECIES
Angraecum vesicatum,5501.17,45903,Angraecum vesicatum,SPECIES
Angraecum vesiculatum,5501.2,23553,Angraecum vesiculatum,SPECIES
Angraecum vesiculiferum,5501.3,23665,Angraecum vesiculiferum,SPECIES
Angraecum viguieri,5501.4,13722,Angraecum viguieri,SPECIES
Angraecum virens,5501.5,53032,Angraecum virens,SPECIES
Angraecum virgula,5501.55,44202,Angraecum virgula,SPECIES
Angraecum viride,5501.6,19216,Angraecum viride,SPECIES
Angraecum viridescens,5501.65,42324,Angraecum viridescens,SPECIES
Angraecum viridiflorum,5501.7,24694,Angraecum viridiflorum,SPECIES
Angraecum wakefieldii,5501.81,53133,Angraecum wakefieldii,SPECIES
Angraecum whitfieldii,5501.84,51937,Angraecum whitfieldii,SPECIES
Angraecum woodianum,5501.87,48966,Angraecum woodianum,SPECIES
Angraecum xanthopollinium,5501.88,50826,Angraecum xanthopollinium,SPECIES
Angraecum xylopus,5501.9,23897,Angraecum xylopus,SPECIES
Angraecum zaratananae,5502,24273,Angraecum zaratananae,SPECIES
Angraecum zenkeri,5502.05,43335,Angraecum zenkeri,SPECIES
Angraecum zeylanicum,5502.1,16441,Angraecum zeylanicum,SPECIES
Angraecum zigzag,5502.15,48580,Angraecum zigzag,SPECIES
Anguilla anguilla,2635.1,3973,Anguilla anguilla,SPECIES
Anguloa brevilabris,5503.1,21220,Anguloa brevilabris,SPECIES
Anguloa cliftonii,5503.3,17715,Anguloa cliftonii,SPECIES
Anguloa clowesii,5503.4,17818,Anguloa clowesii,SPECIES
Anguloa dubia,5503.7,24153,Anguloa dubia,SPECIES
Anguloa eburnea,5503.8,50150,Anguloa eburnea,SPECIES
Anguloa goldschmidtiana,5503.85,42422,Anguloa goldschmidtiana,SPECIES
Anguloa grandiflora,5503.9,48870,Anguloa grandiflora,SPECIES
Anguloa hohenlohii,5504,19795,Anguloa hohenlohii,SPECIES
Anguloa hybrid,5503.05,55536,Anguloa hybrid,SPECIES
Anguloa lurida,5504.15,41002,Anguloa lurida,SPECIES
Anguloa purpurea,5504.17,29099,Anguloa purpurea,SPECIES
Anguloa sagittata,5504.25,21714,Anguloa sagittata,SPECIES
Anguloa superba,5504.4,44128,Anguloa superba,SPECIES
Anguloa tognettiae,5504.45,17910,Anguloa tognettiae,SPECIES
Anguloa turneri,5504.5,41136,Anguloa turneri,SPECIES
Anguloa uniflora,5504.6,20003,Anguloa uniflora,SPECIES
Anguloa virginalis,5504.7,24320,Anguloa virginalis,SPECIES
Ania hongkongensis,5505.2,52875,Ania hongkongensis,SPECIES
Ania penangiana,5505.4,15684,Ania penangiana,SPECIES
Aniba rosaeodora,5275.1,19724,Aniba rosaeodora,SPECIES
Anigozanthos humilis,5250.4,19245,Anigozanthos humilis,SPECIES
Anigozanthos manglesii,5250.6,22421,Anigozanthos manglesii,SPECIES
Anigozanthos onycis,5250.7,26482,Anigozanthos onycis,SPECIES
Anigozanthos pulcherrimus,5250.9,21617,Anigozanthos pulcherrimus,SPECIES
Anisocereus gaumeri,4111.1,45697,Anisocereus gaumeri,SPECIES
Anisocereus lepidanthus,4111.2,44032,Anisocereus lepidanthus,SPECIES
Anisopetalum careyanum,5506.1,53244,Anisopetalum careyanum,SPECIES
Anneliesia candida,5507.6,16656,Anneliesia candida,SPECIES
Anneliesia cuneata,5507.65,17073,Anneliesia cuneata,SPECIES
Anneliesia kayasimae,5507.67,16443,Anneliesia kayasimae,SPECIES
Anneliesia russelliana,5507.7,15529,Anneliesia russelliana,SPECIES
Anodorhynchus glaucus,1479.1,5002,Anodorhynchus glaucus,SPECIES
Anodorhynchus hyacinthinus,1479.2,8986,Anodorhynchus hyacinthinus,SPECIES
Anodorhynchus leari,1479.3,5579,Anodorhynchus leari,SPECIES
Anoectochilus apiculatus,5509.1,44334,Anoectochilus apiculatus,SPECIES
Anoectochilus brevistylus,5509.22,20080,Anoectochilus brevistylus,SPECIES
Anoectochilus calcaratus,5509.27,26186,Anoectochilus calcaratus,SPECIES
Anoectochilus chapaensis,5509.28,14573,Anoectochilus chapaensis,SPECIES
Anoectochilus duplex,5509.45,27002,Anoectochilus duplex,SPECIES
Anoectochilus elwesii,5509.5,20007,Anoectochilus elwesii,SPECIES
Anoectochilus geniculatus,5509.65,18722,Anoectochilus geniculatus,SPECIES
Anoectochilus imitans,5510.05,22158,Anoectochilus imitans,SPECIES
Anoectochilus nicobaricus,5510.47,21464,Anoectochilus nicobaricus,SPECIES
Anoectochilus pectinatus,5510.48,17029,Anoectochilus pectinatus,SPECIES
Anoectochilus reinwardtii,5510.7,22257,Anoectochilus reinwardtii,SPECIES
Anoectochilus rotundifolius,5510.8,22278,Anoectochilus rotundifolius,SPECIES
Anoectochilus roxburghii,5510.9,22124,Anoectochilus roxburghii,SPECIES
Anoectochilus sandvicensis,5511,17091,Anoectochilus sandvicensis,SPECIES
Anoectochilus setaceus,5511.2,27915,Anoectochilus setaceus,SPECIES
Anoectochilus sikkimensis,5511.4,24293,Anoectochilus sikkimensis,SPECIES
Anoectochilus tetrapterus,5511.5,28325,Anoectochilus tetrapterus,SPECIES
Anoectochilus tridentatus,5511.65,16698,Anoectochilus tridentatus,SPECIES
Anoectochilus yungianus,5511.9,15735,Anoectochilus yungianus,SPECIES
Anoectochilus zhejiangensis,5511.95,20813,Anoectochilus zhejiangensis,SPECIES
Anomalospiza imberbis,1953.1,10817,Anomalospiza imberbis,SPECIES
Anomalurus beecrofti,390.1,7149,Anomalurus beecrofti,SPECIES
Anomalurus derbianus,390.2,6964,Anomalurus derbianus,SPECIES
Anomalurus pelii,390.3,3076,Anomalurus pelii,SPECIES
Anomastraea irregularis,3290.1,9719,Anomastraea irregularis,SPECIES
Anomocora carinata,3500.1,11127,Anomocora carinata,SPECIES
Anomocora fecunda,3500.2,8152,Anomocora fecunda,SPECIES
Anomocora gigas,3500.3,6204,Anomocora gigas,SPECIES
Anomocora marchadi,3500.4,5808,Anomocora marchadi,SPECIES
Anomocora prolifera,3500.5,9950,Anomocora prolifera,SPECIES
Anopetia gounellei,1650.16,7140,Anopetia gounellei,SPECIES
Anorrhinus galeritus,1782.1,4083,Anorrhinus galeritus,SPECIES
Anorrhinus tickelli,1782.2,3083,Anorrhinus tickelli,SPECIES
Anota densiflora,5512.02,41587,Anota densiflora,SPECIES
Anota gigantea,5512.04,42318,Anota gigantea,SPECIES
Anota hainanensis,5512.06,48908,Anota hainanensis,SPECIES
Anota harrisoniana,5512.08,46639,Anota harrisoniana,SPECIES
Anoxypristis cuspidata,2596.13,7352,Anoxypristis cuspidata,SPECIES
Ansellia africana,5513.1,21007,Ansellia africana,SPECIES
Ansellia gigantea,5513.2,28108,Ansellia gigantea,SPECIES
Ansellia hybrid,5513.02,55582,Ansellia hybrid,SPECIES
Antaresia childreni,2359.115,10948,Antaresia childreni,SPECIES
Antaresia maculosa,2359.12,6921,Antaresia maculosa,SPECIES
Antaresia perthensis,2359.125,7712,Antaresia perthensis,SPECIES
Antaresia stimsoni,2359.13,5459,Antaresia stimsoni,SPECIES
Anthemiphyllia dentata,3490.1,8970,Anthemiphyllia dentata,SPECIES
Anthemiphyllia frustum,3490.2,9866,Anthemiphyllia frustum,SPECIES
Anthemiphyllia macrolobata,3490.25,8511,Anthemiphyllia macrolobata,SPECIES
Anthemiphyllia multidentata,3490.26,7072,Anthemiphyllia multidentata,SPECIES
Anthemiphyllia pacifica,3490.3,5530,Anthemiphyllia pacifica,SPECIES
Anthemiphyllia patera,3490.4,5807,Anthemiphyllia patera,SPECIES
Anthemiphyllia spinifera,3490.45,10940,Anthemiphyllia spinifera,SPECIES
Anthocephala floriceps,1651.1,4106,Anthocephala floriceps,SPECIES
Anthracoceros albirostris,1783.1,9246,Anthracoceros albirostris,SPECIES
Anthracoceros coronatus,1783.2,8399,Anthracoceros coronatus,SPECIES
Anthracoceros malayanus,1783.3,8331,Anthracoceros malayanus,SPECIES
Anthracoceros marchei,1783.4,3019,Anthracoceros marchei,SPECIES
Anthracoceros montani,1783.5,8801,Anthracoceros montani,SPECIES
Anthracothorax dominicus,1652.1,11267,Anthracothorax dominicus,SPECIES
Anthracothorax mango,1652.2,3336,Anthracothorax mango,SPECIES
Anthracothorax nigricollis,1652.3,5270,Anthracothorax nigricollis,SPECIES
Anthracothorax prevostii,1652.4,6545,Anthracothorax prevostii,SPECIES
Anthracothorax recurvirostris,1652.47,4895,Anthracothorax recurvirostris,SPECIES
Anthracothorax veraguensis,1652.5,4433,Anthracothorax veraguensis,SPECIES
Anthracothorax viridigula,1652.6,6672,Anthracothorax viridigula,SPECIES
Anthracothorax viridis,1652.7,6616,Anthracothorax viridis,SPECIES
Anthreptes pallidigaster,1869.1,36924,Anthreptes pallidigaster,SPECIES
Anthreptes reichenowi,1869.2,8237,Anthreptes reichenowi,SPECIES
Anthreptes rubritorques,1869.3,5757,Anthreptes rubritorques,SPECIES
Anthropoides paradiseus,1371.1,7210,Anthropoides paradiseus,SPECIES
Anthropoides virgo,1371.2,4013,Anthropoides virgo,SPECIES
Antilocapra americana,875.1,5062,Antilocapra americana,SPECIES
Antilope cervicapra,883.1,4985,Antilope cervicapra,SPECIES
Antipathella aperta,3216.41,10486,Antipathella aperta,SPECIES
Antipathella brookii,3216.415,36849,Antipathella brookii,SPECIES
Antipathella fiordensis,3216.425,8880,Antipathella fiordensis,SPECIES
Antipathella irregularis,3216.43,32365,Antipathella irregularis,SPECIES
Antipathella strigosa,3216.435,10722,Antipathella strigosa,SPECIES
Antipathella subpinnata,3216.44,6603,Antipathella subpinnata,SPECIES
Antipathella wollastonii,3216.445,9983,Antipathella wollastonii,SPECIES
Antipathes abies,3201.1,37458,Antipathes abies,SPECIES
Antipathes aculeata,3201.13,32665,Antipathes aculeata,SPECIES
Antipathes alata,3201.15,35625,Antipathes alata,SPECIES
Antipathes alopecuroides,3201.17,8516,Antipathes alopecuroides,SPECIES
Antipathes americana,3201.2,36384,Antipathes americana,SPECIES
