cites_name,cites_taxon_code,speciesplusid,speciesplusname,rank
Pseudalopex griseus,574.7,32681,Pseudalopex griseus,SPECIES
Pseudalopex gymnocercus,574.8,31808,Pseudalopex gymnocercus,SPECIES
Pseudalopex spp.,574.5,30209,Pseudalopex,GENUS
Pseudocordylus capensis,2322.1,36426,Pseudocordylus capensis,SPECIES
Pseudocordylus langi,2322.2,31625,Pseudocordylus langi,SPECIES
Pseudocordylus melanotus,2322.3,33398,Pseudocordylus melanotus,SPECIES
Pseudocordylus microlepidotus,2322.4,32265,Pseudocordylus microlepidotus,SPECIES
Pseudocordylus spinosus,2322.6,31403,Pseudocordylus spinosus,SPECIES
Pseudocordylus spp.,2322,30353,Pseudocordylus,GENUS
Pseudocordylus subviridis,2322.7,32515,Pseudocordylus subviridis,SPECIES
Ptilolaemus spp.,1786,30020,Ptilolaemus,GENUS
Ptilolaemus tickelli,1786.1,32825,Ptilolaemus tickelli,SPECIES
Pyxidea mouhotii,2125.8,30772,Pyxidea mouhotii,SPECIES
Pyxidea spp.,2125.7,29696,Pyxidea,GENUS
Rana catesbeiana,2560.05,54319,Rana catesbeiana,SPECIES
Rhinoptynx clamator,1628.1,36241,Rhinoptynx clamator,SPECIES
Rhinoptynx spp.,1628,30195,Rhinoptynx,GENUS
Saucerottia beryllina,1749.55,32978,Saucerottia beryllina,SPECIES
Saucerottia cupreicauda,1749.6,34813,Saucerottia cupreicauda,SPECIES
Saucerottia cyanifrons,1749.65,32123,Saucerottia cyanifrons,SPECIES
Saucerottia cyanura,1749.7,32660,Saucerottia cyanura,SPECIES
Saucerottia edward,1749.75,32625,Saucerottia edward,SPECIES
Saucerottia saucerrottei,1749.8,35956,Saucerottia saucerrottei,SPECIES
Saucerottia spp.,1749.5,29729,Saucerottia,GENUS
Saucerottia tobaci,1749.85,34670,Saucerottia tobaci,SPECIES
Saucerottia viridigaster,1749.9,32510,Saucerottia viridigaster,SPECIES
Selenarctos spp.,583,30490,Selenarctos,GENUS
Selenarctos thibetanus,583.1,37916,Selenarctos thibetanus,SPECIES
Sericotes holosericeus,1753.1,31139,Sericotes holosericeus,SPECIES
Sericotes spp.,1753,29707,Sericotes,GENUS
Sitagra luteola,1966.1,34204,Sitagra luteola,SPECIES
Sitagra melanocephala,1966.2,36090,Sitagra melanocephala,SPECIES
