Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
strogylopterus,SPECIES,,GENUS,98496,S,"Jardine in Schomburgk, 1843",,CITES_EU,SPECIES,68483
thayeri,SPECIES,,GENUS,98497,S,"Garman, 1913",,CITES_EU,SPECIES,68483
brachyurus,SPECIES,,GENUS,98496,S,"Günther, 1880",,CITES_EU,SPECIES,68484
brumi,SPECIES,,GENUS,68470,S,"Devincenzi in Devincenzi & Teague, 1942",,CITES_EU,SPECIES,68484
constellata,SPECIES,,GENUS,98498,S,"Vaillant, 1880",,CITES_EU,SPECIES,68476
circularis,SPECIES,,GENUS,68470,S,"Garman, 1913",,CITES_EU,SPECIES,68476
menchacai,SPECIES,,GENUS,68470,S,"Martínez Achenbach, 1967",,CITES_EU,SPECIES,68485
castexi,SPECIES,,GENUS,68470,S,"Castello & Yagolkowski, 1969",,CITES_EU,SPECIES,68485
humboldtii,SPECIES,,GENUS,98499,N,"Roulin, 1829",,CITES_EU,SPECIES,68487
henlei,SPECIES,,GENUS,98496,S,"Castelnau, 1855",,CITES_EU,SPECIES,68486
humerosus,SPECIES,,GENUS,68470,S,"Garman, 1913",,CITES_EU,SPECIES,68493
magdalenae,SPECIES,,GENUS,98498,S,"Duméril (ex Valenciennes), 1865",,CITES_EU,SPECIES,68477
motoro,SPECIES,,GENUS,98498,S,"Müller & Henle (ex Natterer), 1841",,CITES_EU,SPECIES,68478
garrapa,SPECIES,,GENUS,98496,S,"Jardine in Schomburgk, 1843",,CITES_EU,SPECIES,68478
adans,SPECIES,,GENUS,98496,S,"Schomburgk in Müller & Trochel, 1849",,CITES_EU,SPECIES,68478
mulleri,SPECIES,,GENUS,98496,S,"Castelnau, 1855",,CITES_EU,SPECIES,68478
laticeps,SPECIES,,GENUS,68470,S,"Garman, 1913",,CITES_EU,SPECIES,68478
alba,SPECIES,,GENUS,68470,S,"Castex, 1963",,CITES_EU,SPECIES,68478
labradori,SPECIES,,GENUS,68470,S,"Castex in Castex, Maciel & Martínez Achenbach, 1963",,CITES_EU,SPECIES,68478
pauckei,SPECIES,,GENUS,68470,S,"Castex, 1963",,CITES_EU,SPECIES,68478
ocellata,SUBSPECIES,,SPECIES,98482,S,"Engelhardt, 1912",,CITES_EU,SPECIES,68489
orbignyi,SPECIES,,GENUS,98496,S,"Castelnau, 1855",,CITES_EU,SPECIES,68479
dumerilii,SPECIES,,GENUS,98496,S,"Castelnau, 1855",,CITES_EU,SPECIES,68479
reticulatus,SPECIES,,GENUS,98496,S,"Günther, 1880",,CITES_EU,SPECIES,68479
signatus,SPECIES,,GENUS,68470,S,"Garman, 1913",,CITES_EU,SPECIES,68490
reevesi,SPECIES,,GENUS,30407,S,"J.E. Gray, 1829",,CITES_EU,SPECIES,6877
australiae,SUBSPECIES,,SPECIES,98257,S,"Whitley, 1939",,CITES_EU,SPECIES,98257
camelopardalis,SPECIES,,GENUS,2515,S,"Linneaus, 1758",,CITES_EU,SPECIES,98186
dumbarae,SPECIES,,GENUS,98197,S,"Manamendra-Arachchi et al., 2006",,CITES_EU,SPECIES,98199
