IsCurrent?,Taxonomy,LawID,SpcRecID,DecLevel,Kingdom,ISO_country,DecOpinion,DecDate,Source,Term,DecNotes,Internal_Notes
0,CITES_EU,92,91,Species,Animalia,PG,Suspension (b),18/02/2005,W,,,
0,CITES_EU,91,91,Species,Animalia,PG,Suspension (b),30/04/2004,W,,,
0,CITES_EU,88,91,Species,Animalia,PG,Suspension (b),01/03/2003,W,,,
0,CITES_EU,31,91,Species,Animalia,PG,Suspension (b),29/10/2001,W,,,
0,CITES_EU,33,91,Species,Animalia,PG,Suspension (b),03/02/2001,W,,,
0,CITES_EU,34,91,Species,Animalia,PG,Suspension (b),24/09/2000,W,,,
0,CITES_EU,84,91,Species,Animalia,PG,Suspension (b),19/09/1999,W,,,
0,CITES_EU,86,91,Species,Animalia,PG,Suspension (b),21/11/1998,W,,,
0,CITES_EU,87,91,Species,Animalia,PG,Suspension (b),22/12/1997,W,,,
1,CITES_EU,8,98,Species,Animalia,US,i),02/12/2011,,,,
0,CITES_EU,8,98,Species,Animalia,US,Positive,07/11/2000,,,,
0,CITES_EU,8,98,Species,Animalia,US,Positive removed,02/12/2011,,,,
0,CITES_EU,8,101,Species,Animalia,GN,Negative,15/03/2005,,,,
0,CITES_EU,124,101,Species,Animalia,GN,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,101,Species,Animalia,GN,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,101,Species,Animalia,GN,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,101,Species,Animalia,GN,Suspension (b),03/09/2008,W,,,
0,CITES_EU,103,101,Species,Animalia,GN,Suspension (b),10/09/2012,W,,,
1,CITES_EU,141,101,Species,Animalia,GN,Suspension (b),11/07/2013,W,,,
1,CITES_EU,8,107,Species,Animalia,CU,i),16/02/2010,,,,Effective on 24/10/2010 when EC Regulation 997/2010 came into force
0,CITES_EU,67,107,Species,Animalia,CU,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,107,Species,Animalia,CU,Suspension (b),03/09/2008,W,,,
0,CITES_EU,63,107,Species,Animalia,CU,Suspension (b),01/10/2007,W,,,
0,CITES_EU,50,107,Species,Animalia,CU,Suspension (b),10/05/2006,W,,,
0,CITES_EU,92,107,Species,Animalia,CU,Suspension (b),18/02/2005,W,,,
0,CITES_EU,91,107,Species,Animalia,CU,Suspension (b),30/04/2004,W,,,
0,CITES_EU,88,107,Species,Animalia,CU,Suspension (b),01/03/2003,W,,,
0,CITES_EU,31,107,Species,Animalia,CU,Suspension (b),29/10/2001,W,,,
0,CITES_EU,33,107,Species,Animalia,CU,Suspension (b),03/02/2001,W,,,
0,CITES_EU,34,107,Species,Animalia,CU,Suspension (b),24/09/2000,W,,,
0,CITES_EU,84,107,Species,Animalia,CU,Suspension (b),19/09/1999,W,,,
0,CITES_EU,86,107,Species,Animalia,CU,Suspension (b),21/11/1998,W,,,
