Kingdom,RecId,Rank,ISO code,Quota,Unit,StartDate,EndDate,Year,Notes,Terms,Sources,QuoAdded,QuoDate,IsCurrent,PublicDisplay,Link
Animalia,3785,Genus,ID,14400,,01/01/1997,31/12/1997,1997,pieces,"LIV, COR",,09/05/1999,,0,1,
Animalia,17046,Species,TZ,1600,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,17045,Species,TZ,1600,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16922,Species,TZ,2000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16629,Species,TG,25,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16626,Species,SK,0,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16526,Species,BJ,9900,,01/01/1997,31/12/1997,1997,ranched specimens,,R,09/05/1999,,0,1,
Animalia,16526,Species,TG,2000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16525,Species,MZ,10000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16524,Species,MZ,7000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16505,Species,BJ,9900,,01/01/1997,31/12/1997,1997,ranched specimens,,R,09/05/1999,,0,1,
Animalia,16505,Species,MZ,10000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16505,Species,TG,350,,01/01/1997,31/12/1997,1997,ranched,,R,09/05/1999,,0,1,
Animalia,16505,Species,TG,1000,,01/01/1997,31/12/1997,1997,wild-taken,,W,09/05/1999,,0,1,
Animalia,3610,Genus,ID,675,,01/01/1997,31/12/1997,1997,pieces,"LIV, COR",,09/05/1999,,0,1,
Animalia,16457,Species,PE,71550,,01/01/1997,31/12/1997,1997,tanned skins,SKI,,09/05/1999,,0,1,
Animalia,3607,Genus,ID,675,,01/01/1997,31/12/1997,1997,pieces,"LIV, COR",,09/05/1999,,0,1,
Animalia,16424,Species,PE,400,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16014,Species,TZ,3500,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,16020,Species,TZ,2000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15954,Species,BW,130,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,CF,40,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,ET,100,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,KE,80,,01/01/1997,31/12/1997,1997,hunting banned,,,09/05/1999,,0,1,
Animalia,15954,Species,MZ,60,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,NA,100,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,TZ,250,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,ZA,75,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,ZM,300,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15954,Species,ZW,500,,01/01/1997,31/12/1997,1997,trophies & skins,"TRO, SKI",,09/05/1999,,0,1,
Animalia,15953,Species,VE,0,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15942,Species,BJ,34000,,01/01/1997,31/12/1997,1997,ranched,,R,09/05/1999,,0,1,
Animalia,15942,Species,TG,10000,,01/01/1997,31/12/1997,1997,ranched,,R,09/05/1999,,0,1,
Animalia,15942,Species,TG,2000,,01/01/1997,31/12/1997,1997,wild-taken,,W,09/05/1999,,0,1,
Animalia,15890,Species,GY,500,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15889,Species,GY,500,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Plantae,8554,Species,MG,0,,01/01/1997,31/12/1997,1997,mature plants; CITES notification 1994,,,,,0,1,
Animalia,15706,Species,SK,0,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15643,Species,MZ,200,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,1970,Species,GY,1500,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,1970,Species,SR,539,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15490,Species,PE,25,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15488,Species,PE,55,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15481,Species,ID,540,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
