Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
petersiana,SPECIES,,GENUS,67132,S,(Klotzsch) Kuntze,,CITES_EU,SPECIES,100301
quanzensis,SPECIES,,GENUS,67132,S,(Welw.) Kuntze ex Engl.,,CITES_EU,SPECIES,100301
ramosa,SPECIES,,GENUS,99655,S,Nakai,,CITES_EU,SPECIES,99662
komarovii,SPECIES,,GENUS,99655,S,Boriss.,,CITES_EU,SPECIES,99662
fenzelii,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99662
komarovii,SPECIES,,GENUS,103597,S,(Boriss.) Chu,,CITES_EU,SPECIES,99662
ohbae,SPECIES,,GENUS,103597,S,Kozhevn.,,CITES_EU,SPECIES,99662
atsaense,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99663
aporontica,SPECIES,,GENUS,99655,S,(Fröderström) S.H.Fu,,CITES_EU,SPECIES,99664
brevipetiolata,SPECIES,,GENUS,99655,S,(Fröd.) S.H.Fu,,CITES_EU,SPECIES,99664
concinna,SPECIES,,GENUS,99655,S,(Praeger) H.Ohba,,CITES_EU,SPECIES,99664
venusta,SPECIES,,GENUS,99655,S,(Praeger) S.H.Fu,,CITES_EU,SPECIES,99664
aporonticum,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99664
atuntsuense,SPECIES,,GENUS,103597,S,Praeger,,CITES_EU,SPECIES,99664
brevipetiolatum,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99664
concinnum,SPECIES,,GENUS,103597,S,Praeger,,CITES_EU,SPECIES,99664
venustum,SPECIES,,GENUS,103597,S,Praeger,,CITES_EU,SPECIES,99664
bupleuroides,SPECIES,,GENUS,103597,S,Wall. ex Hook.f. & Thomson,,CITES_EU,SPECIES,99665
gorisii,SPECIES,,GENUS,103597,S,Raym.-Hamet,,CITES_EU,SPECIES,99665
callianthum,SPECIES,,GENUS,103597,S,H.Ohba,,CITES_EU,SPECIES,99666
chrysanthemifolium,SPECIES,,GENUS,103597,S,H.Lév.,,CITES_EU,SPECIES,99667
dielsiana,SPECIES,,GENUS,99655,S,(H.Limpr.) S.H.Fu,,CITES_EU,SPECIES,99667
ovatisepala,SPECIES,,GENUS,99655,S,(Raym.-Hamet) S.H.Fu,,CITES_EU,SPECIES,99667
trifida,SPECIES,,GENUS,99655,S,(Wall. ex Hook.f. & Thomson) H.Jacobsen,,CITES_EU,SPECIES,99667
dielsianum,SPECIES,,GENUS,103597,S,H.Limpr.,,CITES_EU,SPECIES,99667
ovatisepalum,SPECIES,,GENUS,103597,S,(Raym.-Hamet) H.Ohba,,CITES_EU,SPECIES,99667
trifidum,SPECIES,,GENUS,103597,S,Wall. ex Hook.f. & Thomson,,CITES_EU,SPECIES,99667
coccineum,SPECIES,,GENUS,103597,S,Royle,,CITES_EU,SPECIES,99668
asiatica,SPECIES,,GENUS,99655,S,D.Don,,CITES_EU,SPECIES,99668
juparensis,SPECIES,,GENUS,99655,S,(Fröd.) S.H.Fu,,CITES_EU,SPECIES,99668
asiaticum,SPECIES,,GENUS,103597,S,(D.Don) DC,,CITES_EU,SPECIES,99668
juparense,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99668
euryphylla,SPECIES,,GENUS,99655,S,(Fröd.) S.H.Fu,,CITES_EU,SPECIES,99669
