Legacy_CITES_TAXON_CODE,Full Hybrid Name,Hybrid Rank,SpeciesPlusID,Parent,ParentRank,Status
1920.1,Estrildidae hybrid,SPECIES,440,Estrildidae,FAMILY,H
2122.2505,Graptemys hybrid,SPECIES,2291,Graptemys,GENUS,H
2143.01,Testudo hybrid,SPECIES,1555,Testudo,GENUS,H
2150.05,Cheloniidae hybrid,SPECIES,258,Cheloniidae,FAMILY,H
2222.05,Crocodylus hybrid,SPECIES,907,Crocodylus,GENUS,H
2359.401,Python hybrid,SPECIES,2425,Python,GENUS,H
2619.5,Acipenseridae hybrid,SPECIES,466,Acipenseridae,FAMILY,H
2620.01,Acipenser hybrid,SPECIES,1528,Acipenser,GENUS,H
2705.001,Hippocampus hybrid,SPECIES,780,Hippocampus,GENUS,H
2800.05,Papilionidae hybrid,SPECIES,365,Papilionidae,FAMILY,H
2803.05,Ornithoptera hybrid,SPECIES,1861,Ornithoptera,GENUS,H
2808.05,Papilio hybrid,SPECIES,2213,Papilio,GENUS,H
2812.05,Troides hybrid,SPECIES,2166,Troides,GENUS,H
2900.05,Brachypelma hybrid,SPECIES,2197,Brachypelma,GENUS,H
4010.05,Galanthus hybrid,SPECIES,13395,Galanthus,GENUS,H
4100.1,Cactaceae hybrid,SPECIES,12491,Cactaceae,FAMILY,H
4114.05,Ariocarpus hybrid,SPECIES,13629,Ariocarpus,GENUS,H
4122.05,Astrophytum hybrid,SPECIES,12670,Astrophytum,GENUS,H
4129.81,Aylostera hybrid,SPECIES,39536,Aylostera,GENUS,H
4255.85,Disocactus hybrid,SPECIES,13681,Disocactus,GENUS,H
4264.65,Echinocactus hybrid,SPECIES,12905,Echinocactus,GENUS,H
4294.05,Echinopsis hybrid,SPECIES,13216,Echinopsis,GENUS,H
4340.05,Espostoa hybrid,SPECIES,12594,Espostoa,GENUS,H
4417.05,Hylocereus hybrid,SPECIES,12775,Hylocereus,GENUS,H
4571.155,Melocactus hybrid,SPECIES,13040,Melocactus,GENUS,H
4588.65,Myrtillocactus hybrid,SPECIES,13655,Myrtillocactus,GENUS,H
4692.85,Oreocereus hybrid,SPECIES,12799,Oreocereus,GENUS,H
4739.05,Pilosocereus hybrid,SPECIES,13151,Pilosocereus,GENUS,H
4808.85,Rhipsalis hybrid,SPECIES,12792,Rhipsalis,GENUS,H
4890.02,Uebelmannia hybrid,SPECIES,13064,Uebelmannia,GENUS,H
5162.1,Euphorbia hybrid,SPECIES,13194,Euphorbia,GENUS,H
5282.05,Dalbergia hybrid,SPECIES,12737,Dalbergia,GENUS,H
5310.9,Aloe hybrid,SPECIES,13461,Aloe,GENUS,H
5390.02,Nepenthes hybrid,SPECIES,12759,Nepenthes,GENUS,H
5400.1,Orchidaceae hybrid,SPECIES,12509,Orchidaceae,FAMILY,H
5404.01,Acampe hybrid,SPECIES,13180,Acampe,GENUS,H
5406.25,Acanthephippium hybrid,SPECIES,13648,Acanthephippium,GENUS,H
5411.02,Acineta hybrid,SPECIES,13320,Acineta,GENUS,H
5420.75,Ada hybrid,SPECIES,13039,Ada,GENUS,H
5426.01,Aerangis hybrid,SPECIES,13549,Aerangis,GENUS,H
5438.05,Aerides hybrid,SPECIES,12580,Aerides,GENUS,H
5460.05,Amesiella hybrid,SPECIES,12666,Amesiella,GENUS,H
5476.001,Angraecum hybrid,SPECIES,13563,Angraecum,GENUS,H
5503.05,Anguloa hybrid,SPECIES,12885,Anguloa,GENUS,H
5513.02,Ansellia hybrid,SPECIES,12777,Ansellia,GENUS,H
5531.05,Arachnis hybrid,SPECIES,13487,Arachnis,GENUS,H
5542.45,Arundina hybrid,SPECIES,12557,Arundina,GENUS,H
5544.05,Ascocentrum hybrid,SPECIES,12833,Ascocentrum,GENUS,H
5589.42,Bletilla hybrid,SPECIES,13306,Bletilla,GENUS,H
5605.05,Brassavola hybrid,SPECIES,12999,Brassavola,GENUS,H
5609.05,Brassia hybrid,SPECIES,13212,Brassia,GENUS,H
5617.02,Broughtonia hybrid,SPECIES,13346,Broughtonia,GENUS,H
5621.005,Bulbophyllum hybrid,SPECIES,13569,Bulbophyllum,GENUS,H
5677.01,Calanthe hybrid,SPECIES,13348,Calanthe,GENUS,H
5705.05,Catasetum hybrid,SPECIES,13515,Catasetum,GENUS,H
5717.05,Cattleya hybrid,SPECIES,13644,Cattleya,GENUS,H
5735.05,Caularthron hybrid,SPECIES,12567,Caularthron,GENUS,H
5746.02,Ceratostylis hybrid,SPECIES,13678,Ceratostylis,GENUS,H
5768.01,Chiloglottis hybrid,SPECIES,12677,Chiloglottis,GENUS,H
5770.02,Chiloschista hybrid,SPECIES,13321,Chiloschista,GENUS,H
5780.51,Christensonia hybrid,SPECIES,13112,Christensonia,GENUS,H
5785.01,Chysis hybrid,SPECIES,12569,Chysis,GENUS,H
5788.01,Cirrhopetalum hybrid,SPECIES,13288,Cirrhopetalum,GENUS,H
5806.306,Cleisostoma hybrid,SPECIES,13359,Cleisostoma,GENUS,H
5812.05,Clowesia hybrid,SPECIES,12599,Clowesia,GENUS,H
5815.05,Cochleanthes hybrid,SPECIES,13682,Cochleanthes,GENUS,H
5817.05,Cochlioda hybrid,SPECIES,12907,Cochlioda,GENUS,H
5824.02,Coelogyne hybrid,SPECIES,12780,Coelogyne,GENUS,H
5852.05,Coryanthes hybrid,SPECIES,12586,Coryanthes,GENUS,H
5882.05,Cycnoches hybrid,SPECIES,13355,Cycnoches,GENUS,H
5885.01,Cymbidium hybrid,SPECIES,13014,Cymbidium,GENUS,H
5908.05,Cypripedium hybrid,SPECIES,12617,Cypripedium,GENUS,H
5920.01,Cyrtochilum hybrid,SPECIES,39326,Cyrtochilum,GENUS,H
5930.002,Dactylorhiza hybrid,SPECIES,13240,Dactylorhiza,GENUS,H
5937.05,Dendrobium hybrid,SPECIES,13382,Dendrobium,GENUS,H
6041.01,Dimerandra hybrid,SPECIES,12840,Dimerandra,GENUS,H
6042.05,Dimorphorchis hybrid,SPECIES,13315,Dimorphorchis,GENUS,H
6055.13,Diploprora hybrid,SPECIES,12880,Diploprora,GENUS,H
6078.02,Diuris hybrid,SPECIES,12745,Diuris,GENUS,H
6082.05,Doritis hybrid,SPECIES,13577,Doritis,GENUS,H
6085.01,Dracula hybrid,SPECIES,12644,Dracula,GENUS,H
6116.05,Encyclia hybrid,SPECIES,12822,Encyclia,GENUS,H
6147.02,Epidendrum hybrid,SPECIES,13363,Epidendrum,GENUS,H
6233.05,Eulophia hybrid,SPECIES,13660,Eulophia,GENUS,H
6265.01,Galeandra hybrid,SPECIES,13684,Galeandra,GENUS,H
6270.005,Galeottia hybrid,SPECIES,13425,Galeottia,GENUS,H
6273.02,Gastrochilus hybrid,SPECIES,13186,Gastrochilus,GENUS,H
6294.01,Gongora hybrid,SPECIES,13158,Gongora,GENUS,H
6300.64,Goodyera hybrid,SPECIES,13106,Goodyera,GENUS,H
6305.05,Grammatophyllum hybrid,SPECIES,12654,Grammatophyllum,GENUS,H
6308.55,Grosourdya hybrid,SPECIES,13415,Grosourdya,GENUS,H
6318.01,Habenaria hybrid,SPECIES,12895,Habenaria,GENUS,H
6341.05,Haraella hybrid,SPECIES,13107,Haraella,GENUS,H
6366.01,Holcoglossum hybrid,SPECIES,12711,Holcoglossum,GENUS,H
6390.15,Ionopsis hybrid,SPECIES,13547,Ionopsis,GENUS,H
6392.01,Ipsea hybrid,SPECIES,13411,Ipsea,GENUS,H
6408.01,Kefersteinia hybrid,SPECIES,12773,Kefersteinia,GENUS,H
6423.05,Laelia hybrid,SPECIES,13302,Laelia,GENUS,H
6436.23,Laeliocattleya hybrid,SPECIES,39269,Laeliocattleya,GENUS,H
6448.01,Lepanthes hybrid,SPECIES,13653,Lepanthes,GENUS,H
6473.01,Liparis hybrid,SPECIES,12769,Liparis,GENUS,H
6489.01,Lockhartia hybrid,SPECIES,13506,Lockhartia,GENUS,H
6493.25,Ludisia hybrid,SPECIES,13317,Ludisia,GENUS,H
6498.01,Lycaste hybrid,SPECIES,12632,Lycaste,GENUS,H
6515.05,Malaxis hybrid,SPECIES,13662,Malaxis,GENUS,H
6523.28,Malleola hybrid,SPECIES,12947,Malleola,GENUS,H
6527.05,Masdevallia hybrid,SPECIES,12723,Masdevallia,GENUS,H
6570.05,Maxillaria hybrid,SPECIES,12938,Maxillaria,GENUS,H
6599.05,Mediocalcar hybrid,SPECIES,13146,Mediocalcar,GENUS,H
6622.05,Miltonia hybrid,SPECIES,13603,Miltonia,GENUS,H
6626.02,Miltoniopsis hybrid,SPECIES,13269,Miltoniopsis,GENUS,H
6649.01,Myrmecophila hybrid,SPECIES,13674,Myrmecophila,GENUS,H
6685.05,Neuwiedia hybrid,SPECIES,12673,Neuwiedia,GENUS,H
6710.03,Odontoglossum hybrid,SPECIES,13419,Odontoglossum,GENUS,H
6727.001,Oeceoclades hybrid,SPECIES,13613,Oeceoclades,GENUS,H
6730.01,Oeoniella hybrid,SPECIES,12784,Oeoniella,GENUS,H
6736.05,Oncidium hybrid,SPECIES,12937,Oncidium,GENUS,H
6820.05,Paphinia hybrid,SPECIES,12801,Paphinia,GENUS,H
6821.05,Paphiopedilum hybrid,SPECIES,12962,Paphiopedilum,GENUS,H
6838.01,Papilionanthe hybrid,SPECIES,12883,Papilionanthe,GENUS,H
6844.05,Paraphalaenopsis hybrid,SPECIES,13462,Paraphalaenopsis,GENUS,H
6855.05,Peristeria hybrid,SPECIES,13405,Peristeria,GENUS,H
6859.05,Pescatoria hybrid,SPECIES,13294,Pescatoria,GENUS,H
6864.05,Phaius hybrid,SPECIES,13092,Phaius,GENUS,H
6869.05,Phalaenopsis hybrid,SPECIES,12827,Phalaenopsis,GENUS,H
6886.05,Phragmipedium hybrid,SPECIES,12877,Phragmipedium,GENUS,H
6926.01,Pleione hybrid,SPECIES,13312,Pleione,GENUS,H
7032.2065,Prosthechea hybrid,SPECIES,13623,Prosthechea,GENUS,H
7050.03,Psychopsis hybrid,SPECIES,13381,Psychopsis,GENUS,H
7058.02,Pterostylis hybrid,SPECIES,12659,Pterostylis,GENUS,H
7075.05,Renanthera hybrid,SPECIES,13020,Renanthera,GENUS,H
7097.05,Rhynchostylis hybrid,SPECIES,12823,Rhynchostylis,GENUS,H
7103.01,Robiquetia hybrid,SPECIES,13428,Robiquetia,GENUS,H
7106.01,Rodriguezia hybrid,SPECIES,13037,Rodriguezia,GENUS,H
7114.15,Rossioglossum hybrid,SPECIES,12624,Rossioglossum,GENUS,H
7133.002,Sarcochilus hybrid,SPECIES,12912,Sarcochilus,GENUS,H
7161.05,Scelochilus hybrid,SPECIES,13632,Scelochilus,GENUS,H
7169.05,Schoenorchis hybrid,SPECIES,13062,Schoenorchis,GENUS,H
7171.05,Schomburgkia hybrid,SPECIES,12986,Schomburgkia,GENUS,H
7176.02,Sedirea hybrid,SPECIES,12676,Sedirea,GENUS,H
7177.01,Seidenfadenia hybrid,SPECIES,13054,Seidenfadenia,GENUS,H
7209.05,Sophronitis hybrid,SPECIES,12640,Sophronitis,GENUS,H
7212.05,Spathoglottis hybrid,SPECIES,13658,Spathoglottis,GENUS,H
7223.12,Spiranthes hybrid,SPECIES,13077,Spiranthes,GENUS,H
7230.05,Stanhopea hybrid,SPECIES,13102,Stanhopea,GENUS,H
7255.05,Stenoglottis hybrid,SPECIES,13201,Stenoglottis,GENUS,H
7261.05,Stereochilus hybrid,SPECIES,13075,Stereochilus,GENUS,H
7300.02,Thelymitra hybrid,SPECIES,13502,Thelymitra,GENUS,H
7307.05,Thrixspermum hybrid,SPECIES,13209,Thrixspermum,GENUS,H
7311.05,Thunia hybrid,SPECIES,13159,Thunia,GENUS,H
7313.505,Tolumnia hybrid,SPECIES,13124,Tolumnia,GENUS,H
7328.03,Trichoglottis hybrid,SPECIES,13060,Trichoglottis,GENUS,H
7331.02,Trichopilia hybrid,SPECIES,13469,Trichopilia,GENUS,H
7336.001,Trichotosia hybrid,SPECIES,13328,Trichotosia,GENUS,H
7340.05,Trigonidium hybrid,SPECIES,12786,Trigonidium,GENUS,H
7350.0955,Tuberolabium hybrid,SPECIES,12828,Tuberolabium,GENUS,H
7357.05,Vanda hybrid,SPECIES,12854,Vanda,GENUS,H
7369.45,Vanilla hybrid,SPECIES,13242,Vanilla,GENUS,H
7398.05,Zygopetalum hybrid,SPECIES,12646,Zygopetalum,GENUS,H
7522.02,Sarracenia hybrid,SPECIES,13356,Sarracenia,GENUS,H
7565.001,Taxus hybrid,SPECIES,12857,Taxus,GENUS,H
7637.05,Encephalartos hybrid,SPECIES,13006,Encephalartos,GENUS,H
7647.58,Zamia hybrid,SPECIES,13387,Zamia,GENUS,H
142.8,Lemur hybrid,SPECIES,2007,Lemur,GENUS,H
6114.01,Embreea hybrid,SPECIES,13551,Embreea,GENUS,H
6382.62,Hylaeorchis hybrid,SPECIES,12751,Hylaeorchis,GENUS,H
6788.25,Orchis hybrid,SPECIES,13438,Orchis,GENUS,H
6909.75,Platanthera hybrid,SPECIES,13116,Platanthera,GENUS,H
,Caladenia hybrid,SPECIES,12871,Caladenia,GENUS,H
,Arrojadoa hybrid,SPECIES,13414,Arrojadoa,GENUS,H
,Ophrys hybrid,SPECIES,13641,Ophrys,GENUS,H
,Anacamptis hybrid,SPECIES,13699,Anacamptis,GENUS,H
,Gymnadenia hybrid,SPECIES,13143,Gymnadenia,GENUS,H
,Disa hybrid,SPECIES,13380,Disa,GENUS,H
,Opuntia hybrid,SPECIES,13085,Opuntia,GENUS,H
,Cleistocactus hybrid,SPECIES,12768,Cleistocactus,GENUS,H
,Promenaea hybrid,SPECIES,12922,Promenaea,GENUS,H
,Cyclamen hybrid,SPECIES,13292,Cyclamen,GENUS,H
,Schlumbergera hybrid,SPECIES,12590,Schlumbergera,GENUS,H
,Cyathea hybrid,SPECIES,12686,Cyathea,GENUS,H
,Lemboglossum hybrid,SPECIES,13474,Lemboglossum,GENUS,H
,Dichaea hybrid,SPECIES,12821,Dichaea,GENUS,H
,Elythranthera hybrid,SPECIES,12817,Elythranthera,GENUS,H
,Sigmatostalix hybrid,SPECIES,13694,Sigmatostalix,GENUS,H
,Comparettia hybrid,SPECIES,12748,Comparettia,GENUS,H
,Trichocentrum hybrid,SPECIES,12589,Trichocentrum,GENUS,H
,Mormodes hybrid,SPECIES,13007,Mormodes,GENUS,H
,Domingoa hybrid,SPECIES,12850,Domingoa,GENUS,H
,Listera hybrid,SPECIES,13284,Listera,GENUS,H
,Matucana hybrid,SPECIES,12635,Matacuna,GENUS,H
,Echinocereus hybrid,SPECIES,13370,Echinocereus,GENUS,H
