Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation
purpurascens,SPECIES,,GENUS,65403,A,"(Luer & Hirtz) Karremans, 2016",,CITES_EU
quisqueyana,SPECIES,,GENUS,65403,A,"(Dod) A.Doucette, 2016",,CITES_EU
saraca-taquerensis,SPECIES,,GENUS,65403,A," Campacci & J.B.F.Silva, 2016",,CITES_EU
scabripes,SPECIES,,GENUS,65403,A,"(Lindl.) Karremans, 2016",,CITES_EU
sigmoidea,SPECIES,,GENUS,65403,A,"(Ames & C.Schweinf.) A.Doucette, 2016",,CITES_EU
similis,SPECIES,,GENUS,65403,A,"(Schltr.) Karremans, Chiron & Van den Berg, 2016",,CITES_EU
simpliciflora,SPECIES,,GENUS,65403,A,"(Dod) A.Doucette, 2016",,CITES_EU
thysana,SPECIES,,GENUS,65403,A,"(Luer & J.Portilla) Karremans, 2016",,CITES_EU
trichophora,SPECIES,,GENUS,65403,A,"(Lindl.) A.Doucette, 2016",,CITES_EU
tunguraguae,SPECIES,,GENUS,65403,A,"(F.Lehm. & Kraenzl.) A.Doucette, 2016",,CITES_EU
acuminata,SPECIES,,GENUS,95219,A,"(Blume) Rauschert, 1983",,CITES_EU
coffeicolor,SPECIES,,GENUS,95219,A,"(Kraenzl.) Rauschert, 1983",,CITES_EU
crassipes,SPECIES,,GENUS,95219,A,"(Ridl.) Rauschert, 1983",,CITES_EU
dasystachys,SPECIES,,GENUS,95219,A,"(Ridl.) Rauschert, 1983",,CITES_EU
junghuhnii,SPECIES,,GENUS,95219,A,"(J.J.Sm.) Brieger, 1981",,CITES_EU
robusta,SPECIES,,GENUS,95219,A,"(Blume) Brieger, 1981",,CITES_EU
unifolia,SPECIES,,GENUS,95219,A,"(J.J.Sm.) Rauschert, 1983",,CITES_EU
acuminatum,SPECIES,,GENUS,13689,A," Ormerod, 2015",,CITES_EU
arabukanum,SPECIES,,GENUS,13689,A," Ormerod, 2013",,CITES_EU
carex,SPECIES,,GENUS,13689,A," Ormerod, 2011 publ. 2012",,CITES_EU
cheirophyton,SPECIES,,GENUS,13689,A," Ormerod, 2013",,CITES_EU
clausum,SPECIES,,GENUS,13689,A," Ormerod, 2013",,CITES_EU
gahavisukae,SPECIES,,GENUS,13689,A," Ormerod, 2013",,CITES_EU
montis-jayanum,SPECIES,,GENUS,13689,A," Ormerod, 2013",,CITES_EU
saccatum,SPECIES,,GENUS,13689,A," Ridl., 1896",,CITES_EU
yanemense,SPECIES,,GENUS,13689,A," Ormerod, 2013",,CITES_EU
adrianae,SPECIES,,GENUS,65405,A,"(Luer & Sijm) Karremans, 2016",,CITES_EU
anfracta,SPECIES,,GENUS,65405,A,"(Luer) Karremans, 2016",,CITES_EU
deborana,SPECIES,,GENUS,65405,A,"(Carnevali & I.Ramírez) Carnevali & I.Ramírez, 2016",,CITES_EU
manausensis,SPECIES,,GENUS,65405,A," Krahl, Valsko & Chiron, 2016",,CITES_EU
microtis,SPECIES,,GENUS,65405,A,"(Schltr.) Karremans, 2016",,CITES_EU
pemonum,SPECIES,,GENUS,65405,A,"(Carnevali & I.Ramírez) G.A.Romero, Carnevali & Toscano, 2016",,CITES_EU
ariasiana,SPECIES,,GENUS,66890,A,"(Luer & L.Jost) Karremans & S.V.Uribe, 2017",,CITES_EU
auriculata,SPECIES,,GENUS,66890,A,"(Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
bifida,SPECIES,,GENUS,66890,A,"(Tobar & Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
cardiocheila,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
catella,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
caveroi,SPECIES,,GENUS,66890,A,"(D.E.Benn. & Christenson) Karremans & S.V.Uribe, 2017",,CITES_EU
chaoae,SPECIES,,GENUS,66890,A,"(S.V.Uribe & L.Jost) Karremans & S.V.Uribe, 2017",,CITES_EU
chelosepala,SPECIES,,GENUS,66890,A,"(Luer & Hirtz) Karremans & S.V.Uribe, 2017",,CITES_EU
chilopsis,SPECIES,,GENUS,66890,A,"(Luer & Hirtz) Karremans & S.V.Uribe, 2017",,CITES_EU
ciliaris,SPECIES,,GENUS,66890,A,"(Luer & Hirtz) Karremans & S.V.Uribe, 2017",,CITES_EU
composita,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
cordilabia,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
dactyla,SPECIES,,GENUS,66890,A,"(Garay) Karremans & S.V.Uribe, 2016",,CITES_EU
dentata,SPECIES,,GENUS,66890,A,"(Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
destituta,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
erepsis,SPECIES,,GENUS,66890,A,"(Luer & Hirtz) Karremans & S.V.Uribe, 2017",,CITES_EU
exigua,SPECIES,,GENUS,66890,A,"(Luer & L.Jost) Karremans & S.V.Uribe, 2017",,CITES_EU
geminipetala,SPECIES,,GENUS,66890,A,"(Luer & J.Portilla) Karremans & S.V.Uribe, 2017",,CITES_EU
hippocrepica,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
irrasa,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
longiserpens,SPECIES,,GENUS,66890,A,"(C.Schweinf.) Karremans & Mark Wilson, 2017",,CITES_EU
lueri,SPECIES,,GENUS,66890,A," S.V.Uribe & Karremans, 2016",,CITES_EU
lunaris,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
lunatocheila,SPECIES,,GENUS,66890,A,"(Tobar & Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
lupula,SPECIES,,GENUS,66890,A,"(Luer & Hirtz) Karremans & S.V.Uribe, 2017",,CITES_EU
lynniana,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
macrotica,SPECIES,,GENUS,66890,A,"(Luer & Dalström) Karremans & S.V.Uribe, 2017",,CITES_EU
masdevalliopsis,SPECIES,,GENUS,66890,A,"(Luer) Karremans & Mark Wilson, 2017",,CITES_EU
micropetala,SPECIES,,GENUS,66890,A,"(L.O.Williams) Karremans & S.V.Uribe, 2017",,CITES_EU
mongei,SPECIES,,GENUS,66890,A,"(Tobar & Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
monilia,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
montis-rotundi,SPECIES,,GENUS,66890,A,"(P.Ortiz) Karremans & S.V.Uribe, 2017",,CITES_EU
nummularia,SPECIES,,GENUS,66890,A,"(Rchb.f.) Karremans & S.V.Uribe, 2017",,CITES_EU
obesa,SPECIES,,GENUS,66890,A," S.V.Uribe & Karremans, 2017",,CITES_EU
octocornuta,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
ortiziana,SPECIES,,GENUS,66890,A,"(S.V.Uribe & Thoerle) Karremans & S.V.Uribe, 2017",,CITES_EU
pendens,SPECIES,,GENUS,66890,A,"(Garay) Karremans & S.V.Uribe, 2017",,CITES_EU
persimilis,SPECIES,,GENUS,66890,A,"(Luer & Sijm) Karremans & S.V.Uribe, 2017",,CITES_EU
phallica,SPECIES,,GENUS,66890,A,"(Tobar & Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
pholeter,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
pilosella,SPECIES,,GENUS,66890,A,"(Rchb.f.) Karremans & S.V.Uribe, 2017",,CITES_EU
platysepala,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
pseudocaulescens,SPECIES,,GENUS,66890,A,"(L.B.Sm. & S.K.Harris) Karremans & S.V.Uribe, 2017",,CITES_EU
ricii,SPECIES,,GENUS,66890,A,"(Luer & R.Vásquez) Karremans & S.V.Uribe, 2017",,CITES_EU
rosea,SPECIES,,GENUS,66890,A,"(Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
rotunda,SPECIES,,GENUS,66890,A,"(Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
sibundoyensis,SPECIES,,GENUS,66890,A,"(Kolan.) Karremans & S.V.Uribe, 2017",,CITES_EU
stalactites,SPECIES,,GENUS,66890,A,"(Luer & Hirtz) Karremans & S.V.Uribe, 2017",,CITES_EU
sudamericana,SPECIES,,GENUS,66890,A,"(Archila) Karremans & S.V.Uribe, 2017",,CITES_EU
sunchubambensis,SPECIES,,GENUS,66890,A," A.Doucette & Janovec, 2016",,CITES_EU
triangularis,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
uchucayensis,SPECIES,,GENUS,66890,A," A.Doucette & J.Portilla, 2017 publ. 2016",,CITES_EU
ursula,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & S.V.Uribe, 2017",,CITES_EU
viebrockiana,SPECIES,,GENUS,66890,A,"(Luer & L.Jost) Karremans & S.V.Uribe, 2017",,CITES_EU
vieira-pereziana,SPECIES,,GENUS,66890,A,"(P.Ortiz) Karremans & S.V.Uribe, 2017",,CITES_EU
villosa,SPECIES,,GENUS,66890,A,"(Løjtnant) Karremans & S.V.Uribe, 2017",,CITES_EU
wayqechensis,SPECIES,,GENUS,66890,A," C.Martel, Collantes, A.L.Maire & Thoerle, 2016",,CITES_EU
werneri,SPECIES,,GENUS,66890,A,"(Luer) Karremans & S.V.Uribe, 2017",,CITES_EU
xenion,SPECIES,,GENUS,66890,A,"(Luer & R.Escobar) Karremans & Mark Wilson, 2017",,CITES_EU
nandanensis,SPECIES,,GENUS,12939,A," Y.Feng Huang & X.C.Qu, 2015",,CITES_EU
fogangica,SPECIES,,GENUS,13453,A," Y.Y.Yin, P.S.Zhong & Z.J.Liu, 2016",,CITES_EU
chalmersiana,SPECIES,,GENUS,12716,A," F.Muell., 1885",,CITES_EU
cyphochiloides,SPECIES,,GENUS,12716,A," Ormerod, 2017",,CITES_EU
fergussoniana,SPECIES,,GENUS,12716,A," Ormerod, 2017",,CITES_EU
hexadens,SPECIES,,GENUS,12716,A," Ormerod, 2017",,CITES_EU
hooglandii,SPECIES,,GENUS,12716,A," Ormerod, 2017",,CITES_EU
merapohensis,SPECIES,,GENUS,12716,A," P.T.Ong & P.O'Byrne, 2013",,CITES_EU
topensabe,SPECIES,,GENUS,12716,A," Ormerod, 2017",,CITES_EU
caraguatatubensis,SPECIES,,GENUS,13618,A," M.R.Miranda, Engels & E.C.Smidt, 2016",,CITES_EU
jussariensis,SPECIES,,GENUS,13618,A," Ormerod, 2016",,CITES_EU
miravalleana,SPECIES,,GENUS,13618,A," Szlach. & Kolan., 2017",,CITES_EU
peteriana,SPECIES,,GENUS,13618,A,"(Cogn.) Meneguzzo, 2012",,CITES_EU
stenocentron,SPECIES,,GENUS,13618,A,"(Schltr.) Szlach. & Kolan., 2017",,CITES_EU
khangii,SPECIES,,GENUS,95222,A," Aver., 2016",,CITES_EU
phongii,SPECIES,,GENUS,95222,A," Aver., Ormerod & Duy, 2016",,CITES_EU
altilamellata,SPECIES,,GENUS,13287,A," Garay, 1953",,CITES_EU
mixtecana,SPECIES,,GENUS,13287,A," Salazar & C.Chávez, 2016",,CITES_EU
cornu-nigricum,SPECIES,,GENUS,13372,A," Bogarín & Karremans, 2016",,CITES_EU
lopez-robertsiae,SPECIES,,GENUS,13372,A," I.Jiménez, 2015",,CITES_EU
puipuiensis,SPECIES,,GENUS,13372,A," L.Valenz., 2017",,CITES_EU
sulcatum,SPECIES,,GENUS,13372,A," I.Jiménez, 2015",,CITES_EU
bowmanni,SPECIES,,GENUS,13212,A,"(Rchb.f.) M.W.Chase, 2011",,CITES_EU
aperta,SPECIES,,GENUS,12871,A,"(Hopper & A.P.Br.) M.A.Clem., 2015",,CITES_EU
ashbyae,SPECIES,,GENUS,12871,A,"(Hopper & A.P.Br.) M.A.Clem., 2015",,CITES_EU
brunonis,SPECIES,,GENUS,12871,A,"(Endl.) Rchb.f., 1871",,CITES_EU
dorrigoensis,SPECIES,,GENUS,12871,A," D.L.Jones & L.M.Copel., 2016",,CITES_EU
fragrans,SPECIES,,GENUS,12871,A,"(Hopper & A.P.Br.) M.A.Clem., 2015",,CITES_EU
gertrudiae,SPECIES,,GENUS,12871,A," Ostenf., 1921",,CITES_EU
major,SPECIES,,GENUS,12871,A,"(R.Br.) Rchb.f., 1871",,CITES_EU
minorata,SPECIES,,GENUS,12871,A," M.A.Clem., 2015",,CITES_EU
nikulinskyae,SPECIES,,GENUS,12871,A,"(Hopper & A.P.Br.) M.A.Clem., 2015",,CITES_EU
subglabriphylla,SPECIES,,GENUS,12871,A,"(R.J.Bates) M.A.Clem., 2015",,CITES_EU
dixonii,SPECIES,,GENUS,13090,A,"(Hopper & A.P.Br.) M.A.Clem., 2014",,CITES_EU
minor,SPECIES,,GENUS,13090,A," R.Br., 1810",,CITES_EU
terminalis,SPECIES,,GENUS,13090,A,"(Hopper & A.P.Br.) M.A.Clem., 2014",,CITES_EU
benelliae,SPECIES,,GENUS,13251,A," E.M.Pessoa & M.Alves, 2015",,CITES_EU
labiakii,SPECIES,,GENUS,13251,A," E.M.Pessoa & M.Alves, 2016",,CITES_EU
paludosum,SPECIES,,GENUS,13251,A," E.M.Pessoa & M.R.Miranda, 2015",,CITES_EU
caucana,SPECIES,,GENUS,12803,A," Szlach. & Kolan., 2015",,CITES_EU
dodsoniana,SPECIES,,GENUS,12803,A," Szlach. & Kolan., 2015",,CITES_EU
duquei,SPECIES,,GENUS,12803,A," Szlach. & Kolan., 2015",,CITES_EU
hernandezii,SPECIES,,GENUS,12803,A,"(Königer) Kolan., Hirtz & Tobar, 2017",,CITES_EU
pichinchae,SPECIES,,GENUS,12803,A," Szlach. & Kolan., 2015",,CITES_EU
pseudoandigena,SPECIES,,GENUS,12803,A," Szlach. & Kolan., 2015",,CITES_EU
pristina,SPECIES,,GENUS,13678,A," M.Leon, Naive & Cootes, 2017",,CITES_EU
acuminata,SPECIES,,GENUS,13558,A," Zhi L.Liu & Q.Liu, 2016",,CITES_EU
glandulosa,SPECIES,,GENUS,13558,A," Aver., 2015",,CITES_EU
nantouensis,SPECIES,,GENUS,13558,A," T.P.Lin, 2017",,CITES_EU
obtusata,SPECIES,,GENUS,13026,A," Lindl., 1837",,CITES_EU
dorsisacculatum,SPECIES,,GENUS,13359,A," Aver., 2016",,CITES_EU
iloconense,SPECIES,,GENUS,13359,A," Calaramo, Cootes & Palting, 2016",,CITES_EU
schmidtii,SPECIES,,GENUS,12586,A," G.Gerlach, 2017",,CITES_EU
callifer,SPECIES,,GENUS,12554,A,"(J.J.Sm.) Schltr., 1923",,CITES_EU
confusus,SPECIES,,GENUS,12554,A," Lehnebach, 2016",,CITES_EU
diversifolius,SPECIES,,GENUS,12554,A," S.P.Lyon, 2016",,CITES_EU
echinulus,SPECIES,,GENUS,12554,A," E.Faria, 2016",,CITES_EU
finisterreanus,SPECIES,,GENUS,12554,A," S.P.Lyon, 2016",,CITES_EU
globulus,SPECIES,,GENUS,12554,A,"(D.L.Jones & L.M.Copel.) J.M.H.Shaw, 2017",,CITES_EU
helensis,SPECIES,,GENUS,12554,A," S.P.Lyon, 2016",,CITES_EU
huonensis,SPECIES,,GENUS,12554,A," S.P.Lyon, 2016",,CITES_EU
mammillifer,SPECIES,,GENUS,12554,A," P.Royen, 1983",,CITES_EU
minimus,SPECIES,,GENUS,12554,A,"(R.J.Bates) J.M.H.Shaw, 2017",,CITES_EU
obscurus,SPECIES,,GENUS,12554,A," Lehnebach, 2016",,CITES_EU
pignalii,SPECIES,,GENUS,12554,A," E.Faria, 2016",,CITES_EU
pilifer,SPECIES,,GENUS,12554,A," J.Dransf., 1986",,CITES_EU
sagittatus,SPECIES,,GENUS,12554,A," S.P.Lyon, 2016",,CITES_EU
sanctigeorgianus,SPECIES,,GENUS,12554,A," Lehnebach, 2016",,CITES_EU
viridisepalus,SPECIES,,GENUS,12554,A," S.P.Lyon, 2016",,CITES_EU
vitreus,SPECIES,,GENUS,12554,A," Lehnebach, 2016",,CITES_EU
walliae,SPECIES,,GENUS,12554,A," Lehnebach, 2016",,CITES_EU
guyanensis,SPECIES,,GENUS,12989,A," Szlach., S.Nowak & Baranow, 2017",,CITES_EU
harlingii,SPECIES,,GENUS,12989,A," Szlach. & Kolan., 2017",,CITES_EU
amabilis,SPECIES,,GENUS,12598,A,"(Sima & H.Yu) H.Jiang, 2010",,CITES_EU
chamaeorchis,SPECIES,,GENUS,65461,A,"(Schltr.) Nuammee, Seelanan, Suddee & H.A.Pedersen, 2016",,CITES_EU
georgeanum,SPECIES,,GENUS,65461,A,"(Marg.) Ormerod, 2017",,CITES_EU
kristinianum,SPECIES,,GENUS,65461,A,"(Marg.) Ormerod, 2017",,CITES_EU
moluccanum,SPECIES,,GENUS,65461,A,"(J.J.Sm.) Ormerod, 2017",,CITES_EU
roohutuensis,SPECIES,,GENUS,65461,A,"(Fukuy.) T.P.Lin, 2016",,CITES_EU
szemaoense,SPECIES,,GENUS,65461,A,"(Tang & F.T.Wang) Nuammee, Seelanan, Suddee & H.A.Pedersen, 2016",,CITES_EU
neglectus,SPECIES,,GENUS,12933,A," Szlach., S.Nowak & Baranow, 2017",,CITES_EU
aliciae,SPECIES,,GENUS,95228,A,"(Quisumb.) Suárez, 2010",,CITES_EU
aporoides,SPECIES,,GENUS,95228,A,"(Lindl.) Rauschert, 1983",,CITES_EU
aurantiacus,SPECIES,,GENUS,95228,A,"(Kraenzl.) J.J.Wood, 2016",,CITES_EU
beccarianus,SPECIES,,GENUS,95228,A,"(Kraenzl.) J.J.Wood, 2016",,CITES_EU
benchaii,SPECIES,,GENUS,95228,A," J.J.Wood & A.L.Lamb, 2014",,CITES_EU
biflorus,SPECIES,,GENUS,95228,A,"(Griff.) Rauschert, 1983",,CITES_EU
brachystachyus,SPECIES,,GENUS,95228,A,"(Rchb.f.) Rauschert, 1983",,CITES_EU
burleyi,SPECIES,,GENUS,95228,A,"(Ormerod) J.J.Wood, 2016",,CITES_EU
carneus,SPECIES,,GENUS,95228,A,"(J.J.Sm.) J.J.Wood, 2016",,CITES_EU
clemensiorum,SPECIES,,GENUS,95228,A,"(Ormerod) J.J.Wood, 2016",,CITES_EU
compressus,SPECIES,,GENUS,95228,A,"(Blume) Brieger, 1981",,CITES_EU
cristatus,SPECIES,,GENUS,95228,A,"(Rolfe) S.C.Chen & J.J.Wood, 2009",,CITES_EU
datuguinae,SPECIES,,GENUS,95228,A," Naive, M.Leon & Buenavista, 2016",,CITES_EU
glandulifer,SPECIES,,GENUS,95228,A,"(Deori & Phukan) A.N.Rao, 2010",,CITES_EU
leptocarpus,SPECIES,,GENUS,95228,A,"(Hook.f.) J.J.Wood, 2016",,CITES_EU
longissimus,SPECIES,,GENUS,95228,A,"(Ames & Quisumb.) J.J.Wood, 2010",,CITES_EU
marginatus,SPECIES,,GENUS,95228,A,"(Rolfe) S.C.Chen & J.J.Wood, 2009",,CITES_EU
mucronatus,SPECIES,,GENUS,95228,A,"(Lindl.) Rauschert, 1983",,CITES_EU
neglectus,SPECIES,,GENUS,95228,A,"(Ridl.) J.J.Wood, 2016",,CITES_EU
nutans,SPECIES,,GENUS,95228,A,"(Lindl.) J.J.Wood, 2011",,CITES_EU
pilifer,SPECIES,,GENUS,95228,A,"(Ridl.) Rauschert, 1983",,CITES_EU
puakensis,SPECIES,,GENUS,95228,A,"(Ormerod) J.J.Wood, 2016",,CITES_EU
quadricolor,SPECIES,,GENUS,95228,A,"(J.J.Sm.) Rauschert, 1983",,CITES_EU
truncatus,SPECIES,,GENUS,95228,A,"(Lindl.) Rauschert, 1983",,CITES_EU
uniflorus,SPECIES,,GENUS,95228,A,"(J.J.Wood) Y.P.Ng & P.O'Byrne, 2015",,CITES_EU
validus,SPECIES,,GENUS,95228,A,"(Lindl.) Rauschert, 1983",,CITES_EU
verruculosus,SPECIES,,GENUS,95228,A,"(J.J.Sm.) Rauschert, 1983",,CITES_EU
warnementiae,SPECIES,,GENUS,95228,A,"(Ormerod) J.J.Wood, 2016",,CITES_EU
aconitiflora,SPECIES,,GENUS,13399,A," Hermans, Andriant. & Sieder, 2017",,CITES_EU
australis,SPECIES,,GENUS,13399,A,"(Boiteau) Hermans & P.J.Cribb, 2017",,CITES_EU
betsomangensis,SPECIES,,GENUS,13399,A,"(Bosser) Hermans & P.J.Cribb, 2017",,CITES_EU
bifurca,SPECIES,,GENUS,13399,A,"(H.Perrier) Hermans & P.J.Cribb, 2017",,CITES_EU
bobyi,SPECIES,,GENUS,13399,A," Hermans & P.J.Cribb, 2017",,CITES_EU
boryana,SPECIES,,GENUS,13399,A,"(A.Rich.) Lindl., 1835",,CITES_EU
castillonii,SPECIES,,GENUS,13399,A,"(P.Bernet) Hermans & P.J.Cribb, 2017",,CITES_EU
christae,SPECIES,,GENUS,13399,A," Hermans, Andriant. & Sieder, 2017",,CITES_EU
elephantina,SPECIES,,GENUS,13399,A," Hermans, Andriant. & Sieder, 2017",,CITES_EU
epiphytica,SPECIES,,GENUS,13399,A,"(Schltr.) Hermans & P.J.Cribb, 2017",,CITES_EU
hyacinthina,SPECIES,,GENUS,13399,A," Hermans & P.J.Cribb, 2017",,CITES_EU
imbellis,SPECIES,,GENUS,13399,A,"(Frapp. ex Cordem.) Hermans & P.J.Cribb, 2017",,CITES_EU
inermis,SPECIES,,GENUS,13399,A,"(Thouars) Hermans & P.J.Cribb, 2017",,CITES_EU
jackyi,SPECIES,,GENUS,13399,A," Hermans & Sieder, 2017",,CITES_EU
lagenifera,SPECIES,,GENUS,13399,A,"(H.Perrier) Hermans & P.J.Cribb, 2017",,CITES_EU
lentiginosa,SPECIES,,GENUS,13399,A," Hermans, Andriant. & Sieder, 2017",,CITES_EU
mammuthus,SPECIES,,GENUS,13399,A," Hermans & P.J.Cribb, 2017",,CITES_EU
mangabensis,SPECIES,,GENUS,13399,A," Hermans & P.J.Cribb, 2017",,CITES_EU
rotundifolia,SPECIES,,GENUS,13399,A,"(H.Perrier) Hermans & P.J.Cribb, 2017",,CITES_EU
sanguinolenta,SPECIES,,GENUS,13399,A," Hermans, L.Gaut. & P.J.Cribb, 2017",,CITES_EU
siederi,SPECIES,,GENUS,13399,A," Hermans & Andriant., 2017",,CITES_EU
simplex,SPECIES,,GENUS,13399,A,"(Frapp. ex Cordem.) Hermans & P.J.Cribb, 2017",,CITES_EU
syringescens,SPECIES,,GENUS,13399,A," Hermans & P.J.Cribb, 2017",,CITES_EU
unguiculata,SPECIES,,GENUS,13399,A," Hermans & P.J.Cribb, 2017",,CITES_EU
panduriformis,SPECIES,,GENUS,57199,A,"(Ames & C.Schweinf.) N.H.Williams & M.W.Chase, 2001",,CITES_EU
riopalenqueana,SPECIES,,GENUS,57199,A,"(Dodson) N.H.Williams & M.W.Chase, 2001",,CITES_EU
luerorum,SPECIES,,GENUS,66894,A," Dalström, 2017",,CITES_EU
submontana,SPECIES,,GENUS,13211,A," Stévart, Droissart & Azandi, 2016",,CITES_EU
francis-drucei,SPECIES,,GENUS,13240,A,"(Wilmott) Aver., 1984",,CITES_EU
phoenissa,SPECIES,,GENUS,13240,A,"(B.Baumann & H.Baumann) P.Delforge, 2015",,CITES_EU
sibirica,SPECIES,,GENUS,13240,A," Efimov, 2016",,CITES_EU
traunsteinerioides,SPECIES,,GENUS,13240,A,"(Pugsley) Landwehr, 1975",,CITES_EU
vadorum,SPECIES,,GENUS,13240,A," Kreutz & H.Dekker, 2016",,CITES_EU
yangii,SPECIES,,GENUS,68552,A," Bo Y.Yang & Bo Li, 2017",,CITES_EU
ecucullatum,SPECIES,,GENUS,13051,A," Naive, R.Boos, M.Leon & Cootes, 2017",,CITES_EU
geigeri,SPECIES,,GENUS,13051,A," Cootes, Cabactulan, Pimentel & M.Leon, 2017",,CITES_EU
megacallosum,SPECIES,,GENUS,13051,A," R.Boos, Naive, Cootes & M.Leon, 2017",,CITES_EU
migueldavidii,SPECIES,,GENUS,13051,A," Cootes & Cabactulan, 2016",,CITES_EU
sphacelatum,SPECIES,,GENUS,13051,A,"(Ames) Pfitzer, 1907",,CITES_EU
veronicae,SPECIES,,GENUS,13051,A," Cootes, 2015",,CITES_EU
lanigerum,SPECIES,,GENUS,94591,A,"(Seidenf.) H.Jiang, 2010",,CITES_EU
lasiopetalum,SPECIES,,GENUS,94591,A,"(Willd.) S.C.Chen & J.J.Wood, 2009",,CITES_EU
malipoense,SPECIES,,GENUS,94591,A,"(Z.J.Liu & S.C.Chen) H.Jiang, 2010",,CITES_EU
ornatum,SPECIES,,GENUS,94591,A," Blume, 1825",,CITES_EU
