TAXON_FAMILY,TERM_CODE
Loxocemidae,GAR
Loxocemidae,SHO
Loxocemidae,CAR
Loxocemidae,SKS
Magnoliaceae,DPL
Magnoliaceae,SEE
Magnoliaceae,ROO
Meandriniidae,COR
Meandriniidae,CAR
Lepilemuridae,SKE
Lepilemuridae,BON
Megapodidae,BOD
Melastomataceae,DPL
Melastomataceae,SEE
Melastomataceae,ROO
Meliaceae,LOG
Meliaceae,TIM
Meliaceae,VEN
Meliaceae,SAW
Meliaceae,DPL
Meliaceae,SEE
Meliaceae,ROO
Meliphagidae,BOD
Merulinidae,COR
Merulinidae,CAR
Micrabaciidae,COR
Micrabaciidae,CAR
Milleporidae,COR
Milleporidae,CAR
Moraceae,DPL
Moraceae,SEE
Moraceae,ROO
Moschidae,BON
Moschidae,MUS
Moschidae,TRO
Muscicapidae,BOD
Musophagidae,BOD
Mussidae,COR
Mussidae,CAR
Mustelidae,SKO
Mustelidae,SKU
Mustelidae,GAR
Mustelidae,PLA
Mustelidae,SKI
Mustelidae,TAI
Myrtaceae,DPL
Myrtaceae,SEE
Myrtaceae,ROO
Nepenthaceae,DPL
Nepenthaceae,SEE
Nepenthaceae,ROO
Oculinidae,COR
Oculinidae,CAR
Orchidaceae,EXT
Orchidaceae,LVS
Orchidaceae,CUL
Orchidaceae,FLO
Orchidaceae,FRU
Orchidaceae,STE
Orchidaceae,DPL
Orchidaceae,SEE
Orchidaceae,ROO
Otididae,FEA
Otididae,BOD
Palmae,DPL
Palmae,SEE
Palmae,ROO
Pandionidae,BOD
Papaveraceae,DPL
Papaveraceae,SEE
Papaveraceae,ROO
Papilionidae,EGG
Papilionidae,TRO
Papilionidae,BOD
Paradisaeidae,BOD
Paryphantidae,SHE
Pectiniidae,COR
Pectiniidae,CAR
Pedionomidae,BOD
Pelecanidae,BOD
Phasianidae,EGG
Phasianidae,FEA
Phasianidae,BOD
Phocoenidae,BON
Phoenicopteridae,FEA
Phoenicopteridae,BOD
Picidae,BOD
Pinaceae,DPL
Pinaceae,SEE
Pinaceae,ROO
Pittidae,BOD
Ploceidae,FEA
Ploceidae,BOD
Pocilloporidae,COR
Pocilloporidae,CAR
Podicipedidae,BOD
Podocarpaceae,DPL
Podocarpaceae,SEE
Podocarpaceae,ROO
Podophyllaceae,DPL
Podophyllaceae,SEE
Podophyllaceae,ROO
Poritidae,COR
Poritidae,CAR
Portulacaceae,DPL
Portulacaceae,SEE
Portulacaceae,ROO
Primulaceae,DPL
Primulaceae,SEE
Primulaceae,ROO
Proteaceae,DPL
Proteaceae,SEE
Proteaceae,ROO
Psittacidae,SKE
Psittacidae,SKI
Psittacidae,EGG
Psittacidae,FEA
Psittacidae,BOD
Pteropodidae,BOD
Pythonidae,SKP
Pythonidae,SKI
Pythonidae,HAN
Pythonidae,SKO
Pythonidae,WAL
Pythonidae,BEL
Pythonidae,LPL
Pythonidae,LPS
Pythonidae,WAT
Pythonidae,MEA
Pythonidae,BOD
Pythonidae,GAR
Pythonidae,SHO
Pythonidae,CAR
Pythonidae,SKS
Rallidae,BOD
Ramphastidae,SKE
Ramphastidae,SKI
Ramphastidae,BOD
Ranidae,MEA
Rheidae,LPS
Rheidae,LPL
Rheidae,BOD
Rhinocerotidae,HOP
Rhinocerotidae,HOR
Rhinocerotidae,TRO
Rhinocerotidae,CAR
Rhinocerotidae,HOC
Rhynochetidae,BOD
Rosaceae,DPL
Rosaceae,SEE
Rosaceae,ROO
Rubiaceae,DPL
Rubiaceae,SEE
Rubiaceae,ROO
Rutaceae,DPL
Rutaceae,SEE
Rutaceae,ROO
Sagittariidae,BOD
Sarraceniaceae,DPL
Sarraceniaceae,SEE
Sarraceniaceae,ROO
Saxifragaceae,DPL
Saxifragaceae,SEE
Saxifragaceae,ROO
Scolopacidae,BOD
Siderastreidae,COR
Siderastreidae,CAR
Solanaceae,DPL
Solanaceae,SEE
Solanaceae,ROO
Spheniscidae,BOD
Stangeriaceae,DPL
Stangeriaceae,SEE
Stangeriaceae,ROO
Sterculiaceae,DPL
Sterculiaceae,SEE
Sterculiaceae,ROO
Strigidae,SKU
Strigidae,SKE
Strigidae,BOD
Strombidae,SHE
Struthionidae,BOD
Sturnidae,BOD
Stylasteridae,COR
Stylasteridae,CAR
Sulidae,BOD
Tarsiidae,SKE
Tarsiidae,BON
Taxaceae,DPL
Taxaceae,SEE
Taxaceae,ROO
Tayassuidae,SKO
Tayassuidae,BEL
Tayassuidae,SKI
Tayassuidae,SKP
Teiidae,BOD
Teiidae,SKI
Teiidae,WAT
Testudinidae,CAP
Tetracentraceae,DPL
Tetracentraceae,SEE
Tetracentraceae,ROO
Theaceae,DPL
Theaceae,SEE
Theaceae,ROO
Theraphosidae,BOD
Threskiornithidae,BOD
Thymelaeaceae,DPL
Thymelaeaceae,SEE
Thymelaeaceae,ROO
Tinamidae,BOD
Trachyphylliidae,COR
Trachyphylliidae,CAR
Tridacnidae,SHE
Trochilidae,SKE
Trochilidae,SKI
Trochilidae,SKU
Trochilidae,BON
Trochilidae,FEA
Trochilidae,BOD
Trogonidae,BOD
Gruidae,LIV
Tropidophiidae,SKI
Tropidophiidae,SKE
Tropidophiidae,SKU
Tropidophiidae,BOD
Tubiporidae,COR
Tubiporidae,CAR
Tupaiidae,SKE
Tupaiidae,BON
Turnicidae,BOD
Tytonidae,BOD
Ulmaceae,SEE
Ulmaceae,ROO
Unionidae,SHE
Ursidae,SKI
Ursidae,GAR
Ursidae,HAI
Ursidae,LPL
Ursidae,LPS
Ursidae,OTH
Ursidae,BON
Ursidae,SKO
Ursidae,SKP
Ursidae,GAB
Ursidae,BOD
Ursidae,CLA
Ursidae,TEE
Ursidae,GAL
Varanidae,SKE
Varanidae,SKI
Varanidae,BOD
Verbenaceae,SEE
Verbenaceae,ROO
Viperidae,LPS
Viperidae,LPL
Viverridae,EXT
Viverridae,LPL
Viverridae,FOO
Welwitschiaceae,SEE
Welwitschiaceae,ROO
Zamiaceae,STE
Zamiaceae,EXT
Zamiaceae,DPL
Zamiaceae,SEE
Zamiaceae,ROO
Zingiberaceae,DPL
Zingiberaceae,SEE
Zingiberaceae,ROO
