taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,Reference
28525,SPECIES,COUNTRY,ID,13798,CITES_EU,
23692,SPECIES,COUNTRY,MY,13798,CITES_EU,
23692,SPECIES,COUNTRY,BN,13798,CITES_EU,
23692,SPECIES,COUNTRY,ID,13798,CITES_EU,
23692,SPECIES,COUNTRY,SG,13798,CITES_EU,
14071,SPECIES,COUNTRY,MY,13798,CITES_EU,
16929,SPECIES,COUNTRY,ID,13798,CITES_EU,
24611,SPECIES,COUNTRY,BN,13798,CITES_EU,
24611,SPECIES,COUNTRY,MY,13798,CITES_EU,
18466,SPECIES,COUNTRY,SG,13798,CITES_EU,
18500,SPECIES,COUNTRY,ID,13798,CITES_EU,
14651,SPECIES,COUNTRY,ID,13798,CITES_EU,
27787,SPECIES,COUNTRY,ID,13798,CITES_EU,
21851,SPECIES,COUNTRY,IN,13798,CITES_EU,
28548,SPECIES,COUNTRY,ID,13798,CITES_EU,
28842,SPECIES,COUNTRY,MY,13798,CITES_EU,
28842,SPECIES,COUNTRY,BN,13798,CITES_EU,
21585,SPECIES,COUNTRY,MY,13798,CITES_EU,
22440,SPECIES,COUNTRY,MY,13798,CITES_EU,
28172,SPECIES,COUNTRY,MG,13798,CITES_EU,
15298,SPECIES,COUNTRY,PG,13798,CITES_EU,
15298,SPECIES,COUNTRY,ID,13798,CITES_EU,
25342,SPECIES,COUNTRY,PH,13798,CITES_EU,
21474,SPECIES,COUNTRY,ID,13798,CITES_EU,
21474,SPECIES,COUNTRY,PG,13798,CITES_EU,
21474,SPECIES,COUNTRY,VN,13798,CITES_EU,
21474,SPECIES,COUNTRY,BN,13798,CITES_EU,
21474,SPECIES,COUNTRY,TH,13798,CITES_EU,
21474,SPECIES,COUNTRY,AU,13798,CITES_EU,
21474,SPECIES,COUNTRY,KH,13798,CITES_EU,
21474,SPECIES,COUNTRY,CN,13798,CITES_EU,
21474,SPECIES,COUNTRY,LA,13798,CITES_EU,
21474,SPECIES,COUNTRY,MY,13798,CITES_EU,
21474,SPECIES,COUNTRY,PH,13798,CITES_EU,
17332,SPECIES,COUNTRY,ID,13798,CITES_EU,
14825,SPECIES,COUNTRY,MY,13798,CITES_EU,
29378,SPECIES,COUNTRY,ID,13798,CITES_EU,
29378,SPECIES,COUNTRY,PG,13798,CITES_EU,
27019,SPECIES,COUNTRY,MY,13798,CITES_EU,
21701,SPECIES,COUNTRY,ID,13798,CITES_EU,
23684,SPECIES,COUNTRY,ID,13798,CITES_EU,
16295,SPECIES,COUNTRY,SC,13798,CITES_EU,
25539,SPECIES,COUNTRY,PH,13798,CITES_EU,
24696,SPECIES,COUNTRY,PH,13798,CITES_EU,
16266,SPECIES,COUNTRY,ID,13798,CITES_EU,
19092,SPECIES,COUNTRY,BN,13798,CITES_EU,
19092,SPECIES,COUNTRY,SG,13798,CITES_EU,
19092,SPECIES,COUNTRY,MY,13798,CITES_EU,
