Scientific name,Rank,RecID,ParentRank,Parent recID,Status,Species Author,notes,Designation,AcceptedRank,AcceptedRecID
portoricensis,Subspecies,90899,Species,2241,S,"(LeSueur, 1817)",,CITES_EU,Species,2241
portoricensis,Species,15800,Genus,3455,S,"(Vaughan, 1901)",,CITES_EU,Species,15801
portoricensis,Species,89989,Genus,30224,S,"Vaughan, 1901",,CITES_EU,Species,15801
porzana,Species,95735,Genus,4188,S,"Linnaeus, 1766",,"CITES_EU,CMS",Species,18078
pourtalesi,Species,89991,Genus,589,S,"Duncan, 1878",,CITES_EU,Species,18110
pourtalesi,Species,89992,Genus,809,S,"Duncan, 1873",,CITES_EU,Species,3980
pourtalesi,Species,89993,Genus,4798,S,"Duraham & Barnard, 1952",,CITES_EU,Species,7734
pourtalesii,Species,89994,Genus,1651,S,"Dall, 1884",,CITES_EU,Species,8065
Powelliphanta,Genus,30659,,,S,,,CITES_EU,,
praecipua,Species,6476,Genus,1370,S,"(Gardiner & Waugh, 1939)",,CITES_EU,Species,7078
praecipua,Species,90836,Genus,504,S,"Gardiner & Waugh, 1939",,CITES_EU,Species,7078
praeconis,Species,104321,Genus,4081,S,"Thomas, 1910",,CITES_EU,Subspecies,18556
praerupta,Species,89995,Genus,2738,S,"Ehrenberg, 1834",,CITES_EU,Species,12760
praetorta,Species,89996,Genus,3607,S,"Dana, 1846",,CITES_EU,Species,16432
prasina,Species,97634,Genus,30558,S,"Lesson, 1830",,CITES_EU,Species,4759
prasinus,Species,68993,Genus,30257,S,"Boie, 1827",,CITES_EU,Species,23354
prasinus,Species,91973,Genus,30500,S,"Schlegel, 1839",,CITES_EU,Species,22891
prasinus,Species,97633,Genus,985,S,"(Lesson, 1830)",,CITES_EU,Species,4759
Prasitis,Genus,30660,,,S,,,CITES_EU,,
pratensis,Species,95683,Genus,1944,S,"F. A. A. Meyer, 1794",,CITES_EU,Subspecies,9528
pratincola,Species,96082,Genus,2139,S,"Linnaeus, 1766",,"CITES_EU,CMS",Species,9204
prava,Species,89997,Genus,2983,S,"Nemenzo, 1967",,CITES_EU,Species,13746
preocularis,Species,34643,Genus,5187,S,"(Taylor, 1922)",,CITES_EU,Species,23354
prescillae,Species,89998,Genus,4424,S,Nemenzo,,CITES_EU,Species,20118
pretiosa,Species,89999,Genus,9424,S,"Bassett-Smith, 1890",,CITES_EU,Species,11752
pretiosa,Species,96414,Genus,30604,S,"Ferrari-Pérez, 1886",,CITES_EU,Species,36042
pretrei,Species,96715,Genus,4103,S,"Temminck, 1830",,CITES_EU,Species,1062
pretrei,Species,97584,Genus,4923,S,"Lesson & DeLattre, 1839",,CITES_EU,Species,16817
preussi,Subspecies,18258,Species,18240,S,"(Kerr, 1792)",,CITES_EU,Species,18243
preussi,Subspecies,28702,Species,4220,S,"P. Sclater, 1899",,CITES_EU,Species,4227
preussi,Subspecies,28749,Species,18241,S,"(Waterhouse, 1838)",,CITES_EU,Species,18243
preussi,Subspecies,45143,Species,28744,S,"(Kerr, 1792)",,CITES_EU,Species,18243
preussi,Species,29243,Genus,1109,S,"(Matschie, 1900)",,CITES_EU,Species,18243
preussi,Species,44270,Genus,3995,S,"(Matschie, 1900)",,CITES_EU,Species,18243
prevostii,Species,97604,Genus,4923,S,"Lesson, 1832",,CITES_EU,Species,1630
priam,Subspecies,41769,Species,20104,S,"(Dufresne, 1797)",,CITES_EU,Species,98475
Priamoptera,Genus,30661,,,S,,,CITES_EU,,
Priamuspterus,Genus,30662,,,S,,,CITES_EU,,
primigenius,Species,42810,Genus,43,S,"Chalikov, 1944",,CITES_EU,Species,227
primordialis,Species,90000,Genus,30818,S,"Gardiner, 1899",,CITES_EU,Species,6227
primordius,Subspecies,29125,Species,22860,S,"Boulenger, 1885",,CITES_EU,Species,22892
princeps,Species,28075,Genus,1987,S,"(Reichenbach, 1851)",,CITES_EU,Species,497
princeps,Species,97957,Genus,30499,S,"Reichenbach, 1851",,CITES_EU,Species,497
Prionastrea,Genus,30663,,,S,,,CITES_EU,,
proboscideus,Species,93909,Genus,30110,S,"Cope, 1875",,CITES_EU,Species,2918
procterae,Species,94099,Genus,4767,S,"Loveridge, 1923",,CITES_EU,Species,12696
procumbens,Species,90002,Genus,55,S,"(Brook, 1891)",,CITES_EU,Species,358
procumbens,Species,90003,Genus,2715,S,"Brook, 1891",,CITES_EU,Species,358
producta,Species,90004,Genus,3934,S,"Folkeson, 1919",,CITES_EU,Species,17948
productus,Species,96496,Genus,30642,S,"Gould, 1836",,CITES_EU,Species,14730
proechinata,Species,90005,Genus,1796,S,"Döderlein, 1901",,CITES_EU,Species,8723
profunda,Species,90006,Genus,30032,S,"Moseley, 1879",,CITES_EU,Species,21079
profunda,Species,90007,Genus,436,S,"Verrill, 1872",,CITES_EU,Species,2259
profunda,Species,90008,Genus,30216,S,"Dana, 1846",,CITES_EU,Species,12917
profunda,Species,90009,Genus,1370,S,"(Pourtalès, 1867)",,CITES_EU,Species,7722
profunda,Species,90010,Genus,30249,S,"Pourtalès, 1867",,CITES_EU,Species,7722
profunda,Species,90837,Genus,30769,S,"(Pourtalès, 1867)",,CITES_EU,Species,7722
profundicella,Species,90059,Genus,30663,S,"Milne Edwards & Haime, 1850",,CITES_EU,Species,8525
profundum,Species,90061,Genus,1772,S,"Milne Edwards & Haime, 1848",,CITES_EU,Species,22403
profundum,Species,90062,Genus,4954,S,"(Milne Edwards & Haime, 1848)",,CITES_EU,Species,22403
profusa,Species,414,Genus,55,S,"Nemenzo, 1967",,CITES_EU,Species,362
prolifer,Species,90063,Genus,30139,S,"Pourtalès, 1871",,CITES_EU,Species,2204
prolifera,Species,41689,Genus,30073,S,"(Pourtalès, 1871)",,CITES_EU,Species,2204
prolifera,Species,42220,Genus,2615,S,"(Pallas, 1766)",,CITES_EU,Species,12307
prolifera,Species,90064,Genus,2715,S,"Lamarck, 1816",,CITES_EU,Species,415
prolifera,Species,90065,Genus,2715,S,"Pallas, 1766",,CITES_EU,Species,12307
prolifera,Species,90066,Genus,2983,S,"Brüggemann, 1879",,CITES_EU,Species,13773
prolixa,Species,90067,Genus,55,S,"(Verrill, 1866)",,CITES_EU,Species,334
prolixa,Species,90068,Genus,2715,S,"Verrill, 1866",,CITES_EU,Species,334
prominens,Species,90069,Genus,55,S,"Nemenzo, 1967",,CITES_EU,Species,403
Propyrrhula,Genus,30664,,,S,,,CITES_EU,,
Propyrrhura,Genus,30665,,,S,,,CITES_EU,,
Prostherapis,Genus,30666,,,S,,,CITES_EU,,
prostrata,Species,90070,Genus,2715,S,"Dana, 1846",,CITES_EU,Species,416
prostrata,Species,90071,Genus,4642,S,"Klunzinger, 1879",,CITES_EU,Species,21112
Protoerrina,Genus,30667,,,S,,,CITES_EU,,
Protolobophyllia,Genus,30668,,,S,,,CITES_EU,,
Protomussa,Genus,30669,,,S,,,CITES_EU,,
Proturacus,Genus,30670,,,S,,,CITES_EU,,
providentiae,Species,90072,Genus,4553,S,"Hickson & England, 1909",,CITES_EU,Species,6755
provocax,Species,12424,Genus,2654,S,"Thomas, 1908",,CITES_EU,Species,12305
proximans,Species,90073,Genus,3871,S,"Dennant, 1904",,CITES_EU,Species,17620
pruinosa,Species,90074,Genus,2715,S,"Brook, 1893",,CITES_EU,Species,417
prunellei,Species,97777,Genus,4923,S,"Bourcier, 1843",,CITES_EU,Species,5070
pryeri,Species,31472,Genus,2607,S,"(Seebohm, 1884)",,CMS,Species,12989
przewalskii,Subspecies,7961,Species,103262,S,"Boddaert, 1785",,CITES_EU,Species,7956
przewalskii,Subspecies,29273,Species,30178,S,"Linnaeus, 1758",,CITES_EU,Species,7956
psaltria,Species,45694,Genus,30757,S,"(Say, 1823)",,CITES_EU,Species,33526
Psammosaurus,Genus,30671,,,S,,,CITES_EU,,
Psammoseris,Genus,30672,,,S,,,CITES_EU,,
Pseudalopex,Genus,30673,,,S,,,CITES_EU,,
pseudemys,Species,94178,Genus,4767,S,"Boulenger, 1903",,CITES_EU,Species,12775
Pseudemys,Genus,30674,,,S,,,CITES_EU,,
Pseudoboa,Genus,30675,,,S,,,CITES_EU,,
pseudocaretta,Species,94252,Genus,930,S,"Lesson, 1834",,CITES_EU,Species,8005
Pseudocolumnastrea,Genus,30676,,,S,,,CITES_EU,,
Pseudocordylus,Genus,30677,,,S,,,CITES_EU,,
pseudoeryx,Species,93817,Genus,30813,S,"Schlegel, 1837",,CITES_EU,Species,2864
pseudoeryx,Species,93818,Genus,604,S,"(Schlegel, 1837)",,CITES_EU,Species,2864
pseudogeographica,Species,94468,Genus,1580,S,"Gray, 1831",,CITES_EU,Species,9505
Pseudomopus,Genus,30678,,,S,,,CITES_EU,,
pseudomydas,Species,94251,Genus,930,S,"Lesson, 1834",,CITES_EU,Species,8005
Pseudophryne,Genus,30679,,,S,,,CITES_EU,,
Pseudoptynx,Genus,30680,,,S,,,CITES_EU,,
Pseudotadorna,Genus,30681,,,S,,,"CITES_EU,CMS",,
Pseudototanus,Genus,30682,,,S,,,"CITES_EU,CMS",,
Psittaca,Genus,30683,,,S,,,CITES_EU,,
Psittacara,Genus,30684,,,S,,,CITES_EU,,
psittaceus,Species,102889,Genus,4887,S,"(Temminck, 1808)",,CITES_EU,Species,22073
Psophia,Genus,30685,,,S,,,CITES_EU,,
