Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade
perretti,SPECIES,105458,29541,,Y
peyrierasi,SPECIES,3105,10207,,Y
PHAETHONTIDAE,Family,607,29654,,N
PHALACROCORACIDAE,Family,608,29654,,N
PHASIANIDAE,Family,613,29654,,N
Phelsuma,GENUS,3716,28140,SPECIES:16939,Y
philippinensis,SPECIES,14312,10039,,Y
PHOENICOPTERIDAE,Family,620,29654,,N
PICIDAE,Family,627,29654,,N
PICIFORMES,Order,119,29654,,N
pietschmanni,SPECIES,93565,25582,,Y
PITTIDAE,Family,635,29654,,N
PLOCEIDAE,Family,649,29654,,N
PODICIPEDIDAE,Family,653,29654,,N
PODICIPEDIFORMES,Order,122,29654,,N
PROCELLARIIDAE,Family,670,29654,,N
PROCELLARIIFORMES,Order,127,29654,,N
procerus,SPECIES,73237,7744,,Y
PRUNELLIDAE,Family,675,29654,,N
PSITTACIDAE,Family,683,29654,,N
PSITTACIFORMES,Order,129,29654,,N
PTEROCLIDIDAE,Family,687,29654,,N
PYCNONOTIDAE,Family,693,29654,,N
PYGOPODIDAE,Family,694,25976,,N
Pythonidae,FAMILY,969,10112,"SPECIES:71524,SPECIES:44287,SPECIES:44288,SPECIES:44289,SPECIES:44308,SPECIES:74050,SPECIES:74051",Y
quadrilineatus,SPECIES,29474,56,,Y
queenslandicus,SPECIES,72662,7658,,Y
RALLIDAE,Family,697,29654,,N
ramanantsoai,SPECIES,3106,28986,,Y
RAMPHASTIDAE,Family,698,29654,,N
RECURVIROSTRIDAE,Family,702,29654,,N
RHEIDAE,Family,708,29654,,N
RHEIFORMES,Order,132,29654,,N
Rhynchocephalia,ORDER,133,26173,,Y
RHYNOCHETIDAE,Family,719,29654,,N
roesleri,SPECIES,105337,29358,,Y
rondoni,SPECIES,105303,29309,,Y
RYNCHOPIDAE,Family,718,29654,,N
Saara,GENUS,19845,29324,,Y
SAGITTARIIDAE,Family,722,29654,,N
sagittifera,SPECIES,32122,10039,,Y
samarensis,SPECIES,14313,10039,,Y
sameiti,SPECIES,105482,29635,,Y
SAURIA,ORDER,136,25976,,N
SCINCIDAE,Family,731,25976,,N
SCOLOPACIDAE,Family,733,29654,,N
SCOPIDAE,Family,736,29654,,N
semispinosus,SPECIES,73241,7744,,Y
serpensinsula,SPECIES,28397,29685,,Y
serratus,SPECIES,105332,29541,,Y
siamensis,SPECIES,32123,10039,,Y
SITTIDAE,Family,750,29654,,N
socotraensis,SPECIES,105317,29323,,Y
solus,SPECIES,104625,27774,,Y
SPHENISCIDAE,Family,761,29654,,N
SPHENISCIFORMES,Order,144,29654,,N
spiritus,SPECIES,30569,124,,Y
sputatrix,SPECIES,14314,10039,,Y
STERCORARIIDAE,Family,769,29654,,N
STRIGIDAE,Family,772,29654,,N
STRIGIFORMES,Order,147,29654,,N
STRUTHIONIDAE,Family,776,29654,,N
STRUTHIONIFORMES,Order,148,29654,,N
strykeri,SPECIES,105308,29313,,Y
STURNIDAE,Family,777,29654,,N
SULIDAE,Family,783,29654,,N
sumatrana,SPECIES,14315,10039,,Y
superciliosa,SPECIES,104235,26655,,Y
taewanus,SPECIES,105218,28983,,Y
tarzan,SPECIES,105325,29347,,Y
tavetana,SPECIES,3015,27454,,Y
teguixin,SPECIES,22461,2,,Y
TEIIDAE,Family,795,25976,,N
teniabronchum,SPECIES,3023,28985,,Y
tenuis,SPECIES,3016,27454,,Y
Testudines,ORDER,153,26173,,N
Testudines,ORDER,153,28430,"SPECIES:12877,SPECIES:41890,SPECIES:15028,SPECIES:15027,SPECIES:19795,SPECIES:104625,SPECIES:3543,SPECIES:10953,SPECIES:10949,SPECIES:10952,SPECIES:105234",Y
Theraphosidae,FAMILY,807,29671,,Y
thilohoffmanni,SPECIES,91010,12666,,Y
THRESKIORNITHIDAE,Family,809,29654,,N
tigris,SPECIES,105455,29682,,Y
timoni,SPECIES,105326,29348,,Y
TINAMIDAE,Family,814,29654,,N
TINAMIFORMES,Order,157,29654,,N
tracyae,SPECIES,44289,6615,,Y
transvaalense,SPECIES,43441,28985,,Y
Trioceros,GENUS,18421,29353,"SPECIES:105458,SPECIES:105332,SPECIES:105331,SPECIES:105457",Y
trivittata,SPECIES,10952,29662,,Y
TROCHILIDAE,Family,828,29654,,N
TROGLODYTIDAE,Family,830,29654,,N
TROGONIDAE,Family,831,29654,,N
TROGONIFORMES,Order,160,29654,,N
Trogonoptera,GENUS,4937,28022,,Y
Troides,GENUS,4939,28022,,Y
Tropidophiidae,FAMILY,970,10112,"SPECIES:104072,SPECIES:30600,SPECIES:30569,SPECIES:74044,SPECIES:77985",Y
tsaratanaense,SPECIES,4504,29664,,Y
tsycorne,SPECIES,104140,27392,,Y
tuberculata,SPECIES,3109,10207,,Y
tumpara,SPECIES,105315,29321,,Y
Tupinambis,GENUS,4967,29674,"SPECIES:29371,SPECIES:31831,SPECIES:22461",Y
TURNICIDAE,Family,837,29654,,N
TYRANNIDAE,Family,840,29654,,N
TYTONIDAE,Family,841,29654,,N
ulugurensis,SPECIES,105225,27454,,Y
uluguruensis,SPECIES,105225,29684,,Y
UPUPIDAE,Family,844,29654,,N
Uromastyx,GENUS,5027,29324,,Y
Uroplatus,GENUS,5183,30003,"SPECIES:105482,SPECIES:105460,SPECIES:104123,SPECIES:93565",Y
uthmoelleri,SPECIES,3019,27454,,Y
vanheygeni,SPECIES,105329,29351,,Y
VARANIDAE,FAMILY,849,12860,,Y
VARANIDAE,FAMILY,849,25976,,N
VARANIDAE,Family,849,29222,,Y
vatosoa,SPECIES,77841,9023,,Y
vencesi,SPECIES,77840,9023,,Y
ventrale,SPECIES,43442,28985,,Y
verbana,SPECIES,98794,29672,,Y
vignei,SPECIES,29583,2806,,Y
villosus,SPECIES,41791,25422,,Y
Viperidae,FAMILY,853,10112,,Y
vohibola,SPECIES,105456,29683,,Y
vosseleri,SPECIES,105226,27975,,Y
waleananus,SPECIES,105244,29669,,Y
wigginsi,SPECIES,92644,13116,,Y
xanthogaster,SPECIES,104072,27352,,Y
XANTUSIIDAE,Family,859,25976,,N
xenorhina,SPECIES,3021,27454,,Y
XENOSAURIDAE,Family,861,25976,,N
ZOSTEROPIDAE,Family,867,29654,,N
