rank_name,rec_id,listing,effective_from,party_iso2,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,short_note_en,short_note_es,short_note_fr,full_note_en,SpeciesIndexAnnotation,HistoryAnnotation,hash_note,Notes
GENUS,2244,III/w,01/01/1984,DK,0,,,0,,,,Listing subsequently changed to named species.,Inclusión modificada ulteriormente para citar las especies.,Inscription modifiée ultérieurement pour citer les espèces.,,,,,
GENUS,2244,DELIII,01/08/1985,GH,1,,,0,,,,Listing subsequently changed to named species.,Inclusión modificada ulteriormente para citar las especies.,Inscription modifiée ultérieurement pour citer les espèces.,,,,,
GENUS,2264,III,26/02/1976,GH,0,,,0,,,,,,,,,,,
GENUS,2264,III/r,24/10/1977,DK,0,,,0,,,,,,,,,,,
GENUS,2264,III/w,01/01/1984,DK,0,,,0,,,,,,,,,,,
GENUS,2264,DELIII,01/08/1985,GH,1,,,0,,,,Listing subsequently changed to named species.,Inclusión modificada ulteriormente para citar las especies.,Inscription modifiée ultérieurement pour citer les espèces.,,,,,
GENUS,2267,II,04/02/1977,,1,,,0,,,,,,,,,,,
GENUS,2321,III,26/04/1976,TN,0,,,0,,,,,,,,,,,
GENUS,2321,DELIII,01/07/1977,TN,1,,,0,,,,,,,,,,,
GENUS,2351,II,01/07/1975,,0,,,0,,,,,,,,,,,
GENUS,2351,II/r,31/10/1976,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,2351,II,04/02/1977,,1,,,1,801,FAMILY,,Included in Testudinidae spp.,Incluida en Testudinidae spp.,Inscrit sous Testudinidae spp.,,,,,
GENUS,2351,II/w,03/07/1978,GB,0,,,0,,,,On behalf of HK.,En nombre de HK.,Au nom de HK.,On behalf of Hong Kong.,,,,
GENUS,2446,I,19/07/2000,,1,,,0,,,,,,,,,,,
GENUS,2473,I,01/07/1975,,1,,,0,,,,,,,,,,,
GENUS,2605,II/r,01/08/1985,AT,0,,,0,,,,,,,,,,,
GENUS,2605,II,01/08/1985,,0,,,0,,,,,,,,,,,
GENUS,2605,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
GENUS,2605,II,18/01/1990,,1,,,1,137,ORDER,,Included in SCLERACTINIA spp.,Incluida en SCLERACTINIA spp.,Inscrit sous SCLERACTINIA spp.,,,,,
GENUS,2720,II,01/07/1975,,0,,,0,,,,,,,,,,,
