ComName,LangShort,RecId,Rank,Designation,ReferenceID
Anguila,CAT,30324,species,"CITES,EU",7295
Agullat,CAT,41470,species,CMS,
Bakwak,CEB,87,species,EU,7295
Mungit,CEB,87,species,EU,7295
Sovahan,CEB,87,species,EU,7295
Sipul-sipul,CEB,546,species,EU,7295
Bugok,CEB,1206,species,EU,7295
Labayan,CEB,1206,species,EU,
Bagondon,CEB,1214,species,EU,7295
Bugok,CEB,1214,species,EU,7295
Labayan,CEB,1214,species,EU,
Sipul-sipul,CEB,4111,species,EU,7295
Alibang-bang,CEB,4344,species,EU,7295
Alibang-bang,CEB,4345,species,EU,7295
Alibang-bang,CEB,4346,species,EU,7295
Alibang-bang,CEB,4349,species,EU,7295
Alibang-bang,CEB,4350,species,EU,7295
Alibang-bang,CEB,4351,species,EU,7295
Alibang-bang,CEB,4352,species,EU,7295
Boray-boray,CEB,4352,species,EU,7295
Alibang-bang,CEB,4354,species,EU,7295
Alibang-bang,CEB,4355,species,EU,7295
Alibang-bang,CEB,4357,species,EU,7295
Alibang-bang,CEB,4358,species,EU,7295
Paru-parung dagat,CEB,4358,species,EU,7295
Alibangbang,CEB,4365,species,EU,7295
Boray-boray,CEB,4365,species,EU,7295
Alibang-bang,CEB,9939,species,EU,7295
Boray-boray,CEB,9939,species,EU,7295
Battu,CEB,14877,species,EU,7295
But,CEB,14877,species,EU,7295
Moh,CEB,14877,species,EU,7295
Payi,CEB,14877,species,EU,7295
Purri,CEB,14877,species,EU,7295
Alibang-bang,CEB,16036,species,EU,7295
Taghan,CEB,18174,species,"CITES,EU",7295
Solay-bagyo,CEB,18604,species,EU,7295
Tawiki,CEB,19488,species,"CITES,EU",7295
Tuki-tuki,CEB,19488,species,"CITES,EU",7295
Labayan,CEB,20833,species,EU,7295
Mulmul,CEB,20833,species,EU,7295
Solay-baguio,CEB,22204,species,EU,
Krahujec krátkoprstý,CES,92,species,"CITES,EU",
Krahujec obecný,CES,119,species,"CITES,EU",
Jeseter hladky,CES,225,species,"CITES,EU",7295
Jeseter maly,CES,227,species,"CITES,EU",7295
Jeseter malý,CES,227,species,"CITES,EU",
Jester hvezdnaty,CES,229,species,"CITES,EU",7295
Jeseter valky,CES,230,species,"CITES,EU",7295
Jeseter velky,CES,230,species,"CITES,EU",7295
Jeseter velký,CES,230,species,"CITES,EU",
Rákosník plavý,CES,289,species,CMS,
Rákosník velký,CES,290,species,"EU,CMS",
Rákosník tamaryškový,CES,293,species,"EU,CMS",
Rákosník obecný,CES,298,species,"EU,CMS",
Sýc rousný,CES,536,species,"CITES,EU",
Alka malá,CES,791,species,"EU,CMS-AEWA",
Alkoun malý,CES,864,species,"EU,CMS-AEWA",
Husice nilská,CES,901,species,"CITES,EU",
Ostralka štíhlá,CES,1219,species,"CITES,EU",
Hvízdák eurasijský,CES,1231,species,"CITES,EU",
Kachna divoká,CES,1232,species,"EU,CMS",
Husa velká,CES,1573,species,"EU,CMS",
Husa malá,CES,1575,species,"EU,CMS",
Husa polní,CES,1576,species,"EU,CMS",
Husa krátkozobá,CES,1578,species,CMS,
Linduška kanárská,CES,1652,species,EU,
Linduška úhorní,CES,1653,species,EU,
Linduška rudokrká,CES,1654,species,EU,
Linduška zelená,CES,1658,species,EU,
Linduška skalní,CES,1660,species,EU,
Linduška lesní,CES,1666,species,EU,
Rorýs obecný,CES,1942,species,EU,
