Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
nghetinhensis,Species,18597,Genus,4091,A,"Dung, Giao, Chinh, Touc, Arctander & MacKinnon, 1993",,CITES_EU
crassidens,Species,18596,Genus,4090,A,"(Owen, 1846)",,"CITES_EU,CMS"
shortridgei,Species,18557,Genus,4081,A,"(Thomas, 1907)",,CITES_EU
pilligaensis,Species,18555,Genus,4081,A,"Fox & Briscoe, 1980",,CITES_EU
oralis,Species,18554,Genus,4081,A,"Thomas, 1921",,CITES_EU
occidentalis,Species,18553,Genus,4081,A,"Tate, 1951",,CITES_EU
novaehollandiae,Species,18552,Genus,4081,A,"(Waterhouse, 1843)",,CITES_EU
gouldii,Species,18551,Genus,4081,A,"(Waterhouse, 1839)",,CITES_EU
fumeus,Species,18550,Genus,4081,A,"Brazenor, 1934",,CITES_EU
fieldi,Species,18549,Genus,4081,A,"(Waite, 1896)",,CITES_EU
mellis,Species,18543,Genus,4079,A,"Allen & Ivantsoff, 1982",,CITES_EU
erythrops,Species,18541,Genus,4077,A,"Randall & Randall, 1981",,CITES_EU
elongatus,Species,18540,Genus,4077,A,"Ayling & Russell, 1977",,CITES_EU
cerasinus,Species,18539,Genus,4077,A,"(Snyder, 1904)",,CITES_EU
avis,Species,18527,Genus,4071,A,"(Durham & Barnard, 1952)",,CITES_EU
pachypoma,Species,18526,Genus,4070,A,"(Hickson & England, 1905)",,CITES_EU
nebulosus,Species,18519,Genus,1157,A,"(Mouton & van Wyk, 1995)",,CITES_EU
spinosus,Species,18517,Genus,1157,A,"(FitzSimons, 1947)",,CITES_EU
microlepidotus,Species,18516,Genus,1157,A,"Cuvier, 1829",,CITES_EU
melanotus,Species,18515,Genus,1157,A,"A. Smith, 1838",,CITES_EU
langi,Species,18514,Genus,1157,A,"(Loveridge, 1944)",,CITES_EU
capensis,Species,18513,Genus,1157,A,"A. Smith, 1838",,CITES_EU
dinellianus,Species,18511,Genus,4065,A,"Lillo, 1905",,CMS
sirintarae,Species,18500,Genus,4061,A,"Kitti, 1968",,CITES_EU
quathlambae,Species,18475,Genus,4054,A,"(Barnard, 1938)",,CITES_EU
phlegethon,Species,18474,Genus,4054,A,"(Barnard, 1938)",,CITES_EU
burgi,Species,18473,Genus,4054,A,"(Boulenger, 1911)",,CITES_EU
burchelli,Species,18472,Genus,4054,A,"(Smith, 1841)",,CITES_EU
papillosa,Species,18467,Genus,4049,A,"(Temminck, 1824)",,CITES_EU
gigantea,Species,18466,Genus,4049,A,"(Oustalet, 1877)",,CITES_EU
davisoni,Species,18465,Genus,4049,A,"(Hume, 1875)",,CITES_EU
fuscata,Species,18464,Genus,4048,A,"(Blyth, 1858)",,CITES_EU
umbrina,Species,18457,Genus,4046,A,"Siebenrock, 1901",,CITES_EU
rubrizonatus,Species,18453,Genus,4044,A,"(Randall, 1983)",,CITES_EU
luzonensis,Species,18452,Genus,4044,A,"(Katayama & Masuda, 1983)",,CITES_EU
gymnocercus,Species,18441,Genus,13936,A,"(G. Fischer, 1814)",,CITES_EU
griseus,Species,18440,Genus,13936,A,"(Gray, 1837)",,CITES_EU
culpaeus,Species,18439,Genus,13936,A,"(Molina, 1782)",,CITES_EU
gladius,Species,18428,Genus,4036,A,"(Martens, 1862)",,"CITES_EU,CMS"
varius,Species,18427,Genus,4035,A,"Clark, 1910",,CITES_EU
pulcherrimus,Species,18426,Genus,4035,A,"(Gould, 1845)",,CITES_EU
haematonotus,Species,18425,Genus,4035,A,"(Gould, 1838)",,CITES_EU
dissimilis,Species,18424,Genus,4035,A,"Collett, 1898",,CITES_EU
