Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus,AcceptedSpcRecID
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,euptilura,NULL,NULL,79479,S,18146
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynchailurus,colocolo,NULL,NULL,81696,S,15309
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,culpaeus,NULL,NULL,87778,S,18439
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,pardina,NULL,NULL,29269,S,12520
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,griseus,NULL,NULL,76992,S,18440
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,gymnocercus,NULL,NULL,76993,S,18441
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,severtzovi,15761,S,41611
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,bochariensis,15753,S,41607
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,cycloceros,15754,S,41609
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,punjabiensis,15760,S,41610
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,grunniens,NULL,NULL,2892,S,2889
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,chrysogaster,ssp.,leucogaster,74590,S,13901
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,arkal,15751,S,41608
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,sylvicultor,NULL,NULL,73020,S,4150
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,bison,NULL,NULL,73988,S,2815
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,frontalis,NULL,NULL,2891,S,2887
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Rupicapra,ornata,NULL,NULL,72108,S,19766
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Dicotyles,tajacu,NULL,NULL,72811,S,16457
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Dama,virginiana,NULL,NULL,72813,S,30202
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Odocoileus,bezoarticus,NULL,NULL,28424,S,15803
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Oryx,tao,NULL,NULL,28441,S,15568
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Megamuntiacus,vuquanghensis,NULL,NULL,45007,S,12992
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,goral,ssp.,baileyi,29275,S,14294
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,goral,ssp.,caudatus,28854,S,14295
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capra,aegagrus,ssp.,chialtanensis,3800,S,3791
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,porcinus,ssp.,calamianensis,41675,S,2446
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,porcinus,ssp.,kuhlii,28848,S,2447
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,dama,NULL,NULL,43626,S,29741
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,dama,ssp.,mesopotamicus,28849,S,6231
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,porcinus,NULL,NULL,43624,S,30195
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,porcinus,ssp.,annamiticus,28846,S,2445
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Taurotragus,eurycerus,NULL,NULL,28857,S,22047
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,sumatraensis,NULL,NULL,3809,S,14297
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,canadensis,NULL,NULL,43623,S,29740
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,HIPPOPOTAMIDAE,Choeropsis,liberiensis,NULL,NULL,41673,S,10032
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Novibos,sauveli,NULL,NULL,28420,S,2890
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,monticola,NULL,NULL,28491,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Anoa,mindorensis,NULL,NULL,28852,S,3127
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Anoa,quarlesi,NULL,NULL,28853,S,3128
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Boocercus,eurycerus,NULL,NULL,41674,S,22047
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,ammon,ssp.,severtzovi,41606,S,41611
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Tayassu,tajacu,NULL,NULL,28704,S,16457
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Anoa,depressicornis,NULL,NULL,27899,S,3126
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Damaliscus,dorcas,NULL,NULL,6233,S,30208
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Damaliscus,dorcas,ssp.,dorcas,6237,S,30208
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,ammon,ssp.,vignei,29277,S,15738
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,chrysogaster,ssp.,fuscus,28845,S,13896
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,moschiferus,ssp.,moschiferus,29274,S,13895
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,sifanicus,NULL,NULL,28844,S,13895
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,aries,ssp.,ophion,29276,S,15737
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CAMELIDAE,Camelus,ferus,NULL,NULL,27987,S,3707
