ComName,LanDesc,SpcRecId
Barbary Deer,English,4259
Barbary Stag,English,4259
Atlas Deer,English,4259
Ciervo de la Berberia,Spanish,4259
Cerf de Barbarie,French,4259
Kashmir Red Deer,English,4261
Hangul,English,4261
Kashmir Stag,English,4261
Kashmir Deer,English,4261
Ciervo de Cachemira,Spanish,4261
Cerf élaphe du Cachemire,French,4261
Hangul,French,4261
Eld's Deer,English,4265
Thamin,English,4265
Brow-antlered Deer,English,4265
Ciervo de Eld,Spanish,4265
Cerf d'Eld,French,4265
Maned Wolf,English,4819
Lobo de crin,Spanish,4819
Loup à crinière,French,4819
Fossa,English,5760
Gato fosa de Madagascar,Spanish,5760
Cryptoprocte féroce,French,5760
Fossa,French,5760
Foussa,French,5760
Fosa,English,5760
Indian Wild Dog,English,5953
Asiatic Wild Dog,English,5953
Dhole,English,5953
Red Dog,English,5953
Perro salvaje asiático,Spanish,5953
Cuon d'Asie,French,5953
Dhole,French,5953
Chien sauvage d'Asie,French,5953
Cuon asiático,Spanish,5953
Gamo de Mesopotamia,Spanish,6231
Mesopotamian Fallow Deer,English,6231
Persian Fallow Deer,English,6231
Gacela de Irán,Spanish,6231
Dama pérsico,Spanish,6231
Daim de Mésopotamie,French,6231
Tsessebi,English,6235
Tsessebe,English,6235
Damalisque,French,6235
Sassaby,French,6235
Hirola,French,6235
Sasabi ,Spanish,6235
Tiang,Spanish,6235
Bontebok,English,6236
Bontebok,Spanish,6236
Topi gacela,Spanish,6236
Bontebok,French,6236
Slender Fanalouc,English,8327
Falanouc,English,8327
Malagasy Mongoose,English,8327
Small-toothed Mongoose,English,8327
Fanaloca,Spanish,8327
Mangosta dentipequeno,Spanish,8327
Euplère de Goudot,French,8327
Chinese Desert Cat,English,8539
Gato del desierto de China,Spanish,8539
Gato de Biet,Spanish,8539
Chat de Biet,French,8539
Reed Cat,English,8540
Jungle Cat,English,8540
Swamp Cat,English,8540
Gato de los pantanos,Spanish,8540
Gato de la jungla,Spanish,8540
Chat de jungle,French,8540
Chat des marais,French,8540
Sand Dune Cat,English,8541
Sand Cat,English,8541
Gato del Sahara,Spanish,8541
Gato de las arenas,Spanish,8541
Chat des sables,French,8541
Small-spotted Cat,English,8542
Black-footed Cat,English,8542
Gato de pies negros,Spanish,8542
Gato patinegro,Spanish,8542
Chat à pieds noirs,French,8542
Chat sauvage,French,8543
Gato montés,Spanish,8543
Wild Cat,English,8543
Gato silvestre,Spanish,8543
Gato montés,Spanish,8543
Wildcat,English,8543
Chat orné,French,8543
Chat sauvage,French,8543
Ethiopian Wild Cat,English,8544
Northern African Wild Cat,English,8545
Fanaloka,English,8668
Malagasy Civet,English,8668
Striped Civet,English,8668
Cibeta de Madagascar,Spanish,8668
Civette fossane,French,8668
Civette malgache,French,8668
Fossana,French,8668
Fanaloka,French,8668
Civeta,Spanish,8668
Cuvier's Gazelle,English,8967
Edmi Gazelle,English,8967
Idmi,English,8967
Gazelle de Cuvier,French,8967
Gacela de Cuvier,Spanish,8967
Addra Gazelle,English,8968
Dama Gazelle,English,8968
Gazelle dama,French,8968
Dorcas Gazelle,English,8969
Gazelle dorcas,French,8969
Gacela dorcas,Spanish,8969
Mountain Gazelle,English,8970
