Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capra,falconeri,ssp.,chialtanensis,3791,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capra,falconeri,ssp.,jerdoni,3792,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,quarlesi,NULL,NULL,3128,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Budorcas,taxicolor,NULL,NULL,3160,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CAMELIDAE,Camelus,bactrianus,NULL,NULL,3707,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,arnee,NULL,NULL,3125,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,depressicornis,NULL,NULL,3126,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,mindorensis,NULL,NULL,3127,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,gaurus,NULL,NULL,2887,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,mutus,NULL,NULL,2889,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,sauveli,NULL,NULL,2890,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,ssp.,athabascae,2813,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,NULL,NULL,2815,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Blastocerus,dichotomus,NULL,NULL,2828,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Axis,calamianensis,NULL,NULL,2446,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Axis,kuhlii,NULL,NULL,2447,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Babyrousa,babyrussa,NULL,NULL,2461,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,ssp.,sonoriensis,1680,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Antilope,cervicapra,NULL,NULL,1681,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Axis,porcinus,ssp.,annamiticus,2445,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,NULL,NULL,1677,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,ssp.,mexicana,1678,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,ssp.,peninsularis,1679,A
