Id,FullName,RankName,AuthorYear,PhylumName,ClassName,OrderName,FamilyName,CitesAccepted,CurrentListing,GenericAnnotationFullSymbol,CountriesIsoCodes,CountriesFullNames,#AnnotationEnglish,#AnnotationSpanish,#AnnotationFrench,AnnotationEnglish,AnnotationSpanish,AnnotationFrench
1967,Accipiter gentilis,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,"", ,"""Af"", ""Al"", ""Dz"", ""Ad"", ""Am"", ""At"", ""Az"", ""Bd"", ""By"", ""Be"", ""Bm"", ""Bt"", ""Ba"", ""Bg"", ""Ca"", ""Cn"", ""Hr"", ""Cy"", ""Cz"", ""Kp"", ""Dk"", ""Eg"", ""Ee"", ""Fi"", ""Fr"", ""Ge"", ""De"", ""Gi"", ""Gr"", ""Hk"", ""Hu"", ""In"", ""Id"", ""Ir"", ""Ie"", ""Il"", ""It"", ""Jp"", ""Jo"", ""Kz"", ""Kg"", ""Lv"", ""Lb"", ""Ly"", ""Li"", ""Lt"", ""Lu"", ""Mx"", ""Mn"", ""Me"", ""Ma"", ""Mm"", ""Np"", ""Nl"", ""No"", ""Om"", ""Pk"", ""Pg"", ""Pl"", ""Pt"", ""Kr"", ""Md"", ""Ro"", ""Ru"", ""Pm"", ""Sa"", ""Cs"", ""Sk"", ""Si"", ""Sb"", ""Es"", ""Se"", ""Ch"", ""Sy"", ""Tw"", ""Tj"", ""Th"", ""Mk"", ""Tn"", ""Tr"", ""Ua"", ""Ae"", ""Gb"", ""Us"", ""Uz"", ""Vn""","""Afghanistan"", ""Albania"", ""Algeria"", ""Andorra"", ""Armenia"", ""Austria"", ""Azerbaijan"", ""Bangladesh"", ""Belarus"", ""Belgium"", ""Bermuda"", ""Bhutan"", ""Bosnia And Herzegovina"", ""Bulgaria"", ""Canada"", ""China"", ""Croatia"", ""Cyprus"", ""Czech Republic"", ""Democratic People'S Republic Of Korea"", ""Denmark"", ""Egypt"", ""Estonia"", ""Finland"", ""France"", ""Georgia"", ""Germany"", ""Gibraltar"", ""Greece"", ""Hong Kong Sar"", ""Hungary"", ""India"", ""Indonesia"", ""Iran (Islamic Republic Of)"", ""Ireland"", ""Israel"", ""Italy"", ""Japan"", ""Jordan"", ""Kazakhstan"", ""Kyrgyzstan"", ""Latvia"", ""Lebanon"", ""Libyan Arab Jamahiriya"", ""Liechtenstein"", ""Lithuania"", ""Luxembourg"", ""Mexico"", ""Mongolia"", ""Montenegro"", ""Morocco"", ""Myanmar"", ""Nepal"", ""Netherlands"", ""Norway"", ""Oman"", ""Pakistan"", ""Papua New Guinea"", ""Poland"", ""Portugal"", ""Republic Of Korea"", ""Republic Of Moldova"", ""Romania"", ""Russian Federation"", ""Saint Pierre And Miquelon"", ""Saudi Arabia"", ""Serbia"", ""Slovakia"", ""Slovenia"", ""Solomon Islands"", ""Spain"", ""Sweden"", ""Switzerland"", ""Syrian Arab Republic"", ""Taiwan, Province Of China"", ""Tajikistan"", ""Thailand"", ""The Former Yugoslav Republic Of Macedonia"", ""Tunisia"", ""Turkey"", ""Ukraine"", ""United Arab Emirates"", ""United Kingdom Of Great Britain And Northern Ireland"", ""United States Of America"", ""Uzbekistan"", ""Viet Nam""","","","","","",""
1387,Accipiter griseiceps,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Id""","""Indonesia""","","","","","",""
1461,Accipiter gularis,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Bn"", ""Kh"", ""Cn"", ""Kp"", ""Gu"", ""Hk"", ""In"", ""Id"", ""Jp"", ""La"", ""Mo"", ""My"", ""Mn"", ""Mm"", ""Mp"", ""Ph"", ""Kr"", ""Ru"", ""Sg"", ""Tw"", ""Th"", ""Vn""","""Brunei Darussalam"", ""Cambodia"", ""China"", ""Democratic People'S Republic Of Korea"", ""Guam"", ""Hong Kong Sar"", ""India"", ""Indonesia"", ""Japan"", ""Lao People'S Democratic Republic"", ""Macao"", ""Malaysia"", ""Mongolia"", ""Myanmar"", ""Northern Mariana Islands"", ""Philippines"", ""Republic Of Korea"", ""Russian Federation"", ""Singapore"", ""Taiwan, Province Of China"", ""Thailand"", ""Viet Nam""","","","","","",""
3617,Accipiter gundlachi,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,"", ,"""Cu""","""Cuba""","","","","","",""
2971,Accipiter haplochrous,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Nc""","""New Caledonia""","","","","","",""
1470,Accipiter henicogrammus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Id""","""Indonesia""","","","","","",""
1782,Accipiter henstii,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Mg""","""Madagascar""","","","","","",""
3686,Accipiter imitator,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Pg"", ""Sb""","""Papua New Guinea"", ""Solomon Islands""","","","","","",""
3895,Accipiter luteoschistaceus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Pg""","""Papua New Guinea""","","","","","",""
1728,Accipiter madagascariensis,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Mg""","""Madagascar""","","","","","",""
