Year,Manual ID,Title,Language,Master Document ID,Volume,Type,General/ Part,PDF filename
2003,CITES Identification Guide Hunting Trophies_FR.pdf,Guide d'identification CITES: Trophées de chasse,FR,CITES Identification Guide Hunting Trophies_EN.pdf,,Virtual College,Parts and Derivatives,CITES Identification Guide Hunting Trophies_FR.pdf
2003,CITES Identification Guide Hunting Trophies_ES.pdf,Guía de identificación de CITES: Trofeos de caza,ES,CITES Identification Guide Hunting Trophies_EN.pdf,,Virtual College,Parts and Derivatives,CITES Identification Guide Hunting Trophies_ES.pdf
2003,CITES Identification Guide Hunting Trophies_TR.pdf,CITES Tanimlama Kilavuzu: Av Trofeleri,TR,CITES Identification Guide Hunting Trophies_EN.pdf,,Virtual College,Parts and Derivatives,CITES Identification Guide Hunting Trophies_TR.pdf
2018,Guide d'identification Des espèces du Tchad CITES_FR.pdf,Guide d'identification: Des espèces du Tchad CITES,FR,,,Virtual College,General,Guide d'identification Des espèces du Tchad CITES_FR.pdf
2013,Identification Manual for the Conservation of Turtles in China_EN.pdf,Identification Manual for the Conservation of Turtles in China,EN,,,Virtual College,General,Identification Manual for the Conservation of Turtles in China_EN.pdf
2011,"Guía para la identificación de especies de tiburones, rayas y quimeras de Colombia_ES.pdf","Guía para la identificación de especies de tiburones, rayas y quimeras de Colombia",ES,,,Virtual College,General,"Guía para la identificación de especies de tiburones, rayas y quimeras de Colombia_ES.pdf"
2018,Guide d'identification Des espèces du Gabon CITES_FR.pdf,Guide d'identification: Des espèces du Gabon CITES,FR,,,Virtual College,General,Guide d'identification Des espèces du Gabon CITES_FR.pdf
2012,Identification guide for Latin American tree frogs_EN.pdf,Identification guide for Latin American tree frogs (Agalychnis) protected by the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),EN,,,Virtual College,General,Identification guide for Latin American tree frogs_EN.pdf
2010,Çiru Yasadisi Ticaret ve Sahtus Yünü ile Tanimlamak Için Teknikleri_TR.pdf,Çiru (Tibet Antilobu) Yasadisi Ticaret ve Sahtus Yünü ile Sallarini Tanimlamak Için Yaban Hayati Adli Teknikleri,TR,,,Virtual College,General,Çiru Yasadisi Ticaret ve Sahtus Yünü ile Tanimlamak Için Teknikleri_TR.pdf
2012,CITES ve Kaktüsler_TR.pdf,CITES ve Kaktüsler,TR,,,Virtual College,General,CITES ve Kaktüsler_TR.pdf
2013,Köpekbaligi Yüzgeçlerinin Teshisi_TR.pdf,"Köpekbaligi Yüzgeçlerinin Teshisi: Akyüzgeçli, Dikburun ve Çekiçbasli Köpekbaliklari",TR,"Identifying Shark Fins Oceanic Whitetip, Porbeagle and Hammerheads_EN.pdf",,Virtual College,General,Köpekbaligi Yüzgeçlerinin Teshisi_TR.pdf
1999,Fildisi ve fildisi türevleri için tanimlama kilavuzu_TR.pdf,Fildisi ve fildisi türevleri için tanimlama kilavuzu,TR,Identification guide for ivory and ivory substitutes_EN.pdf,,Virtual College,Parts and Derivatives,Fildisi ve fildisi türevleri için tanimlama kilavuzu_TR.pdf
2018,Succulent Plants guide to CITES-listed species_EN.pdf,Succulent Plants - A guide to CITES-listed species,EN,,,Virtual College,General,Succulent Plants guide to CITES-listed species_EN.pdf
2015,Bushmeat Information and identification guide_EN.pdf,Bushmeat: Information and identification guide,EN,,,Virtual College,Parts and Derivatives,Bushmeat Information and identification guide_EN.pdf
2006,CITES I-II-III timber species manual_EN.pdf,CITES I-II-III timber species manual,EN,,,Virtual College,Parts and Derivatives,CITES I-II-III timber species manual_EN.pdf
2013,Visual identification of fins from common Elasmobranchs_EN.pdf,Visual identification of fins from common Elasmobranchs in the Northwest Atlantic Ocean,EN,,,Virtual College,Parts and Derivatives,Visual identification of fins from common Elasmobranchs_EN.pdf
2018,Manual of captive-produced and wild-caught turtles and tortoises_EN.pdf,Manual for the differentiation of captive-produced and wild-caught turtles and tortoises,EN,,,Virtual College,General,Manual of captive-produced and wild-caught turtles and tortoises_EN.pdf
2019,Guidance To Photographing Live Tortoises and Freshwater Turtles_EN.pdf,Guidance To Photographing Live Tortoises and Freshwater Turtles for Identification,EN,,,Virtual College,General,Guidance To Photographing Live Tortoises and Freshwater Turtles_EN.pdf
2006,Identification Guide of the Main Shark and Ray Species_EN.pdf,Identification Guide of the Main Shark and Ray Species of the Eastern Tropical Atlantic,EN,,,Virtual College,General,Identification Guide of the Main Shark and Ray Species_EN.pdf
2019,Tarantula ID guide_EN.pdf,Tarantula ID guide,EN,,,Virtual College,General,Tarantula ID guide_EN.pdf
2012,"Identifying Shark Fins Oceanic Whitetip, Porbeagle and Hammerheads_EN.pdf","Identifying Shark Fins: Oceanic Whitetip, Porbeagle and Hammerheads",EN,,,Virtual College,General,"Identifying Shark Fins Oceanic Whitetip, Porbeagle and Hammerheads_EN.pdf"
2013,Field Identification Guide of the Prebranchial Appendages of Mobulid Rays_EN.pdf,Field Identification Guide of the Prebranchial Appendages (Gill Plates) of Mobulid Rays for Law Enforcement and Trade Monitoring Applications,EN,,,Virtual College,Parts and Derivatives,Field Identification Guide of the Prebranchial Appendages of Mobulid Rays_EN.pdf
2012,Cómo identificar aletas de tiburón_ES.pdf,"Cómo identificar aletas de tiburón:  Jaquetón oceánico, Tiburón sardinero y Tiburones martillo",ES,,,Virtual College,Parts and Derivatives,Cómo identificar aletas de tiburón_ES.pdf
2012,Field Guide to Sharks of the Southeast Asian Region_EN.pdf,Field Guide to Sharks of the Southeast Asian Region,EN,,,Virtual College,General,Field Guide to Sharks of the Southeast Asian Region_EN.pdf
2004,Traditional Asian Medicine Identification Guide for Law Enforcers_EN.pdf,Traditional Asian Medicine Identification Guide for Law Enforcers: Version II,EN,,,Virtual College,Parts and Derivatives,Traditional Asian Medicine Identification Guide for Law Enforcers_EN.pdf
2011,Guide to the Identification of Precious and Semi-precious Corals in Commercial Trade_EN.pdf,Guide to the Identification of Precious and Semi-precious Corals in Commercial Trade,EN,,,Virtual College,General,Guide to the Identification of Precious and Semi-precious Corals in Commercial Trade_EN.pdf
1991,Identification guide for ivory and ivory substitutes_EN.pdf,Identification guide for ivory and ivory substitutes,EN,,,Virtual College,Parts and Derivatives,Identification guide for ivory and ivory substitutes_EN.pdf
2004,A Guide to the Identification of Seahorses_EN.pdf,A Guide to the Identification of Seahorses,EN,,,Virtual College,General,A Guide to the Identification of Seahorses_EN.pdf
2001,How to Identify Lygodactylus williamsi_EN.pdf,How to Identify Lygodactylus williamsi: A photographic Guide to the Turquoise Dwarf Gecko,EN,,,Virtual College,General,How to Identify Lygodactylus williamsi_EN.pdf
2009,Universal Caviar Labelling Requirements_EN.pdf,Universal Caviar Labelling Requirements,EN,,,Virtual College,Parts and Derivatives,Universal Caviar Labelling Requirements_EN.pdf
