SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes
50404,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
40127,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
40127,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
109899,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
109899,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
50404,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
24256,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
24256,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182784,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182783,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182774,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182783,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182784,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
24277,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
24277,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182774,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182793,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182807,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182807,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182779,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182793,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182779,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182803,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182770,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182770,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182780,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182780,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182803,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182798,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182812,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182798,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182789,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182789,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182812,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
34412,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182775,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182775,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
58314,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
