Kingdom,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,ampliata,E. Meyer,ssp.,ssp.,madagascariensis,Lavranos,32598,A
Plantae,CARYOPHYLLALES,CACTACEAE,Astrophytum,ampullaceum,(Lindl.) Schltr.,var.,var.,moulmeinense,NULL,172772,A
Plantae,CARYOPHYLLALES,CACTACEAE,Browningia,amstutziae,(Rauh & Backeberg) Hutchinson ex Krainz,NULL,NULL,NULL,NULL,106199,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,amyclaea,Tenore,NULL,NULL,NULL,NULL,27566,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,anacampta,Alston 1958,NULL,NULL,NULL,NULL,173663,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,anacantha,Spegazzini,NULL,NULL,NULL,NULL,107346,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ancistrophora,Speg.,ssp.,ssp.,ancistrophora,NULL,30405,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ancistrophora,Spegazzini,NULL,NULL,NULL,NULL,106489,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ancistrophora,Spegazzini,ssp.,ssp.,pojoensis,(Rausch) Rausch,11988,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ancistrophora,Spegazzini,ssp.,ssp.,arachnacantha,(Buining & Ritter) Rausch,11984,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,ancistrophora,Spegazzini,ssp.,ssp.,cardenasiana,(Rausch) Rausch,11986,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,andersonii,(Beddome 1869) Copel 1909,NULL,NULL,NULL,NULL,68661,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,andina,(Karsten 1856) Domin 1930,NULL,NULL,NULL,NULL,8035,A
Plantae,CARYOPHYLLALES,CACTACEAE,Melocactus,andinus,Gruber ex Taylor,NULL,NULL,NULL,NULL,104261,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,andohalelensis,Tardieu 1941,NULL,NULL,NULL,NULL,173131,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,andreae,(Boedeker) Backeberg,NULL,NULL,NULL,NULL,106935,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,andreae,(Boedeker) Backeberg,ssp.,ssp.,carolinense,Neuhuber,13177,A
Plantae,CARYOPHYLLALES,CACTACEAE,Eriosyce,andreaeana,Kattermann,NULL,NULL,NULL,NULL,11647,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,aneitensis,(Hook 1865) R.Tryon 1970,NULL,NULL,NULL,NULL,173132,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,angelae,Meregalli,NULL,NULL,NULL,NULL,13183,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,angelesiae,(Kiesling) Rowley,NULL,NULL,NULL,NULL,106490,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,angiensis,(Gepp 1917) R.Tryon 1970,NULL,NULL,NULL,NULL,174526,A
Plantae,CARYOPHYLLALES,CACTACEAE,Epiphyllum,anguliger,(Lemaire) G. Don,NULL,NULL,NULL,NULL,29451,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,angustifolius,Koss,NULL,NULL,NULL,NULL,170749,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,angustipinna,(Holttum 1962) R.Tryon 1970,NULL,NULL,NULL,NULL,174528,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,anisitsii,(Schumann) Britton & Rose,NULL,NULL,NULL,NULL,106936,A
Plantae,CARYOPHYLLALES,CACTACEAE,Gymnocalycium,anisitsii,(Schumann) Britton & Rose,ssp.,ssp.,multiproliferum,(Braun) Braun & Esteves Pereira,13196,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,annae,Alderw 1916,NULL,NULL,NULL,NULL,173134,A
Plantae,CARYOPHYLLALES,CACTACEAE,Mammillaria,anniana,Glass & Foster,NULL,NULL,NULL,NULL,15627,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,antennifera,Schltr.,NULL,NULL,NULL,NULL,111052,A
