Kingdom,SpcRecID,CtyRecID,CtyShort
Plantae,43799,162,Palau
Plantae,43799,100,Indonesia
Plantae,43799,4,American Samoa
Plantae,43799,71,Fiji
Plantae,43799,138,Micronesia (Federated States of)
Plantae,43799,151,New Caledonia
Plantae,43799,182,Samoa
Plantae,43799,192,Solomon Islands
Plantae,43799,226,Vanuatu
Plantae,43801,4,American Samoa
Plantae,43801,71,Fiji
Plantae,43801,151,New Caledonia
Plantae,43801,182,Samoa
Plantae,43801,192,Solomon Islands
Plantae,43801,226,Vanuatu
Plantae,43802,4,American Samoa
Plantae,43802,182,Samoa
Plantae,43802,71,Fiji
Plantae,43802,226,Vanuatu
Plantae,43829,4,American Samoa
Plantae,43829,71,Fiji
Plantae,44178,43,Chile
Plantae,44228,138,Micronesia (Federated States of)
Plantae,44228,111,Kiribati
Plantae,44228,162,Palau
Plantae,44350,107,Japan
Plantae,44621,13,Australia
Plantae,45041,100,Indonesia
Plantae,45041,128,Malaysia
Plantae,45041,197,Sri Lanka
Plantae,45041,229,Viet Nam
Plantae,46173,99,India
Plantae,46173,197,Sri Lanka
Plantae,47331,2,Albania
Plantae,47331,11,Armenia
Plantae,47331,14,Austria
Plantae,47331,15,Azerbaijan
Plantae,47331,21,Belgium
Plantae,47331,27,Bosnia and Herzegovina
Plantae,47331,33,Bulgaria
Plantae,47331,52,Croatia
Plantae,47331,55,Czech Republic
Plantae,47331,57,Denmark
Plantae,47331,67,Estonia
Plantae,47331,73,France
Plantae,47331,80,Georgia
Plantae,47331,81,Germany
Plantae,47331,83,Gibraltar
Plantae,47331,84,Greece
Plantae,47331,97,Hungary
Plantae,47331,103,Ireland
Plantae,47331,105,Italy
Plantae,47331,131,Malta
Plantae,47331,139,"Moldova, Republic of"
Plantae,47331,149,Netherlands
Plantae,47331,169,Poland
Plantae,47331,170,Portugal
Plantae,47331,173,Romania
Plantae,47331,174,Russian Federation
Plantae,47331,190,Slovakia
Plantae,47331,196,Spain
Plantae,47331,202,Sweden
Plantae,47331,203,Switzerland
Plantae,47331,214,Turkey
Plantae,47331,219,Ukraine
Plantae,47331,221,United Kingdom
Plantae,47331,235,Yugoslavia
Plantae,47331,267,Serbia
Plantae,47365,144,Mozambique
Plantae,47619,78,Gabon
Plantae,48129,78,Gabon
Plantae,48129,236,Democratic Republic of the Congo
Plantae,48129,37,Cameroon
Plantae,48371,155,Nigeria
Plantae,48371,78,Gabon
Plantae,48371,236,Democratic Republic of the Congo
Plantae,48371,120,Liberia
Plantae,48371,37,Cameroon
Plantae,48371,56,Côte d'Ivoire
Plantae,48540,110,Kenya
Plantae,48540,207,United Republic of Tanzania
Plantae,48784,188,Sierra Leone
Plantae,48784,120,Liberia
Plantae,48784,56,Côte d'Ivoire
Plantae,48786,188,Sierra Leone
Plantae,49050,137,Mexico
Plantae,49745,100,Indonesia
Plantae,49746,100,Indonesia
Plantae,49747,100,Indonesia
Plantae,49748,100,Indonesia
Plantae,49748,128,Malaysia
Plantae,49749,100,Indonesia
Plantae,49750,100,Indonesia
Plantae,49751,100,Indonesia
Plantae,49752,100,Indonesia
Plantae,49752,128,Malaysia
Plantae,49752,167,Philippines
Plantae,49753,100,Indonesia
Plantae,49754,100,Indonesia
Plantae,49755,100,Indonesia
Plantae,49755,128,Malaysia
Plantae,49756,100,Indonesia
Plantae,49757,100,Indonesia
Plantae,49757,164,Papua New Guinea
Plantae,49758,100,Indonesia
Plantae,49759,100,Indonesia
Plantae,49760,100,Indonesia
Plantae,49763,100,Indonesia
Plantae,49764,100,Indonesia
Plantae,49765,100,Indonesia
Plantae,49766,100,Indonesia
Plantae,49767,100,Indonesia
Plantae,49769,100,Indonesia
Plantae,49770,100,Indonesia
Plantae,49772,100,Indonesia
Plantae,49773,100,Indonesia
Plantae,49774,100,Indonesia
Plantae,49775,100,Indonesia
Plantae,49776,100,Indonesia
Plantae,49776,128,Malaysia
Plantae,49777,100,Indonesia
Plantae,49778,100,Indonesia
Plantae,49779,100,Indonesia
Plantae,49829,100,Indonesia
Plantae,49829,128,Malaysia
Plantae,50398,100,Indonesia
Plantae,50398,128,Malaysia
Plantae,50398,208,Thailand
Plantae,50399,100,Indonesia
Plantae,50399,128,Malaysia
Plantae,50400,100,Indonesia
Plantae,50401,99,India
Plantae,50401,100,Indonesia
Plantae,50402,100,Indonesia
Plantae,50402,128,Malaysia
Plantae,50402,208,Thailand
Plantae,50402,229,Viet Nam
Plantae,50403,13,Australia
Plantae,50403,100,Indonesia
Plantae,50403,128,Malaysia
Plantae,50403,189,Singapore
Plantae,50404,100,Indonesia
Plantae,50404,128,Malaysia
Plantae,50405,44,China
Plantae,50405,99,India
Plantae,50405,100,Indonesia
Plantae,50405,128,Malaysia
Plantae,50405,145,Myanmar
Plantae,50405,116,Lao People's Democratic Republic
Plantae,50405,36,Cambodia
Plantae,50405,148,Nepal
Plantae,50405,25,Bhutan
Plantae,50405,167,Philippines
Plantae,50405,208,Thailand
Plantae,50405,229,Viet Nam
Plantae,50407,100,Indonesia
Plantae,50407,128,Malaysia
Plantae,50408,100,Indonesia
Plantae,50409,100,Indonesia
Plantae,50409,128,Malaysia
Plantae,50409,167,Philippines
Plantae,50410,100,Indonesia
Plantae,50411,100,Indonesia
Plantae,50412,100,Indonesia
Plantae,50413,100,Indonesia
Plantae,50413,128,Malaysia
Plantae,50414,100,Indonesia
Plantae,50415,100,Indonesia
Plantae,50415,128,Malaysia
Plantae,50415,167,Philippines
Plantae,50415,189,Singapore
Plantae,50416,100,Indonesia
Plantae,50416,167,Philippines
Plantae,50417,100,Indonesia
Plantae,50417,189,Singapore
Plantae,50418,100,Indonesia
Plantae,50419,100,Indonesia
Plantae,50419,167,Philippines
Plantae,50420,100,Indonesia
Plantae,50421,100,Indonesia
Plantae,50422,96,"Hong Kong, China"
Plantae,50422,100,Indonesia
Plantae,50422,189,Singapore
Plantae,50423,100,Indonesia
Plantae,50424,100,Indonesia
Plantae,50425,100,Indonesia
Plantae,50425,128,Malaysia
Plantae,50426,100,Indonesia
Plantae,50427,100,Indonesia
Plantae,50427,128,Malaysia
Plantae,50428,100,Indonesia
Plantae,50429,100,Indonesia
Plantae,50431,100,Indonesia
Plantae,50431,128,Malaysia
Plantae,50432,100,Indonesia
Plantae,50432,128,Malaysia
Plantae,50433,100,Indonesia
Plantae,50433,128,Malaysia
Plantae,50434,100,Indonesia
Plantae,50435,99,India
Plantae,50435,100,Indonesia
Plantae,50435,189,Singapore
Plantae,50435,229,Viet Nam
Plantae,50436,99,India
Plantae,50436,100,Indonesia
Plantae,50436,128,Malaysia
Plantae,50436,229,Viet Nam
Plantae,50436,208,Thailand
Plantae,50436,116,Lao People's Democratic Republic
Plantae,50436,167,Philippines
