Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,CHORDATA,REPTILIA,SERPENTES,PYTHONIDAE,Python,curtus,"Schlegel, 1872",ssp.,brongersmai,"Stull, 1938",79238,S,74051
Animalia,CHORDATA,REPTILIA,SAURIA,TEIIDAE,Crocodilurus,lacertinus,auct. (nec Daudin),NULL,NULL,NULL,79239,S,5658
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Circaetus,gallicus,"(Gmelin, 1788)",ssp.,heptneri,"Dementiev, 1932",79444,S,4896
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Aquila,rapax,"(Temminck, 1828)",ssp.,orientalis,"Cabanis, 1854",79445,S,1957
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Aquila,rapax,"(Temminck, 1828)",ssp.,nipalensis,"Hodgson, 1833",79446,S,1957
Animalia,CHORDATA,AVES,GRUIFORMES,OTIDIDAE,Chlamydotis,undulata,"(Jacquin, 1784)",ssp.,macqueenii,"(J. E. Gray, 1832)",79458,S,42556
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,euptilura,"Elliot, 1871",NULL,NULL,NULL,79479,S,18146
Animalia,CHORDATA,MAMMALIA,CETACEA,BALAENIDAE,Eubalaena,glacialis,"P. L. S. Müller, 1776",ssp.,japonica,"Lacépède, 1818",79482,S,78854
Animalia,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,angustirostris,"Ménétriés, 1832",NULL,NULL,NULL,79497,S,12811
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lyrurus,mlokosiewiczi,"(Taczanowski, 1875)",NULL,NULL,NULL,79498,S,21670
Animalia,CHORDATA,REPTILIA,SAURIA,CHAMAELEONIDAE,Chamaeleo,johnstoni,"(Boulenger, 1901)",ssp.,ituriensis,"Schmidt, 1919",79623,S,4516
