Kingdom,ComName,LanDesc,SpcRecID
Plantae,pino araucana,Spanish,33332
Plantae,pino araucaria,Spanish,33332
Plantae,pino chileno,Spanish,33332
Plantae,pino de Chile,Spanish,33332
Plantae,pino de Neuquén,Spanish,33332
Plantae,pino hachado,Spanish,33332
Plantae,pino piñonero,Spanish,33332
Plantae,pino solo,Spanish,33332
Plantae,cochineal cactus,English,43592
Plantae,roast pork,English,43592
Plantae,smooth pear,English,43592
Plantae,Cedro,Spanish,44498
Plantae,Ciprès,French,44498
Plantae,Ciprés chileno,Spanish,44498
Plantae,ciprés de las Guaitecas,Spanish,44498
Plantae,Ciprés de las Guayatecas,Spanish,44498
Plantae,Ciprés de las Islas Len,Spanish,44498
Plantae,Lahuán,Spanish,44498
Plantae,slender sternbergia,English,47171
Plantae,sternbergie à fleurs de colchique,French,47171
Plantae,Snake-root devil-pepper,English,49806
Plantae,cacto estrella,Spanish,54149
Plantae,star cactus,English,54149
Plantae,Dahlia's apple-cactus,English,61911
Plantae,Arizona rainbow cactus,English,61917
Plantae,barbwire apple-cactus,English,68133
Plantae,liane-raquette,English,68133
Plantae,Pencil Cholla,English,68319
Plantae,Border Prickly-pear,English,68437
Plantae,Golden-spined Prickly-pear,English,68438
Plantae,Teddy-bear Cactus,English,68443
Plantae,Club Cholla,English,68445
Plantae,Sonoran Jumping Cholla,English,68451
Plantae,Candle Cholla,English,68454
Plantae,Coastal Prickly-pear,English,68456
Plantae,Chaparral Prickly-pear,English,68459
Plantae,Coastal Cholla,English,68466
Plantae,Sand Cholla,English,68467
Plantae,Little Prickly-pear,English,68475
Plantae,Lead-pencil Cholla,English,68476
Plantae,Blind Prickly-pear,English,68477
Plantae,Schott's Prickly-pear,English,68478
Plantae,Cane Prickly-pear,English,68481
Plantae,Kingman's Prickly-pear,English,68485
Plantae,Bakersfield Beavertail Cactus,English,68486
Plantae,Tuna Cholla,English,68487
Plantae,Stag-horn Cholla,English,68490
Plantae,Whipple's Cactus,English,68493
Plantae,Clavel del aire,Spanish,69097
Plantae,Kamm's tillandsia,English,69097
Plantae,Clavel del aire,Spanish,69098
Plantae,Kautsky's tillandsia,English,69098
Plantae,Clavel del aire,Spanish,69111
Plantae,Sprenge's tillandsia,English,69111
Plantae,Sprengei's tillandsia,English,69111
Plantae,Clavel del aire,Spanish,69113
Plantae,Sucre tillandsia,English,69113
Plantae,Conelike Turl's-cap cactus,English,69512
Plantae,wonderfully-bristled Turk's-cap cactus,English,69513
Plantae,wooly waxy-stemmed Turk's-cap cactus,English,69514
Plantae,few-spined Turk's-cap cactus,English,69515
Plantae,American ginseng,English,70152
Plantae,Ginseng americano,Spanish,70152
Plantae,Ginseng d'Amérique,French,70152
Plantae,McDougal's cactus,English,75696
Plantae,Chihuahuan fishook cactus,English,75715
Plantae,Covill's barrel cactus,English,75716
Plantae,grenadier's cap,English,75729
Plantae,teddy-bear cactus,English,75729
Plantae,huevo de buey,Spanish,75730
