Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Speothos,venaticus,"(Lund, 1842)",NULL,NULL,NULL,20468,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,cunicularia,"(Molina, 1782)",NULL,NULL,NULL,20469,A
Animalia,CHORDATA,AVES,PASSERIFORMES,ESTRILDIDAE,Spermophaga,haematina,"(Vieillot, 1805)",NULL,NULL,NULL,20470,A
Animalia,CHORDATA,AVES,SPHENISCIFORMES,SPHENISCIDAE,Spheniscus,demersus,"(Linnaeus, 1758)",NULL,NULL,NULL,20608,A
Animalia,CHORDATA,AVES,SPHENISCIFORMES,SPHENISCIDAE,Spheniscus,humboldti,"Meyen, 1834",NULL,NULL,NULL,20609,A
Animalia,CHORDATA,REPTILIA,RHYNCHOCEPHALIA,SPHENODONTIDAE,Sphenodon,guntheri,"Buller, 1877",NULL,NULL,NULL,20612,A
Animalia,CHORDATA,REPTILIA,RHYNCHOCEPHALIA,SPHENODONTIDAE,Sphenodon,punctatus,"(Gray, 1842)",NULL,NULL,NULL,20613,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Sphiggurus,mexicanus,"(Kerr, 1792)",NULL,NULL,NULL,20629,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Sphiggurus,spinosus,"(F. Cuvier, 1823)",NULL,NULL,NULL,20630,A
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Spilocuscus,maculatus,"(E. Geoffroy, 1803)",NULL,NULL,NULL,20636,A
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Spilocuscus,kraemeri,"(Schwartz, 1910)",NULL,NULL,NULL,20637,A
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Spilocuscus,papuensis,"(Desmarest, 1822)",NULL,NULL,NULL,20638,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spilornis,cheela,"(Latham, 1790)",NULL,NULL,NULL,20640,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spilornis,elgini,"(Blyth, 1863)",NULL,NULL,NULL,20641,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spilornis,kinabaluensis,"W. L. Sclater, 1919",NULL,NULL,NULL,20643,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spilornis,rufipectus,"Gould, 1858",NULL,NULL,NULL,20645,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,africanus,"(Cassin, 1865)",NULL,NULL,NULL,20652,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,alboniger,"(Blyth, 1845)",NULL,NULL,NULL,20653,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,bartelsi,"Stresemann, 1924",NULL,NULL,NULL,20654,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,cirrhatus,"(Gmelin, 1788)",NULL,NULL,NULL,20655,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,lanceolatus,"Temminck & Schlegel, 1844",NULL,NULL,NULL,20656,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,nanus,"Wallace, 1868",NULL,NULL,NULL,20657,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,nipalensis,"(Hodgson, 1836)",NULL,NULL,NULL,20658,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,ornatus,"(Daudin, 1800)",NULL,NULL,NULL,20659,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,philippensis,"Gould, 1863",NULL,NULL,NULL,20660,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizaetus,tyrannus,"(Wied, 1820)",NULL,NULL,NULL,20661,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Spizastur,melanoleucus,"(Vieillot, 1816)",NULL,NULL,NULL,20662,A
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Spiziapteryx,circumcincta,"(Kaup, 1852)",NULL,NULL,NULL,20665,A
Animalia,CHORDATA,AVES,PASSERIFORMES,PLOCEIDAE,Sporopipes,frontalis,"(Daudin, 1802)",NULL,NULL,NULL,20686,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Stellula,calliope,"(Gould, 1847)",NULL,NULL,NULL,20728,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Stenella,attenuata,"(Gray, 1846)",NULL,NULL,NULL,20729,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Stenella,clymene,"(Gray, 1846)",NULL,NULL,NULL,20730,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Stenella,coeruleoalba,"(Meyen, 1833)",NULL,NULL,NULL,20731,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Stenella,frontalis,"(G. Cuvier, 1829)",NULL,NULL,NULL,20732,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Stenella,longirostris,"(Gray, 1828)",NULL,NULL,NULL,20733,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Steno,bredanensis,"(G. Cuvier in Lesson, 1828)",NULL,NULL,NULL,20738,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Stephanoaetus,coronatus,"(Linnaeus, 1766)",NULL,NULL,NULL,20772,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Stephanoxis,lalandi,"(Vieillot, 1818)",NULL,NULL,NULL,20791,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Sternoclyta,cyanopectus,"(Gould, 1846)",NULL,NULL,NULL,20823,A
Animalia,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,decipiens,"(Hartlaub & Finsch, 1870)",NULL,NULL,NULL,20880,A
Animalia,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,roseogrisea,"(Sundevall, 1857)",NULL,NULL,NULL,20882,A
Animalia,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,semitorquata,"(Rüppell, 1837)",NULL,NULL,NULL,20883,A
Animalia,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,senegalensis,"(Linnaeus, 1766)",NULL,NULL,NULL,20884,A
Animalia,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,turtur,"(Linnaeus, 1758)",NULL,NULL,NULL,20885,A
Animalia,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,vinacea,"(Gmelin, 1789)",NULL,NULL,NULL,20886,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,albitarsis,"(Bonaparte, 1850)",NULL,NULL,NULL,20894,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,aluco,"Linnaeus, 1758",NULL,NULL,NULL,20895,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,butleri,"(Hume, 1878)",NULL,NULL,NULL,20896,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,fulvescens,"(Sclater & Salvin, 1875)",NULL,NULL,NULL,20898,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Ciccaba,huhula,"(Daudin, 1800)",NULL,NULL,NULL,20899,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,hylophila,"Temminck, 1825",NULL,NULL,NULL,20900,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,leptogrammica,"Temminck, 1831",NULL,NULL,NULL,20901,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,nebulosa,"Forster, 1772",NULL,NULL,NULL,20902,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Ciccaba,nigrolineata,"(Sclater, 1859)",NULL,NULL,NULL,20903,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,occidentalis,"(Xántus de Vesey, 1860)",NULL,NULL,NULL,20904,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,ocellata,"(Lesson, 1839)",NULL,NULL,NULL,20905,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,rufipes,"King, 1828",NULL,NULL,NULL,20906,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,seloputo,"Horsfield, 1871",NULL,NULL,NULL,20907,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,uralensis,"Pallas, 1771",NULL,NULL,NULL,20908,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,varia,"Barton, 1799",NULL,NULL,NULL,20909,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,virgata,"(Cassin, 1850)",NULL,NULL,NULL,20910,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,woodfordii,"(A. Smith, 1834)",NULL,NULL,NULL,20911,A
Animalia,CHORDATA,AVES,STRUTHIONIFORMES,STRUTHIONIDAE,Struthio,camelus,"Linnaeus, 1758",NULL,NULL,NULL,20942,A
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Surnia,ulula,"(Linnaeus, 1758)",NULL,NULL,NULL,21169,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Sus,salvanius,"(Hodgson, 1847)",NULL,NULL,NULL,21172,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,ellioti,"(Swinhoe, 1872)",NULL,NULL,NULL,21266,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,humiae,"(Hume, 1881)",NULL,NULL,NULL,21267,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,mikado,"(Ogilvie-Grant, 1906)",NULL,NULL,NULL,21268,A
Animalia,CHORDATA,MAMMALIA,PILOSA,MYRMECOPHAGIDAE,Tamandua,mexicana,"(Saussure, 1860)",NULL,NULL,NULL,21349,A
Animalia,CHORDATA,MAMMALIA,PILOSA,MYRMECOPHAGIDAE,Tamandua,tetradactyla,"(Linnaeus, 1758)",ssp.,chapadensis,?,21351,A
Animalia,CHORDATA,AVES,PASSERIFORMES,EMBERIZIDAE,Tangara,fastuosa,"Lesson, 1831",NULL,NULL,NULL,21402,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Tanygnathus,gramineus,"(Gmelin, 1788)",NULL,NULL,NULL,21437,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Tanygnathus,lucionensis,"(Linnaeus, 1766)",NULL,NULL,NULL,21438,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Tanygnathus,megalorynchos,"(Boddaert, 1783)",NULL,NULL,NULL,21439,A
Animalia,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Tanygnathus,sumatranus,"(Raffles, 1822)",NULL,NULL,NULL,21440,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Taphrolesbia,griseiventris,"(Taczanowski, 1883)",NULL,NULL,NULL,21469,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Taphrospilus,hypostictus,"(Gould, 1862)",NULL,NULL,NULL,21470,A
Animalia,CHORDATA,MAMMALIA,PERISSODACTYLA,TAPIRIDAE,Tapirus,bairdii,"(Gill, 1865)",NULL,NULL,NULL,21471,A
Animalia,CHORDATA,MAMMALIA,PERISSODACTYLA,TAPIRIDAE,Tapirus,indicus,"Desmarest, 1819",NULL,NULL,NULL,21472,A
Animalia,CHORDATA,MAMMALIA,PERISSODACTYLA,TAPIRIDAE,Tapirus,pinchaque,"(Roulin, 1829)",NULL,NULL,NULL,21473,A
Animalia,CHORDATA,MAMMALIA,PERISSODACTYLA,TAPIRIDAE,Tapirus,terrestris,"(Linnaeus, 1758)",NULL,NULL,NULL,21474,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,bancanus,"Horsfield, 1821",NULL,NULL,NULL,21488,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,pumilus,"Miller & Hollister, 1921",NULL,NULL,NULL,21490,A
